class	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Acidobacteriia	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	4
Aconoidasida	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	3	0	1	0	1
Actinobacteria	279	3344	451	1927	1147	1770	540	8668	539	316	615	943	388	1147	2251	385	1158	969	428	2195	989	1793	3559	723	535
Agaricomycetes	0	12	1	4	7	7	3	0	8	6	2	8	2	2	2	6	8	10	7	3	10	5	2	10	1
Alphaproteobacteria	3	1109	406	622	513	326	475	259	330	179	371	810	940	95	1263	156	707	182	225	269	361	1024	428	462	231
Aquificae	0	0	0	0	6	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Archaeoglobi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacillariophyceae	0	25	15	54	50	164	147	18	44	16	29	5	4	0	0	0	10	0	0	2	57	1	0	3	1
Bacilli	139	2219	537	3849	7960	7990	264	9858	420	121	611	373	3827	443	4947	106	239	265	1322	577	225	5437	25302	279	290
Bacteroidia	1	34001	2327	58770	305203	50838	1648	7402	2239	784	551	1450	33779	7245	21962	1188	1794	630	10339	1573	658	156022	376207	1971	2589
Bangiophyceae	0	0	6	22	266	34	0	16	0	0	0	5	2	0	0	0	0	0	0	4	0	1	14	0	2
Betaproteobacteria	32	312	413	1487	47392	2896	1486	5938	395	357	440	442	796	186	981	238	812	301	198	456	489	545	1436	392	287
Blastocatellia	0	0	0	6	28	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Blastocladiomycetes	0	4	1	5	16	5	8	4	3	10	11	2	2	2	6	2	9	3	3	2	22	1	7	22	3
Chlamydiia	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	1	0	0	3	0	0
Chlorobia	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0
Chloroflexia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0
Chrysiogenetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Chytridiomycetes	0	4	2	0	5	5	2	2	7	6	2	4	3	0	2	0	3	3	1	1	4	0	0	3	1
Clostridia	40	9000	2257	108164	1026476	183790	3802	14769	891	552	469	2837	41634	995	11698	838	2811	1175	7372	1009	209	47194	173721	3117	1092
Coccidia	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0
Coriobacteriia	0	0	60	608	4534	2927	53	39	1	1	1	125	1603	1	891	1	101	18	3	18	26	124	2876	103	32
Coscinodiscophyceae	0	2	1	17	18	2	6	9	0	1	35	49	3	10	5	10	0	4	9	0	3	4	28	25	13
Cryptophyta	0	0	1	1	32	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	13	0	0
Cytophagia	0	0	0	1	0	1	3	0	0	0	2	0	5	0	0	1	0	0	0	2	2	0	24	0	0
Deferribacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Deinococci	0	1	0	9	1	0	0	8	2	0	0	3	0	3	4	0	46	0	2	1	6	11	78	3	0
Deltaproteobacteria	0	1	28	987	1148	243	36	3	1	1	0	226	245	0	244	6	16	18	50	1	1	0	7071	23	24
Dothideomycetes	0	9	0	1	1	0	4	0	0	0	2	1	0	1	2	4	4	0	1	0	1	0	1	1	0
Elusimicrobia	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epsilonproteobacteria	0	10	6	24	72	19	5	6	6	2	8	9	14	4	308	8	10	83	607	4	10	41	102	5	6
Erysipelotrichia	4	2	40	364	6738	1499	8	63	9	14	3	57	162	0	20	0	26	12	0	1	3	39	1139	9	3
Eurotiomycetes	11	930	433	821	14588	2460	200	2756	262	82	85	199	389	87	483	551	172	87	123	165	106	177	4259	102	85
Flavobacteriia	5	3	2	88	77	22	30	2	1	3	17	4	11	0	284	0	2	6	0	1	7	117	43	4	2
Florideophyceae	0	0	0	2	88	18	0	0	0	0	4	0	12	0	0	0	0	0	0	0	0	0	13	0	0
Fusobacteriia	1586040	1585	124	714	2895	218	9	253	118	6	39	18	1	423	5419	105	122	459	1925	1372	106	14071	82906	74	53
Gammaproteobacteria	1775	51931	37780	17595	116071	60191	157607	74259	37862	50302	47854	69966	69246	17039	80850	31823	46760	26026	27208	16658	36507	67679	69859	30665	34580
Gemmatimonadetes	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Glaucocystophyceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halobacteria	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ichthyosporea	0	3	4	5	2	6	5	3	6	4	2	0	13	4	2	4	2	3	3	2	12	2	10	15	9
Ignavibacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0
Lentisphaeria	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leotiomycetes	3	1	0	1	1	3	0	1	0	21	0	1	11	1	1	2	3	1	1	0	2	0	0	14	9
Malasseziomycetes	17	5	6	6	18	16	17	17	6	15	15	14	1	21	54	10	10	20	13	6	16	17	6	13	4
Mamiellophyceae	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0
Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanomicrobia	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanopyri	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Mollicutes	0	0	0	8	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	4	0	0
Negativicutes	1	2	44	897	746	919	10	68	231	0	24	8	344	46	14851	63	23	37	31	545	28	26175	33873	76	55
Nephroselmidophyceae	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	0	0
Nitrospira	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	20	0	0
Oomycetes	0	4	5	18	15	11	71	23	11	35	2	19	35	6	16	4	15	2	7	2	18	51	71	4	21
Pelagophyceae	0	0	0	7	19	4	0	1	0	0	0	8	0	0	28	0	0	0	0	0	0	1	54	0	0
Planctomycetia	0	1	0	0	9	21	0	1	11	0	0	0	0	0	0	0	0	1	0	4	0	1	1	0	0
Pucciniomycetes	4	9	311	13	4	12	55	29	2	6	4	17	14	14	78	13	56	95	145	58	23	40	44	81	10
Raphidophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Rubrobacteria	0	0	0	12	9	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	335	0	0
Saccharomycetes	81	264	145	94	177	178	371	216	166	203	201	324	337	158	145	189	219	192	256	95	342	178	131	175	186
Schizosaccharomycetes	0	1	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0
Sordariomycetes	11	1965	977	1854	11313	3401	5650	2607	1106	1593	1364	2271	2940	656	3642	963	1438	594	1303	780	1159	5249	5122	785	992
Sphingobacteriia	0	0	0	5	8	14	2	1	0	0	0	0	11	1	8	0	0	5	0	0	0	0	29	6	10
Spirochaetia	0	0	24	10	42	15	1	2	0	0	0	2	0	0	4412	27	4	1	1	4	9	0	31	4	7
Synergistia	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810	0	0
Synurophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Thermodesulfobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Thermoleophilia	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0
Thermomicrobia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Thermotogae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1
Tissierellia	2	0	1	151	40	34	0	39	0	0	0	3	1	3	1	0	4	0	2	37	1	2	553	0	0
Trebouxiophyceae	0	0	1	0	12	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	180	0	1
Tremellomycetes	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Ulvophyceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Unclassified	1901	223	276	514	638	323	9705	1998	277	97	293	671	2342	216	1885	281	1747	1090	62	735	1145	197	497	1463	2368
Ustilaginomycetes	0	9	5	0	0	4	4	5	6	5	2	2	7	2	1	10	7	1	6	0	3	3	9	5	13
Verrucomicrobiae	0	0	0	2895	0	0	205	168	0	61	0	579	0	0	0	0	0	21	43	3	50	0	2056	0	0
