family	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Acetobacteraceae	0	1	2	0	40	25	0	0	0	0	0	3	0	0	0	0	4	1	0	0	0	1	0	8	0
Acholeplasmataceae	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcaceae	0	1	15	122	4	458	0	1	0	0	1	0	25	0	89	15	0	0	0	0	0	5	120	0	0
Acidithiobacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Acidobacteriaceae	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	4
Acidothermaceae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetaceae	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662	0	0
Adenoviridae	7	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	3	9
Aerococcaceae	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Aeromonadaceae	0	0	0	0	0	9	7	12	0	0	0	1	4	4	3	1	2	1	1	2	16	1	0	2	5
Ajellomycetaceae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Akkermansiaceae	0	0	0	2895	0	0	205	168	0	61	0	579	0	0	0	0	0	21	43	3	50	0	2056	0	0
Alcaligenaceae	0	12	2	92	615	44	5	63	9	17	14	5	6	2	15	3	0	1	1	12	13	3	72	3	0
Alcanivoracaceae	0	1	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
Alicyclobacillaceae	0	0	0	5	36	38	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0
Alteromonadaceae	0	0	0	5	0	11	3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	5	0
Amoebophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Anaeromyxobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Anaplasmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Apusomonadidae	0	6	3	2	2	4	0	3	4	4	0	1	4	1	1	5	8	6	7	2	12	1	1	10	7
Aquificaceae	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaeoglobaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Arthrodermataceae	0	4	2	0	5	11	2	7	7	2	0	5	4	4	1	6	4	4	5	3	3	2	1	7	1
Aspergillaceae	1	539	413	734	14442	2301	172	2700	203	66	49	131	344	78	344	511	144	62	78	75	95	164	4021	90	68
Atopobiaceae	0	0	0	68	22	195	6	10	0	0	1	0	11	1	68	0	9	2	0	16	2	0	486	5	0
Babesiidae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacillaceae	1	25	16	153	535	61	11	27	19	36	10	63	128	13	25	18	9	17	23	15	22	46	190	31	16
Bacteroidaceae	0	32603	1571	39758	304091	50302	1520	7226	2226	772	488	940	32883	7141	10738	1133	1757	596	10289	748	589	156011	361823	1932	2517
Bangiaceae	0	0	6	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	1
Beijerinckiaceae	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beutenbergiaceae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Bifidobacteriaceae	0	2747	5	1754	646	932	4	7494	20	5	3	6	1	468	4	0	67	4	0	1333	1	0	1970	0	6
Blastocladiaceae	0	4	1	5	16	5	8	4	3	10	11	2	2	2	6	2	9	3	3	2	22	1	7	22	3
Blattabacteriaceae	0	0	0	7	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0
Borreliaceae	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
