genus	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Acetobacterium	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	177	0	0
Acholeplasma	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	0	11	1	0	18	32	3	15	0	17	13	3	0	2	10	1	0	0	0	2	13	0	38	1	0
Acidaminococcus	0	1	15	122	4	458	0	1	0	0	1	0	25	0	89	15	0	0	0	0	0	5	120	0	0
Acidiphilium	0	1	2	0	0	0	0	0	0	0	0	3	0	0	0	0	3	1	0	0	0	1	0	2	0
Acidithiobacillus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Acidobacterium	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Acidothermus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax	1	4	20	75	187	37	17	20	1	6	7	10	7	2	21	4	35	2	1	17	10	12	6	11	1
Acinetobacter	14	28	3	13	44	75	103	94	17	12	12	46	41	29	55	12	195	67	9	42	53	36	11	7	6
Actinobacillus	0	0	0	0	13	1	0	0	0	0	0	0	16	0	1	0	0	0	0	0	8	0	1	0	0
Actinoplanes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	53	0
Actinosynnema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Advenella	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Aequorivita	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcus	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Aeromonas	0	0	0	0	0	0	1	11	0	0	0	0	3	1	1	0	0	0	0	1	13	0	0	1	0
Agathobacter	0	4644	0	26966	278495	2135	1186	163	0	157	0	90	11038	324	8	0	699	0	0	0	0	2	842	1	1
Aggregatibacter	0	1	0	0	1136	16	0	1	6	0	1	0	18	0	6	0	0	0	0	0	1	1	28	0	0
Agrobacterium	0	6	1	9	0	6	4	0	5	2	7	11	13	0	10	0	1	17	0	4	1	1	0	3	1
Akkermansia	0	0	0	2895	0	0	205	168	0	61	0	579	0	0	0	0	0	21	43	3	50	0	2056	0	0
Alcanivorax	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
Alicycliphilus	0	5	0	0	8	33	21	11	8	0	6	0	1	7	10	6	13	0	0	0	5	4	1	0	1
Alicyclobacillus	0	0	0	5	36	38	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0
Aliivibrio	0	0	0	0	0	29	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	5	0	0
Alistipes	0	1377	1	1605	584	291	47	1	1	4	0	81	271	95	4	0	19	0	9	0	0	0	1320	14	1
Alkaliphilus	0	1	13	57	1725	1	1	0	2	0	0	42	192	0	19	0	30	0	9	0	0	32	150	2	0
Allochromatium	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Allomyces	0	4	1	5	16	5	8	4	3	10	11	2	2	2	6	2	9	3	3	2	22	1	7	22	3
Alteromonas	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0
Ammonifex	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Amphibacillus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amycolatopsis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anabaena	0	0	0	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerobaculum	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0
Anaerococcus	1	0	1	77	40	34	0	1	0	0	0	1	1	0	0	0	3	0	0	3	0	1	263	0	0
Anaeromyxobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Anaplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Anoxybacillus	0	0	0	0	0	1	1	0	0	0	0	8	0	1	0	1	0	0	1	2	0	1	0	0	0
Archaeoglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Aromatoleum	0	0	0	3	107	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Arthrobacter	0	41	0	9	2	94	5	47	0	4	1	6	2	4	57	0	5	0	7	37	18	79	14	70	10
Arthroderma	0	4	2	0	3	5	2	4	7	1	0	4	4	4	1	6	3	4	5	3	2	0	1	7	0
Arthrospira	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Aspergillus	1	539	412	711	14364	2283	156	2692	202	66	48	128	330	70	307	507	141	61	75	71	82	157	3966	74	66
Asticcacaulis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0
Atopobium	0	0	0	64	11	16	1	10	0	0	1	0	9	0	37	0	9	0	0	16	2	0	257	0	0
Aureoumbra	0	0	0	7	19	4	0	1	0	0	0	8	0	0	28	0	0	0	0	0	0	1	54	0	0
