order	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Acholeplasmatales	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidithiobacillales	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Acidobacteriales	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	4
Acidothermales	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetales	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662	0	0
Aeromonadales	0	0	0	0	0	9	7	12	0	0	0	1	4	4	3	1	2	1	1	2	16	1	0	2	5
Agaricales	0	12	1	4	7	7	3	0	7	6	2	8	2	2	2	6	8	10	7	3	10	5	2	10	1
Alteromonadales	0	1	0	5	11	54	3	3	0	1	0	2	5	2	5	1	0	1	1	1	3	1	8	6	1
Aquificales	0	0	0	0	6	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Archaeoglobales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacillales	97	44	41	1134	2304	618	131	8025	38	77	73	220	511	55	736	35	85	134	98	76	163	828	11083	131	107
Bacteroidales	1	34001	2327	58770	305203	50838	1648	7402	2239	784	551	1450	33779	7245	21962	1188	1794	630	10339	1573	658	156022	376207	1971	2589
Bacteroidetes Order II. Incertae sedis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Bangiales	0	0	6	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	1
Bicosoecida	0	0	0	6	105	36	0	21	0	0	0	0	0	0	0	0	1	0	0	1	0	0	8	0	0
Bifidobacteriales	0	2747	5	1754	646	932	4	7494	20	5	3	6	1	468	4	0	67	4	0	1333	1	0	1970	0	6
Blastocladiales	0	4	1	5	16	5	8	4	3	10	11	2	2	2	6	2	9	3	3	2	22	1	7	22	3
Bryopsidales	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Burkholderiales	25	298	389	1005	38224	1941	1457	5351	378	320	271	418	784	163	909	231	753	263	179	412	449	521	953	360	261
Campylobacterales	0	10	6	22	72	16	5	6	6	2	8	9	14	4	308	8	10	83	607	4	10	41	88	5	6
Caudovirales	1891	204	259	465	317	231	9679	1911	258	43	273	631	2305	206	1779	251	1721	1063	43	721	1107	101	339	1424	2295
Caulobacterales	0	13	4	7	2	8	2	1	0	1	1	5	16	0	1	2	12	9	1	2	6	2	2	32	1
Cellvibrionales	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Chattonellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Chlamydiales	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	1	0	0	3	0	0
