phylum	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Acidobacteria	0	0	1	7	28	5	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	4
Actinobacteria	279	3344	511	2547	5690	4697	593	8708	540	317	616	1069	1992	1148	3145	386	1260	987	431	2213	1015	1917	6771	828	567
Apicomplexa	0	0	0	0	1	2	0	0	0	1	0	1	1	0	1	1	1	0	1	0	4	1	1	1	1
Aquificae	0	0	0	0	6	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Ascomycota	81	265	146	94	177	178	371	216	168	203	201	325	337	158	146	189	220	194	258	96	343	178	131	176	186
Bacillariophyta	0	27	16	71	68	166	153	27	44	17	64	54	7	10	5	10	10	4	9	2	60	5	28	28	14
Bacteroidetes	6	34004	2329	58865	305288	50875	1683	7405	2240	787	570	1454	33806	7246	22254	1189	1796	641	10339	1576	667	156139	376306	1981	2601
Basidiomycota	21	35	323	23	29	40	79	51	22	32	24	41	24	39	135	39	84	126	171	67	52	65	61	109	28
Blastocladiomycota	0	4	1	5	16	5	8	4	3	10	11	2	2	2	6	2	9	3	3	2	22	1	7	22	3
Candidatus Saccharibacteria	2	0	0	0	8	1	0	16	0	0	3	0	0	0	13	0	0	0	0	0	0	65	90	0	0
Chlamydiae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	1	0	0	3	0	0
Chlorobi	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0
Chloroflexi	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	10	0
Chlorophyta	0	0	2	25	170	37	0	18	1	0	1	1	11	1	3	3	1	1	0	0	4	10	192	0	2
Chrysiogenetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Chytridiomycota	0	4	2	0	5	5	2	2	7	6	2	4	3	0	2	0	3	3	1	1	4	0	0	3	1
Cyanobacteria	0	0	1	1	4	2	0	3	0	3	2	9	3	0	1	0	2	2	1	0	1	2	8	2	0
Deferribacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Deinococcus-Thermus	0	1	0	9	1	0	0	8	2	0	0	3	0	3	4	0	46	0	2	1	6	11	78	3	0
Elusimicrobia	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euryarchaeota	0	0	1	1	0	0	0	1	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	1
Firmicutes	186	11223	2879	113425	1041960	194232	4084	24797	1551	687	1107	3278	45968	1487	31517	1007	3103	1489	8727	2169	466	78847	234588	3481	1440
Fusobacteria	1586040	1585	124	714	2895	218	9	253	118	6	39	18	1	423	5419	105	122	459	1925	1372	106	14071	82906	74	53
Gemmatimonadetes	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Ignavibacteriae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0
Lentisphaerae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsporidia	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrospirae	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	20	0	0
Phaeophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Planctomycetes	0	1	0	0	9	21	0	1	11	0	0	0	0	0	0	0	0	1	0	4	0	1	1	0	0
Proteobacteria	1810	53363	38633	20715	165196	63675	159609	80465	38594	50841	48673	71453	71241	17324	83646	32231	48305	26610	28288	17388	37368	69289	78896	31547	35128
Spirochaetes	0	0	24	10	42	15	1	2	0	0	0	2	0	0	4412	27	4	1	1	4	9	0	31	4	7
Synergistetes	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810	0	0
Tenericutes	0	0	0	8	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	4	0	0
Thermodesulfobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Thermotogae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1
Unclassified	1924	3135	1701	3219	26795	6221	15635	7368	1662	1829	1743	3164	5734	971	6045	1807	3377	1775	1499	1687	2441	5602	9936	2382	3485
Verrucomicrobia	0	0	0	2895	0	0	205	168	0	61	0	579	0	0	0	0	0	21	43	3	50	0	2056	0	0
Xanthophyceae	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
candidate division NC10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
