species	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Acetobacterium woodii	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	177	0	0
Acholeplasma laidlawii	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter xylosoxidans	0	11	1	0	18	32	3	15	0	17	13	3	0	2	10	1	0	0	0	2	13	0	38	1	0
Acidaminococcus fermentans	0	0	0	47	3	92	0	0	0	0	0	0	0	0	44	15	0	0	0	0	0	5	17	0	0
Acidaminococcus sp. D21	0	1	15	75	1	366	0	1	0	0	1	0	25	0	45	0	0	0	0	0	0	0	103	0	0
Acidiphilium cryptum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
Acidiphilium multivorum	0	1	2	0	0	0	0	0	0	0	0	3	0	0	0	0	3	1	0	0	0	0	0	0	0
Acidithiobacillus ferrivorans	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Acidobacterium capsulatum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Acidothermus cellulolyticus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax avenae	0	0	0	69	120	12	0	19	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	7	1
Acidovorax citrulli	0	0	0	0	0	1	0	0	0	0	4	8	0	0	0	1	1	1	0	0	0	0	0	0	0
Acidovorax delafieldii	0	1	0	2	19	10	1	1	0	0	2	1	2	0	0	1	1	0	1	1	0	0	6	0	0
Acidovorax ebreus	0	2	0	0	47	0	0	0	0	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
Acidovorax sp. JS42	1	0	20	0	0	10	16	0	0	3	0	0	0	0	20	0	1	1	0	0	10	9	0	0	0
Acidovorax sp. KKS102	0	1	0	4	1	4	0	0	1	2	1	0	5	2	0	2	32	0	0	0	0	2	0	4	0
Acinetobacter calcoaceticus/baumannii complex	4	22	2	0	7	60	76	74	7	10	0	37	38	9	14	7	2	33	1	20	44	20	4	4	3
Acinetobacter johnsonii	5	2	1	4	23	15	18	3	8	0	3	1	2	1	24	4	40	6	2	3	6	6	2	2	1
Acinetobacter junii	2	2	0	1	1	0	1	2	0	1	2	5	0	0	3	0	37	3	0	1	1	1	0	1	1
Acinetobacter lwoffii	1	1	0	6	12	0	7	4	1	1	0	2	1	17	13	1	104	2	4	9	1	2	5	0	0
Acinetobacter oleivorans	0	0	0	0	0	0	0	10	1	0	7	0	0	1	0	0	7	22	2	9	0	7	0	0	1
Acinetobacter radioresistens	2	1	0	2	1	0	0	1	0	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0
Acinetobacter sp. ADP1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Actinobacillus minor	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Actinobacillus pleuropneumoniae	0	0	0	0	12	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	1	0	0
Actinobacillus succinogenes	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus suis	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0
Actinomyces phage Av-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Actinoplanes missouriensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	29	0
Actinoplanes sp. SE50/110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
Actinosynnema mirum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Advenella kashmirensis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Aequorivita sublithincola	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcus urinae	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Aeromonas hydrophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Aeromonas salmonicida	0	0	0	0	0	0	1	11	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Aeromonas veronii	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	13	0	0	0	0
Agathobacter rectalis	0	4644	0	26966	278495	2135	1186	163	0	157	0	90	11038	324	8	0	699	0	0	0	0	2	842	1	1
Aggregatibacter actinomycetemcomitans	0	0	0	0	0	0	0	1	5	0	0	0	0	0	4	0	0	0	0	0	0	0	14	0	0
Aggregatibacter aphrophilus	0	1	0	0	1136	16	0	0	1	0	1	0	18	0	2	0	0	0	0	0	1	1	14	0	0
Agrobacterium sp. H13-3	0	1	0	0	0	0	4	0	0	0	0	0	0	0	9	0	1	1	0	2	1	1	0	0	0
Agrobacterium tumefaciens complex	0	0	1	9	0	6	0	0	5	2	1	10	0	0	1	0	0	16	0	2	0	0	0	2	1
Agrobacterium vitis	0	5	0	0	0	0	0	0	0	0	6	1	13	0	0	0	0	0	0	0	0	0	0	1	0
Akkermansia muciniphila	0	0	0	2895	0	0	205	168	0	61	0	579	0	0	0	0	0	21	43	3	50	0	2056	0	0
Alcanivorax dieselolei	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
Alcanivorax sp. DG881	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alicycliphilus denitrificans	0	5	0	0	8	33	21	11	8	0	6	0	1	7	10	6	13	0	0	0	5	4	1	0	1
Alicyclobacillus acidocaldarius	0	0	0	5	36	38	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0
Aliivibrio fischeri	0	0	0	0	0	29	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Aliivibrio salmonicida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Alistipes finegoldii	0	1377	1	1605	584	291	47	1	1	4	0	81	271	95	4	0	19	0	9	0	0	0	1320	14	1
Alkaliphilus metalliredigens	0	1	13	42	1719	1	1	0	0	0	0	42	189	0	19	0	30	0	0	0	0	32	150	2	0
Alkaliphilus oremlandii	0	0	0	15	6	0	0	0	2	0	0	0	3	0	0	0	0	0	9	0	0	0	0	0	0
Allochromatium vinosum	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Allomyces macrogynus	0	4	1	5	16	5	8	4	3	10	11	2	2	2	6	2	9	3	3	2	22	1	7	22	3
Alteromonas macleodii	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminobacterium colombiense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0
Ammonifex degensii	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Amphibacillus xylanus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amycolatopsis mediterranei	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anabaena sp. 90	0	0	0	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerobaculum mobile	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0
Anaerococcus hydrogenalis	1	0	1	77	40	1	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	249	0	0
Anaerococcus prevotii	0	0	0	0	0	33	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	14	0	0
Anaeromyxobacter sp. Fw109-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Anaeromyxobacter sp. K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Anoxybacillus flavithermus	0	0	0	0	0	1	1	0	0	0	0	8	0	1	0	1	0	0	1	2	0	1	0	0	0
Archaeoglobus fulgidus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Aromatoleum aromaticum	0	0	0	3	107	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Arthrobacter arilaitensis	0	0	0	0	0	26	0	46	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
