Count	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
taxid:1001542|Francisella_tularensis_subsp._tularensis_TIGB03	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
taxid:1001585|Pseudomonas_mendocina_NK-01	2	11	3	2	5	18	8	1	7	9	3	19	6	1	2	10	13	4	0	0	1	3	8	1	4
taxid:100226|Streptomyces_coelicolor_A3(2)	0	0	0	0	0	14	0	7	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0
taxid:1002672|Candidatus_Pelagibacter_sp._IMCC9063	0	9	0	8	0	0	15	0	0	2	0	9	17	3	8	0	6	0	0	0	8	17	14	0	1
taxid:1002809|Solibacillus_silvestris_StLB046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
taxid:1003195|Streptomyces_cattleya_DSM_46488_=_NRRL_8057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
taxid:1004786|Alteromonas_macleodii_AltDE1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1005042|Streptococcus_suis_D9	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1005048|Collimonas_fungivorans_Ter331	0	0	15	0	216	92	42	55	16	46	18	0	19	1	26	9	0	18	4	19	0	0	5	34	19
taxid:1005058|Gallibacterium_anatis_UMN179	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1006007|Bacillus_megaterium_WSH-002	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	20	0	0
taxid:1006543|Staphylococcus_aureus_subsp._aureus_T0131	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1006551|Klebsiella_oxytoca_KCTC_1686	0	632	0	0	0	0	0	0	1	0	0	11	0	0	0	0	27	2	0	33	0	0	82	0	0
taxid:1007064|Streptococcus_suis_ST3	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1007105|Pusillimonas_sp._T7-7	0	0	0	25	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0
taxid:1009464|Gardnerella_vaginalis_HMP9231	0	0	0	0	4	0	0	0	1	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0
taxid:1009846|Burkholderia_cepacia_GG4	6	4	33	1	20	3	29	194	10	1	4	50	28	18	126	36	50	38	18	39	68	30	9	35	4
taxid:101510|Rhodococcus_jostii_RHA1	0	0	0	0	0	0	0	29	0	0	18	0	13	0	1	0	7	14	0	0	0	0	0	0	1
taxid:1016998|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1017264|Bordetella_pertussis_CS	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1028307|Enterobacter_aerogenes_KCTC_2190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
taxid:1029718|Candidatus_Arthromitus_sp._SFB-mouse-Japan	0	0	0	23	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	108	20	0	0
taxid:10298|Herpes_simplex_virus_type_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	1	0	0	1	0	1	0	0	5
taxid:1030843|Porphyromonas_gingivalis_TDC60	0	0	0	0	9	75	0	8	0	0	0	0	13	0	0	0	0	0	0	5	15	0	0	1	1
taxid:1031710|Oligotropha_carboxidovorans_OM4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1031711|Ralstonia_solanacearum_Po82	0	0	0	0	0	0	1	1	0	0	13	0	18	0	0	0	0	0	0	0	0	0	1	0	0
taxid:1032480|Microlunatus_phosphovorus_NM-1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	3	0
taxid:1033813|Escherichia_coli_NA114	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0
taxid:1034807|Flavobacterium_branchiophilum_FL-15	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1034809|Staphylococcus_lugdunensis_N920143	0	0	0	0	0	0	0	62	0	0	0	5	0	0	11	0	0	0	0	0	0	8	0	0	0
taxid:1034836|Bacillus_amyloliquefaciens_XH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
taxid:1035377|Yersinia_pestis_A1122	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1035817|Bifidobacterium_longum_subsp._longum_KACC_91563	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
taxid:10359|Human_cytomegalovirus	0	0	0	0	0	0	0	1	0	3	0	0	0	0	32	0	0	1	0	0	0	0	1	0	24
taxid:1036672|Advenella_kashmirensis_WT001	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
taxid:1036673|Paenibacillus_mucilaginosus_KNP414	0	0	0	0	112	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	139	0	0
taxid:1036743|Rhodospirillum_rubrum_F11	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
taxid:1037409|Bradyrhizobium_japonicum_USDA_6	0	4	0	0	0	1	0	13	1	0	0	0	2	0	3	0	1	1	1	0	0	0	1	0	0
taxid:10376|Epstein_Barr_virus	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1037911|Pseudomonas_fluorescens_A506	31	17424	10484	6105	16631	17906	54496	16820	12249	19200	16835	22192	25277	5475	17856	7776	9927	6195	10149	4276	10777	24516	6028	7761	9884
taxid:1041826|Flavobacterium_columnare_ATCC_49512	0	0	0	3	0	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1
taxid:1042156|Clostridium_sp._SY8519	0	19	0	223	1026	104	1	1	0	0	1	0	115	0	35	0	0	0	0	0	0	0	560	1	29
taxid:1042876|Pseudomonas_putida_S16	4	28	26	4	29	79	151	46	31	33	61	38	49	10	69	17	111	21	15	80	57	53	22	23	8
taxid:1042878|Cupriavidus_necator_N-1	0	0	1	6	66	0	40	9	0	0	4	0	34	0	0	0	2	11	0	0	0	0	0	1	0
taxid:1045854|Weissella_koreensis_KACC_15510	0	0	0	13	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0
taxid:1045855|Pseudoxanthomonas_spadix_BD-a59	0	0	0	0	7	2	0	1	0	3	1	0	1	1	1	1	0	0	1	1	0	1	0	3	0
taxid:1045856|Enterobacter_cloacae_EcWSU1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	2	0	0	0	0	0	0	0
taxid:1046629|Streptococcus_salivarius_57.I	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
taxid:1048245|Mycobacterium_canettii_CIPT_140010059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
taxid:1048332|Streptococcus_salivarius_CCHSS3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
taxid:1048689|Escherichia_coli_O55:H7_str._RM12579	0	0	0	0	0	11	0	0	0	0	0	0	0	0	39	0	0	2	0	0	6	1	0	0	0
taxid:1048834|Alicyclobacillus_acidocaldarius_subsp._acidocaldarius_Tc-4-1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
taxid:1049565|Klebsiella_pneumoniae_KCTC_2242	0	175	0	0	0	630	30	1	9	0	5	1	1	1	9	17	0	45	0	3	16	20	0	0	0
taxid:1051006|Propionibacterium_humerusii_incertae_sedis_SK182B-JCVI	87	15	10	3	7	12	14	19	21	3	8	11	6	1	70	8	7	17	1	1	17	18	1	1	157
taxid:1052585|Bacillus_subtilis_subsp._spizizenii_TU-B-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
taxid:1052684|Paenibacillus_polymyxa_M1	0	0	0	25	2	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
taxid:1054460|Streptococcus_pseudopneumoniae_IS7493	0	0	0	0	0	0	0	0	0	0	53	0	25	0	2	0	0	0	0	1	0	0	0	0	0
taxid:10633|Simian_virus_40	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	3	0	0	10
taxid:10634|Murine_polyomavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
taxid:1064535|Megasphaera_elsdenii_DSM_20460	0	0	0	0	1	43	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0
taxid:1064539|Azospirillum_brasilense_Sp245	0	0	0	0	0	0	0	2	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
taxid:10678|Enterobacteria_phage_P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
taxid:1069443|Mortierella_verticillata	0	1	2	0	4	0	2	0	3	11	0	0	2	1	1	1	1	0	0	1	0	2	1	1	3
taxid:1069533|Streptococcus_infantarius_subsp._infantarius_CJ18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
taxid:1069534|Lactobacillus_ruminis_ATCC_27782	0	0	0	1	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0
taxid:10710|Enterobacteria_phage_lambda	1890	199	257	464	314	228	9677	1910	256	41	270	622	2303	202	1771	250	1712	1050	42	720	1100	98	335	1423	2293
taxid:1071378|Naumovozyma_dairenensis_CBS_421	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1072459|Escherichia_coli_O7:K1_str._CE10	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1074252|Staphylococcus_aureus_subsp._aureus_HO_5096_0412	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1074889|Blattabacterium_sp._(Mastotermes_darwiniensis)_str._MADAR	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
taxid:10870|Enterobacteria_phage_M13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
taxid:1087448|Exiguobacterium_antarcticum_B7	0	0	0	0	17	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0
taxid:1089456|Pseudomonas_aeruginosa_NCGM2.S1	0	1	4	0	0	4	7	2	0	3	3	2	0	0	3	0	0	0	0	0	0	12	0	2	6
taxid:1089553|Thermacetogenium_phaeum_DSM_12270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
taxid:1091045|Propionibacterium_acnes_ATCC_11828	2	1	3	1	2	5	3	8	3	2	1	11	1	15	35	6	16	4	2	2	12	3	18	0	1
taxid:109269|Vaucheria_litorea	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
