kegg_modules	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
M00001: Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.0758946	0.0351206	0.023186	0.0321615	0.0339693	0.0392619	0.024573	0.0345886	0.0417607	0.0304546	0.0260696	0.0298063	0.0333837	0.0471392	0.0258408	0.0387181	0.0424314	0.0323164	0.0562383	0.0626729	0.0426803	0.0439572	0.0617651	0.0398161	0.0490389
M00002: Glycolysis, core module involving three-carbon compounds	0.072248	0.0335808	0.021536	0.0320519	0.0444494	0.037396	0.0262891	0.0323925	0.0431576	0.0244398	0.0234739	0.0294731	0.0330253	0.0392778	0.0260489	0.0323478	0.0476882	0.0396799	0.0472779	0.0517928	0.039554	0.0493576	0.0624659	0.0446507	0.0469145
M00003: Gluconeogenesis, oxaloacetate => fructose-6P	0.0681858	0.0246552	0.0219823	0.0160541	0.0298112	0.0369328	0.0205129	0.029749	0.0398185	0.0279976	0.0286661	0.0261686	0.0260924	0.0255792	0.0204892	0.0297186	0.0274483	0.0319939	0.0291887	0.050374	0.0309516	0.0314079	0.0304166	0.0384251	0.0346327
M00004: Pentose phosphate pathway (Pentose phosphate cycle)	0	0.0252839	0.0337623	0	0.0206151	0.0306292	0.0212619	0.0291094	0	0	0.0326587	0.0435848	0.0186024	0.0522366	0.0230442	0.0220037	0.0332281	0.0322311	0	0.0554526	0.0399925	0.0222529	0.0230482	0.0350338	0.0273676
M00006: Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	0	0.0407391	0.0450348	0.000215233	0.0187327	0.0330596	0.0202263	0.0409525	0.00671437	0.0217232	0.0480807	0.040332	0.0275704	0.0607381	0.0304141	0.014109	0.0353076	0.0470389	0.0683273	0.0653142	0.0332508	0.0142352	0.0197208	0.0633593	0.0268851
M00007: Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	7.44779e-05	0.0178934	0.0267256	0	0.0228992	0.0284977	0.0223875	0.0225338	0	0	0.0242844	0.0473461	0.0136332	0.0456704	0.0184014	0.042574	0.0313603	0.0241074	0	0.0480575	0.0496573	0.0446966	0.0275784	0.0236794	0.0278646
M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0	0.0249163	0.0213489	0	9.84998e-05	0.00857044	0.0149208	0.0173479	0.0129981	0.00897822	0.0103206	0.0137437	0.0185651	0	0.0198537	0.0158683	0.0281758	0	0	0	0.0111218	0	0	0	0
M00009: Citrate cycle (TCA cycle, Krebs cycle)	0	0.040684	0	0.0348255	7.72254e-05	0	0.0300533	0.0295608	0.0469807	0.0485231	0	0	0	0	0	0.0356865	0.0260201	0.0379876	0	0	0	0	0.00863229	0.0277581	0
M00011: Citrate cycle, second carbon oxidation	0	0.0410947	0	0.031972	0.0149538	0	0.03452	0.0280248	0.0495616	0.0452671	0	0	0.0362204	0	0	0.0331761	0.0217488	0.0303862	0	0	0.0190111	0.0248617	0.00587759	0.0299732	0.0401439
M00012: Glyoxylate cycle	0	0.0275596	0.0270256	0.00919649	0.00737114	0.0105288	0.0205583	0.0112692	0.0170307	0.012025	0.0155051	0.0275836	0.018815	0.0385524	0.0215667	0.0168283	0.0226989	0.0270194	0.0117058	0.0133411	3.33586e-06	3.69142e-05	0.00393695	0.0200929	0.01732
M00013: Malonate semialdehyde pathway, propanoyl-CoA => Acetyl-CoA	0	0	0	0	7.19645e-06	0.000288226	0	1.82518e-05	0.000105473	6.95622e-05	0	0.00040593	9.08909e-05	0	0	0	0	0	0.000504342	0	6.00252e-06	0	0	0	0
M00014: Glucuronate pathway (uronate pathway)	0	0	0.00852028	0	0.000794762	0.0121013	0.0026104	0.00101794	0.0302014	0.00181553	0.00150927	0.00244902	0.000860822	0.00902723	0.00126808	0.00613656	0	0.00681792	0.022988	0.00176074	0.0163025	0.00235107	0.0063201	0.00799046	0.0165651
M00016: Lysine biosynthesis, aspartate => lysine	0	0	0	0.0108399	0.00641522	0	0	0.0161599	0	0.00125558	0.00972907	0.0167374	0.00833712	0	0.0118325	0.0131415	0.013239	0.00950397	0.00669913	0	0.00716361	0.0140387	0	0	0.0110896
M00017: Methionine biosynthesis, apartate => homoserine => methionine	0	0	0	0	0.00747823	0	0	0	0	0	0	0	0	0	0	0	0.0122582	0	0	0	0	0	0.00933329	0	0
M00018: Threonine biosynthesis, apartate => homoserine => threonine	0	0.022624	0.0175637	0.014663	0.0118074	0.00569693	0.0144865	0.0192281	0	0.00871773	0.0195133	0.0251533	0.0197	0	0.0178491	0.0118046	0.0159974	0.0175833	0	0.0157221	0.0140992	0.0165924	0.00830502	0.0189153	0
M00019: Leucine biosynthesis, pyruvate => 2-oxoisovalerate => leucine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00022: Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	0.0264527	0.000209254	0.0108467	0	0	0.00784084	0.0124495	0.020748	0.00120286	0	0	0.00218495	0	0.000965258	0.0219514	0	0.00744218	0.0138964	0	0.00384678	0	0.0125582	0.00859441	0.00618223	0.000485595
M00025: Tyrosine biosynthesis, chorismate => tyrosine	0.000116864	0.00951419	0.0159294	0.00621308	0.00614557	1.5766e-05	0.00424482	0.00709299	0.00772955	0.0021012	0.011459	0.0125327	0.00858314	0	0.0130877	0.0123858	0.00448852	0	0.000982146	0.0134755	0	0.00505652	0.00435353	0.00177059	0.0064489
M00026: Histidine biosynthesis, PRPP => histidine	0	0	0	0.00191689	0.00503366	0.000280213	0	2.79817e-05	0	0.00239836	3.15938e-06	0.00249993	0	0	0.00500191	0	0	0.014692	0	0	0.00198517	0	0	0.00294812	0
M00028: Ornithine biosynthesis, glutamate => ornithine	0	0	0.000424983	0.00249485	0.00594505	0.00842586	0.0215389	0.0143335	0.0205138	3.59737e-06	0.0171154	0.0273552	0.00784096	0	0.019626	0	0.0151514	0.0062946	0	0.000645159	0.000447368	0	0	0.00411744	0.00375333
M00029: Urea cycle	5.41638e-05	0.000173748	1.31945e-05	0	1.20663e-05	6.25852e-05	8.49724e-06	4.86445e-05	0	8.73659e-06	0.00169526	0	5.73018e-06	0	0.000203445	0	0.000145918	0	0.000849009	0	0.00563993	0.000732898	0.0056713	0	0
M00030: Lysine biosynthesis, 2-oxoglutarate => 2-aminoadipate => lysine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
