kegg_pathways	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
ko00010: Glycolysis / Gluconeogenesis	0.0162562	0.0036489	0.00162868	0.000315042	0.00493582	0.00603893	0.00709174	0.00669395	0.000819605	0.00344553	0.00369307	0.00402582	0.00360771	0.0045078	0.000228745	0.00509939	0.00493122	0.00396622	0.00394741	0.00656904	0.00570948	0.00931603	0.00435378	0.00588917	0.00607407
ko00020: Citrate cycle (TCA cycle)	0.0118179	0.00471295	0.00195511	0.000410348	0.00534709	0.00642841	0.00984892	0.00796546	0.00102599	0.00486978	0.00565471	0.00435068	0.00482253	0.0052081	0.00027367	0.00623702	0.00580628	0.0055272	0.0053718	0.00535218	0.00588789	0.00986528	0.00395459	0.00665467	0.00684862
ko00030: Pentose phosphate pathway	0.0172453	0.00413106	0.00158064	0.000266656	0.00439373	0.00581769	0.00807521	0.00753083	0.000762404	0.00284551	0.00414133	0.00444633	0.00329358	0.00636517	0.000281446	0.00606692	0.00471504	0.00559956	0.00496848	0.00788195	0.00795682	0.0133931	0.00477058	0.00737239	0.00670807
ko00040: Pentose and glucuronate interconversions	0.00583793	0.00242896	0.0011218	0.000248778	0.00317824	0.00558422	0.00462838	0.00479883	0.000653158	0.00339713	0.00328718	0.00253895	0.00270737	0.00288578	0.000132849	0.00269992	0.00303287	0.00172062	0.00152604	0.0020337	0.00280007	0.00433431	0.00159675	0.00272698	0.00199043
ko00051: Fructose and mannose metabolism	0.0121791	0.00336538	0.00118205	0.00017877	0.00390959	0.00538495	0.00670413	0.00553959	0.000716145	0.00271708	0.00357068	0.00258825	0.00244869	0.00410349	0.00021294	0.00422616	0.00393374	0.00373338	0.00277224	0.005572	0.00505263	0.00860385	0.0037033	0.00448154	0.00623453
ko00052: Galactose metabolism	0.0100697	0.00151428	0.000694091	0.000206208	0.00223207	0.00283096	0.00409589	0.00316536	0.000386048	0.00161789	0.00182902	0.00173862	0.00211464	0.00223682	0.000107449	0.00242382	0.00200369	0.00159464	0.0017833	0.00190333	0.00297031	0.0032263	0.00175332	0.00240489	0.00217833
ko00053: Ascorbate and aldarate metabolism	0.000365257	0.00126557	0.000661253	0.000160024	0.00200181	0.00385056	0.00330365	0.00194481	0.000325166	0.00274428	0.00254501	0.00134886	0.00152393	0.00133448	0.000110623	0.000842572	0.00137774	0.000997121	0.000890738	0.00147714	0.000957666	0.00217342	0.00104944	0.00129101	0.00128872
ko00061: Fatty acid biosynthesis	0.0275571	0.00169877	0.00125329	0.000200254	0.00365252	0.00286309	0.00588104	0.00439139	0.000402148	0.000960906	0.00227475	0.00168528	0.00199314	0.00140608	0.000242679	0.00210096	0.00280113	0.00263004	0.00180899	0.00350747	0.00223376	0.00541084	0.00319222	0.00269254	0.0024082
ko00062: Fatty acid elongation in mitochondria	0	0.00369958	0.00231676	0.000295241	0.00557569	0.00871324	0.00506756	0.00512568	0.001029	0.00654951	0.00664314	0.00411644	0.00530745	0.00630664	0.000107729	0.00544561	0.00503559	0.0032698	0.00412465	0.00351421	0.018528	0.006473	0.00296953	0.00361602	0.00392052
ko00071: Fatty acid metabolism	0.00569904	0.00392762	0.00201399	0.000326644	0.00510381	0.00781958	0.00699402	0.00578253	0.00104858	0.00526787	0.00535846	0.00530676	0.0047226	0.00351524	0.000213636	0.0038554	0.00448275	0.00293834	0.00354355	0.00348564	0.00671861	0.00643777	0.00270277	0.00435809	0.00353802
ko00072: Synthesis and degradation of ketone bodies	0.0133256	0.00567724	0.00282187	0.000445582	0.00840635	0.00930269	0.0101049	0.00864315	0.0019004	0.00934471	0.0104021	0.00547746	0.00562426	0.00387806	0.000246945	0.00376308	0.00352087	0.0037221	0.00495992	0.00586978	0.0062266	0.0113883	0.00443782	0.00469592	0.00451922
ko00100: Steroid biosynthesis	1.24519e-05	0.0021441	0.000501043	0.000156603	0.00221569	0.00285482	0.00289706	0.00223622	0.000302537	0.00268329	0.00153508	0.00176565	0.00207083	0.00335039	3.11421e-05	0.00468759	0.00285919	0.00276386	0.00485958	0.00285049	0.00271491	0.00378229	0.00107977	0.004434	0.00550573
ko00120: Primary bile acid biosynthesis	0	0.00172902	0.000908448	0.000228233	0.00225666	0.00391726	0	0.00229262	0.000572352	0.00282988	0.00182773	0.00261927	0.00220736	0.00274882	0	0.00372492	0.0035032	0.00246927	0.00179436	0.00173776	0.00222682	0.000468466	0.00166426	0.00264604	0.00215147
ko00130: Ubiquinone and other terpenoid-quinone biosynthesis	0.00561236	0.00125756	0.00059043	8.75585e-05	0.000944335	0.00155415	0.00293035	0.00324802	0.000175786	0.000891005	0.00134037	0.00129301	0.00112581	0.000851851	0.000186554	0.000760504	0.00187653	0.000897309	0.000720908	0.00239709	0.00154375	0.00384479	0.00087062	0.00138069	0.00136568
ko00140: Steroid hormone biosynthesis	6.1101e-05	0.00091162	0.000605952	7.0738e-05	0.00192959	0.00345638	0.000953339	0.00155247	0.000336407	0.00212879	0.0016763	0.00128739	0.00182176	0.000940618	5.22681e-05	0.00125372	0.0012155	0.00133632	0.000853252	0.000882748	0.00116197	0.000719087	0.000973628	0.0015999	0.00151287
ko00190: Oxidative phosphorylation	0.00694898	0.0108858	0.00383604	0.000626481	0.00766174	0.0133237	0.0148045	0.0104025	0.00252523	0.00824445	0.010072	0.00976903	0.00847585	0.0119305	0.000309605	0.00996458	0.0120254	0.00793319	0.00882361	0.0104224	0.0119326	0.0144591	0.00557369	0.01226	0.0127035
ko00195: Photosynthesis	1.86063e-06	0	7.03275e-05	9.58707e-07	1.18842e-06	3.57618e-05	3.65025e-05	1.00148e-05	4.42326e-06	6.70341e-06	2.57117e-05	2.9822e-05	4.80911e-08	3.4436e-05	2.32968e-05	2.23811e-05	1.72463e-05	0.000417501	1.26524e-05	0.000560529	3.67726e-05	0.000512956	7.36652e-06	4.96559e-06	0.000285124
ko00196: Photosynthesis - antenna proteins	0	0	0	0	7.30542e-07	0	0	5.12582e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68429e-08	0	0
ko00230: Purine metabolism	0.0100722	0.00286613	0.00112465	0.000226389	0.00309343	0.00371646	0.00568419	0.00444211	0.00051654	0.00200148	0.00252626	0.0029366	0.00248392	0.00297953	0.000202415	0.00406928	0.00377867	0.00309179	0.00304003	0.00405563	0.00466441	0.00683021	0.00246699	0.00374432	0.00401736
ko00232: Caffeine metabolism	0	0.000295977	0	0	0	0.000972964	0	0.000400166	0	0.000574835	0	0.000213692	0.000328936	0	0	0.00042779	0	0	0	0	0	0.00024593	0	0	0
ko00240: Pyrimidine metabolism	0.0137329	0.00304952	0.00113695	0.000258498	0.00353994	0.00431503	0.00626	0.00480316	0.000605345	0.00217661	0.00271273	0.00306222	0.00270235	0.00352487	0.00024385	0.00457266	0.00469245	0.00348682	0.00329234	0.00493452	0.00567999	0.00783247	0.00329159	0.00431715	0.00466716
ko00250: Alanine, aspartate and glutamate metabolism	0.0167709	0.0030441	0.0012482	0.000249552	0.00293694	0.00413266	0.00663777	0.00578717	0.000662983	0.00228993	0.00331099	0.00306129	0.00301885	0.00357846	0.000235384	0.00393102	0.00352691	0.00399731	0.00259026	0.0032021	0.0041427	0.00718607	0.00298622	0.00384239	0.00370959
ko00253: Tetracycline biosynthesis	1.31283e-08	0	0	0	0	0	0	2.2374e-05	0	0	0	0	0	0	0	0	0	3.46202e-05	0	0	0	0	0	0	0
ko00260: Glycine, serine and threonine metabolism	0.00675796	0.00250527	0.00101614	0.000190119	0.00245476	0.00309107	0.00610994	0.00447917	0.000460169	0.00200182	0.00294995	0.00281289	0.00224755	0.0026892	0.000226585	0.00257537	0.00280978	0.00233728	0.00172554	0.00270365	0.00298968	0.00594931	0.00273079	0.00325299	0.0028592
ko00270: Cysteine and methionine metabolism	0.00974491	0.00224075	0.000852909	0.000178057	0.00230223	0.00283372	0.00555692	0.00471072	0.000413133	0.00160323	0.00249016	0.00244818	0.00201569	0.00221696	0.000188823	0.00227317	0.00330986	0.00231278	0.00194856	0.00246336	0.00298759	0.00497486	0.00202188	0.00345764	0.00223311
ko00280: Valine, leucine and isoleucine degradation	0.0045403	0.00406749	0.00195661	0.000345654	0.00430274	0.00706956	0.00837338	0.00572508	0.000992734	0.00505153	0.00604441	0.00446238	0.00461551	0.00498246	0.000259014	0.00506894	0.00546569	0.00308288	0.00408031	0.0043208	0.00693476	0.00814189	0.003079	0.00433278	0.00461082
ko00281: Geraniol degradation	0.000122458	0.000598828	0.00049674	6.12858e-05	0.000992543	0.000935456	0.00351665	0.0011796	0.000339188	0.00150149	0.000869775	0.00109117	0.00113671	0.000392114	9.3733e-05	0.00133794	0.000613453	0.000566938	0.000936931	0.000464164	0.00241708	0.00214559	0.000342116	0.000921311	0.00152532
ko00290: Valine, leucine and isoleucine biosynthesis	0.0194686	0.00351722	0.00154797	0.000283225	0.00324569	0.00440129	0.00803765	0.00681155	0.000755304	0.00224755	0.00372223	0.00294057	0.0026324	0.00411253	0.000336068	0.00360627	0.00545609	0.00383721	0.00292156	0.00471302	0.00423521	0.00975072	0.00283709	0.00475971	0.00521663
ko00300: Lysine biosynthesis	0.00490929	0.00141023	0.000521732	0.000135225	0.00185276	0.00168613	0.00397291	0.00371459	0.000289334	0.000475618	0.00174737	0.00232313	0.00116523	0.00165167	0.000142796	0.00170755	0.00198327	0.00169294	0.000830686	0.00168209	0.00154892	0.00499527	0.00149987	0.00211129	0.00158996
ko00310: Lysine degradation	0.0070893	0.00192351	0.000946889	0.000198889	0.00249496	0.00385817	0.0045942	0.00318214	0.000491718	0.00262167	0.00301214	0.00254169	0.00243829	0.00323774	0.000140792	0.00339556	0.00270095	0.00240814	0.00267407	0.0033845	0.0040913	0.004242	0.00222822	0.00361594	0.00317401
ko00311: Penicillin and cephalosporin biosynthesis	4.88761e-08	9.73063e-05	4.12492e-05	1.30086e-05	0.000102182	0.000419437	0.000645759	0.000173542	3.25249e-05	5.73458e-05	0.000269545	0.000299709	0.000144423	0.000120201	1.98524e-05	0.000144299	0.000137144	0.000148117	0.000134927	0.000154141	0.000220536	0.00051703	3.02602e-05	0.000119601	7.96528e-05
ko00312: beta-Lactam resistance	7.11111e-06	0	0	0	0	0.000183982	0	0.00191508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.40673e-06	0
ko00330: Arginine and proline metabolism	0.00471859	0.00254694	0.00112571	0.000208516	0.00239168	0.00434113	0.00687266	0.00462724	0.000595309	0.00228716	0.00301361	0.00306441	0.00252495	0.00297068	0.000220994	0.00300826	0.00362778	0.00309018	0.00219742	0.00326438	0.00369724	0.00676718	0.00210732	0.00317769	0.00353789
ko00331: Clavulanic acid biosynthesis	0	0	0	0	0	0	4.76108e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00340: Histidine metabolism	0.00988012	0.00330925	0.00118696	0.000273523	0.00314527	0.00451347	0.00760523	0.00528688	0.0006106	0.00288029	0.00386601	0.00389445	0.00334331	0.0032408	0.000242221	0.00328082	0.00371506	0.00333266	0.00289167	0.00326275	0.00318504	0.00728539	0.00239014	0.00332224	0.0028937
ko00350: Tyrosine metabolism	0.00465072	0.00276044	0.00122339	0.0001761	0.00267841	0.00462221	0.00612176	0.00420808	0.000594579	0.00244567	0.00362719	0.00338573	0.00270181	0.00253679	0.000175477	0.00388501	0.00352221	0.00316398	0.00314978	0.00344811	0.00378286	0.00648693	0.00161508	0.00368048	0.00427987
ko00360: Phenylalanine metabolism	0.0022669	0.0020377	0.000695052	0.000136177	0.00190436	0.00255979	0.00446872	0.00233163	0.000344402	0.00157851	0.00254048	0.00204985	0.00157144	0.00177119	0.000125808	0.00317614	0.00254053	0.00208734	0.00256381	0.00279644	0.00283311	0.00413783	0.0013553	0.00283962	0.00366971
ko00361: Chlorocyclohexane and chlorobenzene degradation	5.57261e-08	0	0	9.4965e-05	0.00104851	0.00149504	0.00167475	2.17412e-06	0	0.00129419	0.00115854	0.000722541	0.000913486	0	7.0338e-06	0	0.000120537	0	0	0	0.000477322	0.00065432	0.000425846	0	0.00160212
ko00362: Benzoate degradation	0.00609584	0.000440331	0.00010124	2.5459e-05	0.000266295	0.000466168	0.00148929	0.000697214	0.000125636	0.000129681	0.00042076	0.000391783	0.000341393	0.00024923	5.396e-05	0.000419828	0.000450374	0.00033018	0.000296785	0.000533798	0.000296568	0.00138414	0.000216964	0.000704938	0.000385749
ko00363: Bisphenol degradation	0.0132388	0.000169721	0	5.63688e-06	1.42012e-05	0	0	7.09324e-06	0	0.00010349	0.000205072	2.08257e-05	7.31186e-05	0	0	0	0.000116785	0	0	4.90252e-05	6.99781e-05	0	0	0.000268463	0
ko00364: Fluorobenzoate degradation	0	0.000136219	0	0	3.28864e-05	3.82131e-05	0	5.8918e-05	0	1.30404e-05	0	5.35378e-05	0	9.00001e-05	0	0	0	3.509e-05	3.4164e-05	0	0	0.000263481	3.33493e-05	2.51291e-06	0
ko00380: Tryptophan metabolism	0.00443179	0.00251837	0.00117629	0.000226581	0.00297029	0.00476675	0.00541575	0.00364753	0.00058338	0.00312332	0.00362889	0.00310153	0.00290318	0.00253393	0.000157129	0.00295704	0.00311357	0.00262372	0.00263409	0.00258885	0.00317988	0.00429639	0.0017869	0.00332752	0.00289371
ko00400: Phenylalanine, tyrosine and tryptophan biosynthesis	0.00725242	0.00166776	0.000599656	7.9322e-05	0.0012606	0.00125532	0.00372455	0.00314368	0.000262285	0.000522644	0.00157813	0.00172219	0.00114137	0.00106944	0.000140051	0.00124047	0.00138081	0.0014222	0.000745522	0.00143754	0.00100547	0.00342402	0.000862158	0.00127404	0.00147225
ko00402: Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	1.20685e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00410: beta-Alanine metabolism	0.00159986	0.00217545	0.00126511	0.000216572	0.00287909	0.00477904	0.00638494	0.00484274	0.000558686	0.0023427	0.00325727	0.00352505	0.00275713	0.00291125	0.000301202	0.00331164	0.00432763	0.00227954	0.00266553	0.00418423	0.00427268	0.0049755	0.00248463	0.00427737	0.00289102
ko00430: Taurine and hypotaurine metabolism	0.0140271	0.000968282	0.000331935	5.92148e-05	0.00162162	0.00159955	0.00229801	0.00256554	0.000177623	0.000263434	0.000759257	0.000924342	0.00104333	0.000584609	9.96669e-05	0.00100412	0.000957747	0.000796376	0.00044205	0.000741353	0.000889863	0.00202489	0.00181149	0.00142692	0.000935282
ko00440: Phosphonate and phosphinate metabolism	2.4848e-05	0.00079145	3.881e-05	1.83356e-05	0.000165346	0.00065267	0.00167154	0.000908524	8.95806e-05	0.000379423	0.00056241	0.00105099	0.000570453	0.000889359	4.37875e-05	0.000687152	0.00102097	0.000583381	0.000559839	0.000498677	0.00021065	0.00167893	0.000187292	0.000789333	0.000704122
ko00450: Selenocompound metabolism	0.0154839	0.00325044	0.00113645	0.000202675	0.00321579	0.00375263	0.00682284	0.00564773	0.000541478	0.0023454	0.00357296	0.00290165	0.0025813	0.00312251	0.000196249	0.00282145	0.0038432	0.00284277	0.0026073	0.00331149	0.00366323	0.00704195	0.00204475	0.00348704	0.00353956
ko00460: Cyanoamino acid metabolism	0.00446693	0.000946875	0.000352552	4.83885e-05	0.000802808	0.00131539	0.00290206	0.0013884	0.000168984	0.00071494	0.00127952	0.00105305	0.000747063	0.00109327	9.91469e-05	0.000783082	0.00123291	0.00099602	0.00113642	0.00143083	0.00166231	0.00359385	0.00145958	0.00112242	0.0014487
ko00471: D-Glutamine and D-glutamate metabolism	0.0329026	0.00206482	0.000521146	0.000302718	0.00198162	0.00212035	0.00522895	0.00453923	0.000464939	0.00215481	0.00366059	0.00198007	0.0019626	0.00326135	0.000153983	0.00196912	0.0030645	0.00243947	0.00210401	0.00450913	0.0054354	0.00619952	0.00210128	0.00381064	0.00245612
ko00473: D-Alanine metabolism	0.0232955	0.000614588	0.000189753	3.6344e-05	0.000426872	0.000748956	0.000584228	0.00204861	0.000130927	0.00018031	0.000425871	0.000340904	0.000426652	0.000376852	3.29231e-05	0	0	0.000792329	0	0.00125239	0.000405394	0.000811156	0.000407948	0.000251069	0.000284879
ko00480: Glutathione metabolism	0.00768631	0.00672363	0.00221627	0.000381584	0.00601784	0.0089706	0.011636	0.00851486	0.0015862	0.00601976	0.00755258	0.00659796	0.00695354	0.00884568	0.000320603	0.0104071	0.00871063	0.00633441	0.00775904	0.00962037	0.00895417	0.012996	0.00554089	0.00885496	0.0184492
ko00500: Starch and sucrose metabolism	0.00725976	0.00149469	0.000789873	0.000230144	0.00243612	0.0036585	0.00499106	0.00348766	0.000416592	0.00213051	0.0024723	0.00188642	0.00208417	0.00228563	0.000112926	0.002204	0.00201333	0.00205619	0.00187251	0.00232624	0.00284335	0.00379202	0.00174071	0.00254703	0.00242946
ko00510: N-Glycan biosynthesis	0.000314881	0.00512261	0.0018806	0.000396134	0.00407312	0.00651351	0.00824484	0.00520695	0.00110509	0.00547713	0.00566728	0.00509536	0.00508257	0.0103657	0.000158344	0.0106727	0.00609518	0.00644122	0.0062177	0.00813923	0.0108311	0.0086205	0.00458565	0.0080814	0.0102887
ko00511: Other glycan degradation	4.21861e-06	0.0025434	0.0010364	0.000354602	0.00228782	0.00542542	0.00377821	0.00306137	0.000770305	0.0028164	0.0027206	0.0036967	0.00347257	0.00572338	0.000133796	0.0059244	0.00416443	0.0047294	0.00331582	0.0041991	0.00568715	0.00450268	0.00231352	0.00418018	0.0036381
ko00512: Mucin type O-Glycan biosynthesis	0	0.0013904	0.000250464	0.000150445	0.000828458	0.00180666	0.00174952	0.00152217	0.000228604	0.00135195	0.00100301	0.00111311	0.0017377	0.000786962	2.94298e-05	0.00130339	0.00098667	0.000829355	0.00134792	0.0011053	0.00101989	0.000831097	0.000764846	0.000907466	0.000973779
ko00513: Various types of N-glycan biosynthesis	0	2.11745e-05	0	1.80189e-06	9.89926e-06	5.26224e-05	3.26209e-05	3.27527e-05	4.61501e-06	9.08292e-06	4.40983e-05	1.77627e-05	1.11952e-05	1.84277e-05	0	4.09414e-05	2.62692e-05	1.3501e-05	3.13926e-05	0	1.21436e-05	0	1.53383e-05	1.33249e-05	1.71129e-05
ko00514: Other types of O-glycan biosynthesis	1.01046e-06	0.00107221	0.00062443	0.000100326	0.00140569	0.00256011	0.0020481	0.00161219	0.000210676	0.00153078	0.00146314	0.00151164	0.00134232	0.00218126	3.0561e-05	0.00250881	0.00174284	0.00219797	0.00192728	0.00202351	0.00396158	0.00166287	0.000983719	0.00187628	0.00187262
ko00520: Amino sugar and nucleotide sugar metabolism	0.0139653	0.00288179	0.00109535	0.0002695	0.00332669	0.00454599	0.00634875	0.00476784	0.000574514	0.00296823	0.00331031	0.00251946	0.00285787	0.00333318	0.0001624	0.00302544	0.00318469	0.00313861	0.00233769	0.00375448	0.00415545	0.0062958	0.00294102	0.00357135	0.00529877
ko00521: Streptomycin biosynthesis	0.0129914	0.00100728	0.000485705	0.000161382	0.00157036	0.00214728	0.00331198	0.00176299	0.000239206	0.000559355	0.00136304	0.000950528	0.000826268	0.000565611	0.000133788	0.00095749	0.00148797	0.00130782	0.000719995	0.000855112	0.00204199	0.00328724	0.00207872	0.00161635	0.00122882
ko00522: Biosynthesis of 12-, 14- and 16-membered macrolides	1.9831e-06	3.87423e-07	1.04898e-06	1.39356e-08	8.51477e-08	2.11788e-05	1.03266e-05	0	2.55969e-07	2.02048e-07	0	0	6.96719e-08	6.9248e-05	1.74294e-06	9.56072e-08	7.36758e-07	2.06034e-05	3.56261e-06	7.98196e-05	6.13489e-08	2.23724e-05	3.78983e-07	9.233e-07	1.50449e-06
ko00531: Glycosaminoglycan degradation	0	0.00200006	0.00100538	0.000311501	0.00193309	0.00404032	0.0040469	0.00318835	0.000676202	0.00292446	0.00233832	0.00298541	0.00292947	0.00518439	0.000102759	0.00483692	0.00336558	0.00349541	0.00394057	0.00441861	0.00494706	0.0043459	0.00284482	0.00469594	0.00518347
ko00532: Glycosaminoglycan biosynthesis - chondroitin sulfate	0	0.000311832	9.7175e-05	2.06594e-05	9.56997e-05	0.000386855	0.000581541	0.000115389	8.6262e-05	0.000203932	0.000189524	5.68606e-05	0.000220522	0.000175453	4.8785e-06	0.000702268	0.000146499	0.000449872	0.000225446	0.000864975	0.000959947	0.000490524	0.000231989	0.000718205	0.00033122
ko00533: Glycosaminoglycan biosynthesis - keratan sulfate	0	0.000837571	0.000295545	0	0	0.00108366	0.00163542	0.000954962	0	0.00117879	0	0.00103022	0.000909473	0	0	0	0	0.000720206	0.000907453	0.00133427	0.00227682	0.00109894	0.000361779	0.00115403	0.00132679
