class	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
d__Archaea|p__Crenarchaeota|c__Thermoprotei	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Euryarchaeota|c__Halobacteria	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
d__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0	27	3	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	17	0	0
d__Archaea|p__Euryarchaeota|c__Methanococci	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
d__Archaea|p__Euryarchaeota|c__Methanomicrobia	0	0	0	0	2	1	0	0	0	0	0	0	3	1	0	0	0	1	3	0	0	2	1	0	1
d__Archaea|p__Euryarchaeota|c__Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia	0	2	0	4	3	2	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1
d__Bacteria|p__Actinobacteria|c__Actinobacteria	221	1101	365	489	1460	1546	425	3253	380	266	508	839	591	784	1821	332	1026	924	328	1018	846	1241	1727	476	320
d__Bacteria|p__Aquificae|c__Aquificae	0	0	0	1	46	1	1	4	0	0	0	2	21	0	1	1	1	1	0	0	0	1	4	2	0
d__Bacteria|p__Bacteroidetes|c__Bacteroidia	2	8875	785	10307	74753	19586	522	5244	428	256	167	321	9483	1809	3607	264	433	161	1896	418	171	26531	71313	504	595
d__Bacteria|p__Bacteroidetes|c__Cytophagia	0	3	6	118	13	11	0	0	0	1	3	1	3	0	228	0	1	0	0	1	3	2	137	1	0
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia	9	1	5	81	176	120	7	20	1	2	10	10	17	1	81	1	4	2	2	3	8	61	876	7	2
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	0	4	0	6	2	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	4	0	1
d__Bacteria|p__Caldiserica|c__Caldisericia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
d__Bacteria|p__Chlamydiae|c__Chlamydiia	0	0	0	2	0	0	0	1	0	0	1	0	0	0	29	1	0	0	3	9	0	0	3	0	0
d__Bacteria|p__Chlorobi|c__Chlorobia	0	0	0	1	3	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Chloroflexi|c__Anaerolineae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Chloroflexi|c__Caldilineae	0	0	0	2	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Chloroflexi|c__Chloroflexia	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
d__Bacteria|p__Chloroflexi|c__Dehalococcoidia	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
d__Bacteria|p__Chloroflexi|c__Thermomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Gloeobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Deinococcus-Thermus|c__Deinococci	0	0	0	5	5	6	0	5	1	0	0	4	1	3	4	0	11	0	3	1	8	10	48	3	0
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia	0	0	0	3	81	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	1	7	0	0
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria	0	0	0	3	24	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
