order	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	27	3	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	17	0	0
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	2	0	0	1
d__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0	2	0	4	3	2	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Acidimicrobiales	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	221	450	349	168	416	645	402	895	379	262	506	811	322	656	1683	329	899	917	324	738	843	1210	943	451	308
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0	632	2	205	198	277	5	2269	1	3	0	3	1	123	3	0	103	1	0	253	0	1	321	2	2
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0	1	14	107	807	605	18	10	0	1	1	22	257	0	124	3	18	4	4	16	3	23	438	22	9
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Rubrobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Solirubrobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales	0	0	0	1	0	1	0	4	0	0	0	2	0	0	1	1	0	1	0	0	0	1	1	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales	0	0	0	0	46	0	1	0	0	0	0	0	21	0	0	0	1	0	0	0	0	0	3	2	0
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2	8875	785	10307	74753	19586	522	5244	428	256	167	321	9483	1809	3607	264	433	161	1896	418	171	26531	71313	504	595
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	0	3	6	118	13	11	0	0	0	1	3	1	3	0	228	0	1	0	0	1	3	2	137	1	0
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	9	1	5	81	176	120	7	20	1	2	10	10	17	1	81	1	4	2	2	3	8	61	876	7	2
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	0	4	0	6	2	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	4	0	1
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
d__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales	0	0	0	2	0	0	0	1	0	0	1	0	0	0	29	1	0	0	3	9	0	0	3	0	0
d__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	0	0	0	1	3	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales	0	0	0	2	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
d__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Herpetosiphonales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
d__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
