phylum	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
d__Archaea|p__Crenarchaeota	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Euryarchaeota	0	0	0	29	6	2	0	0	0	0	0	3	3	1	0	0	0	1	8	0	0	3	26	0	1
d__Archaea|p__Thaumarchaeota	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Acidobacteria	0	2	0	5	4	3	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	1
d__Bacteria|p__Actinobacteria	221	1101	365	489	1460	1546	425	3253	380	266	508	839	591	784	1821	332	1026	924	328	1018	846	1241	1727	476	320
d__Bacteria|p__Aquificae	0	0	0	1	46	1	1	4	0	0	0	2	21	0	1	1	1	1	0	0	0	1	4	2	0
d__Bacteria|p__Bacteroidetes	11	9183	835	11096	76883	20389	551	5379	442	263	185	347	9923	1869	4234	270	450	171	1938	447	188	27163	74173	532	616
d__Bacteria|p__Caldiserica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
d__Bacteria|p__Candidatus_Saccharibacteria	0	0	1	13	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	13	0	0
d__Bacteria|p__Chlamydiae	0	0	0	2	0	0	0	1	0	0	1	0	0	0	29	1	0	0	3	9	0	0	3	0	0
d__Bacteria|p__Chlorobi	0	0	0	1	3	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Chloroflexi	0	0	0	2	5	2	2	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	1	3	0
d__Bacteria|p__Chrysiogenetes	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria	1	3	4	18	18	158	9	5	0	1	1	9	3	0	23	1	5	0	1	0	6	3	82	1	0
d__Bacteria|p__Deferribacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Deinococcus-Thermus	0	0	0	5	5	6	0	5	1	0	0	4	1	3	4	0	11	0	3	1	8	10	48	3	0
d__Bacteria|p__Dictyoglomi	0	0	0	3	81	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	1	7	0	0
d__Bacteria|p__Elusimicrobia	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Fibrobacteres	0	0	0	3	24	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Firmicutes	136	3119	938	26244	240485	54344	1030	19071	379	242	448	1020	13422	580	7329	271	868	444	1538	680	424	15109	58490	869	400
d__Bacteria|p__Fusobacteria	841279	1263	54	579	1429	50	7	211	82	7	10	11	1	327	4071	77	105	94	1563	1141	98	10368	66299	61	44
d__Bacteria|p__Gemmatimonadetes	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
d__Bacteria|p__Ignavibacteriae	1	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0
d__Bacteria|p__Nitrospirae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0
d__Bacteria|p__Planctomycetes	0	1	0	2	24	0	1	2	0	0	0	0	2	0	0	0	0	1	0	0	1	1	5	0	0
d__Bacteria|p__Proteobacteria	307	136511	117251	6013	62729	113845	29232	203563	244598	11122	36630	60096	19810	117531	15793	262131	290888	207595	52687	211052	308811	27139	227703	288770	49857
d__Bacteria|p__Spirochaetes	0	2	8	32	510	34	2	36	1	0	0	5	15	0	1166	14	6	2	3	1	2	8	128	5	1
d__Bacteria|p__Synergistetes	0	0	0	6	4	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	2	786	4	1
d__Bacteria|p__Tenericutes	0	1	2	28	197	48	2	3	0	2	2	2	13	0	5	2	2	0	2	1	1	3	34	0	0
d__Bacteria|p__Thermodesulfobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
d__Bacteria|p__Thermotogae	0	0	0	6	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	28	1	0
d__Bacteria|p__Verrucomicrobia	0	0	0	1468	1	1	113	96	1	26	1	300	4	2	1	0	0	11	22	3	24	0	1065	1	1
