NormalizedPercentage	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
taxid:1001542|Francisella_tularensis_subsp._tularensis_TIGB03	0	0	0	0	0	0	0	0.000767628631682	0	0	0	0	0.00127394451501	0	0	0	0	0.00364363833507	0	0	0	0	0	0	0
taxid:1001585|Pseudomonas_mendocina_NK-01	4.85505278314e-05	0.00831986775658	0.00416313426591	0.000587165972979	0.000225908305035	0.00403150868037	0.000612255646784	0.000278081470488	0.00982771095913	0.0158231965166	0.00325790759142	0.0102539162836	0.00138449902505	0.00192112863116	0.000403393035588	0.0166148314842	0.00520856347828	0.00263989190691	0	0	0.000609743443413	0.000708140652714	0.000729133713325	0.000502596726333	0.00129073860718
taxid:100226|Streptomyces_coelicolor_A3(2)	0	0	0	0	0	0.00188187103968	0	0.00116825277266	0	0	0.00130350959312	0	0	0	0	0	0	0.000396089091952	0	0	0	0	0	0.000301638230612	0
taxid:1002672|Candidatus_Pelagibacter_sp._IMCC9063	0	0.0287940823029	0	0.00993477109691	0	0	0.00485591488143	0	0	0.0148736891978	0	0.0205454505717	0.0165930919325	0.024378932972	0.00682535714786	0	0.0101686395621	0	0	0	0.020633557859	0.0169739996042	0.00539737039015	0	0.00136494547522
taxid:1002809|Solibacillus_silvestris_StLB046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000550214396091	0	0	0	0	0	0	0	0	0	0
taxid:1003195|Streptomyces_cattleya_DSM_46488_=_NRRL_8057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000611927560227	0	0
taxid:1004786|Alteromonas_macleodii_AltDE1	0	0	0	0.00161248529285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1005042|Streptococcus_suis_D9	0	0	0	0	0	0	0	0	0	0.0263245849235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1005048|Collimonas_fungivorans_Ter331	0	0	0.0218087392381	0	0.0102248296628	0.0215885293938	0.00336769103268	0.0160241454597	0.023535013703	0.0847324339804	0.0204800093156	0	0.00459340927131	0.00201278126929	0.00549429389023	0.0156667382679	0	0.0124462579113	0.00685345410117	0.0178810069345	0	0	0.000477449380922	0.0179035317325	0.00642350472387
taxid:1005058|Gallibacterium_anatis_UMN179	0	0	0.0027991553996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1006007|Bacillus_megaterium_WSH-002	0	0	0	0	0	0	0	0	0	0.00188251497028	0	0	0.000988298466089	0	0	0	0	0	0	0	0	0	0.00195179371044	0	0
taxid:1006543|Staphylococcus_aureus_subsp._aureus_T0131	0	0	0	0	0	0	0	0.000518615214451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1006551|Klebsiella_oxytoca_KCTC_1686	0	0.434826015321	0	0	0	0	0	0	0.00127711215499	0	0	0.00540012179301	0	0	0	0	0.0098404073468	0.00120068988564	0	0.0269641587912	0	0	0.00679838488379	0	0
taxid:1007064|Streptococcus_suis_ST3	0	0	0	0	0.0117392222646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1007105|Pusillimonas_sp._T7-7	0	0	0	0.0101624892885	0.00475450154859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00429067201349	0	0
taxid:1009464|Gardnerella_vaginalis_HMP9231	0	0	0	0	0.000568851185625	0	0	0	0.00441906936392	0	0.0068363452292	0	0	0	0.000634855496269	0	0.00252220909987	0	0	0	0	0	0	0	0
taxid:1009846|Burkholderia_cepacia_GG4	0.000122387943898	0.00254218503388	0.0384801300355	0.000246691571885	0.000759303875711	0.000564598574168	0.00186493731359	0.0453311993386	0.0117971679759	0.00147732191599	0.0036500677572	0.0226740760515	0.00542903777437	0.0290571073436	0.0213546458645	0.0502599288877	0.016833252644	0.0210733304853	0.0247346239915	0.0294365065711	0.0348401069846	0.00595035607557	0.000689260086242	0.0147812488299	0.00108458034202
taxid:101510|Rhodococcus_jostii_RHA1	0	0	0	0	0	0	0	0.00451672485076	0	0	0.0109482220696	0	0.00168011241903	0	0.000112967101609	0	0.00157081932296	0.00517496926526	0	0	0	0	0	0	0.000180730685119
