PercentCoverage	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
taxid:1001542|Francisella_tularensis_subsp._tularensis_TIGB03	0	0	0	0	0	0	0	0.0039	0	0	0	0	0.0077	0	0	0	0	0.0077	0	0	0	0	0	0	0
taxid:1001585|Pseudomonas_mendocina_NK-01	0.0028	0.0153	0.0042	0.0028	0.007	0.0237	0.0111	0.0014	0.0088	0.0126	0.0042	0.0231	0.0084	0.0014	0.0028	0.014	0.0182	0.00559999999999	0	0	0.0014	0.0042	0.0112	0.0014	0.00559999999999
taxid:100226|Streptomyces_coelicolor_A3(2)	0	0	0	0	0	0.0098	0	0.0059	0	0	0.0017	0	0	0	0	0	0	0.000800000000001	0	0	0	0	0	0.000800000000001	0
taxid:1002672|Candidatus_Pelagibacter_sp._IMCC9063	0	0.0067	0	0.0199	0	0	0.0192	0	0	0.00599999999999	0	0.007	0.0246	0.0069	0.0068	0	0.0069	0	0	0	0.0068	0.0136	0.0314	0	0.0059
taxid:1002809|Solibacillus_silvestris_StLB046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038	0	0	0	0	0	0	0	0	0	0
taxid:1003195|Streptomyces_cattleya_DSM_46488_=_NRRL_8057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0067	0	0
taxid:1004786|Alteromonas_macleodii_AltDE1	0	0	0	0.0077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1005042|Streptococcus_suis_D9	0	0	0	0	0	0	0	0	0	0.0209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1005048|Collimonas_fungivorans_Ter331	0	0	0.0169	0	0.0591	0.0431	0.0243	0.0463	0.0076	0.0359	0.0151	0	0.0159	0.0015	0.0166	0.0131	0	0.0137	0.0058	0.0189	0	0	0.0073	0.0344	0.0128
taxid:1005058|Gallibacterium_anatis_UMN179	0	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1006007|Bacillus_megaterium_WSH-002	0	0	0	0	0	0	0	0	0	0.0015	0	0	0.00599999999999	0	0	0	0	0	0	0	0	0	0.0298	0	0
taxid:1006543|Staphylococcus_aureus_subsp._aureus_T0131	0	0	0	0	0	0	0	0.0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1006551|Klebsiella_oxytoca_KCTC_1686	0	0.2918	0	0	0	0	0	0	0.0011	0	0	0.0127	0	0	0	0	0.0257	0.0024	0	0.0369	0	0	0.0757	0	0
taxid:1007064|Streptococcus_suis_ST3	0	0	0	0	0.1251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1007105|Pusillimonas_sp._T7-7	0	0	0	0.0279	0.0354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0286	0	0
taxid:1009464|Gardnerella_vaginalis_HMP9231	0	0	0	0	0.0176	0	0	0	0.0044	0	0.00869999999999	0	0	0	0.0044	0	0.0088	0	0	0	0	0	0	0	0
taxid:1009846|Burkholderia_cepacia_GG4	0.0066	0.0047	0.0333	0.0012	0.0234	0.0035	0.0323	0.1921	0.0115	0.0012	0.0045	0.0562	0.0266	0.0189	0.1469	0.0371	0.0516	0.0425	0.0199	0.0385	0.069	0.032	0.0095	0.0388	0.0046
taxid:101510|Rhodococcus_jostii_RHA1	0	0	0	0	0	0	0	0.0218	0	0	0.014	0	0.0102	0	0.000800000000001	0	0.0055	0.0103	0	0	0	0	0	0	0.000800000000001
taxid:1016998|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0	0	0	0	0	0.0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1017264|Bordetella_pertussis_CS	0	0	0	0	0	0	0	0	0	0	0	0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1028307|Enterobacter_aerogenes_KCTC_2190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0135	0	0	0	0	0	0	0
taxid:1029718|Candidatus_Arthromitus_sp._SFB-mouse-Japan	0	0	0	0.0436	0	0	0.0046	0	0	0	0	0	0	0	0.0328	0	0	0	0	0	0	0.1157	0.08	0	0
taxid:10298|Herpes_simplex_virus_type_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2489	0	0.0493	0	0	0.0499	0	0.0499	0	0	0.1589
taxid:1030843|Porphyromonas_gingivalis_TDC60	0	0	0	0	0.0292	0.1112	0	0.023	0	0	0	0	0.033	0	0	0	0	0	0	0.0134	0.0321	0	0	0.0032	0.0032
taxid:1031710|Oligotropha_carboxidovorans_OM4	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1031711|Ralstonia_solanacearum_Po82	0	0	0	0	0	0	0.0014	0.0014	0	0	0.0182	0	0.0237	0	0	0	0	0	0	0	0	0	0.0014	0	0
taxid:1032480|Microlunatus_phosphovorus_NM-1	0	0	0.0013	0	0	0	0	0.0027	0	0.0013	0	0	0	0	0	0	0.0027	0	0	0	0	0.0013	0.0013	0.004	0
taxid:1033813|Escherichia_coli_NA114	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2089	0	0
taxid:1034807|Flavobacterium_branchiophilum_FL-15	0	0	0	0	0.0021	0	0	0	0	0	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1034809|Staphylococcus_lugdunensis_N920143	0	0	0	0	0	0	0	0.1406	0	0	0	0.0126	0	0	0.0319	0	0	0	0	0	0	0.0204	0	0	0
taxid:1034836|Bacillus_amyloliquefaciens_XH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026	0	0	0
taxid:1035377|Yersinia_pestis_A1122	0	0	0	0.0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1035817|Bifidobacterium_longum_subsp._longum_KACC_91563	0	0	0	0.022	0.019	0	0	0	0	0	0	0	0	0	0	0	0.0095	0	0	0	0	0	0	0	0
taxid:10359|Human_cytomegalovirus	0	0	0	0	0	0	0	0.0301	0	0.0356	0	0	0	0	0.2521	0	0	0.0323	0	0	0	0	0.0323	0	0.2576
taxid:1036672|Advenella_kashmirensis_WT001	0	0	0	0	0.0017	0	0	0	0	0	0	0	0	0	0	0.0017	0	0.0017	0	0	0	0	0	0	0
taxid:1036673|Paenibacillus_mucilaginosus_KNP414	0	0	0	0	0.0572	0	0	0	0	0	0	0.0214	0	0	0	0	0	0	0	0	0	0	0.0703	0	0
taxid:1036743|Rhodospirillum_rubrum_F11	0	0	0	0.00869999999999	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	0	0	0	0	0	0	0	0
taxid:1037409|Bradyrhizobium_japonicum_USDA_6	0	0.00329999999999	0	0	0	0.000800000000001	0	0.0107	0.000800000000001	0	0	0	0.0016	0	0.00250000000001	0	0.000800000000001	0.000800000000001	0.000800000000001	0	0	0	0.000800000000001	0	0
taxid:10376|Epstein_Barr_virus	0	0	0	0	0	0	0	0.0518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1037911|Pseudomonas_fluorescens_A506	0.0462	3.8751	3.243	1.43	3.7844	4.2763	7.5611	4.0432	3.315	4.2363	3.9325	4.4627	4.6872	1.7625	4.3614	2.3227	2.8902	2.1761	2.2438	1.8269	2.8455	4.3949	2.2339	2.4198	2.1758
taxid:1041826|Flavobacterium_columnare_ATCC_49512	0	0	0	0.0072	0	0	0.0287	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0.0024
taxid:1042156|Clostridium_sp._SY8519	0	0.023	0	0.2278	0.4075	0.1486	0.0027	0.0027	0	0	0.0027	0	0.1683	0	0.0588	0	0	0	0	0	0	0	0.2987	0.0027	0.0467
taxid:1042876|Pseudomonas_putida_S16	0.0059	0.0354	0.0306	0.0051	0.0352	0.0892	0.1301	0.0583	0.037	0.0417	0.0696	0.0457	0.0597	0.0127	0.0792	0.0215	0.0911	0.0266	0.019	0.0653	0.06	0.0646	0.0268	0.0291	0.0102
taxid:1042878|Cupriavidus_necator_N-1	0	0	0.000900000000004	0.0053	0.036	0	0.0339	0.008	0	0	0.0036	0	0.0256	0	0	0	0.0018	0.0098	0	0	0	0	0	0.000900000000004	0
taxid:1045854|Weissella_koreensis_KACC_15510	0	0	0	0.0393	0.0714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0971	0	0
taxid:1045855|Pseudoxanthomonas_spadix_BD-a59	0	0	0	0	0.0023	0.0044	0	0.0022	0	0.0066	0.0022	0	0.0022	0.0022	0.0022	0.0022	0	0	0.0022	0.0022	0	0.0022	0	0.0066	0
taxid:1045856|Enterobacter_cloacae_EcWSU1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016	0	0.008	0.0032	0	0	0	0	0	0	0
taxid:1046629|Streptococcus_salivarius_57.I	0	0	0	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0097	0	0
taxid:1048245|Mycobacterium_canettii_CIPT_140010059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0051	0	0	0	0	0	0	0	0
taxid:1048332|Streptococcus_salivarius_CCHSS3	0	0	0	0	0	0	0	0	0	0	0	0	0.00329999999999	0	0.0034	0	0	0	0	0	0	0	0	0	0
taxid:1048689|Escherichia_coli_O55:H7_str._RM12579	0	0	0	0	0	0.0119	0	0	0	0	0	0	0	0	0.0469	0	0	0.0018	0	0	0.0072	0.0014	0	0	0
taxid:1048834|Alicyclobacillus_acidocaldarius_subsp._acidocaldarius_Tc-4-1	0	0	0	0.0049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024	0	0
taxid:1049565|Klebsiella_pneumoniae_KCTC_2242	0	0.0999	0	0	0	0.3593	0.0329	0.0013	0.0125	0	0.007	0.0014	0.0013	0.0014	0.0123	0.0234	0	0.052	0	0.003	0.0189	0.0273	0	0	0
taxid:1051006|Propionibacterium_humerusii_incertae_sedis_SK182B-JCVI	0.2705	0.0305	0.0218	0.0093	0.0218	0.0322	0.0311	0.0505	0.0393	0.0092	0.0223	0.0341	0.015	0.0031	0.1446	0.0219	0.0217	0.0385	0.003	0.003	0.0454	0.0499	0.0031	0.0031	0.2948
taxid:1052585|Bacillus_subtilis_subsp._spizizenii_TU-B-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018	0	0	0	0	0	0	0	0	0	0
taxid:1052684|Paenibacillus_polymyxa_M1	0	0	0	0.0233	0.0023	0.0241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0085	0	0	0
taxid:1054460|Streptococcus_pseudopneumoniae_IS7493	0	0	0	0	0	0	0	0	0	0	0.1725	0	0.084	0	0.0069	0	0	0	0	0.0035	0	0	0	0	0
taxid:10633|Simian_virus_40	0	0	0	0	0	0	0	0	0	1.4495	0	0	0	0	9.2886	0	0	0	0	0	0	2.7274	0	0	6.1606
taxid:10634|Murine_polyomavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3593
taxid:1064535|Megasphaera_elsdenii_DSM_20460	0	0	0	0	0.0031	0.0879	0	0.0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1925	0	0
taxid:1064539|Azospirillum_brasilense_Sp245	0	0	0	0	0	0	0	0.002	0	0.000999999999995	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0
taxid:10678|Enterobacteria_phage_P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0759	0.0749
taxid:1069443|Mortierella_verticillata	0	0.000199999999995	0.000299999999998	0	0.000500000000003	0	0.0004	0	0.000500000000003	0.000599999999995	0	0	0.000299999999998	0.000199999999995	0.000199999999995	0.000199999999995	0.000199999999995	0	0	0.000199999999995	0	0.000299999999998	0.000199999999995	0.000199999999995	0.000500000000003
taxid:1069533|Streptococcus_infantarius_subsp._infantarius_CJ18	0	0	0	0	0	0.0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0.0037	0	0	0	0
taxid:1069534|Lactobacillus_ruminis_ATCC_27782	0	0	0	0.0037	0.0909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1421	0	0
taxid:10710|Enterobacteria_phage_lambda	3.1566	3.3916	2.1071	2.2164	3.9153	2.6473	5.9771	3.2823	2.6267	1.8102	5.5915	7.0801	5.4967	2.1669	5.8163	1.1938	3.6473	2.8329	0.7979	1.8473	2.4432	1.5278	0.9567	3.5834	2.8803
taxid:1071378|Naumovozyma_dairenensis_CBS_421	0	0	0	0.000599999999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1072459|Escherichia_coli_O7:K1_str._CE10	0	0	0	0	0	0.0085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1074252|Staphylococcus_aureus_subsp._aureus_HO_5096_0412	0	0	0	0	0	0.0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1074889|Blattabacterium_sp._(Mastotermes_darwiniensis)_str._MADAR	0	0	0	0.0134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129	0	0
taxid:10870|Enterobacteria_phage_M13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1082	0	0	0	0	0	0	0	0	0	0
