PercentCoverageGT5x	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
taxid:1001542|Francisella_tularensis_subsp._tularensis_TIGB03	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0
taxid:1001585|Pseudomonas_mendocina_NK-01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0
taxid:100226|Streptomyces_coelicolor_A3(2)	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0
taxid:1002672|Candidatus_Pelagibacter_sp._IMCC9063	0	0.0059156555	0	0.00381404	0	0	0.0063826815	0	0	0.0	0	0.0059156555	0.009106996	0.0	0.005448628	0	0.0049816075	0	0	0	0.0059156505	0.0066161905	0.005759973	0	0.0
taxid:1002809|Solibacillus_silvestris_StLB046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
taxid:1003195|Streptomyces_cattleya_DSM_46488_=_NRRL_8057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:1004786|Alteromonas_macleodii_AltDE1	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1005042|Streptococcus_suis_D9	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1005048|Collimonas_fungivorans_Ter331	0	0	0.0	0	0.014093198	0.0108542743	0.004299302	0.002178562	0.00262199	0.004260743	0.0	0	0.0	0.0	0.00387516	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0
taxid:1005058|Gallibacterium_anatis_UMN179	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1006007|Bacillus_megaterium_WSH-002	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0
taxid:1006543|Staphylococcus_aureus_subsp._aureus_T0131	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1006551|Klebsiella_oxytoca_KCTC_1686	0	0.0507690717	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0.00122194	0	0
taxid:1007064|Streptococcus_suis_ST3	0	0	0	0	0.022476117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1007105|Pusillimonas_sp._T7-7	0	0	0	0.0	0.011159492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002879048	0	0
taxid:1009464|Gardnerella_vaginalis_HMP9231	0	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0
taxid:1009846|Burkholderia_cepacia_GG4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001128735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
taxid:101510|Rhodococcus_jostii_RHA1	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0.0
taxid:1016998|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
