class	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Acidobacteriia	0	0	0.00137015545996	0.0003865509986	0	0	0	0	0	0	0	0.000575599701381	0.000201035766246	0	0	0	0	0	0	0	0.000602029568208	0	0.000120003277595	0	0.001350452918579
Aconoidasida	0	0	0	0	0	5.18637834517e-05	0	0	0	0	0	0.00067206936352	5.54193083986e-05	0	4.67054436245e-05	0	0	0	0.00203651358459	0	0.001520502490083	0	0.000108679850783	0	7.74993405259e-05
Actinobacteria	0.0144754540055789	4.0830293452949	1.26223619927328	0.75312714779052	0.0788767916144681	0.594477573329911	0.0796819264303576	5.53849153222872	1.50164798831989	1.13049932844456	1.34099258645856	1.03264201956946	0.184406495478084	4.21238365981994	0.921408373147324	1.2812397958468	0.961404349218018	1.31677363106298	1.36001459115596	4.1161575376177	1.19546719974785	0.80620496313736	0.589867385639132	0.605103058937442	0.351491026961407
Agaricomycetes	0	0.000760254672894	0.000116239377882	9.83659950215e-05	2.64919756282e-05	0.0001461939658602	1.92317223776e-05	0	0.00104026363402	0.000883602786605	0.00018192886774	0.0003974712274343	5.39756979314e-05	0.000321840396182	3.37895579414e-05	0.000835028513027	0.0002950829650091	0.000552815571155	0.00095887397935	0.000225721850279	0.000510741623998	0.0001145309968909	1.52686732788e-05	0.000420991928649	2.70291521586e-05
Alphaproteobacteria	4.65956854199e-05	0.904927946157276	0.59776210108189	0.209263818975913	0.026210028418456	0.093082860685665	0.0465271106415337	0.070015715551703	0.425412602362117	0.49997128012737	0.427822150438588	0.465105409898892	0.256645327041027	0.23454409255404	0.239279926656018	0.21973261954933	0.268057242397466	0.149724735618297	0.359145488321926	0.216151442106791	0.229349852417894	0.22357266637536	0.0394076488220933	0.243251014318143	0.068800008477774
Aquificae	0	0	0	0	0.000484885516033	0.001142375129703	0	0.0018419331533	0	0	0	0	0	0	0.000667990395723	0	0	0	0	0	0	0	0	0	0
Archaeoglobi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000805023323481
Bacillariophyceae	0	0.00391364078274	0.00430831685699	0.00328126917062	0.000467572985424	0.0076024952312	0.00232850599954	0.0010360048073	0.0127856916297	0.00582222398837	0.00651827560111	0.000558500266903	0.000191037492656	0	0	0	0.000829262111775	0	0	0.000371830869967	0.00719348279015	4.88557277016e-05	0	0.000312074385791	6.67875516871e-05
Bacilli	0.0078650040406962	3.43382565190038	1.73267833868248	2.47076696577711	0.692069075521208	4.06375164406947	0.0438283496838769	6.03390952073596	1.31621476519763	0.43581225887255	1.66985975463406	0.392943638922758	1.99315690595232	1.78474872127713	2.28485984333292	0.35906365693859	0.224753031381268	0.429738202927623	4.87455313199328	1.12325106128887	0.304460433686282	2.68315399381321	5.32601981224904	0.331715219781034	0.194771765688597
Bacteroidia	4.16378192617e-05	26.4469488955741	4.15247528629197	22.0836334898617	14.254348605173	11.6631040061403	0.129023396444948	2.14553543694418	3.25019890996829	1.35753325861369	0.65604998434549	0.896394258821922	7.89903584321876	14.3102452946442	6.00790984641871	2.10031848736535	0.743541949625458	0.437385141188883	17.6571440876467	2.12377369887294	0.448625722749299	38.177839444401	36.5125515159893	0.997587982373123	0.86848536241264
Bangiophyceae	0	0	0.198646429574	0.19356236214032	0.3581964004685	0.227131961419	0	0.132707746376	0	0	0	0.0643778577684	0.013764981742	0	0	0	0	0	0	0.107167343228	0	0.00704048394329	0.03779908016168	0	0.01732314201562
Betaproteobacteria	0.0008807444187052	0.200676896303384	0.510605175535531	0.483387175083531	2.28350816152435	0.768474126428035	0.086740374729544	1.58476038929567	0.455014015735086	0.594919150367666	0.672275290415958	0.204224602196614	0.135432769546719	0.36449971136157	0.182795071178067	0.33039789676023	0.312769382457907	0.192342056513471	0.310839511110206	0.408013279828077	0.273760682844932	0.119445323742516	0.149580911749427	0.184505485254277	0.086468937873242
Blastocatellia	0	0	0	0.00259042973218	0.00186041531437	0.00164685279104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000134031498805	0	0
