family	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Acetobacteraceae	0	0.000975215022281	0.00357853939842	0	0.00257356570605	0.00797348496127	0	0	0	0	0	0.00208753644164	0	0	0	0	0.002169544698315	0.000850947560751	0	0	0	0.000323678071979	0	0.00567258329177	0
Acholeplasmataceae	0	0	0	0	0.000984105840399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcaceae	0	0.00183578884777	0.0505230326301	0.0856287946296	0.000425831645193	0.2470280827042	0	0.000674949127743	0	0	0.00263582453401	0	0.0140016881815	0	0.0427305160022	0.0581329260458	0	0	0	0	0	0.00275298129021	0.02639933719982	0	0
Acidithiobacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.000390944892464	0	0	0	0	0	0	0	0	0.000399919344566	0	0	0
Acidobacteriaceae	0	0	0.00137015545996	0.0003865509986	0	0	0	0	0	0	0	0.000575599701381	0.000201035766246	0	0	0	0	0	0	0	0.000602029568208	0	0.000120003277595	0	0.001350452918579
Acidothermaceae	0	0	0	0	0	0.000498107965668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetaceae	0	0	0	0.00668951131639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15275526259	0	0
Adenoviridae	0.0257678509083	0	0	0	0	0.0339634103979	0	0	0	0	0	0	0	0	0.305854306042	0	0	0	0	0	0	0.035794349234	0	0.2308685931776	0.440389562459
Aerococcaceae	0	0	0	0.00766676365672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000238011742483	0	0
Aeromonadaceae	0	0	0	0	0	0.00315568976792	0.0008013820598519	0.003733227863321	0	0	0	0.000844875788054	0.001161002566409	0.01109388233219	0.000872321624344	0.00260107358645	0.001254472955	0.00103319632171	0.00256015392615	0.00243509509988	0.01232729296531	0.000369534482694	0	0.00136250263048	0.002517821832748
Ajellomycetaceae	0	0	0	0	0	0	6.24395566954e-06	0	0	0	0	0	0	0	0	0	0	5.01504555281e-05	0	0	0.000108700780497	0	0	0	0
Akkermansiaceae	0	0	0	1.73370997953	0	0	0.0320032195055	0.0952968027236	0	0.218765354372	0	0.637399512704	0	0	0	0	0	0.0282710829562	0.143441504579	0.00549688289002	0.062189081179	0	0.382241027363	0	0
Alcaligenaceae	0	0.00698270281536	0.0025639313548	0.030774986046262	0.0395371071275966	0.00890440538334	0.000339315348261	0.021704281594648	0.01309982948647	0.022070951693	0.01154116086047	0.002505278709523	0.001531371583064	0.00283731050862	0.00252582923697	0.0049753920175	0	0.000810719761095	0.00168814500059	0.01055783874441	0.00585343658656	0.000818319334021	0.00684820483271	0.001404165375127	0
Alcanivoracaceae	0	0.000834029154904	0.00198987969635	0	8.60893445008e-05	0	0	0.000836498233731	0	0	0	0	0	0	0.000222410811476	0	0	0	0.00180329539524	0	0	0.000260288970994	0	0	0
Alicyclobacillaceae	0	0	0	0.00251445464198	0.00275734785671	0.0144279808005	0	0	0	0	0	0	0	0	0.00102576179629	0	0	0	0	0	0	0	0.000772428292573	0	0
Alteromonadaceae	0	0	0	0.00161248529285	0	0.00278355303971	0.0002658291498002	0	0	0.0021650370623	0	0	0.00026957227087	0	0	0.00194101885474	0	0	0	0	0	0.000315650842031	0	0.00285713810388	0
Amoebophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000262845314282	0	0
Anaeromyxobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.78530734359e-05	0.000517486396817	0
Anaplasmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00294860662439	0	0	0	0	0	0	0	0
Apusomonadidae	0	0.000859872763005	0.000788823103043	0.000111255139811	1.71218777775e-05	0.000169751761484	0	0.000158071112607	0.00106407816246	0.00133251132216	0	0.000102257547022	0.000174888236818	0.000364011956228	3.82170890672e-05	0.0015740740138	0.000607328693742	0.000750302870155	0.00216903531775	0.000340398339294	0.00138639693377	4.47257339772e-05	1.72693661056e-05	0.000952311128881	0.000427991903342
Aquificaceae	0	0	0	0	0.000484885516033	0.000400609148201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaeoglobaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000805023323481
Arthrodermataceae	0	0.000739786190141	0.000678659056551	0	5.459444689e-05	0.000597816708326	3.74278860356e-05	0.000473117181101	0.00240311672225	0.000840524371509	0	0.000652076546229	0.000225696012216	0.00187905255184	4.93197527629e-05	0.00243764063939	0.0003874878538306	0.000645518413473	0.00199941006603	0.000658934092495	0.00044519622592	0.000113816065966	2.22863877781e-05	0.000860280712196	7.77953450506e-05
Aspergillaceae	3.87924925924e-06	0.045206792540961	0.063256672168083	0.024108555961775	0.0720396389790123	0.0569925596973263	0.00154185324184374	0.0828184306857213	0.031540863181936	0.013005559566704	0.006154547973004	0.0080100195463089	0.009058608742798	0.01736986604476	0.0080878082029568	0.093883692567665	0.0065809888784421	0.004542007619711	0.014544349827526	0.007799517955426	0.105315701914422	0.0044130142685492	0.040649548949133	0.005491304039857	0.002452235625206
Atopobiaceae	0	0	0	0.06925047983402	0.00306576249031	0.118754012206653	0.001269193290767	0.00978875488413	0	0	0.00382272370175	0	0.008203044109369	0.00508802158595	0.042793418930999	0	0.0126932408549	0.00349581667491	0	0.05043066661711	0.00429271975533	0	0.137697404211677	0.00665552256922	0
Babesiidae	0	0	0	0	0	0	0	0	0	0	0	0.00067206936352	0	0	0	0	0	0	0.00203651358459	0	0	0	0	0	0
Bacillaceae	3.22260077956e-05	0.04336394644948	0.0340140876337	0.061519108079229	0.0404562349337923	0.027978746670358	0.0012796847325174	0.011357857942252	0.03654896676883	0.08126126298998	0.01488809789754	0.050683315910418	0.051424311110909	0.03900573689424	0.006825364841462	0.04636732410497	0.0055193461554	0.016847224885733	0.05812782816087	0.0213293594596	0.019755100970272	0.014490656132176	0.0247372331057958	0.02305736859743	0.00711901125912
Bacteroidaceae	0	24.9104739445274	2.2540685325822	12.5466872419307	14.1838548833902	11.4779143500852	0.115779156683709	2.05116906107778	3.22650364854361	1.3240204843112	0.54465498520708	0.50887746226439	7.60840485342053	14.0200193465906	1.93922512424717	1.95095113563726	0.721933633930751	0.404847316055355	17.4761669022757	0.692429352432931	0.371223261125039	38.1735780936785	34.1860146671899	0.962221493867051	0.836394465129582
Bangiaceae	0	0	0.198646429574	0	0.0010779349245	0	0	0	0	0	0	0.0643778577684	0	0	0	0	0	0	0	0	0	0	0.00217444057143	0	0.00769854511807
Beijerinckiaceae	0	0	0	0.00111168936671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beutenbergiaceae	0	0	0	0	0	0	0	0	0	0	0	0.000628120714923	0	0	0	0	0	0	0	0	0	0.000274729453418	0	0	0
Bifidobacteriaceae	0	3.22958063724586	0.0162005148227	0.64652099385794	0.032578713906053	0.245943972334869	0.000823648385056	4.86765341229387	0.07128353933183	0.0234557223184	0.009218074771	0.0049760905947	0.000620841088242	1.44910446456936	0.002094939675261	0	0.08786034475236	0.00639929224623	0	2.5886387039769	0.00171447876664	0	0.265314103689707	0	0.00464331796221
Blastocladiaceae	0	0.000287844697199	0.000132030317163	0.000139661078688	6.87791301652e-05	0.000106546601614	5.82515254612e-05	0.000105829451756	0.00040072837326	0.00167273142555	0.0011365399231	0.000102692958511	4.39082272427e-05	0.00036556191506	0.000115139451013	0.000316155280664	0.000343077014541	0.000188374412843	0.000466772366965	0.000170923875805	0.00127627518001	2.24580878257e-05	6.07001460556e-05	0.0010520026649	9.21030617297e-05
Blattabacteriaceae	0	0	0	0.01785131307077	0	0.00379803486603	0	0	0	0	0	0	0.00195647931805	0	0	0	0	0	0	0	0	0	0.00708741463151	0	0
Borreliaceae	0	0	0	0	0.000628471824606	0	0	0	0	0	0	0.00326165375756	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobiaceae	4.65956854199e-05	0.245740596584807	0.1262795475142	0.051291818080219	0.0060637684624714	0.009926781993976	0.0025292597795686	0.01011023152106	0.088038929799797	0.07370962719498	0.085934274417204	0.099091129400529	0.054413135304023	0.049406308383	0.007385386158401	0.05053160072565	0.044906118826915	0.017065837431509	0.035666830153236	0.054931214927285	0.016043702851373	0.008904248173753	0.0017900846228052	0.05168485878888	0.002820312745527
Brevibacteriaceae	0	0	0	0.00036534117448	0	0.00111486638758	0	0.000346050744439	0	0	0.00135140413508	0	0	0	0	0	0	0.0041064249895	0	0	0	0.000293741973781	0.000113418768899	0	0
Brucellaceae	0	0	0	0.01432097090325	0.00555975909916	0.0206060659252	0.002134729830992	0	0	0.00917664649392	0.01825368087086	0	0.00190803995779	0	0.002020109753395	0	0.000418250909797	0.002206931525015	0	0	0.002637930797399	0.00197129011635	0	0	0
