genus	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Acetobacterium	0	0	0	0.000394442903373	0	0	0	0	0	0	0	0	0	0	0.00433582400834	0	0	0	0	0	0	0	0.0216742321915	0	0
Acholeplasma	0	0	0	0	0.000984105840399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	0	0.00614379688928	0.00102475392241	0	0.000600558231987	0.00529255645013	0.000169544807451	0.00308023418762	0	0.022070951693	0.0104251253525	0.00119557781463	0	0.00283731050862	0.00148942564336	0.00122692034267	0	0	0	0.0013266264592	0.00585343658656	0	0.00255753281922	0.000371141981357	0
Acidaminococcus	0	0.00183578884777	0.0505230326301	0.0856287946296	0.000425831645193	0.2470280827042	0	0.000674949127743	0	0	0.00263582453401	0	0.0140016881815	0	0.0427305160022	0.0581329260458	0	0	0	0	0	0.00275298129021	0.02639933719982	0	0
Acidiphilium	0	0.000975215022281	0.00357853939842	0	0	0	0	0	0	0	0	0.00208753644164	0	0	0	0	0.00154978876519	0.000850947560751	0	0	0	0.000323678071979	0	0.00137836633504	0
Acidithiobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0.000390944892464	0	0	0	0	0	0	0	0	0.000399919344566	0	0	0
Acidobacterium	0	0	0	0.0003865509986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000120003277595	0	0
Acidothermus	0	0	0	0	0	0.000498107965668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax	2.87711935708e-05	0.003805028311709	0.0328944839328	0.021967502322359	0.0094248053356997	0.00899665184821	0.0015371913255117	0.005549558282044	0.00146809748806	0.01244471705102	0.00798326046259	0.005523903147284	0.001724405179708	0.00401778784615	0.004980976578331	0.00702628596452	0.01473809402961	0.001452235622352	0.0018353716063	0.0215800168054	0.00722671716357	0.003245527129261	0.000613738082493	0.0055897204659	0.000319870107191
Acinetobacter	0.0005158470689656	0.0298372691176	0.00587723690205	0.006101368452507	0.003059141219347	0.02329181341721	0.011155050651153	0.036440924063692	0.03467442936039	0.02957032757481	0.01845411131743	0.034879512878775	0.012920175972145	0.08479676782395	0.016828405705798	0.02863562389566	0.124412126395519	0.061708150853046	0.02225446757152	0.05370615831674	0.045244737634437	0.01183483416151	0.001510779948139	0.005085207448719	0.002739181861717
Actinobacillus	0	0	0	0	0.001365340599216	0.000501861545147	0	0	0	0	0	0	0.008296607733132	0	0.00045194670624	0	0	0	0	0	0.01122284989444	0	0.000211174578618	0	0
Actinoplanes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000248171129455	0	0	0	0	0	0	0.01612242620707	0
Actinosynnema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00231797798302	0
Advenella	0	0	0	0	5.55017655407e-05	0	0	0	0	0	0	0	0	0	0	0.00204098844748	0	0.000810719761095	0	0	0	0	0	0	0
Aequorivita	0	0	0	0	0	0	0	0	0.00216708894956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcus	0	0	0	0.00766676365672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000238011742483	0	0
Aeromonas	0	0	0	0	0	0	8.25113963789e-05	0.00329788768641	0	0	0	0	0.000799760679609	0.0020712263815	0.000240804554295	0	0	0	0	0.00102886972317	0.00946360897306	0	0	0.000575680885856	0
Agathobacter	0	5.53330174987	0	12.4714175379	19.8220241276	0.753288571723	0.142986786717	0.0714049075097	0	0.434830270884	0	0.0765150878315	4.012362833	0.980550261662	0.00254189023418	0	0.441184443087	0	0	0	0	0.000743698102001	0.120892035258	0.000791749979357	0.000508331139086
Aggregatibacter	0	0.00177700798469	0	0	0.1205885756	0.00841939175796	0	0.000699401291432	0.01981945765801	0	0.00255142700581	0	0.00975842098837	0	0.002961309128313	0	0	0	0	0	0.00143255986656	0.000554579629578	0.0060008572402	0	0
