order	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Acholeplasmatales	0	0	0	0	0.000984105840399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidithiobacillales	0	0	0	0	0	0	0	0	0	0	0	0	0.000390944892464	0	0	0	0	0	0	0	0	0.000399919344566	0	0	0
Acidobacteriales	0	0	0.00137015545996	0.0003865509986	0	0	0	0	0	0	0	0.000575599701381	0.000201035766246	0	0	0	0	0	0	0	0.000602029568208	0	0.000120003277595	0	0.001350452918579
Acidothermales	0	0	0	0	0	0.000498107965668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetales	0	0	0	0.00668951131639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15275526259	0	0
Aeromonadales	0	0	0	0	0	0.00315568976792	0.0008013820598519	0.003733227863321	0	0	0	0.000844875788054	0.001161002566409	0.01109388233219	0.000872321624344	0.00260107358645	0.001254472955	0.00103319632171	0.00256015392615	0.00243509509988	0.01232729296531	0.000369534482694	0	0.00136250263048	0.002517821832748
Agaricales	0	0.000760254672894	0.000116239377882	9.83659950215e-05	2.64919756282e-05	0.0001461939658602	1.92317223776e-05	0	0.000823202136845	0.000883602786605	0.00018192886774	0.0003974712274343	5.39756979314e-05	0.000321840396182	3.37895579414e-05	0.000835028513027	0.0002950829650091	0.000552815571155	0.00095887397935	0.000225721850279	0.000510741623998	0.0001145309968909	1.52686732788e-05	0.000420991928649	2.70291521586e-05
Alteromonadales	0	0.000882182353241	0	0.00161248529285	0.000594552016581	0.01491415804762	0.0002658291498002	0.001095195124564	0	0.0021650370623	0	0.00109254529543	0.001247060057273	0.00388919509456	0.001815625576993	0.00194101885474	0	0.000698933887746	0.00169240044794	0.00094108621456	0.0021112746492	0.000315650842031	0.0008528154819637	0.003533589460996	0.000337266216924
Aquificales	0	0	0	0	0.000484885516033	0.001142375129703	0	0.0018419331533	0	0	0	0	0	0	0.000667990395723	0	0	0	0	0	0	0	0	0	0
Archaeoglobales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000805023323481
