phylum	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Acidobacteria	0	0	0.00137015545996	0.00297698073078	0.00186041531437	0.00164685279104	0	0	0	0	0	0.000575599701381	0.000201035766246	0	0	0	0	0	0	0	0.000602029568208	0	0.0002540347764	0	0.001350452918579
Actinobacteria	0.0144754540055789	4.0830293452949	1.43423296530248	1.15445840057799	0.486806836461827	1.78259367806896	0.0887821650537646	5.56627645583759	1.50477504441148	1.13441524157393	1.34481531016031	1.16638732464223	0.962631888114446	4.21747168140589	1.28180606831584	1.28494043958302	1.06696959963386	1.33799822215357	1.36735468397086	4.16971364151701	1.23235407380518	0.868348122951905	1.21979640331409	0.71093060820819	0.366939985399707
Apicomplexa	0	0	0	0	2.69747698542e-05	0.0001855820227087	0	0	0	0.00104965666472	0	0.00067206936352	5.54193083986e-05	0	4.67054436245e-05	0.000991953915511	0.000239204951005	0	0.00203651358459	0	0.001884537115849	0.000140926876861	0.000108679850783	0.000300064909526	7.74993405259e-05
Aquificae	0	0	0	0	0.000484885516033	0.001142375129703	0	0.0018419331533	0	0	0	0	0	0	0.000667990395723	0	0	0	0	0	0	0	0	0	0
Ascomycota	0.0008872982854516	0.088829583922647	0.089838464299289	0.011728886293111	0.0035394391413723	0.017718507682526	0.0126142657618371	0.026569612060995	0.103672120675696	0.157874405206235	0.097433771738851	0.0769208430068903	0.034453286793947	0.134979686137787	0.0128410460551717	0.1395883108408	0.0388098863635315	0.0558823828982731	0.186795700582197	0.037991437006205	0.190963239856774	0.018731415130775	0.0053340238789618	0.039333759922354	0.0266507686648245
Bacillariophyta	0	0.004198028566435	0.004569206216036	0.004219558998974	0.000620467498717	0.007686708842743	0.0024148339172538	0.001506517955096	0.0127856916297	0.006152752490343	0.01366394228332	0.005530023225843	0.000321180207318	0.00361171645123	0.000189594444551	0.00312358367016	0.000829262111775	0.000496298939852	0.00276699957073	0.000371830869967	0.007537377580413	0.0002263627204636	0.000479769269323	0.002674275483871	0.0008554276669351
Bacteroidetes	0.0002278404266026	26.4503424560798	4.15787702230498	22.1722336714029	14.2665244790676	11.6791934638079	0.133129041257342	2.14699465416192	3.25236599891785	1.36547446546184	0.687894782410183	0.900792697244032	7.90910262380151	14.3120490254214	6.09914149981866	2.10161431946305	0.744732359350217	0.445159337901113	17.6571440876467	2.12741917917591	0.457752677164461	38.2144702727788	36.5399208913387	1.00271429354184	0.872694244631748
Basidiomycota	0.00036460116927592	0.0070948695164746	0.028597997054519	0.0023270119650324	0.00096382273648249	0.00352481426572	0.0014260211901561	0.0053800115486538	0.011964180637684	0.0349308470586762	0.014835817113354	0.0078329088859333	0.0009375845213229	0.042738209366598	0.0115884208696398	0.024193793751668	0.0064454581432665	0.0181841452993338	0.03385587627542	0.008245902214109	0.011733692805642	0.0048994948708589	0.0009079228737084	0.008787677244367	0.0029173582542867
Blastocladiomycota	0	0.000287844697199	0.000132030317163	0.000139661078688	6.87791301652e-05	0.000106546601614	5.82515254612e-05	0.000105829451756	0.00040072837326	0.00167273142555	0.0011365399231	0.000102692958511	4.39082272427e-05	0.00036556191506	0.000115139451013	0.000316155280664	0.000343077014541	0.000188374412843	0.000466772366965	0.000170923875805	0.00127627518001	2.24580878257e-05	6.07001460556e-05	0.0010520026649	9.21030617297e-05
Candidatus Saccharibacteria	0.000556415839951	0	0	0	0.00111784631005	0.0025668507851	0	0.01110072844673	0	0	0.00618099511555	0	0	0	0.00497463695093	0	0	0	0	0	0	0.03136665953924	0.0577608775438	0	0
Chlamydiae	0	0	0	0	0	0	0	0	0	0	0.00224531886218	0	0	0	0.0080467648685	0	0	0	0	0.00398179259125	0	0	0.000565326006907	0	0
Chlorobi	0	0	0	0.000618458222146	0	0.00091230559592	0	0	0	0.00404014942691	0	0	0.000486094701782	0	0	0	0	0	0	0	0	0	0.001088240846149	0	0
Chloroflexi	0	0.00102917489964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00122226022879	0	0	8.65403562424e-05	0.00402522467631	0
Chlorophyta	0	0	0.050428052345709	0.48385593139604	0.49729489940748	0.54542139193884	0	0.303420901431	0.000361432838017	0	0.0302517414017	0.0365636953045	0.16143168413218	0.000494572218668	0.02808656698518	0.225561088576448	0.0271449173611	0.000169902365759	0	0	0.0538742244343	0.113685676155545	0.53973907245647	0	0.0308511133658
Chrysiogenetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000438045406551	0	0	0
Chytridiomycota	0	0.000693063844489	0.000635797289945	0	5.17513532869e-05	0.000256539717599	3.50640697712e-05	0.00012740649282	0.00225134415385	0.00241653158916	0.000497550327521	0.000494522062212	0.000158581372561	0	9.2409774377e-05	0	0.000275350188217	0.000453562271734	0.000374626843686	0.000205772695542	0.000558723121747	0	0	0.000345406434809	7.39209982243e-05
Cyanobacteria	0	0	0.00161100937985	0.000717076517734	0.0003381959720189	0.001164325491651	0	0.00082663384455	0	0.00477452039875	0.001892276740975	0.00497491743776	0.001445540669579	0	0.000648972225302	0	0.000603030367543	0.001157111187353	0.000980997292431	0	0.000991382479868	0.000453058973975	0.0015481649330209	0.001428663301589	0
Deferribacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000340181217445	0	0	0	0	0	0	0	0	0	0
Deinococcus-Thermus	0	0.00142380158203	0	0.00442218129077	0.000108475545282	0	0	0.003797510837588	0.00570267665508	0	0	0.003538252737813	0	0.0135984309928	0.001945666884804	0	0.04329500078441	0	0.00754678555547	0.0021193824579	0.007714751976642	0.005816503482041	0.012190463194081	0.00307480806455	0
Elusimicrobia	0	0	0	0	0	0.00074055419779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euryarchaeota	0	0	0.00193917046996	0.00094133150313	0	0	0	0.000891628127832	0	0	0	0.015180393148134	0	0	0.000646710793909	0	0	0	0	0	0	0	0	0	0.000805023323481
Firmicutes	0.0098221621399981	12.8535678757193	6.41709865817723	51.6572936617386	74.2779862454006	65.5829062780956	0.506533643628838	11.8231418657671	3.98735471848768	1.91455491462685	2.47998426523446	2.57967677393834	16.1232615557917	4.51324824846415	11.8527969439474	2.55573613039234	2.00044275589239	1.5662302332814	22.2082998797232	3.26482820099691	0.50939228337436	34.6312628752218	31.4364190510753	2.68727569680401	0.736682525513613
Fusobacteria	94.7286758422838	2.90773161511534	0.32405608141376	0.509000264020906	0.30586519857894	0.121106857276454	0.00167399809159	0.170647291440832	0.40260501738503	0.0256373185486	0.1011681915754	0.02048447003621	0.000400335366031	1.97512916006514	2.63361951473769	0.4191014861754	0.118617351928508	0.75690893907458	7.6348223410941	2.9895178618279	0.15700278875161	8.07604691344286	18.2476293767708	0.0944982064198	0.0415646201078
Gemmatimonadetes	0	0	0	0	0	0.00026248785594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000213629542003	0	0
Ignavibacteriae	0	0	0	0	0	0	0	0	0	0	0	0	0.000342710330649	0	0	0	0	0	0	0	0	0	0.001486002444109	0	0
Lentisphaerae	0	0	0	0.000264882268731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsporidia	0	0	0	0	0	0.000487342333904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrospirae	0	0	0	0.00073912573994	0	0.000281937303135	0	0	0	0	0	0	0	0	0.000547004908448	0	0	0	0	0	0	0	0.002559485035251	0	0
Phaeophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0283119452278	0	0
Planctomycetes	0	0.00066335533508	0	0	0.0002459639454369	0.00278984120189	0	0.000164944237014	0.00916035100482	0	0	0	0	0	0	0	0	0.000597097348216	0	0.002886349141656	0	0.000140011390014	6.93150905961e-05	0	0
Proteobacteria	0.0455195307079106	35.9263803114986	46.4001954101729	6.16657845439581	7.15114987200417	12.7716603427337	15.9859020015906	18.8941285367771	49.4875370971188	83.9670770124279	61.0039929790807	55.4630645317992	14.7467475633356	29.7700414744274	31.3221679310642	45.8745704990736	18.13953244962	16.3144942793122	42.4150166683948	14.2560066879196	20.6781720893495	14.2925633256251	7.09024346050797	14.8162095844425	10.2704232768425
