species	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Acetobacterium woodii	0	0	0	0.000394442903373	0	0	0	0	0	0	0	0	0	0	0.00433582400834	0	0	0	0	0	0	0	0.0216742321915	0	0
Acholeplasma laidlawii	0	0	0	0	0.000984105840399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter xylosoxidans	0	0.00614379688928	0.00102475392241	0	0.000600558231987	0.00529255645013	0.000169544807451	0.00308023418762	0	0.022070951693	0.0104251253525	0.00119557781463	0	0.00283731050862	0.00148942564336	0.00122692034267	0	0	0	0.0013266264592	0.00585343658656	0	0.00255753281922	0.000371141981357	0
Acidaminococcus fermentans	0	0	0	0.0321857567934	0.000316168377687	0.0480637779692	0	0	0	0	0	0	0	0	0.0207007490308	0.0581329260458	0	0	0	0	0	0.00275298129021	0.00361410775602	0	0
Acidaminococcus sp. D21	0	0.00183578884777	0.0505230326301	0.0534430378362	0.000109663267506	0.198964304735	0	0.000674949127743	0	0	0.00263582453401	0	0.0140016881815	0	0.0220297669714	0	0	0	0	0	0	0	0.0227852294438	0	0
Acidiphilium cryptum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000323678071979	0	0.00137836633504	0
Acidiphilium multivorum	0	0.000975215022281	0.00357853939842	0	0	0	0	0	0	0	0	0.00208753644164	0	0	0	0	0.00154978876519	0.000850947560751	0	0	0	0	0	0	0
Acidithiobacillus ferrivorans	0	0	0	0	0	0	0	0	0	0	0	0	0.000390944892464	0	0	0	0	0	0	0	0	0.000399919344566	0	0	0
Acidobacterium capsulatum	0	0	0	0.0003865509986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000120003277595	0	0
Acidothermus cellulolyticus	0	0	0	0	0	0.000498107965668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax avenae	0	0	0	0.0200805369503	0.00537450889057	0.00266422983256	0	0.00523746337571	0	0	0	0.000534972568174	0	0	0.000199937265091	0	0	0	0	0	0	0.000233988018157	0	0.00348749057267	0.000319870107191
Acidovorax citrulli	0	0	0	0	0	0.00022738624743	0	0	0	0	0.00441008132936	0.00438324003199	0	0	0	0.00168680562745	0.000406765124024	0.000670031551127	0	0	0	0	0	0	0
Acidovorax delafieldii	0	0.000848864492071	0	0.000658984969469	0.000963452755302	0.00251367845901	8.58929347217e-05	0.000312094906334	0	0	0.00243759826405	0.00060569054712	0.000517947843108	0	0	0.00186470686692	0.000449665158597	0	0.0018353716063	0.0010081214657	0	0	0.000613738082493	0	0
Acidovorax ebreus	0	0.00216525886049	0	0	0.0030395979392	0	0	0	0	0.00251656297694	0	0	0	0	0	0	0	0	0	0.0205718953397	0	0	0	0	0
Acidovorax sp. JS42	2.87711935708e-05	0	0.0328944839328	0	0	0.00265453840466	0.00145129839079	0	0	0.00625125026403	0	0	0	0	0.00478103931324	0	0.000474863214289	0.000782204071225	0	0	0.00722671716357	0.00251787809995	0	0	0
Acidovorax sp. KKS102	0	0.000790904959148	0	0.00122798040259	4.72457506277e-05	0.00093681890455	0	0	0.00146809748806	0.00367690381005	0.00113558086918	0	0.0012064573366	0.00401778784615	0	0.00347477347015	0.0134068005327	0	0	0	0	0.000493661011154	0	0.00210222989323	0
Acinetobacter calcoaceticus/baumannii complex	0.000131872318794	0.02258742905669	0.00375990916421	0	0.000444975615793	0.0181658526572	0.00794322770407	0.028357429534224	0.01342062145399	0.02385424937476	0	0.0270186053354	0.01184137723494	0.023423249706	0.003866669488113	0.01579779821738	0.001191183405859	0.030207276313566	0.00236295845223	0.0244268741631	0.036759573157228	0.006360847636627	0.000492746939457	0.00273350148036	0.00129935570409
Acinetobacter johnsonii	0.000185192284283	0.00230803642173	0.00211732773784	0.0017917598452	0.00158554638902	0.00512596076001	0.00210186220772	0.00127286466376	0.0171369388137	0	0.00497081597904	0.000823426975746	0.000704142120218	0.00293119943693	0.00738581739671	0.0101401611326	0.0244525144665	0.00604179976207	0.00499031889578	0.00411157684549	0.00558196762784	0.00216091879413	0.000278122492071	0.00153369349385	0.000492342394106
Acinetobacter junii	7.90194908348e-05	0.00246203376641	0	0.000477827515918	7.3536416746e-05	0	0.000124561286021	0.000905195357911	0	0.00286148835946	0.00353498661511	0.00439183931279	0	0	0.000984826953555	0	0.0241277377792	0.00322246106778	0	0.00146197014505	0.00099240149573	0.000384183353689	0	0.000818012474509	0.000525192578207
Acinetobacter lwoffii	3.9414494733e-05	0.00122804912932	0	0.00286005337323	0.00088030960865	0	0.000869826942689	0.00180602619885	0.00227953538679	0.00285458984059	0	0.00175250056039	0.000374656616987	0.0530270380505	0.00425729511145	0.00269766454568	0.0676550083227	0.00214312820701	0.0106209013294	0.0131260104503	0.000990008999382	0.000766514317444	0.000739910516611	0	0
Acinetobacter oleivorans	0	0	0	0	0	0	0	0.0036391986149	0.00183733370591	0	0.00994830872328	0	0	0.00251414401732	0	0	0.00367034050344	0.0190012661571	0.00428028889411	0.0105797267128	0	0.00216237005962	0	0	0.000422291185314
Acinetobacter radioresistens	8.03484803208e-05	0.00125172074345	0	0.000971727718159	7.4773189138e-05	0	0	0.000460209694047	0	0	0	0.000893140694449	0	0	0.00033379675597	0	0.00331534191782	0.00109221934552	0	0	0	0	0	0	0
Acinetobacter sp. ADP1	0	0	0	0	0	0	0.000115572510653	0	0	0	0	0	0	0.0029011366132	0	0	0	0	0	0	0.000920786354257	0	0	0	0
Actinobacillus minor	0	0	0	0	0	0.000501861545147	0	0	0	0	0	0	0.000517047245872	0	0.00045194670624	0	0	0	0	0	0	0	0	0	0
Actinobacillus pleuropneumoniae	0	0	0	0	0.001259491993173	0	0	0	0	0	0	0	0.00374251791331	0	0	0	0	0	0	0	0.00988939270395	0	0.000211174578618	0	0
Actinobacillus succinogenes	0	0	0	0	0.000105848606043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus suis	0	0	0	0	0	0	0	0	0	0	0	0	0.00403704257395	0	0	0	0	0	0	0	0.00133345719049	0	0	0	0
Actinomyces phage Av-1	0	0	0	0	0	0	0	0	0	0	0.345705580481	0	0	0	0.0642077251809	0	0	0	0	0	0	0	0	0	0
Actinoplanes missouriensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000248171129455	0	0	0	0	0	0	0.00902805718955	0
Actinoplanes sp. SE50/110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00709436901752	0
Actinosynnema mirum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00231797798302	0
Advenella kashmirensis	0	0	0	0	5.55017655407e-05	0	0	0	0	0	0	0	0	0	0	0.00204098844748	0	0.000810719761095	0	0	0	0	0	0	0
Aequorivita sublithincola	0	0	0	0	0	0	0	0	0.00216708894956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcus urinae	0	0	0	0.00766676365672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000238011742483	0	0
Aeromonas hydrophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00102886972317	0	0	0	0.000575680885856	0
