SampleName	Total_Sequences_Passing_QC	Total_Human_Hits	Total_Seqs_Passing_Contaminant_Screen	Total_Metaphlan_Alignments	Total_Kraken_Hits	Total_HUMAnN_Hits	Unique_KEGG_Modules	Unique_KEGG_Pathways
SRR317085	0	-1000000	1000000	28403	846717	564495	176	180
SRR317086	0	-481022	481022	438	161355	50556	200	255
SRR317087	0	-334093	334093	243	127698	39570	199	251
SRR317088	0	-228203	228203	357	54198	56946	206	263
SRR317089	0	-784227	784227	901	435549	81580	210	258
SRR317090	0	-493678	493678	465	206617	62553	206	259
SRR317091	0	-223522	223522	628	75281	51134	208	256
SRR317092	0	-846740	846740	741	252002	58930	203	258
SRR317093	0	-769475	769475	206	256695	41724	198	264
SRR317094	0	-213175	213175	333	14939	82101	200	258
SRR317095	0	-198127	198127	319	44924	39424	199	252
SRR317096	0	-266889	266889	395	82169	49480	199	256
SRR317097	0	-283552	283552	512	58056	73634	203	257
SRR317098	0	-344179	344179	136	125707	27685	193	246
SRR317099	0	-1000000	1000000	452	77363	62786	199	256
SRR317100	0	-483693	483693	152	272385	39087	196	249
SRR317101	0	-723183	723183	249	326256	37215	200	253
SRR317102	0	-554516	554516	157	226743	33538	200	252
SRR317103	0	-221817	221817	145	62149	43857	199	251
SRR317104	0	-598177	598177	145	224553	23391	198	252
SRR317105	0	-1000000	1000000	251	328390	63203	197	252
SRR317106	0	-219876	219876	424	92920	34078	201	254
SRR317107	0	-916665	916665	502	465848	54176	203	254
SRR317108	0	-777155	777155	216	311491	40962	201	258
SRR317109	0	-236799	236799	260	76780	30359	199	246
