phylum	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
d__Archaea|p__Crenarchaeota	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	3	1
d__Archaea|p__Euryarchaeota	4	688	47	7	11	9	7	12	16	920	5	154	8861	5	18	6	3	3	16	495	704	7	74	1198	22	721	3	8	20	147	2	3	10	14	5	1227	39	13	1	18	8	67	1394	72	5	16	273	5	1717	16	2790	4307	14	5771	2012	4	3	8	10	2671	13	21	1428	22	14250	881	52	1	26	29	281	6	23	60	10	1280	316	40	30	2	936	520	20	28	20971	8	13	6811	1010	34	147	16	19	8	14	10	28	18	7	2330	2366	29	6	11	11	12000	1428	38	96	273	134	14	26	6854	15	46	17	5	1452	1861	13	3004	1724	20	8	72	25	11116	332	42	1150	54	88	129	168	27	11	2263	33	188	22	10	10	1	26	12	14	1190	18	3	15	8	4	3	101	2551	11	484	26689	2	13	6	2	17	20	1584	4663	9	24	2401	14	1817	8	3	11	292	0	10	13	4	3	3927	13	4	5	17	8	133	7781	97	10	15	564	5	4456	7	7662	13351	31	35553	4406	0	6	4	7	5411	12	24	8805	65	40070	2454	61	3	29	220	772	19	11	129	7478	1514	18	46	7	3013	1557	11	32717	4	9	13907	3905	16	355	16	6	7	12	13	59	6	3	13687	7163	15	2	14	7	26107	5337	28	107	633	189	8	22	21270	19	71	14	6	3365	3676	23	9940	4946	10	11	55	18	22193	536	200	7555	72	180	206	535	8	23	10194	64	1203	10	7	14	3	9	7	17	420	5	26	17	28	392	4	3	6032	2161	4	17	14	17	2114	6	3	34322
d__Archaea|p__Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Acidobacteria	3	5	3	5	9	5	12	3	5	4	7	4	11	3	2	9	2	4	9	12	6	2	14	4	10	6	1	0	2	1	5	2	2	10	0	8	5	4	1	5	7	9	4	9	5	2	3	5	7	0	2	2	2	3	2	1	1	2	2	9	7	1	2	0	14	1	2	3	2	12	5	6	4	9	8	9	2	8	1	5	7	6	1	1	6	3	2	11	4	0	6	11	10	0	5	9	4	5	2	5	10	12	0	8	9	8	11	1	2	2	2	3	6	7	8	3	0	3	8	16	2	12	8	3	4	6	1	6	11	4	5	6	2	3	6	3	2	3	2	0	2	3	4	0	2	7	9	5	4	8	9	3	7	4	6	15	7	8	14	9	1	8	2	4	9	13	5	6	10	8	12	7	1	3	4	1	5	0	3	2	1	5	4	6	7	4	8	5	4	5	1	1	6	5	6	1	10	11	0	10	5	2	0	3	2	8	4	5	8	2	5	1	8	4	4	28	6	8	8	7	1	7	9	2	8	14	6	4	6	6	1	10	13	0	2	4	7	0	4	5	2	4	3	13	9	4	0	9	14	16	4	0	7	1	9	3	0	6	8	5	4	7	8	12	7	14	12	5	5	12	3	7	8	5	6	4	2	3	12	3	8	4	7	2	2	8	6	0	0	3	19	8	2	2	4	2	5	3	1	0	10	3	5	11	6	15	0	2	13
d__Bacteria|p__Actinobacteria	8229	15741	41016	3533	30331	98546	74671	21742	78205	2207	1179	8731	4029	58119	14923	29745	38085	57089	12882	923	2821	2533	1946	10275	6505	72916	1364	270622	27611	5163	31746	3782	13815	49978	4812	19317	2584	18926	8613	20857	14764	39973	12619	9720	18927	52814	10091	66920	13774	157920	34913	24079	65472	9251	23380	1307	21548	159949	13366	38310	38308	7865	59222	19306	8215	5368	70223	56656	53371	20217	10951	4311	18418	1779	5830	99665	4343	13422	4435	78114	89451	2181	16741	13975	41730	10317	104787	166504	18713	220608	5217	114622	18561	65546	29367	6217	5262	10437	12835	2154	108537	10941	12708	32647	7815	9067	58427	24669	55232	4154	114745	41354	91811	18649	2749	42059	18759	33898	53323	3125	7470	16352	9132	17908	3432	929	1103	9265	2238	11494	8480	11069	2442	1097	11568	46509	5314	17698	419	2696	315	24746	23078	8738	1623	6187	6002	13470	37692	4850	32659	69249	78546	23122	108416	2426	1602	15345	5540	60774	16182	37595	48593	70127	11547	1254	4604	3096	1917	8758	5481	75838	1869	325654	27489	5074	22558	3854	16710	27184	1501	33650	1968	17212	12754	19095	27355	45113	19219	7640	6197	54616	8001	34159	14571	149685	51379	30927	53831	14363	27065	732	14935	186355	11758	34684	28242	15660	107713	28234	6526	6429	80769	68075	81378	29693	11923	6259	20099	1831	164105	6940	14066	3945	107936	144091	3292	13680	37953	14411	131487	178396	31376	243362	5546	114780	7876	64707	24969	3683	8290	13333	17620	3849	140853	9552	9164	36085	9919	7907	32617	45594	65694	5423	150803	48861	112119	24427	2741	47300	16910	27410	65119	2436	10670	19526	13488	26199	5160	904	683	9530	2058	13290	17822	10431	3083	906	13509	53644	6457	19282	515	3842	480	22408	38813	8999	1775	6336	7708	2287	1076	11745	889	5490	3861	17269	3663	12254	4828	2045	24551	1660	10133	8345	26516	8049	25669
d__Bacteria|p__Aquificae	4	1	0	6	3	2	1	6	1	0	1	3	2	4	0	6	1	0	1	0	1	1	1	0	6	2	1	0	1	1	0	0	0	5	4	1	1	1	1	2	0	0	6	2	3	0	1	0	4	0	4	4	0	3	4	0	0	5	2	6	3	2	0	0	1	0	0	1	1	2	2	1	3	1	0	0	0	1	1	0	0	0	2	1	5	0	1	0	2	1	0	1	4	1	2	4	3	3	0	1	0	2	2	1	3	2	3	1	1	3	1	3	1	2	1	1	0	0	0	4	0	8	3	2	2	1	0	2	3	3	1	0	0	0	3	0	2	3	0	0	0	1	0	0	0	0	0	2	6	8	6	1	1	3	6	5	1	4	1	2	1	6	2	4	3	0	5	5	1	5	3	3	13	1	1	3	2	4	0	7	2	6	2	1	4	2	2	3	7	5	4	3	2	0	4	4	5	6	0	17	8	2	0	8	1	3	4	4	4	1	5	0	1	6	3	1	7	2	3	1	2	1	3	1	1	3	1	3	2	3	2	1	6	1	0	2	11	9	5	5	1	12	0	5	3	10	4	1	4	5	5	5	4	4	4	3	4	5	0	1	0	3	5	0	2	10	4	0	6	6	2	3	5	4	4	1	2	0	3	0	8	2	0	0	0	2	0	0	1	1	0	1	1	0	2	2	1	1	1	2	3	4	1	0	7	6	5	3	14
d__Bacteria|p__Armatimonadetes	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	8	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	15	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	2	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
d__Bacteria|p__Bacteroidetes	13916	12772	8089	10371	3960	9584	1320	5863	5410	1957	5530	2202	4120	4570	654	8573	918	2828	3582	28290	2795	9047	12529	15540	16754	4413	2658	27948	23769	4522	13175	5667	2247	1486	3391	9240	133394	7054	63386	5328	9047	2432	1620	4077	13990	1752	10120	2552	3727	1844	258	4305	418	2604	3522	328	253	216	10189	7608	11983	1075	9723	2044	19030	17261	1074	1494	8197	13305	73059	8623	51857	63410	53422	2237	54317	13575	75151	833	2435	43978	1552	721	6190	20584	1045	11387	5012	917	5788	18598	5860	842	3519	19159	9685	480	1689	11370	4009	12910	353	5405	5284	4048	5019	824	420	16583	466	6163	902	19991	39017	2051	1600	1852	7729	4365	17308	11748	22063	10919	52469	20350	14925	12637	55076	12776	13286	5348	11584	6060	44424	3166	4317	69188	17399	28660	51267	41069	9987	265718	47952	79552	6806	13568	10174	18552	6157	6098	1537	7351	7602	3214	17439	5047	7470	7839	855	16551	979	848	4624	67098	8321	14873	20567	18851	20595	6747	2362	53372	35304	6371	11832	6601	1013	1798	1861	21600	228004	7595	240626	7510	22058	1882	3328	4530	14205	2378	13447	2683	4977	2079	305	1133	413	7637	4753	390	200	115	13986	8876	14085	3021	30401	4488	29217	33629	1464	2283	21223	30501	133734	22919	93038	127543	4750	166835	19574	157782	169	1056	91333	1006	6473	41139	1572	12879	9324	1470	10211	20859	4878	586	5372	23555	20417	707	2783	31841	7271	18267	269	8139	7982	5370	5380	1497	430	25257	519	9733	1635	40984	60296	2871	425	450	12492	4758	29793	19731	42213	24588	117246	29516	21097	14267	73749	23541	42957	7196	31167	3380	94431	4972	10152	135552	35103	106102	123602	51979	30720	657002	98760	196908	14641	10976	25533	4951	22484	12563	10574	4466	8331	17672	36235	91040	16056	79439	40786	33593	7878	29085	53393
d__Bacteria|p__Caldiserica	0	2	0	4	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	3	0	0	0	0	0	1	4	0	1	0	0	1	0	0	0	0	4	2	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__Candidatus_Saccharibacteria	1	4	5	4	1	0	0	0	0	2	1	4	2	7	1	8	1	2	3	3	0	0	3	3	8	5	0	0	0	0	1	0	0	3	1	2	0	1	0	13	0	1	6	0	0	4	4	0	2	1	4	5	0	1	4	0	0	0	0	3	4	3	0	0	0	2	1	5	5	4	4	2	3	0	2	3	0	3	0	0	3	3	2	0	1	1	0	3	0	1	0	2	4	0	0	1	3	5	1	2	2	6	0	1	0	5	2	2	4	2	3	0	2	1	0	1	1	2	1	6	1	3	2	0	0	4	0	0	1	1	1	0	1	0	3	0	1	5	0	0	0	0	0	0	4	1	3	0	13	3	1	1	0	0	0	3	2	4	2	7	1	14	1	3	6	4	1	5	0	5	7	7	0	0	2	0	0	2	0	3	2	3	1	0	1	19	3	6	16	1	2	1	3	3	3	0	6	3	0	7	5	1	0	1	0	2	7	9	3	2	0	1	0	3	6	3	1	2	4	0	4	2	9	1	3	3	6	0	1	1	2	3	2	0	1	3	1	0	0	2	3	9	2	14	2	8	1	3	0	9	6	2	8	8	4	2	10	2	1	4	1	1	2	9	1	7	2	6	0	9	1	3	4	2	1	0	0	0	3	1	4	4	1	0	1	2	1	0	5	3	1	6	1	0	2	3	2	0	1	3	13	2	0	3	9	5	5	3	7
