class	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	1.36164	0	0	0	0	0	0	0	0.88749	0	0.29449	23.99652	0	0	0	0	0	0	1.38461	3.32407	0	0.16824	0.73657	0	0.26896	0	0	0	0.1131	0	0	0	0	0	2.88547	0	0	0	0	0	0	5.06501	0	0	0	0	0	3.04408	0	2.26218	2.49386	0	27.89542	1.90917	0	0	0	0	4.80651	0	0	2.761	0	10.9482	0.82647	0	0	0	0	0.5063	0	0	0	0	0.55595	0	0	0	0	1.77484	0.56215	0	0	20.8437	0	0	3.19163	3.90625	0	0	0	0	0	0	0	0	0	0	5.60047	2.81834	0	0	0	0	13.90428	1.65948	0	0	0	0.03574	0	0	7.69485	0	0	0	0	3.07483	1.72533	0	11.24753	2.56904	0	0	0	0	4.68958	0.80115	0	2.7315	0	0	0.04067	0	0	0	4.07148	0	0.64624	0	0	0	0	0	0	0	1.98866	0	0	0	0	0	0	0	2.48129	0	0.55269	29.41805	0	0	0	0	0	0	1.97547	6.73914	0	0	2.02432	0	0.56511	0	0	0	0.01974	0	0	0	0	0	4.41704	0	0	0	0	0	0	9.04188	0	0	0	0.41617	0	6.18349	0	3.03755	5.44304	0	42.58908	2.76935	0	0	0	0	8.12066	0	0	7.31058	0	15.6512	1.15728	0	0	0	0.12558	0.70665	0	0	0	2.68382	0.43236	0	0	0	2.68985	0.88087	0	27.66173	0	0	5.12907	6.81517	0	0.06082	0	0	0	0	0	0	0	0	6.57648	4.67356	0	0	0	0	19.01346	6.69148	0	0	0.22984	0.116	0	0	9.62458	0	0	0	0	3.9097	3.24673	0	15.26468	3.11927	0	0	0	0	7.81085	0.70042	0.06839	4.48238	0	0.13442	0	0.26923	0	0	9.55471	0	2.04526	0	0	0	0	0	0	0	1.73898	0	0	0	0	0.56161	0	0	9.97079	3.18515	0	0	0	0	0.82662	0	0	12.60141
k__Bacteria|p__Actinobacteria|c__Actinobacteria	17.61813	16.14626	21.71517	2.77795	34.31933	58.65367	62.73518	45.85994	46.55048	3.44837	3.96877	9.48719	14.50852	35.76256	17.90464	25.45556	44.85582	51.28467	12.81429	1.77517	10.95424	13.84941	5.91184	6.12995	6.96287	40.59153	0.17792	71.49306	21.96025	2.82006	14.74754	3.36942	7.12718	31.80533	2.55535	18.25114	1.13143	17.78894	33.29199	17.90399	36.41431	34.84327	20.7117	12.85929	10.4458	29.30838	7.24494	22.85838	22.05361	79.88971	32.34705	20.26715	24.45667	17.74586	25.2555	1.09057	17.68923	62.03876	7.20295	31.58883	19.87537	5.00457	44.05639	28.73236	1.75968	3.48642	61.06424	45.75038	41.16052	20.8804	8.39196	10.16517	9.0919	1.02327	3.48194	52.06651	2.74888	20.57476	1.65298	59.24851	71.69339	4.58701	10.95472	10.90391	15.87912	12.48439	72.01282	72.74451	26.50079	81.87049	4.60279	65.47064	6.36531	32.97856	22.46551	3.36952	4.44691	8.03082	14.2822	0.49483	60.07649	5.31734	5.98902	28.37612	19.07954	13.013	42.75405	41.65554	37.69926	4.79581	82.40053	28.40876	56.46932	16.17277	1.29834	24.00232	11.2564	38.96769	43.13239	3.35815	5.15937	22.68274	8.91296	17.22244	1.79591	1.04172	1.54492	3.60101	3.19931	15.14976	24.58902	7.40971	2.12772	0.01033	12.66588	26.98831	1.60351	11.7082	0.17643	2.40561	0	18.64588	25.58045	17.59356	0.48119	4.67675	3.19145	10.98348	16.59305	2.32917	28.45239	46.77146	50.95997	35.691	40.82373	2.5769	1.57123	8.01888	9.9746	25.31433	11.47786	18.57961	22.35678	33.08801	8.56408	1.77528	5.89805	11.92527	3.96208	4.08761	4.98439	33.45811	0.06868	63.27042	15.50781	2.20792	7.23721	1.15829	4.31665	17.11164	0.82197	15.5936	0.4794	12.53422	19.27997	12.51524	23.6683	24.67828	11.90251	11.97499	3.9215	19.63995	4.57281	11.54792	14.71638	73.36987	25.60769	12.96989	19.25948	8.56676	19.4297	0.57378	13.6803	54.59501	4.50185	25.47726	14.63603	2.8174	38.56968	19.07596	0.91568	2.53078	46.85809	26.23777	32.2458	12.48509	5.81997	6.61056	7.90083	0.91839	55.68896	2.09462	12.55191	1.11474	51.06877	64.62729	4.0605	5.89115	12.64772	9.08513	61.90991	61.85952	19.46069	70.8191	3.88407	60.00067	2.22934	23.08304	13.40365	1.31875	2.74593	6.05074	9.87867	0.48691	47.20081	3.86199	3.25504	19.95111	12.25686	9.2082	21.48737	38.14332	31.88207	3.81137	78.36987	24.74216	46.66873	9.60321	0.95175	16.3764	7.42489	22.10581	33.55324	2.62443	4.17431	15.91144	6.91403	9.59597	0.87154	0.79807	0.79474	3.3534	2.11404	10.91208	16.81739	4.37136	1.2755	0.02786	8.49629	18.81865	0.76612	6.9191	0.11629	1.25256	0	16.27197	16.03296	8.38413	0.19759	2.43909	2.43337	1.53861	0.29486	39.09051	0.15789	6.83793	6.79354	9.47191	11.85868	17.02215	1.66689	0.25153	24.80049	0.18427	4.19058	4.64821	8.52245	7.1695	12.00147
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	14.01413	11.80957	3.0376	3.90886	0.6418	0.66921	0	2.027	0.41223	0.56827	6.78753	0.38896	2.4716	0.68485	0	4.16002	0.23438	0	0.87012	13.88214	0.81469	3.18879	28.17707	11.40061	12.80095	0.29208	0.11077	5.56582	10.26418	0.65196	2.85862	2.7015	0	0.00691	1.14433	6.96834	25.1391	3.95842	9.82137	2.54564	5.99503	0.31442	2.31037	0.59443	6.60596	0	3.16598	0.25227	1.21917	0.01033	0	0.22219	0	0.68984	1.40976	0	0	0	2.17929	2.27659	6.00888	0.07985	7.46842	0.15197	9.28161	24.33457	0.01655	0	6.03634	4.62817	52.84133	16.37097	27.20818	51.02049	35.76171	0.73433	41.35923	9.41669	46.01675	0	0.03973	37.15919	0	0.74238	1.01592	12.29921	0	3.7739	3.655	0	1.9799	8.56145	0.67828	0	0.46706	6.25546	8.24064	0	0.35421	13.08853	0.2821	6.10358	0	1.22508	3.32694	1.70639	1.80646	0	0	12.78579	0	7.22179	0.71903	9.73412	35.30645	0.17872	0	0.50155	3.94789	2.64111	19.74347	16.44512	22.32659	13.35731	37.21453	19.98076	39.35485	3.80448	36.24808	14.07963	18.84854	2.02055	57.52055	0.10855	32.32075	0.41589	0.96705	24.20996	70.77723	47.07603	18.21817	16.29626	9.98295	67.17109	22.35109	69.48997	3.25645	11.63703	3.63435	5.47244	0.65922	0.56305	0	2.39944	0.75839	0.71978	7.18836	1.43219	2.12517	0.85665	0	5.09055	0.578	0.05375	0.76047	19.13331	1.79503	4.89517	17.95416	7.7263	13.57772	0.53239	0.48936	7.20429	8.38337	1.15887	2.62773	1.9474	0	0.0768	0.1115	8.47836	27.12843	4.03205	15.2807	2.61019	8.41635	0.32102	2.0189	0.88723	6.9707	0.03878	4.18728	0.28452	1.45383	0	0	0.0835	0	2.17267	1.28972	0	0	0	2.02154	2.52518	5.11137	0.39541	9.63566	1.53509	9.63512	28.58844	0.06276	0.02426	9.40079	5.6054	57.09139	15.78241	32.60294	53.14419	1.52259	41.51214	9.91002	54.34485	0	0.19106	35.34383	0.7361	0.95982	12.64867	0	4.11762	4.58128	0.04355	3.32069	7.44146	0.44704	0	0.83469	6.49324	7.07522	0	0.66705	13.23306	0.54005	4.78058	0	1.44489	3.33898	2.06586	2.08855	0.15782	0	13.44267	0	6.88634	0.76438	9.41259	33.72411	0.31758	0	0.57424	3.67921	2.59755	21.4683	17.85695	21.24088	10.61405	29.95564	20.27903	39.15123	3.93738	37.95101	16.36572	18.07629	2.31961	56.25532	0.14321	34.39833	0.54036	1.42982	25.22414	71.50259	59.23928	27.74651	17.10624	13.28577	68.23425	22.61643	75.83721	5.06844	23.72398	52.9948	7.8766	19.66359	28.73425	14.2286	0.48002	14.87956	21.96946	22.37608	54.51052	12.48931	18.60267	28.1607	14.03519	0.41673	16.87852	22.44682
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07777	0	0
k__Bacteria|p__Firmicutes|c__Bacilli	11.06458	19.88872	1.34252	0.88563	0.45292	0.44997	2.90347	4.69249	0	0	0	0.1515	0	0.01314	9.66702	0	0	0.69967	0	0	0	0	0.20755	0.82534	4.80509	0	9.49385	13.60201	0	2.3049	8.99529	9.94417	0	0.11524	0	0.50865	1.93406	2.10137	0	0.51636	0	0.88471	0.03412	0.20127	0.33518	0	0.42557	8.23797	0	7.41107	5.0804	22.49561	1.13614	0	0.59212	22.33806	2.88504	1.89421	2.8466	0.09045	1.34254	1.74057	0	0.40506	0.9548	5.56842	0.74062	0	0	0	0	0	1.34593	0	0	0	2.3824	0	0.23164	0	0.72666	0	0	0	0.49471	19.21175	1.88905	0.1724	0	0.22373	0.80312	2.95087	0	5.94717	39.42815	2.44342	0	5.37228	2.87314	0.07785	0.08276	0	5.208	2.096	0.87221	0	1.0019	2.60189	0	0	0.77608	0	1.16185	1.76547	0	0	2.21842	0.20909	0.44463	26.80183	0	0.1203	0	0	3.14682	0.55697	0.07911	1.30402	0	0.49851	0.2827	7.01341	0.99744	1.92265	0	6.75	0	0.02816	0	0	0.05054	0	0	1.44806	3.84395	0	0.10671	21.8904	2.01835	1.68632	0.73902	0.71904	4.53846	5.48053	0.47447	0.13827	0	0.9202	0	0.22001	9.83132	0.23494	0.1692	1.23426	0.24332	0	0	0.14583	0.78749	1.58225	7.36473	0.16273	13.31504	20.999	0.34944	3.84299	13.89621	10.98313	0	0.43469	0	0.82046	2.81562	2.5021	0	1.17372	0.37104	1.14436	0.63533	0.38236	0.38157	0	0.88865	12.99379	0	11.85279	7.35546	27.57266	1.86874	0	1.15022	32.8823	4.12543	2.65856	3.25581	0.21545	1.93799	2.00808	0.00673	2.13576	2.34587	8.55399	2.58805	0	0.16828	0	0	0	1.96953	0	0	4.31523	0	0.63206	0	1.85227	0.88745	0	0.69403	21.01812	3.24548	0.88062	0.40578	0.6305	1.45811	4.32978	0.10146	7.01869	41.33799	5.04067	0.89593	5.36285	3.75889	0.61214	0.27802	0	6.14894	3.24215	1.65575	0	2.24394	5.01497	0	0	1.3725	0	2.00842	2.53117	0.18317	0	2.42238	0.7153	0.93999	38.53854	0.45473	0.89406	0	0.23347	3.92534	0.68241	0.17347	2.39212	0	1.11152	1.15749	8.80538	1.87887	3.6021	0	10.98933	0	0.47565	0.02456	0.01227	0	0	0.09523	2.67855	4.82589	0	0.42059	0	0	0	0.1353	0	0	0.49253	0	0	0	0.03606	1.76861	0.89886	0.25543	1.10166	0.63264	0.45303	0
k__Bacteria|p__Firmicutes|c__Clostridia	54.09461	50.54659	56.2214	27.15659	63.69809	35.08161	29.58693	43.05099	22.12618	89.0148	81.93612	45.88439	49.11197	63.53945	61.87566	70.18434	47.06447	45.33417	73.97363	67.84116	75.55258	70.89247	59.23924	77.9372	71.95127	56.05449	47.92887	4.57761	44.15511	5.76603	71.46941	79.58842	91.53715	66.20357	54.1738	58.82926	29.32683	73.21503	14.02497	68.08156	42.01291	62.38384	69.66889	21.77717	58.62048	65.06658	53.55804	48.45571	71.48001	8.29718	59.03598	50.51933	34.59345	52.85259	54.25857	3.92362	68.46107	21.80224	85.95386	56.40299	58.03025	93.17501	23.51637	70.353	18.46383	24.77439	36.46752	49.04298	32.92393	44.73106	36.0607	61.55443	27.11321	46.44608	40.28128	7.20685	25.6902	62.13702	19.09483	35.56271	21.15837	45.93175	81.18507	88.35371	28.59261	45.20017	22.82435	17.02895	65.74553	17.23364	21.80422	22.67535	91.54916	55.48133	35.354	65.36502	78.65166	86.40899	73.74345	66.01928	34.49258	61.7064	82.85814	60.73523	62.54391	62.84505	45.18278	31.32242	56.44	79.67128	16.6667	39.97397	30.75835	35.19862	51.7244	73.17848	72.34011	55.93262	44.38498	34.01569	64.7394	42.42891	60.38284	49.90798	52.31252	40.58729	28.47526	17.57806	54.88309	64.87187	46.88879	75.45954	28.30057	0.09527	50.75325	39.87922	60.46757	48.37418	24.98624	43.28464	34.47111	59.90411	46.51261	7.08778	65.22412	21.84166	70.93535	53.10511	63.73369	28.9989	69.06458	45.18631	37.55018	51.69178	29.74778	87.52828	78.66795	51.71038	50.15458	73.60901	66.75706	75.46674	63.20492	62.92019	78.53096	61.71137	80.66545	68.67655	73.32876	81.14685	71.66736	61.35607	55.30046	4.90542	48.28183	7.97524	74.03169	82.16345	93.96698	80.51789	72.50299	58.87099	40.51303	78.80884	37.82472	74.25963	57.66064	71.06611	73.66233	33.35267	57.47549	75.60487	57.36682	61.70451	74.77325	9.03284	62.19352	48.94983	44.51106	46.55877	60.71401	6.45656	68.89884	29.7432	89.05362	57.27358	61.0761	94.77911	23.72701	76.76924	23.03867	30.14105	48.79428	63.56919	38.10918	55.12797	33.1742	63.71532	30.66487	44.49337	12.46178	25.92592	71.37766	18.78809	41.91557	23.03244	46.97875	93.37275	28.96518	45.0577	31.53508	24.40968	68.40417	27.80663	29.84459	27.39377	95.53485	64.0057	40.92313	70.62543	79.9587	88.39121	79.24479	63.94897	44.33229	67.34972	85.72132	69.76684	71.71418	61.01352	56.95792	36.73481	62.54097	79.54324	19.78972	44.18221	41.36797	44.69251	54.85869	81.31266	78.33344	67.74456	52.33545	31.69576	62.61583	45.39537	61.72198	63.49465	60.3904	43.85906	30.44844	20.94174	52.71346	67.24638	47.88215	77.55138	29.35826	0.40555	52.48676	47.52291	74.53378	47.96652	22.78048	31.7758	30.86445	61.90511	56.50592	8.69062	66.95647	20.03945	70.36999	32.71989	36.10514	40.92239	79.30406	46.95229	75.75854	55.87555	73.26176	50.61481	35.06199	35.04302	49.17869	79.07767	47.65212	74.75267	56.74526	75.13343	52.28085
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.87019	0	0.68141	0	0	4.64137	0.55911	0	0	1.2022	7.30758	0	0	0	10.55268	0	7.84533	0.17233	4.40105	5.67976	0	6.96899	0	0.3761	0	2.79293	7.51459	0	7.94169	0.17294	0.87365	2.13693	0.21513	0.03999	1.91558	0	3.9025	1.08035	0.09574	0.82152	0.15907	1.32234	0.16024	5.65047	15.50115	0.03337	0	0.05007	0	3.85105	0.98455	2.92506	0	0	3.33331	0.83855	6.41587	0	0.13285	0.01217	10.0635	0	0	0	0	0.03317	0.38646	3.93864	0	1.9406	0	4.41425	0	0	0.18106	0.01977	0	0.34305	0.28043	5.18879	4.19651	3.62241	7.70452	0	1.51729	2.45344	0	0.38606	0	0	0.09243	0	0	3.5507	1.97948	0.62305	1.23398	0	0	0	1.65981	0.17676	3.28698	0	1.76083	1.02843	0	0	0	1.34641	0	0	0	4.59706	0.43023	0	1.82511	3.95588	0.40088	0.75891	0.05642	0	2.20654	1.15137	0.12588	0	3.30867	0.71904	0	0.78825	0.62116	1.09153	0	0.0155	0	0.39288	0	0	0.12289	0	0.68413	0	0	0	0.03494	0	3.02038	0	0.48597	0.1224	0	6.52747	1.07195	0.65819	0	1.55383	11.83357	0	0.06541	0	11.93376	0	13.69109	0.56564	5.92582	5.47763	0	9.5203	0	0.53587	0	3.92559	14.41051	0	11.89431	0.34841	1.39158	2.77386	0.70528	0.15875	2.50021	0	5.45417	1.51829	1.57278	1.19441	0.74258	2.4837	0.6061	8.36449	25.38948	0.04768	0	0.12812	0.4492	5.26098	1.67419	3.959	0	0	5.37198	2.27109	8.56799	0.06079	0.09493	0.2605	13.80509	0	0.01058	0	0	0.36508	1.05026	9.11535	0.26341	5.28097	0.2432	8.31084	0.16658	0	0.11478	0.41296	0.72341	1.69024	7.01566	6.93019	4.20065	0	1.84965	3.80547	0	1.00051	0	0.08536	0.51374	0	0.31377	4.68526	2.66467	1.62467	2.73953	0	0.1212	0	2.46218	0.56623	2.96144	0	1.83222	1.52274	0	0	0.14521	1.91593	0	0.12278	0	5.67849	0.56745	0	2.4271	7.91087	0.71178	0.97396	0.0883	0	3.3584	2.17177	0.48085	0	4.22817	1.66454	0	1.57541	2.21573	1.63542	0.23309	0.16092	0	1.05745	0.017	0.20739	0.2766	0.23001	1.00624	0.0445	0.03209	0	0.24925	0	4.30592	0	0	0	0	0	1.99043	0.26919	0	0	0	0.28407	0.19257	0	0.18454	3.67538	0.71357	0.22193	0
k__Bacteria|p__Firmicutes|c__Negativicutes	1.13824	0	0	0.10706	0.76195	0	0	0	0.70044	4.87887	0	20.10301	2.40899	0	0	0.20007	0	1.21531	0	0.68196	0	3.44663	0	1.70613	0	0	0	0	9.94379	0	0.67441	0.41459	0	1.74973	0	3.61604	1.75434	0	0	0	0	0	2.04967	0	2.10114	5.59166	0	2.38958	1.51364	0.01031	0.06782	0.19874	0	0	0	0.77844	0.19494	0	0	0	0.15805	0	0.78598	0	1.29808	3.23946	0	0.54133	9.05332	0.4204	1.25051	3.43684	4.58089	0	3.54148	0	25.68252	2.70417	7.66549	0	0	5.38032	0.02579	0	0.08155	4.38628	0	0.23297	0	0	0	0.19754	1.25021	0	0	0	5.58776	0	0	7.62515	0	0	0	0.04718	4.66294	7.06478	3.62082	0	0	0	0.06192	2.93565	0.57145	0.91321	0.2676	0	0	0.43317	2.58383	7.64902	2.05423	4.84638	2.23662	4.23123	1.21695	12.18457	0	0.04575	3.97203	1.34683	2.14509	3.1862	9.78443	0.08775	0	0.69403	0	6.44635	3.12977	1.10117	31.06205	0	6.77048	6.69953	2.46004	0	9.60918	0	0	0.41849	0.98678	0.0175	0.22165	0	1.10574	5.00165	0.15965	22.25978	2.07042	0	0	0.62817	0	1.31928	0.01678	1.14046	0	3.42075	0	1.97445	0.16107	0	0	0	10.8283	0.09426	0.3553	0.44165	0	1.70023	0	3.85309	2.37341	0.04315	0	0	0	0.20091	1.98081	0	1.96467	4.66871	0	2.41181	1.99792	0.03777	0.13158	0.3541	0	0	0	1.40542	0.20479	0	0	0	0.05482	0	1.53205	0.26051	1.51008	3.65367	0	0.64568	10.58297	0.74411	1.64172	3.32664	3.35202	0	0	23.50986	1.96466	7.11512	0	0	5.25151	0	0.09016	4.46194	0	0.15387	0	0	0	0.35123	1.37353	0.03074	0	0	5.01771	0	0	7.54833	0	0	0	0.03634	3.95743	6.68388	8.1429	0	0	0	0.21055	3.70371	0.84047	1.11544	0.39117	0	0	0.94923	3.17665	6.60114	3.06973	2.59856	2.5285	4.07756	1.40965	12.79158	0	0.07529	5.05256	1.70297	2.60303	3.02047	10.00471	0.1024	0	0.89133	0	6.82927	4.83202	1.36686	28.89999	0	7.25882	12.01245	2.71269	0	11.00705	31.72364	8.27923	2.04227	0.73916	15.26997	0	32.29286	0	0	31.78046	8.60645	3.13784	1.09993	17.18973	0.05232	32.02326	0.02854	0.16811
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56092	0.19212	0	0	0	0	0	0.10102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.93735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.20013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139	0	0	0	0	0	0	0	0	0	0.15725	0	0.66214	0.57426	0	0	0	0	0.30977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02699	0	0	0	0	0	0.20257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.62456	0	0	0	0	0	0	0	0	0	0	0	0.42863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18657	0	0	0	0	0	0	0	0	0	0.15493	0	0.46846	0.71885	0	0	0	0.12617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09966	0	0	0	0	0	0.27654	0	0	0	0	0	0	0	0	0	0.09091	0	0	0	0.01813	0	0	0	0	0	0	0.13436	0	0	0	1.27399	0	0	0.13624	0	0	0	0	0	0	0	0	0.46845	0	0.11344	0.01585	0	0	0	0.11789
