family	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	1.36164	0	0	0	0	0	0	0	0.88749	0	0.29449	23.99652	0	0	0	0	0	0	1.38461	3.32407	0	0.16824	0.73657	0	0.26896	0	0	0	0.1131	0	0	0	0	0	2.88547	0	0	0	0	0	0	5.06501	0	0	0	0	0	3.04408	0	2.26218	2.49386	0	27.89542	1.90917	0	0	0	0	4.80651	0	0	2.761	0	10.9482	0.82647	0	0	0	0	0.5063	0	0	0	0	0.55595	0	0	0	0	1.77484	0.56215	0	0	20.8437	0	0	3.19163	3.90625	0	0	0	0	0	0	0	0	0	0	5.60047	2.81834	0	0	0	0	13.90428	1.65948	0	0	0	0.03574	0	0	7.69485	0	0	0	0	3.07483	1.72533	0	11.24753	2.56904	0	0	0	0	4.68958	0.80115	0	2.7315	0	0	0.04067	0	0	0	4.07148	0	0.64624	0	0	0	0	0	0	0	1.98866	0	0	0	0	0	0	0	2.48129	0	0.55269	29.41805	0	0	0	0	0	0	1.97547	6.73914	0	0	2.02432	0	0.56511	0	0	0	0.01974	0	0	0	0	0	4.41704	0	0	0	0	0	0	9.04188	0	0	0	0.41617	0	6.18349	0	3.03755	5.44304	0	42.58908	2.76935	0	0	0	0	8.12066	0	0	7.31058	0	15.6512	1.15728	0	0	0	0.12558	0.70665	0	0	0	2.68382	0.43236	0	0	0	2.68985	0.88087	0	27.66173	0	0	5.12907	6.81517	0	0.06082	0	0	0	0	0	0	0	0	6.57648	4.67356	0	0	0	0	19.01346	6.69148	0	0	0.22984	0.116	0	0	9.62458	0	0	0	0	3.9097	3.24673	0	15.26468	3.11927	0	0	0	0	7.81085	0.70042	0.06839	4.48238	0	0.13442	0	0.26923	0	0	9.55471	0	2.04526	0	0	0	0	0	0	0	1.73898	0	0	0	0	0.56161	0	0	9.97079	3.18515	0	0	0	0	0.82662	0	0	12.60141
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0216	0	0.02013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24231	0	0	0	0	0	0	0.07662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0056	0	0.0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.21723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01508	0	0	0	0	0	0.01855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03762	0	0	0.05855	0	0	0.17532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06425	0	0	0	0	0	0	0	0	0	0	0	0.01809	0	0	0.01615	0	0	0.07578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71238	0	0	0	0	0	0	0	0	0	0	0	0	0	5.68729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16245	0.44785	0	0	0	0	1.29569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0592	0	0	0	0.47164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31466	0	0	0	0	0	0	0	0	0	0	0	0	0	3.28157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04721	0	0	0.21023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03625	0.1121	0	0	0	0	0.58858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	10.80843	9.23565	17.25108	1.24462	24.6616	39.29627	38.25378	39.63843	39.9776	0	0	7.94372	9.15176	16.5579	6.27691	19.33687	34.77644	29.49668	5.21896	0	3.98417	0	0	4.62199	2.19776	34.29043	0	70.93123	11.54073	0.90637	10.70244	1.26785	5.0721	23.05663	0	14.94903	0	13.34351	0	17.03513	22.92785	25.50793	10.26036	2.90389	0	26.71988	2.3034	19.69748	10.14565	58.85477	20.54304	13.88465	23.4953	7.74754	18.8743	0.0435	13.71277	58.93159	3.35488	21.12108	6.20654	0	40.52751	15.41453	0.33809	2.56469	53.57627	38.78869	33.9965	15.63284	7.83719	6.68083	8.18241	0	1.58988	47.46396	1.98292	16.53183	1.1811	49.83807	61.14958	0	8.69503	0	13.81363	6.87338	63.05393	70.46973	23.2447	80.39307	0.94715	57.5377	5.40056	32.97856	8.88653	1.8677	1.1604	2.19089	4.57498	0	53.84417	4.23516	0.04991	21.60481	2.44437	11.32507	33.02394	21.52589	29.74972	4.79581	62.7922	16.7294	22.12707	16.17277	0	19.18621	8.01334	20.8327	27.88322	1.16581	3.91842	16.60162	7.85895	16.0312	0	0	0	3.36086	0.88187	9.34801	18.90269	4.58336	1.78187	0.01033	5.42575	25.05628	0.0666	4.80228	0	2.32645	0	18.0795	23.67548	15.55102	0	3.77036	0	6.87286	13.77435	1.12176	20.78137	32.42407	28.68885	30.6448	35.97155	0	0.00947	6.68145	6.76848	12.62207	3.64562	14.22986	16.55881	21.36663	3.48275	0	2.22706	0	0	3.34389	1.59195	29.27919	0	62.86829	8.45245	0.63791	5.59193	0.62494	3.31159	12.92872	0	13.17013	0	9.95422	0.04694	12.1493	14.18101	17.628	5.93864	2.62097	0	18.15621	1.82654	10.67662	7.10514	56.23682	16.60019	8.84735	18.64678	4.00718	15.07419	0.0445	10.92483	51.57818	2.22163	16.77492	4.93547	0	35.78879	11.21763	0.19972	1.94061	42.70824	22.5973	26.59877	9.44318	5.35828	4.54903	6.84751	0	51.30808	1.21243	9.99853	0.92216	43.01346	55.00304	0.01671	0	10.88596	4.9375	54.92576	60.22564	16.80664	69.82116	0.95021	53.33339	2.05175	23.08304	5.17099	0.82722	1.03692	1.35649	3.64717	0	42.34641	3.34599	0.02945	15.15611	1.70671	8.50342	17.42755	19.58235	25.18527	3.81137	60.33263	15.40558	24.13532	9.60321	0	12.84863	5.22052	11.62707	22.02797	0.83034	3.22797	11.93643	6.06434	8.71446	0	0	0	3.15474	0.60288	6.45426	13.70252	2.7595	0.99588	0.02786	4.17178	17.71294	0.03485	3.24869	0	1.25256	0	16.05305	14.77675	7.16823	0	1.84211	0	1.53861	0	29.66344	0.08215	6.27743	5.34927	8.81428	3.49862	15.17863	1.44751	0.06158	19.13627	0.14697	3.82335	3.90432	8.02009	2.28525	10.50089
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	6.59247	6.91061	4.46409	1.53333	9.65773	19.3574	24.4814	6.22151	6.57288	3.44837	3.96877	1.54347	5.35676	19.20466	10.10964	6.11869	10.07938	21.78799	7.59534	1.77517	6.97007	13.84941	5.91184	1.50795	4.75003	6.3011	0.17792	0.56183	10.41952	1.8921	4.02656	2.08143	2.05508	8.7487	2.55535	3.30212	1.13143	4.44543	33.29199	0.86886	13.48646	9.33534	10.45134	9.9554	10.4458	2.5885	3.58515	3.16091	11.90797	20.99732	11.80401	6.14019	0.90282	9.99832	6.3812	0.87175	3.97645	3.10717	3.77144	10.46775	7.98154	5.00457	3.52888	13.31783	1.42158	0.92174	7.48797	6.9617	7.16401	5.24756	0.55477	3.48434	0.9095	1.02327	1.89206	4.60255	0.76597	4.04292	0.47188	9.22103	10.54381	4.58701	2.25969	10.90391	2.06549	5.61101	8.95889	2.27478	3.2561	1.47742	3.65564	7.93295	0.96475	0	12.95412	1.50181	3.28651	5.83993	9.70722	0.49483	6.23232	1.08218	5.9391	6.77131	16.63517	1.68793	9.73011	20.12965	7.94953	0	19.54475	11.51692	33.8944	0	1.29834	4.81611	3.24305	16.8393	15.24917	2.19234	1.24095	6.08112	1.05401	1.19124	1.79591	1.04172	1.54492	0.24015	2.31744	5.80175	5.68633	2.82635	0.34586	0	7.24012	1.45261	1.53691	6.90591	0.17643	0.07917	0	0.56638	1.90498	1.49131	0.48119	0.90639	3.19145	4.11062	2.81871	1.20741	7.67102	14.34738	22.27111	5.0462	4.85218	2.5769	1.50257	1.33743	3.20613	12.69225	7.3606	4.34975	5.79798	11.72139	5.08133	1.77528	3.67099	11.92527	3.96208	0.74372	3.39244	4.17893	0.06868	0.40212	7.05536	1.56441	1.64528	0.52716	1.00507	4.18292	0.82197	2.42348	0.4794	2.51575	19.23302	0.36594	9.48729	7.05028	5.96387	9.35401	3.9215	1.48374	2.43161	0.8713	7.61124	17.11495	9.0075	3.99787	0.59655	4.55958	4.35551	0.4535	2.75548	3.01682	2.28022	8.70234	6.419	2.8174	2.7809	7.85834	0.71596	0.59016	4.14985	3.64047	5.64704	3.04191	0.46169	2.06153	1.00497	0.91839	4.38088	0.83497	2.55338	0.19258	7.5906	9.62425	4.04378	5.89115	1.76176	4.14763	6.98415	1.63388	2.65404	0.99795	2.93386	6.66728	0.17759	0	7.74062	0.49152	1.70901	4.69425	6.2315	0.48691	4.8544	0.516	3.22559	4.795	10.55015	0.70478	4.05982	18.56097	6.6968	0	18.03724	9.30034	22.4213	0	0.95175	3.52777	2.20437	9.89015	11.52527	1.79409	0.94634	3.97501	0.84969	0.8815	0.87154	0.79807	0.79474	0.19867	1.51116	4.45783	3.11488	1.61185	0.27962	0	4.32451	0.85835	0.73127	3.67041	0.11629	0	0	0.21892	1.25621	0.74145	0.19759	0.59698	2.43337	0	0.29486	9.42706	0.07574	0.5605	1.44427	0.65764	8.36006	1.84352	0.21937	0.18994	5.66423	0.0373	0.36723	0.74389	0.50236	4.88425	1.50058
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	11.63427	9.43488	0.97385	3.85406	0.6418	0.66921	0	0	0.22597	0.56827	6.01043	0.38896	0.28463	0.68485	0	2.05686	0	0	0.87012	13.52979	0.03655	3.13342	0	4.77001	4.3763	0.29208	0.11077	2.71093	4.25883	0.25264	2.53757	2.17141	0	0.00691	0.2057	6.40414	16.55893	3.31238	9.36126	0.54245	3.01673	0	0.31068	0.08498	6.60596	0	2.11937	0.21967	0.49707	0.01033	0	0.22219	0	0.68984	0.78318	0	0	0	1.69282	0.91028	2.18186	0.07985	1.59644	0.15197	2.6585	3.69387	0	0	3.37145	2.70923	25.06667	8.46299	10.77463	26.31427	13.98555	0.51657	27.98718	3.7315	21.94805	0	0	26.65685	0	0	0.189	6.3516	0	1.84991	1.28089	0	1.43011	0.41968	0.36008	0	0.46706	3.47111	3.45225	0	0.21955	6.59436	0.22009	1.44237	0	0.69446	1.73788	1.70639	1.38512	0	0	8.9532	0	2.65079	0.48683	3.92068	14.14212	0.17872	0	0	0.74143	0.50906	8.40194	3.98496	8.86865	2.75713	26.7357	5.22745	36.83595	1.803	20.0154	11.40873	3.31994	1.19962	1.91599	0.03893	14.71348	0.41589	0.28745	7.82421	3.87446	42.4868	18.21817	10.08286	6.24665	67.17109	16.40029	61.51332	0.98772	9.88977	1.88175	5.26828	0.65922	0.56305	0	0	0.48886	0.71978	5.87906	1.3454	1.03488	0.85665	0	3.44073	0	0.05375	0.76047	18.62222	0.85068	4.50803	0	3.30733	5.15413	0.53239	0.48936	3.92622	4.1842	0.43934	2.38721	1.52858	0	0.0768	0.1115	7.59394	19.02614	3.45825	14.44892	0.96035	4.73011	0	0.31974	0.22161	6.9707	0.03878	3.07223	0.28452	0.84835	0	0	0.0835	0	1.69941	0.87204	0	0	0	1.76592	1.17459	2.27496	0.39541	4.11091	1.53509	3.9727	5.94651	0.06276	0.02426	6.25114	3.29084	31.89544	10.43082	16.04511	32.72968	0.97531	34.05609	5.17742	27.41438	0	0	25.57824	0	0.32586	6.97895	0	2.26574	2.08652	0.04355	2.85605	0.83857	0.32745	0	0.83469	4.44978	3.95374	0	0.4382	8.60536	0.53519	1.66879	0	1.02727	2.13876	1.95039	1.71279	0.06235	0	9.211	0	3.08148	0.63359	4.53289	15.61268	0.31758	0	0	1.09948	0.45716	11.15604	5.32368	10.59853	3.33107	23.86771	5.85265	37.35827	2.26829	23.11822	13.98159	5.74591	1.53641	4.09625	0.07778	19.77437	0.54036	0.98061	10.95414	4.87925	52.92487	27.74651	12.18513	9.4868	68.23425	17.12015	68.79451	2.55038	13.69386	50.96559	4.98808	10.10321	12.01218	6.46056	0.48002	10.22863	9.19125	16.04421	51.78677	8.57367	10.37488	15.27992	7.23548	0.38173	11.68056	11.99591
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0	0.15474	0.16736	0.03162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29703	0	0	0	0.00578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16274	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53483	0	0.25737	0	0.01144	0	0	0	0.45325	0	1.64209	0.63772	1.10835	1.49818	1.05251	0	1.63647	0	0	0	0	0.14214	0	0	0	0.02076	0	0	0.03205	0	0	0	0	0	0	0.61218	0	0	0	0	0	0.53895	0	0	0	0	0	0	0	0	0	0.01299	0	0.4831	1.096	0	0	0	0	0.26196	0	2.59756	0.93945	0.02273	0.99267	1.49249	0	0.43327	0	0.03979	1.59475	0	0.0331	0	0.40093	0	0	1.61967	0	0	0	1.15269	0	0	0	0	0	0.05091	0.1601	0.01807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53552	0.05479	0	0	0.0192	0	0	0	0	0	0	0	0.03897	0	0	0	0	0	0	0	0	0	0	0.14254	0	0	0	0	0	0	0.04807	0	0	0	0	0	0	0.35209	0	0.19249	0	0.07496	0	0	0	0.42183	0.04524	0.82259	0.12618	0.83505	1.36046	0	0.60369	0	0	0	0	0.10537	0	0	0.07094	0	0	0.03193	0	0	0.01584	0	0	0	0.25909	0	0	0	0	0	0.23098	0	0.01702	0	0	0	0	0	0	0	0.03039	0	0.22585	0.68962	0	0	0	0	0.23284	0	1.80367	0.80284	0.16731	0.53939	1.29477	0	0.39762	0	0.11068	0.7313	0	0	0	0.18164	0	0	0.80476	0	0	0	0.7826	0	0	0	0	0	0.84501	0.09254	0	0.33268	0.64218	0	0	0	0.10967	0.72585	0.297	0	0.30855	0.27484	0	0	0.07389	0.1579
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0	1.67754	0.4342	0	0	0	0	1.27377	0.18626	0	0	0	1.21173	0	0	0	0	0	0	0.35235	0	0.03872	2.90477	0.18776	1.18049	0	0	0.65966	0.52259	0.02075	0.04836	0.14776	0	0	0.14322	0.13375	7.2598	0.01491	0.46011	0.54742	0	0	0	0	0	0	0.22352	0	0	0	0	0	0	0	0.62658	0	0	0	0.10645	0.35236	0.89035	0	0.25065	0	0.33335	1.19808	0	0	0.46215	1.53847	10.55662	1.71361	5.12854	7.74486	5.4986	0.12998	2.46522	1.86598	5.13457	0	0	1.22281	0	0	0	3.99744	0	0.17445	0.60697	0	0	0.05338	0.07289	0	0	0.03594	1.33128	0	0	0	0.04457	0	0	0	0.03794	0	0	0	0	2.7751	0	0.34704	0	0.56514	6.40357	0	0	0	0.13525	0.01608	0.21961	1.94419	2.86779	0.3664	0	2.52378	0	0.16863	1.68141	0.45281	1.17116	0.53375	0	0	1.0182	0	0	7.36574	0.93719	2.92707	0	1.13432	0.52534	0	5.42156	2.21084	0	1.59302	0.48836	0	0	0	0	1.96194	0.26952	0	0.15521	0.06097	0.76841	0	0	0.03497	0	0	0	0.47484	0.16795	0.15316	3.43235	0.35442	1.62661	0	0	1.14067	0.2688	0.07734	0.11824	0.253	0	0	0	0.28826	7.13951	0.09012	0.77379	0.64768	0.11255	0	0.11277	0	0	0	0.40314	0	0.02074	0	0	0	0	0.36636	0.41768	0	0	0	0.08558	0.63197	0.97454	0	0.87632	0	0.76691	1.11923	0	0	0.87222	1.95997	11.68274	2.20304	7.11917	9.87643	0.33516	2.15773	1.66834	5.27937	0	0	1.06527	0	0	4.08907	0	0.14939	0.8623	0	0	0.06215	0.11959	0	0	0.53237	0.9715	0	0	0	0	0	0	0.13013	0.17732	0.11548	0	0	0	3.65664	0	0.35589	0	0.73637	7.50987	0	0	0	0.31071	0.15051	1.20116	2.66478	3.94677	0.67948	0	3.08462	0	0.20589	2.98126	0.78305	2.46805	0.56053	0.52665	0	2.0046	0	0	8.19204	0.8372	4.77507	0	1.32084	1.17637	0	4.80519	3.49456	0.11609	0.99362	0.87407	1.06969	4.38412	2.95318	5.3517	0	1.34827	1.0451	1.46484	1.29467	2.02594	4.64445	3.61478	4.75767	0.035	1.91957	1.73575
