genus	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	1.36164	0	0	0	0	0	0	0	0.88749	0	0.29449	23.99652	0	0	0	0	0	0	1.38461	3.32407	0	0.16824	0.73657	0	0.26896	0	0	0	0.1131	0	0	0	0	0	2.88547	0	0	0	0	0	0	4.81305	0	0	0	0	0	3.04408	0	2.09211	1.77951	0	27.89542	1.75516	0	0	0	0	4.80651	0	0	2.761	0	10.9482	0.82647	0	0	0	0	0.5063	0	0	0	0	0.55595	0	0	0	0	1.77484	0.56215	0	0	20.8437	0	0	3.19163	3.90625	0	0	0	0	0	0	0	0	0	0	5.60047	2.45851	0	0	0	0	13.90428	1.47502	0	0	0	0.03574	0	0	7.69485	0	0	0	0	3.07483	1.72533	0	11.24753	2.56904	0	0	0	0	4.68958	0.80115	0	2.7315	0	0	0.04067	0	0	0	4.07148	0	0.64624	0	0	0	0	0	0	0	1.98866	0	0	0	0	0	0	0	2.48129	0	0.55269	29.41805	0	0	0	0	0	0	1.97547	6.73914	0	0	2.02432	0	0.47509	0	0	0	0.01974	0	0	0	0	0	4.41704	0	0	0	0	0	0	7.9626	0	0	0	0.41617	0	6.18349	0	2.64793	4.30887	0	42.58908	2.34719	0	0	0	0	8.12066	0	0	7.31058	0	15.6512	1.15728	0	0	0	0.12558	0.70665	0	0	0	2.68382	0.43236	0	0	0	2.68985	0.88087	0	27.66173	0	0	5.00374	6.81517	0	0.06082	0	0	0	0	0	0	0	0	6.57648	3.85799	0	0	0	0	19.01346	5.58341	0	0	0.22984	0.116	0	0	9.62458	0	0	0	0	3.9097	3.24673	0	15.26468	3.11927	0	0	0	0	7.81085	0.70042	0.06839	4.48238	0	0.13442	0	0.26923	0	0	9.40168	0	2.04526	0	0	0	0	0	0	0	1.73898	0	0	0	0	0.56161	0	0	9.97079	3.18515	0	0	0	0	0.82662	0	0	12.60141
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25195	0	0	0	0	0	0	0	0.17007	0.71436	0	0	0.15401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35983	0	0	0	0	0	0.18446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07928	0	0	0	0	0	0	0	0.38962	1.13416	0	0	0.42216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12533	0	0	0	0	0	0	0	0	0	0	0	0	0.81557	0	0	0	0	0	1.10807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0216	0	0.02013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24231	0	0	0	0	0	0	0.07662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0056	0	0.0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0.21723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01508	0	0	0	0	0	0.01855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03762	0	0	0.05855	0	0	0.17532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06425	0	0	0	0	0	0	0	0	0	0	0	0.01809	0	0	0.01615	0	0	0.07578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71238	0	0	0	0	0	0	0	0	0	0	0	0	0	5.68729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16245	0.44785	0	0	0	0	1.29569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0592	0	0	0	0.47164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31466	0	0	0	0	0	0	0	0	0	0	0	0	0	3.28157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04721	0	0	0.21023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03625	0.1121	0	0	0	0	0.58858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10963	0	0	0	0	0	0.0435	0	0	0	0	0	0	0	0	0	0.16749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13946	0	0	0	0	0	0.0445	0	0	0	0	0	0	0	0	0	0.26434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	10.80843	9.23565	17.25108	1.24462	24.6616	39.29627	38.25378	39.63843	39.9776	0	0	7.94372	9.15176	16.5579	6.27691	19.33687	34.66012	29.49668	5.21896	0	3.98417	0	0	4.62199	2.19776	34.29043	0	70.93123	11.54073	0.90637	10.70244	1.26785	5.0721	23.05663	0	14.94903	0	13.34351	0	17.03513	22.92785	25.50793	10.26036	2.90389	0	26.71988	2.3034	19.69748	10.14565	58.74514	20.54304	13.88465	23.4953	7.74754	18.8743	0	13.71277	58.93159	3.35488	21.12108	6.20654	0	40.52751	15.41453	0.33809	2.36156	53.57627	38.78869	33.9965	15.63284	7.83719	6.68083	8.18241	0	1.58988	47.46396	1.98292	16.53183	1.1811	49.83807	61.14958	0	8.69503	0	13.81363	6.87338	63.05393	70.46973	23.2447	80.39307	0.94715	57.5377	5.40056	32.97856	8.88653	1.8677	1.1604	2.19089	4.57498	0	53.84417	4.23516	0.04991	21.60481	2.44437	11.32507	33.02394	21.52589	29.74972	4.79581	62.7922	16.7294	22.12707	16.17277	0	19.18621	8.01334	20.8327	27.88322	1.16581	3.91842	16.60162	7.85895	16.0312	0	0	0	3.36086	0.88187	9.34801	18.90269	4.58336	1.78187	0.01033	5.42575	25.05628	0.0666	4.80228	0	2.32645	0	18.0795	23.67548	15.55102	0	3.77036	0	6.87286	13.77435	1.12176	20.78137	32.42407	28.68885	30.6448	35.97155	0	0.00947	6.68145	6.76848	12.62207	3.64562	14.22986	16.26282	21.36663	3.48275	0	2.22706	0	0	3.34389	1.59195	29.27919	0	62.86829	8.45245	0.63791	5.59193	0.62494	3.31159	12.92872	0	13.17013	0	9.95422	0.04694	12.1493	14.18101	17.628	5.93864	2.62097	0	18.15621	1.82654	10.67662	7.10514	56.09737	16.60019	8.84735	18.64678	4.00718	15.07419	0	10.92483	51.57818	2.22163	16.77492	4.93547	0	35.78879	11.21763	0.19972	1.6261	42.70824	22.5973	26.59877	9.44318	5.35828	4.54903	6.84751	0	51.30808	1.21243	9.99853	0.92216	43.01346	55.00304	0.01671	0	10.88596	4.9375	54.92576	60.22564	16.80664	69.82116	0.95021	53.33339	2.05175	23.08304	5.17099	0.82722	1.03692	1.35649	3.64717	0	42.34641	3.34599	0.02945	15.15611	1.70671	8.50342	17.42755	19.58235	25.18527	3.81137	60.33263	15.40558	24.13532	9.60321	0	12.84863	5.22052	11.62707	22.02797	0.83034	3.22797	11.93643	6.06434	8.71446	0	0	0	3.15474	0.60288	6.45426	13.70252	2.7595	0.99588	0.02786	4.17178	17.71294	0.03485	3.24869	0	1.25256	0	16.05305	14.77675	7.16823	0	1.84211	0	1.53861	0	29.66344	0.08215	6.27743	5.34927	8.81428	3.49862	15.17863	1.44751	0.06158	19.13627	0.14697	3.82335	3.90432	8.02009	2.28525	10.50089
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
