order	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	1.36164	0	0	0	0	0	0	0	0.88749	0	0.29449	23.99652	0	0	0	0	0	0	1.38461	3.32407	0	0.16824	0.73657	0	0.26896	0	0	0	0.1131	0	0	0	0	0	2.88547	0	0	0	0	0	0	5.06501	0	0	0	0	0	3.04408	0	2.26218	2.49386	0	27.89542	1.90917	0	0	0	0	4.80651	0	0	2.761	0	10.9482	0.82647	0	0	0	0	0.5063	0	0	0	0	0.55595	0	0	0	0	1.77484	0.56215	0	0	20.8437	0	0	3.19163	3.90625	0	0	0	0	0	0	0	0	0	0	5.60047	2.81834	0	0	0	0	13.90428	1.65948	0	0	0	0.03574	0	0	7.69485	0	0	0	0	3.07483	1.72533	0	11.24753	2.56904	0	0	0	0	4.68958	0.80115	0	2.7315	0	0	0.04067	0	0	0	4.07148	0	0.64624	0	0	0	0	0	0	0	1.98866	0	0	0	0	0	0	0	2.48129	0	0.55269	29.41805	0	0	0	0	0	0	1.97547	6.73914	0	0	2.02432	0	0.56511	0	0	0	0.01974	0	0	0	0	0	4.41704	0	0	0	0	0	0	9.04188	0	0	0	0.41617	0	6.18349	0	3.03755	5.44304	0	42.58908	2.76935	0	0	0	0	8.12066	0	0	7.31058	0	15.6512	1.15728	0	0	0	0.12558	0.70665	0	0	0	2.68382	0.43236	0	0	0	2.68985	0.88087	0	27.66173	0	0	5.12907	6.81517	0	0.06082	0	0	0	0	0	0	0	0	6.57648	4.67356	0	0	0	0	19.01346	6.69148	0	0	0.22984	0.116	0	0	9.62458	0	0	0	0	3.9097	3.24673	0	15.26468	3.11927	0	0	0	0	7.81085	0.70042	0.06839	4.48238	0	0.13442	0	0.26923	0	0	9.55471	0	2.04526	0	0	0	0	0	0	0	1.73898	0	0	0	0	0.56161	0	0	9.97079	3.18515	0	0	0	0	0.82662	0	0	12.60141
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.21723	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5181	0	0	0	0	0	0	0	0	0	0.01508	0	0	0	0	0.0216	0.01855	0.02013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35639	0	0	0.03762	0	0.24231	0.05855	0	0	0.17532	0	0	0.07662	0	5.68729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06358	0.16245	0.44785	0	0	0	0	1.29569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47942	0	0	0	0	0	0	0	0.55123	0	0	0	0	0	0	0	0	0	0	0	0	0.0592	0	0	0	0.47164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0056	0	0.0062	0	0	0	0	0	0.06425	0	0	0	0	0	0	0	0	0.31466	0	0	0.01809	0	0.12467	0.01615	0	0	0.07578	0	0	0	0	3.28157	0	0	0	0	0	0	0	0	0	0	0	0.04836	0	0	0.04721	0	0	0.46471	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03625	0.1121	0	0	0	0	0.58858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24736	0	0	0	0	0	0	0	0.47446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	10.80843	9.23565	17.25108	1.24462	24.6616	39.29627	38.25378	39.63843	39.9776	0	0	7.94372	9.15176	16.5579	6.27691	19.33687	34.77644	29.49668	5.21896	0	3.98417	0	0	4.62199	2.19776	34.29043	0	70.93123	11.54073	0.90637	10.70244	1.26785	5.0721	23.05663	0	14.94903	0	13.34351	0	17.03513	22.92785	25.50793	10.26036	2.90389	0	26.71988	2.3034	19.69748	10.14565	58.85477	20.54304	13.88465	23.4953	7.74754	18.8743	0.0435	13.71277	58.93159	3.35488	21.12108	6.20654	0	40.52751	15.41453	0.33809	2.56469	53.57627	38.78869	33.9965	15.63284	7.83719	6.68083	8.18241	0	1.58988	47.46396	1.98292	16.53183	1.1811	49.83807	61.14958	0	8.69503	0	13.81363	6.87338	63.05393	70.46973	23.2447	80.39307	0.94715	57.5377	5.40056	32.97856	8.88653	1.8677	1.1604	2.19089	4.57498	0	53.84417	4.23516	0.04991	21.60481	2.44437	11.32507	33.02394	21.52589	29.74972	4.79581	62.7922	16.7294	22.12707	16.17277	0	19.18621	8.01334	20.8327	27.88322	1.16581	3.91842	16.60162	7.85895	16.0312	0	0	0	3.36086	0.88187	9.34801	18.90269	4.58336	1.78187	0.01033	5.42575	25.05628	0.0666	4.80228	0	2.32645	0	18.0795	23.67548	15.55102	0	3.77036	0	6.87286	13.77435	1.12176	20.78137	32.42407	28.68885	30.6448	35.97155	0	0.00947	6.68145	6.76848	12.62207	3.64562	14.22986	16.55881	21.36663	3.48275	0	2.22706	0	0	3.34389	1.59195	29.27919	0	62.86829	8.45245	0.63791	5.59193	0.62494	3.31159	12.92872	0	13.17013	0	9.95422	0.04694	12.1493	14.18101	17.628	5.93864	2.62097	0	18.15621	1.82654	10.67662	7.10514	56.23682	16.60019	8.84735	18.64678	4.00718	15.07419	0.0445	10.92483	51.57818	2.22163	16.77492	4.93547	0	35.78879	11.21763	0.19972	1.94061	42.70824	22.5973	26.59877	9.44318	5.35828	4.54903	6.84751	0	51.30808	1.21243	9.99853	0.92216	43.01346	55.00304	0.01671	0	10.88596	4.9375	54.92576	60.22564	16.80664	69.82116	0.95021	53.33339	2.05175	23.08304	5.17099	0.82722	1.03692	1.35649	3.64717	0	42.34641	3.34599	0.02945	15.15611	1.70671	8.50342	17.42755	19.58235	25.18527	3.81137	60.33263	15.40558	24.13532	9.60321	0	12.84863	5.22052	11.62707	22.02797	0.83034	3.22797	11.93643	6.06434	8.71446	0	0	0	3.15474	0.60288	6.45426	13.70252	2.7595	0.99588	0.02786	4.17178	17.71294	0.03485	3.24869	0	1.25256	0	16.05305	14.77675	7.16823	0	1.84211	0	1.53861	0	29.66344	0.08215	6.27743	5.34927	8.81428	3.49862	15.17863	1.44751	0.06158	19.13627	0.14697	3.82335	3.90432	8.02009	2.28525	10.50089
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	6.59247	6.91061	4.46409	1.53333	9.65773	19.3574	24.4814	6.22151	6.57288	3.44837	3.96877	1.54347	5.35676	19.20466	10.10964	6.11869	10.07938	21.78799	7.59534	1.77517	6.97007	13.84941	5.91184	1.50795	4.75003	6.3011	0.17792	0.56183	10.41952	1.8921	4.02656	2.08143	2.05508	8.7487	2.55535	3.30212	1.13143	4.44543	33.29199	0.86886	13.48646	9.33534	10.45134	9.9554	10.4458	2.5885	3.58515	3.16091	11.90797	20.99732	11.80401	6.14019	0.90282	9.99832	6.3812	0.87175	3.97645	3.10717	3.77144	10.46775	7.98154	5.00457	3.52888	13.31783	1.42158	0.92174	7.48797	6.9617	7.16401	5.24756	0.55477	3.48434	0.9095	1.02327	1.89206	4.60255	0.76597	4.04292	0.47188	9.22103	10.54381	4.58701	2.25969	10.90391	2.06549	5.61101	8.95889	2.27478	3.2561	1.47742	3.65564	7.93295	0.96475	0	12.95412	1.50181	3.28651	5.83993	9.70722	0.49483	6.23232	1.08218	5.9391	6.77131	16.63517	1.68793	9.73011	20.12965	7.94953	0	19.54475	11.51692	33.8944	0	1.29834	4.81611	3.24305	16.8393	15.24917	2.19234	1.24095	6.08112	1.05401	1.19124	1.79591	1.04172	1.54492	0.24015	2.31744	5.80175	5.68633	2.82635	0.34586	0	7.24012	1.45261	1.53691	6.90591	0.17643	0.07917	0	0.56638	1.90498	1.49131	0.48119	0.90639	3.19145	4.11062	2.81871	1.20741	7.67102	14.34738	22.27111	5.0462	4.85218	2.5769	1.50257	1.33743	3.20613	12.69225	7.3606	4.34975	5.79798	11.72139	5.08133	1.77528	3.67099	11.92527	3.96208	0.74372	3.39244	4.17893	0.06868	0.40212	7.05536	1.56441	1.64528	0.52716	1.00507	4.18292	0.82197	2.42348	0.4794	2.51575	19.23302	0.36594	9.48729	7.05028	5.96387	9.35401	3.9215	1.48374	2.43161	0.8713	7.61124	17.11495	9.0075	3.99787	0.59655	4.55958	4.35551	0.4535	2.75548	3.01682	2.28022	8.70234	6.419	2.8174	2.7809	7.85834	0.71596	0.59016	4.14985	3.64047	5.64704	3.04191	0.46169	2.06153	1.00497	0.91839	4.38088	0.83497	2.55338	0.19258	7.5906	9.62425	4.04378	5.89115	1.76176	4.14763	6.98415	1.63388	2.65404	0.99795	2.93386	6.66728	0.17759	0	7.74062	0.49152	1.70901	4.69425	6.2315	0.48691	4.8544	0.516	3.22559	4.795	10.55015	0.70478	4.05982	18.56097	6.6968	0	18.03724	9.30034	22.4213	0	0.95175	3.52777	2.20437	9.89015	11.52527	1.79409	0.94634	3.97501	0.84969	0.8815	0.87154	0.79807	0.79474	0.19867	1.51116	4.45783	3.11488	1.61185	0.27962	0	4.32451	0.85835	0.73127	3.67041	0.11629	0	0	0.21892	1.25621	0.74145	0.19759	0.59698	2.43337	0	0.29486	9.42706	0.07574	0.5605	1.44427	0.65764	8.36006	1.84352	0.21937	0.18994	5.66423	0.0373	0.36723	0.74389	0.50236	4.88425	1.50058
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	14.01413	11.80957	3.0376	3.90886	0.6418	0.66921	0	2.027	0.41223	0.56827	6.78753	0.38896	2.4716	0.68485	0	4.16002	0.23438	0	0.87012	13.88214	0.81469	3.18879	28.17707	11.40061	12.80095	0.29208	0.11077	5.56582	10.26418	0.65196	2.85862	2.7015	0	0.00691	1.14433	6.96834	25.1391	3.95842	9.82137	2.54564	5.99503	0.31442	2.31037	0.59443	6.60596	0	3.16598	0.25227	1.21917	0.01033	0	0.22219	0	0.68984	1.40976	0	0	0	2.17929	2.27659	6.00888	0.07985	7.46842	0.15197	9.28161	24.33457	0.01655	0	6.03634	4.62817	52.84133	16.37097	27.20818	51.02049	35.76171	0.73433	41.35923	9.41669	46.01675	0	0.03973	37.15919	0	0.74238	1.01592	12.29921	0	3.7739	3.655	0	1.9799	8.56145	0.67828	0	0.46706	6.25546	8.24064	0	0.35421	13.08853	0.2821	6.10358	0	1.22508	3.32694	1.70639	1.80646	0	0	12.78579	0	7.22179	0.71903	9.73412	35.30645	0.17872	0	0.50155	3.94789	2.64111	19.74347	16.44512	22.32659	13.35731	37.21453	19.98076	39.35485	3.80448	36.24808	14.07963	18.84854	2.02055	57.52055	0.10855	32.32075	0.41589	0.96705	24.20996	70.77723	47.07603	18.21817	16.29626	9.98295	67.17109	22.35109	69.48997	3.25645	11.63703	3.63435	5.47244	0.65922	0.56305	0	2.39944	0.75839	0.71978	7.18836	1.43219	2.12517	0.85665	0	5.09055	0.578	0.05375	0.76047	19.13331	1.79503	4.89517	17.95416	7.7263	13.57772	0.53239	0.48936	7.20429	8.38337	1.15887	2.62773	1.9474	0	0.0768	0.1115	8.47836	27.12843	4.03205	15.2807	2.61019	8.41635	0.32102	2.0189	0.88723	6.9707	0.03878	4.18728	0.28452	1.45383	0	0	0.0835	0	2.17267	1.28972	0	0	0	2.02154	2.52518	5.11137	0.39541	9.63566	1.53509	9.63512	28.58844	0.06276	0.02426	9.40079	5.6054	57.09139	15.78241	32.60294	53.14419	1.52259	41.51214	9.91002	54.34485	0	0.19106	35.34383	0.7361	0.95982	12.64867	0	4.11762	4.58128	0.04355	3.32069	7.44146	0.44704	0	0.83469	6.49324	7.07522	0	0.66705	13.23306	0.54005	4.78058	0	1.44489	3.33898	2.06586	2.08855	0.15782	0	13.44267	0	6.88634	0.76438	9.41259	33.72411	0.31758	0	0.57424	3.67921	2.59755	21.4683	17.85695	21.24088	10.61405	29.95564	20.27903	39.15123	3.93738	37.95101	16.36572	18.07629	2.31961	56.25532	0.14321	34.39833	0.54036	1.42982	25.22414	71.50259	59.23928	27.74651	17.10624	13.28577	68.23425	22.61643	75.83721	5.06844	23.72398	52.9948	7.8766	19.66359	28.73425	14.2286	0.48002	14.87956	21.96946	22.37608	54.51052	12.48931	18.60267	28.1607	14.03519	0.41673	16.87852	22.44682
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07777	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37996	0	0	0	0	0	0	0	0	0	0	0	0.32785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27383	0	0	0	0	0	0	0	0	0	0	0.08234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	11.06458	19.88872	1.34252	0.88563	0.45292	0.44997	2.90347	4.69249	0	0	0	0.1515	0	0.01314	9.66702	0	0	0.69967	0	0	0	0	0.20755	0.82534	4.80509	0	9.49385	13.60201	0	2.3049	8.99529	9.94417	0	0.11524	0	0.50865	1.93406	2.10137	0	0.51636	0	0.88471	0.03412	0.20127	0.33518	0	0.42557	8.23797	0	7.41107	5.0804	22.49561	1.13614	0	0.59212	22.33806	2.88504	1.89421	2.8466	0.09045	1.34254	1.74057	0	0.40506	0.9548	5.56842	0.74062	0	0	0	0	0	1.34593	0	0	0	2.3824	0	0.23164	0	0.72666	0	0	0	0.49471	19.21175	1.88905	0.1724	0	0.22373	0.80312	2.95087	0	5.94717	39.42815	2.44342	0	5.37228	2.87314	0.07785	0.08276	0	5.208	2.096	0.87221	0	1.0019	2.60189	0	0	0.77608	0	1.16185	1.71745	0	0	2.21842	0.20909	0.44463	26.80183	0	0.1203	0	0	3.14682	0.55697	0.07911	1.30402	0	0.49851	0.2827	7.01341	0.99744	1.92265	0	6.75	0	0.02816	0	0	0.05054	0	0	1.44806	3.84395	0	0.10671	21.8904	2.01835	1.68632	0.73902	0.71904	4.53846	5.48053	0.47447	0.13827	0	0.9202	0	0.22001	9.83132	0.23494	0.1692	1.23426	0.24332	0	0	0.14583	0.78749	1.58225	7.36473	0.16273	13.31504	20.999	0.34944	3.84299	13.89621	10.78851	0	0.43469	0	0.82046	2.81562	2.5021	0	1.17372	0.37104	1.14436	0.63533	0.38236	0.38157	0	0.88865	12.99379	0	11.85279	7.35546	27.57266	1.86874	0	1.15022	32.8823	4.12543	2.65856	3.25581	0.21545	1.93799	2.00808	0.00673	2.13576	2.34587	8.17403	2.58805	0	0.16828	0	0	0	1.96953	0	0	4.31523	0	0.30421	0	1.85227	0.88745	0	0.69403	21.01812	3.24548	0.88062	0.40578	0.6305	1.45811	4.32978	0.10146	7.01869	41.33799	5.04067	0.89593	5.36285	3.75889	0.61214	0.27802	0	6.14894	3.24215	1.65575	0	2.24394	5.01497	0	0	1.3725	0	2.00842	2.25735	0.18317	0	2.42238	0.7153	0.93999	38.53854	0.45473	0.89406	0	0.23347	3.843	0.68241	0.17347	2.39212	0	1.11152	1.15749	8.80538	1.87887	3.6021	0	10.98933	0	0.47565	0.02456	0.01227	0	0	0.09523	2.67855	4.82589	0	0.42059	0	0	0	0.1353	0	0	0.49253	0	0	0	0.03606	1.76861	0.89886	0.25543	1.10166	0.63264	0.45303	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	54.09461	50.54659	56.2214	27.15659	63.69809	35.08161	29.58693	43.05099	22.12618	89.0148	81.93612	45.88439	49.11197	63.53945	61.87566	70.18434	47.06447	45.33417	73.97363	67.84116	75.55258	70.89247	59.23924	77.9372	71.95127	56.05449	47.92887	4.57761	44.15511	5.76603	71.46941	79.58842	91.53715	66.20357	54.1738	58.82926	29.32683	73.21503	14.02497	68.08156	42.01291	62.38384	69.66889	21.77717	58.62048	65.06658	53.55804	48.45571	71.48001	8.29718	59.03598	50.51933	34.59345	52.85259	54.25857	3.92362	68.46107	21.80224	85.95386	56.40299	58.03025	93.17501	23.51637	70.353	18.46383	24.77439	36.46752	49.04298	32.92393	44.73106	36.0607	61.55443	27.11321	46.44608	40.28128	7.20685	25.6902	62.13702	19.09483	35.56271	21.15837	45.93175	81.18507	88.35371	28.59261	45.20017	22.82435	17.02895	65.74553	17.23364	21.80422	22.67535	91.54916	55.48133	35.354	65.36502	78.65166	86.40899	73.74345	66.01928	34.49258	61.7064	82.85814	60.73523	62.54391	62.84505	45.18278	31.32242	56.44	79.67128	16.6667	39.97397	30.75835	35.19862	51.7244	73.17848	72.34011	55.93262	44.38498	34.01569	64.7394	42.42891	60.38284	49.90798	52.31252	40.58729	28.47526	17.57806	54.88309	64.87187	46.88879	75.45954	28.30057	0.09527	50.75325	39.87922	60.46757	48.37418	24.98624	43.28464	34.47111	59.90411	46.51261	7.08778	65.22412	21.84166	70.93535	53.10511	63.73369	28.9989	69.06458	45.18631	37.55018	51.69178	29.74778	87.52828	78.66795	51.71038	50.15458	73.60901	66.75706	75.46674	63.20492	62.92019	78.53096	61.71137	80.66545	68.67655	73.32876	81.14685	71.66736	61.35607	55.30046	4.90542	48.28183	7.97524	74.03169	82.16345	93.96698	80.51789	72.50299	58.87099	40.51303	78.80884	37.82472	74.25963	57.66064	71.06611	73.66233	33.35267	57.47549	75.60487	57.36682	61.70451	74.77325	9.03284	62.19352	48.94983	44.51106	46.55877	60.71401	6.45656	68.89884	29.7432	89.05362	57.27358	61.0761	94.77911	23.72701	76.76924	23.03867	30.14105	48.79428	63.56919	38.10918	55.12797	33.1742	63.71532	30.66487	44.49337	12.46178	25.92592	71.37766	18.78809	41.91557	23.03244	46.97875	93.37275	28.96518	45.0577	31.53508	24.40968	68.40417	27.80663	29.84459	27.39377	95.53485	64.0057	40.92313	70.62543	79.9587	88.39121	79.24479	63.94897	44.33229	67.34972	85.72132	69.76684	71.71418	61.01352	56.95792	36.73481	62.54097	79.54324	19.78972	44.18221	41.36797	44.69251	54.85869	81.31266	78.33344	67.74456	52.33545	31.69576	62.61583	45.39537	61.72198	63.49465	60.3904	43.85906	30.44844	20.94174	52.71346	67.24638	47.88215	77.55138	29.35826	0.40555	52.48676	47.52291	74.53378	47.96652	22.78048	31.7758	30.86445	61.90511	56.50592	8.69062	66.95647	20.03945	70.36999	32.71989	36.10514	40.92239	79.30406	46.95229	75.75854	55.87555	73.26176	50.61481	35.06199	35.04302	49.17869	79.07767	47.65212	74.75267	56.74526	75.13343	52.28085
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.87019	0	0.68141	0	0	4.64137	0.55911	0	0	1.2022	7.30758	0	0	0	10.55268	0	7.84533	0.17233	4.40105	5.67976	0	6.96899	0	0.3761	0	2.79293	7.51459	0	7.94169	0.17294	0.87365	2.13693	0.21513	0.03999	1.91558	0	3.9025	1.08035	0.09574	0.82152	0.15907	1.32234	0.16024	5.65047	15.50115	0.03337	0	0.05007	0	3.85105	0.98455	2.92506	0	0	3.33331	0.83855	6.41587	0	0.13285	0.01217	10.0635	0	0	0	0	0.03317	0.38646	3.93864	0	1.9406	0	4.41425	0	0	0.18106	0.01977	0	0.34305	0.28043	5.18879	4.19651	3.62241	7.70452	0	1.51729	2.45344	0	0.38606	0	0	0.09243	0	0	3.5507	1.97948	0.62305	1.23398	0	0	0	1.65981	0.17676	3.28698	0	1.76083	1.02843	0	0	0	1.34641	0	0	0	4.59706	0.43023	0	1.82511	3.95588	0.40088	0.75891	0.05642	0	2.20654	1.15137	0.12588	0	3.30867	0.71904	0	0.78825	0.62116	1.09153	0	0.0155	0	0.39288	0	0	0.12289	0	0.68413	0	0	0	0.03494	0	3.02038	0	0.48597	0.1224	0	6.52747	1.07195	0.65819	0	1.55383	11.83357	0	0.06541	0	11.93376	0	13.69109	0.56564	5.92582	5.47763	0	9.5203	0	0.53587	0	3.92559	14.41051	0	11.89431	0.34841	1.39158	2.77386	0.70528	0.15875	2.50021	0	5.45417	1.51829	1.57278	1.19441	0.74258	2.4837	0.6061	8.36449	25.38948	0.04768	0	0.12812	0.4492	5.26098	1.67419	3.959	0	0	5.37198	2.27109	8.56799	0.06079	0.09493	0.2605	13.80509	0	0.01058	0	0	0.36508	1.05026	9.11535	0.26341	5.28097	0.2432	8.31084	0.16658	0	0.11478	0.41296	0.72341	1.69024	7.01566	6.93019	4.20065	0	1.84965	3.80547	0	1.00051	0	0.08536	0.51374	0	0.31377	4.68526	2.66467	1.62467	2.73953	0	0.1212	0	2.46218	0.56623	2.96144	0	1.83222	1.52274	0	0	0.14521	1.91593	0	0.12278	0	5.67849	0.56745	0	2.4271	7.91087	0.71178	0.97396	0.0883	0	3.3584	2.17177	0.48085	0	4.22817	1.66454	0	1.57541	2.21573	1.63542	0.23309	0.16092	0	1.05745	0.017	0.20739	0.2766	0.23001	1.00624	0.0445	0.03209	0	0.24925	0	4.30592	0	0	0	0	0	1.99043	0.26919	0	0	0	0.28407	0.19257	0	0.18454	3.67538	0.71357	0.22193	0
