phylum	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
k__Archaea|p__Euryarchaeota	0	1.36164	0	0	0	0	0	0	0	0.88749	0	0.29449	23.99652	0	0	0	0	0	0	1.38461	3.32407	0	0.16824	0.73657	0	0.26896	0	0	0	0.1131	0	0	0	0	0	2.88547	0	0	0	0	0	0	5.06501	0	0	0	0	0	3.04408	0	2.26218	2.49386	0	27.89542	1.90917	0	0	0	0	4.80651	0	0	2.761	0	10.9482	0.82647	0	0	0	0	0.5063	0	0	0	0	0.55595	0	0	0	0	1.77484	0.56215	0	0	20.8437	0	0	3.19163	3.90625	0	0	0	0	0	0	0	0	0	0	5.60047	2.81834	0	0	0	0	13.90428	1.65948	0	0	0	0.03574	0	0	7.69485	0	0	0	0	3.07483	1.72533	0	11.24753	2.56904	0	0	0	0	4.68958	0.80115	0	2.7315	0	0	0.04067	0	0	0	4.07148	0	0.64624	0	0	0	0	0	0	0	1.98866	0	0	0	0	0	0	0	2.48129	0	0.55269	29.41805	0	0	0	0	0	0	1.97547	6.73914	0	0	2.02432	0	0.56511	0	0	0	0.01974	0	0	0	0	0	4.41704	0	0	0	0	0	0	9.04188	0	0	0	0.41617	0	6.18349	0	3.03755	5.44304	0	42.58908	2.76935	0	0	0	0	8.12066	0	0	7.31058	0	15.6512	1.15728	0	0	0	0.12558	0.70665	0	0	0	2.68382	0.43236	0	0	0	2.68985	0.88087	0	27.66173	0	0	5.12907	6.81517	0	0.06082	0	0	0	0	0	0	0	0	6.57648	4.67356	0	0	0	0	19.01346	6.69148	0	0	0.22984	0.116	0	0	9.62458	0	0	0	0	3.9097	3.24673	0	15.26468	3.11927	0	0	0	0	7.81085	0.70042	0.06839	4.48238	0	0.13442	0	0.26923	0	0	9.55471	0	2.04526	0	0	0	0	0	0	0	1.73898	0	0	0	0	0.56161	0	0	9.97079	3.18515	0	0	0	0	0.82662	0	0	12.60141
k__Bacteria|p__Actinobacteria	17.61813	16.14626	21.71517	2.77795	34.31933	58.65367	62.73518	45.85994	46.55048	3.44837	3.96877	9.48719	14.50852	35.76256	17.90464	25.45556	44.85582	51.28467	12.81429	1.77517	10.95424	13.84941	5.91184	6.12995	6.96287	40.59153	0.17792	71.49306	21.96025	2.82006	14.74754	3.36942	7.12718	31.80533	2.55535	18.25114	1.13143	17.78894	33.29199	17.90399	36.41431	34.84327	20.7117	12.85929	10.4458	29.30838	7.24494	22.85838	22.05361	79.88971	32.34705	20.26715	24.45667	17.74586	25.2555	1.09057	17.68923	62.03876	7.20295	31.58883	19.87537	5.00457	44.05639	28.73236	1.75968	3.48642	61.06424	45.75038	41.16052	20.8804	8.39196	10.16517	9.0919	1.02327	3.48194	52.06651	2.74888	20.57476	1.65298	59.24851	71.69339	4.58701	10.95472	10.90391	15.87912	12.48439	72.01282	72.74451	26.50079	81.87049	4.60279	65.47064	6.36531	32.97856	22.46551	3.36952	4.44691	8.03082	14.2822	0.49483	60.07649	5.31734	5.98902	28.37612	19.07954	13.013	42.75405	41.65554	37.69926	4.79581	82.40053	28.40876	56.46932	16.17277	1.29834	24.00232	11.2564	38.96769	43.13239	3.35815	5.15937	22.68274	8.91296	17.22244	1.79591	1.04172	1.54492	3.60101	3.19931	15.14976	24.58902	7.40971	2.12772	0.01033	12.66588	26.98831	1.60351	11.7082	0.17643	2.40561	0	18.64588	25.58045	17.59356	0.48119	4.67675	3.19145	10.98348	16.59305	2.32917	28.45239	46.77146	50.95997	35.691	40.82373	2.5769	1.57123	8.01888	9.9746	25.31433	11.47786	18.57961	22.35678	33.08801	8.56408	1.77528	5.89805	11.92527	3.96208	4.08761	4.98439	33.45811	0.06868	63.27042	15.50781	2.20792	7.23721	1.15829	4.31665	17.11164	0.82197	15.5936	0.4794	12.53422	19.27997	12.51524	23.6683	24.67828	11.90251	11.97499	3.9215	19.63995	4.57281	11.54792	14.71638	73.36987	25.60769	12.96989	19.25948	8.56676	19.4297	0.57378	13.6803	54.59501	4.50185	25.47726	14.63603	2.8174	38.56968	19.07596	0.91568	2.53078	46.85809	26.23777	32.2458	12.48509	5.81997	6.61056	7.90083	0.91839	55.68896	2.09462	12.55191	1.11474	51.06877	64.62729	4.0605	5.89115	12.64772	9.08513	61.90991	61.85952	19.46069	70.8191	3.88407	60.00067	2.22934	23.08304	13.40365	1.31875	2.74593	6.05074	9.87867	0.48691	47.20081	3.86199	3.25504	19.95111	12.25686	9.2082	21.48737	38.14332	31.88207	3.81137	78.36987	24.74216	46.66873	9.60321	0.95175	16.3764	7.42489	22.10581	33.55324	2.62443	4.17431	15.91144	6.91403	9.59597	0.87154	0.79807	0.79474	3.3534	2.11404	10.91208	16.81739	4.37136	1.2755	0.02786	8.49629	18.81865	0.76612	6.9191	0.11629	1.25256	0	16.27197	16.03296	8.38413	0.19759	2.43909	2.43337	1.53861	0.29486	39.09051	0.15789	6.83793	6.79354	9.47191	11.85868	17.02215	1.66689	0.25153	24.80049	0.18427	4.19058	4.64821	8.52245	7.1695	12.00147
k__Bacteria|p__Bacteroidetes	14.01413	11.80957	3.0376	3.90886	0.6418	0.66921	0	2.027	0.41223	0.56827	6.78753	0.38896	2.4716	0.68485	0	4.16002	0.23438	0	0.87012	13.88214	0.81469	3.18879	28.17707	11.40061	12.80095	0.29208	0.11077	5.56582	10.26418	0.65196	2.85862	2.7015	0	0.00691	1.14433	6.96834	25.1391	3.95842	9.82137	2.54564	5.99503	0.31442	2.31037	0.59443	6.60596	0	3.16598	0.25227	1.21917	0.01033	0	0.22219	0	0.68984	1.40976	0	0	0	2.17929	2.27659	6.00888	0.07985	7.46842	0.15197	9.28161	24.33457	0.01655	0	6.03634	4.62817	52.84133	16.37097	27.20818	51.02049	35.76171	0.73433	41.35923	9.41669	46.01675	0	0.03973	37.15919	0	0.74238	1.01592	12.29921	0	3.7739	3.655	0	1.9799	8.56145	0.67828	0	0.46706	6.25546	8.24064	0	0.35421	13.08853	0.2821	6.10358	0	1.22508	3.32694	1.70639	1.80646	0	0	12.78579	0	7.22179	0.71903	9.73412	35.30645	0.17872	0	0.50155	3.94789	2.64111	19.74347	16.44512	22.32659	13.35731	37.21453	19.98076	39.35485	3.80448	36.24808	14.07963	18.84854	2.02055	57.52055	0.10855	32.32075	0.41589	0.96705	24.20996	70.77723	47.07603	18.21817	16.29626	9.98295	67.17109	22.35109	69.48997	3.25645	11.63703	3.63435	5.47244	0.65922	0.56305	0	2.39944	0.75839	0.71978	7.18836	1.43219	2.12517	0.85665	0	5.09055	0.578	0.05375	0.76047	19.13331	1.79503	4.89517	17.95416	7.7263	13.57772	0.53239	0.48936	7.20429	8.38337	1.15887	2.62773	1.9474	0	0.0768	0.1115	8.47836	27.12843	4.03205	15.2807	2.61019	8.41635	0.32102	2.0189	0.88723	6.9707	0.03878	4.18728	0.28452	1.45383	0	0	0.0835	0	2.17267	1.28972	0	0	0	2.02154	2.52518	5.11137	0.39541	9.63566	1.53509	9.63512	28.58844	0.06276	0.02426	9.40079	5.6054	57.09139	15.78241	32.60294	53.14419	1.52259	41.51214	9.91002	54.34485	0	0.19106	35.34383	0.7361	0.95982	12.64867	0	4.11762	4.58128	0.04355	3.32069	7.44146	0.44704	0	0.83469	6.49324	7.07522	0	0.66705	13.23306	0.54005	4.78058	0	1.44489	3.33898	2.06586	2.08855	0.15782	0	13.44267	0	6.88634	0.76438	9.41259	33.72411	0.31758	0	0.57424	3.67921	2.59755	21.4683	17.85695	21.24088	10.61405	29.95564	20.27903	39.15123	3.93738	37.95101	16.36572	18.07629	2.31961	56.25532	0.14321	34.39833	0.54036	1.42982	25.22414	71.50259	59.23928	27.74651	17.10624	13.28577	68.23425	22.61643	75.83721	5.06844	23.72398	52.9948	7.8766	19.66359	28.73425	14.2286	0.48002	14.87956	21.96946	22.37608	54.51052	12.48931	18.60267	28.1607	14.03519	0.41673	16.87852	22.44682
k__Bacteria|p__Candidatus_Saccharibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07777	0	0
k__Bacteria|p__Firmicutes	68.16761	70.43531	58.24533	28.14928	64.91297	40.17294	33.0495	47.74347	22.82662	95.09587	89.2437	66.1389	51.52096	63.55259	82.09536	70.38441	54.9098	47.42147	78.37468	74.20288	75.55258	81.3081	59.4468	80.84477	76.75636	58.84743	64.93731	18.17962	62.04059	8.24387	82.01276	92.08411	91.75228	68.10852	56.08938	62.95395	36.91773	76.39675	14.12071	69.41944	42.17198	64.5909	71.91292	27.62891	76.55796	70.69162	53.98361	59.13333	72.99365	19.5696	65.16874	76.13874	35.72959	52.85259	58.184	27.87867	77.95692	23.69645	88.93331	56.5056	69.59434	94.91558	24.30235	70.75806	20.7167	33.61543	37.5946	53.52295	41.97725	47.09206	37.31121	69.40551	33.04003	46.44608	44.00382	7.22661	53.75512	65.18424	27.27239	40.75149	26.08154	54.93448	88.91538	88.35371	30.68616	71.25165	24.7134	17.82038	65.74553	17.45737	22.69977	25.82376	92.79937	64.9792	76.76163	68.43149	85.47341	91.78128	76.61659	73.72228	36.23515	61.88315	91.35312	62.87841	69.83989	70.93826	49.80549	33.92431	56.44	81.01769	17.50469	42.90963	32.49164	42.47437	52.42224	73.17848	76.38364	60.53076	47.81433	69.22546	66.85004	47.39559	64.826	55.29059	56.80216	53.32883	31.86305	19.64687	58.85513	67.50547	49.93774	86.75069	39.08245	2.12117	50.75325	47.71613	60.46757	54.84869	28.2389	44.3858	66.26783	59.90411	53.28309	15.23536	71.56306	21.84166	83.67163	74.99551	66.23801	31.2261	70.79038	52.45033	43.38224	57.83051	31.32799	94.22203	90.66116	74.89036	52.29041	73.82902	88.52214	76.32984	77.06521	66.03937	84.71688	68.32947	80.66545	81.76344	74.11625	85.23942	79.19316	65.44439	83.02601	25.90442	71.35388	12.2609	89.67479	96.3621	94.67226	82.81156	75.00319	63.54454	51.15623	82.87238	39.3975	76.62776	58.77427	74.89508	76.88458	42.09953	85.21121	80.32126	58.25546	77.23824	77.22038	26.18438	71.35476	80.8356	46.3798	46.55877	67.23622	43.01537	81.79705	32.46255	92.40435	57.74953	76.874	96.78719	25.27637	79.16551	26.89462	42.71379	52.43259	73.33021	49.12384	61.15305	35.05912	75.3528	36.153	44.49337	12.57656	54.16396	74.06573	28.22551	48.93123	31.8149	57.31835	93.37275	31.59901	74.34322	34.78056	26.44468	68.80995	28.5225	31.81644	32.07478	97.32362	75.74039	84.92579	77.29076	88.61186	93.75407	83.12488	72.10944	47.07249	67.91595	94.83171	73.04533	79.15958	69.22014	67.34476	41.74978	62.68618	81.45917	21.37277	48.0087	44.21686	54.01762	56.00047	81.31266	83.18291	77.31996	57.16386	77.80941	66.22859	48.88798	67.60888	69.97745	66.20624	57.33305	34.85008	25.07369	57.76603	71.63628	53.8584	91.01265	41.47493	4.27098	52.48676	60.46102	74.55078	55.47883	27.91366	33.38494	60.77067	61.94961	63.89206	23.38162	74.74431	20.03945	86.10354	64.44353	44.38437	42.96466	80.17852	62.22226	77.74898	88.93014	73.26176	50.61481	66.84245	43.96961	54.27771	81.07646	65.28181	79.58203	90.11472	75.83694	52.44896
k__Bacteria|p__Fusobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56092	0.19212	0	0	0	0	0	0.10102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.93735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria	0.20013	0.24722	0	0	0	0.46285	0.80289	0	30.21068	0	0	23.69046	3.80587	0	0	0	0	0	0	2.94139	0.50551	0.52617	0.73121	0.88811	0.27948	0	34.77399	4.7615	0.89512	87.71985	0	0.86035	0	0	0	2.87211	36.81175	0	42.76593	1.1579	15.41868	0.13609	0	58.6257	6.39028	0	0.25807	0	0.68948	0.53037	0.22203	0.31242	39.81374	0.54037	13.24156	71.03076	4.35385	14.26479	1.68446	4.53928	2.05627	0	6.03853	0.35761	1.71574	29.08011	0.7783	0	0.87142	0	0.46285	0	28.90412	1.51016	1.42867	39.4166	1.91578	0.61941	25.05788	0	0.4105	1.56566	0	0	0	1.86987	0	0.25563	0	0	70.67214	0.14415	0.15704	2.04224	0.20087	6.03811	0.34792	0	0	7.09388	0.30021	0	2.65786	0	0.5448	0.43806	0	23.29993	5.86074	0.47042	0	9.9372	0	1.24204	0.98127	0	12.35997	0	0	23.04996	0.20257	0.71064	0	0	4.1874	2.50888	27.23718	68.23513	0.29284	2.74658	0	3.38994	0	97.68634	2.00316	24.87966	2.43536	5.16166	0.80744	0	12.95656	0	3.0375	0	2.79231	3.99162	9.88047	0.39532	0	0	0	0.21516	1.19548	0	27.08989	0	0.49352	15.10588	1.20673	0	0	0	0	0	0	3.3671	0.29123	0.46037	0	0.92234	0	0	16.41595	3.62087	0.47842	83.97107	0.1102	0.11015	0	0	0	2.12223	21.23594	0	26.04183	1.35354	9.14109	0	0	44.85033	3.79964	0	1.27752	0	0.42593	0.34299	0	0.50428	34.36071	0	9.27502	56.41085	4.52265	12.94244	1.07225	6.02337	0.98291	0	5.32832	0.22344	1.31873	19.05176	0.19928	0	0.45453	0.05391	0.43632	0	21.72162	1.44405	27.52807	1.77237	0.52863	16.21387	0	0.30773	1.1735	0	0	2.09717	0.12073	0.10015	0	0	60.80677	0	0	1.17657	0.54593	4.46532	0.39831	0	0	7.59411	0.12253	0	1.91326	0	0.27514	0.49233	0.15913	19.94908	5.43175	0.25752	0.08572	8.91305	0	1.39974	0.72694	0	9.3922	0	0	13.72188	0.27654	0.7355	0.04203	0.12797	2.96658	0.87785	22.44586	59.82467	0.61299	0.61427	0.392	1.84611	0.15116	95.43114	2.28399	20.17996	0.90748	2.82322	0.46746	0.31387	6.54546	0.23062	1.52779	0	2.44166	1.68425	6.39464	1.74525	2.32598	0.06311	0	0	0.66727	1.11793	0	0.4228	0.84795	1.26835	0.35161	0.11344	0.4289	0.90795	0.83175	0.11505	0.50134
k__Bacteria|p__Verrucomicrobia	0	0	17.0019	65.16391	0.1259	0	0	4.36958	0	0	0	0	3.69654	0	0	0	0	1.29386	7.94091	5.8138	8.84892	1.12754	5.04337	0	3.20034	0	0	0	4.83986	0.45115	0	0.98462	1.12053	0	40.21094	6.06898	0	1.01917	0	8.97302	0	0.11533	0	0.29167	0	0	35.34741	17.75602	0	0	0	0.32876	0	0.27592	0	0	0	0	0	0.28319	2.39664	0	15.37331	0	55.51672	3.43055	0	0.72667	9.95447	27.39937	0	4.05835	1.75577	0	15.32386	0	0.22098	4.20491	0	0	0	1.19151	0.12991	0	31.5751	2.09488	3.27378	2.21395	0.19242	0.67213	0.0454	0	0	0	0.10493	15.90543	1.49113	0.18791	8.747	0	0.28772	26.69592	0	7.52039	7.20883	0	3.97452	0	0	0.93029	0.05904	11.52263	10.32001	22.60955	9.9917	2.64047	0	0	2.03056	0	8.04454	1.51838	1.36541	14.12967	0	23.13981	0	0.02292	0.6035	0.51856	1.93493	0.42912	0.9123	0	2.25696	0	34.52651	0	0	4.03407	0	5.15375	8.11601	0	0	0	0	0	13.53458	60.97229	0.09802	0	0	4.07905	0	0	0	0	2.23271	0	0	0	0	0.81887	5.95857	5.41937	4.6111	0.95576	3.96751	0	2.24473	0	0	0	4.27652	0.3815	0	0.42206	1.01108	0	24.06334	5.84423	0	0.56134	0	6.89327	0	0.10563	0.15214	0.18793	0	0	31.29076	9.69221	0	0	0	0.16369	0	0.11272	0	0	0	0	0	0.10399	1.83014	0	13.87938	0	45.58465	2.70833	0	0.40775	8.38451	20.57697	0.05174	2.06211	1.62161	0	0	0.02454	2.94371	0	0	0	1.22295	0	27.13172	1.82581	3.1888	2.34896	0.33291	0.61485	0.11122	0	0	0	0.12497	10.43193	1.16868	0.1952	6.32939	0	0.30987	23.44148	0	5.55868	4.96944	0	2.22871	0	0	0.79943	0.05564	11.44975	8.35003	15.60551	8.59673	1.99337	0	0	1.69399	0	7.85226	1.34344	1.07491	9.68456	0	20.712	0	0	0.85552	0.40326	1.5247	0.45027	0.60067	0	2.0654	0	22.34579	0	0	2.18685	0	4.44156	5.26142	0	0	0	0	6.80966	0	10.00513	0	2.20555	0	0	0	0	5.08149	0	8.08088	0.02316	1.938	0	0	0	0
k__Eukaryota|p__Ascomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname	0	0	0	0	0	0.04134	3.41243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52148	0	0	0	0	0	0	0	0.38107	0	0	0.07924	0	0	0	0.83672	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23687	0	0	0	0	0	0	0	0	0.06849	0	0	0	0.06135	4.98794	0.54631	0	0	0	0.26144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95827	0	0.35698	0.03293	0	0	0	0	0	1.45224	0	0	0	0	2.81235	0	0	0	0	0	0	0	4.46232	0	0	0	0.08573	0	2.75232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35007	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09695	0	0	1.23712	0	0.10276	0	0	0	0	0	0	0	0	0	0	0.56555	0	0	0	0	2.64373	0.44729	0	0.39052	0	0.27389	0	0	0	0	0	0	0	0	0.36918	0	0	0	0	0	0	0	0	0	0.48309	0	0	0.16498	0	0	0	0	0	0.08069	0	0	0	0	0	0	0	0	0	0	0	0	0.33674	0	0	0	0	0	0	0	0	0	0	0	0	2.75809	0	0	0	4.84883	0	0.108	0.12681	0	0	0	0	0	1.57725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03658	0	0
