phylum	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688505	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688579	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688587	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
Acidobacteria	0	2	3	2	1	0	1	1	0	2	0	2	2	6	1	0	0	3	1	3	2	3	4	4	3	2	0	0	6	0	2	0	1	1	0	0	2	0	0	12	0	0	2	1	0	1	1	0	0	1	1	3	0	2	1	0	0	0	0	12	1	0	1	0	2	1	1	0	6	2	0	0	0	0	4	0	3	2	0	0	1	1	1	0	5	0	0	8	3	0	2	2	2	0	0	1	0	3	0	2	8	4	0	0	1	7	2	0	2	2	0	5	1	2	6	0	0	1	2	10	4	1	1	0	0	0	2	1	2	4	1	0	0	0	1	0	1	1	0	5	0	0	1	1	5	3	6	1	0	5	0	0	0	0	0	0	4	5	2	10	1	0	3	0	4	2	5	0	6	5	9	2	2	2	1	4	0	2	0	0	3	1	2	0	0	0	10	2	0	0	2	1	0	2	0	0	0	1	5	0	2	2	0	0	0	2	4	1	3	0	0	1	2	1	0	2	17	0	3	5	2	1	3	0	6	2	0	1	2	2	1	3	1	0	0	6	0	0	2	2	1	0	2	0	12	1	4	1	5	1	2	4	4	3	1	2	2	0	2	2	5	1	1	0	2	0	12	10	7	9	1	1	1	0	5	4	2	9	1	0	0	1	0	0	1	0	0	0	0	2	0	0	1	2	3	0	1	0	1	2	0	0	0	1	8	2	2	8	7	0	2	0
Actinobacteria	17822	29523	61435	7269	68732	221351	164436	79411	126975	8823	5981	25506	13834	65436	35592	49859	66268	92874	42685	5224	10401	30971	12241	17080	22449	122572	2305	386672	53701	14014	48240	9959	24881	102657	5703	31381	5392	37590	37344	30301	34838	82430	23627	58941	20353	115042	16822	88325	21386	359950	75339	53672	85782	19104	43694	7339	24142	228180	24962	99809	53400	3433	88407	19879	5685	10532	111582	95031	81330	42021	16626	15871	28409	3197	9526	151502	6386	23012	5300	166933	151542	8423	18158	32765	65847	23330	172175	245713	26975	435244	19925	216146	22721	73618	59300	12563	7404	16356	14046	1267	163543	12199	14724	70491	43718	39907	88723	74565	104024	4617	309739	71786	139304	25079	3863	66559	37897	84234	94629	10661	6411	33289	13807	24024	2976	3749	6027	17708	8142	32851	23147	19664	4470	1965	22651	67360	4705	31755	1685	3682	517	43859	35160	11912	1849	8949	2306	27435	28745	57331	9914	73961	151118	180874	90837	170366	10417	9142	47432	18822	70142	39054	62405	87100	114393	38798	7660	17100	40456	14391	14113	19492	124838	3504	466214	54828	16452	35952	10536	24723	53888	1741	54221	4132	34507	65055	27634	64208	93034	36725	47069	7061	128998	13357	45954	23660	347064	110617	66393	70851	29417	50034	4357	16535	264190	22043	94376	40233	5744	157119	32492	4917	13432	127021	111108	123156	61043	17929	24760	30924	3780	6523	244129	11283	23982	4806	232833	241715	13544	24215	35300	59346	32695	214952	266005	45797	513716	21545	225645	10728	71858	52733	8708	13285	20911	20679	1855	212271	10496	10549	78092	56381	38401	61056	135789	122090	5637	415343	85481	170607	32617	4064	75304	34588	66947	120389	8857	9452	39602	19743	36033	4418	3851	4773	18418	7518	38251	50461	19189	5553	1664	26545	76997	5686	35806	2024	4903	694	40450	61727	12597	2060	9463	3022	2634	1202	22481	2476	8344	7489	21306	9855	21815	5802	2284	46276	4974	15673	15676	32910	21739	45990
Apicomplexa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	2	0	0	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Aquificae	4	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	4	0	2	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	2	0	0	2	0	5	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	7	0	1	6	0	0	2	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	4	0	0	0	3	1	1	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	2	0	0	0	4	0	0	0	8	1	0	1	0	4	0	0	0	0	1	3	1	0	0	0	0	1	0	1
Ascomycota	1	113	6	13	19	693	57	54	17	7	30	55	9	45	123	159	4	92	19	0	12	5	4	168	2	471	21	0	8	190	7	3	6	333	16	3	0	7	2	45	0	14	21	10	4	28	113	36	32	53	0	7	6	31	6	181	53	156	9	84	6	6	3	60	15	5828	29	77	4	4	103	0	5	30	2	2	3	6	0	27	49	3	146	54	12	511	23	215	11	19	19	7	98	108	3	58	8	14	0	29	5	17	56	6	97	9	13	4	725	5	138	26	7	89	1	7	369	60	32	8	0	1	7	0	2	25	0	31	6	2	20	844	2	254	3	201	7	2	2	14	4	11	2	314	17	0	108	18	123	10	16	4	768	79	79	58	12	102	180	48	47	203	382	4	267	78	10	53	8	27	335	2	732	56	5	0	346	12	5	1	356	15	19	0	0	3	76	15	21	46	13	10	42	133	102	82	49	13	37	7	87	7	235	25	221	11	151	1	1	7	157	24	13542	50	115	12	10	179	0	17	38	7	8	0	2	1	24	74	4	363	115	7	1212	49	340	51	18	33	10	96	168	7	135	12	33	8	150	0	4	57	23	132	9	28	7	1137	19	259	66	20	261	0	12	500	99	31	6	0	8	13	0	1	53	0	33	1	6	41	1265	16	490	6	344	47	12	4	43	1	4	8	894	33	0	146	0	3	31	1	10	0	70	3	2	8	8	60	5	16	3	82	25	4
Bacillariophyta	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	7	0	0	0	0	0	0	0	0	0	3	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	17	0	0	0	0	0	0	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	33	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	15	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	18	0	0	0	0	0	9	0	0	0	0	6	0	0	4	0	0	11	0	0	0	0	0	0	13	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	11	0	10	0	0	0	0	0	0	0	0	0	8	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	18
Bacteroidetes	28218	24173	18643	18401	5723	16516	2156	7728	9531	3702	9324	5252	6873	7233	1204	15421	1574	3982	6456	48873	4465	14164	29050	25948	26496	10073	3784	55916	46534	8265	21709	9881	4023	2244	7007	19448	188287	13353	104864	9186	15911	3968	3556	7271	25178	2746	16685	5429	6503	3366	532	6050	787	7357	7127	492	504	383	16288	14615	19738	1978	18811	3624	35198	32597	2053	2697	22530	22725	126204	17169	90474	116766	91625	6512	89581	20567	125949	1237	4879	71874	2591	1463	10806	37093	2312	26762	10078	1742	14955	18776	12126	1258	5886	33185	14497	827	2591	20447	7559	21353	677	8977	11764	10000	9378	1568	987	28055	691	16590	2354	29722	81764	4470	2564	2609	13938	9848	37607	23407	42447	22118	76800	30730	45871	25578	96505	24587	26744	10747	22772	10383	76066	5716	7250	116587	32552	62662	70428	61584	18623	361873	70950	166538	10381	93912	25663	27726	32678	8874	11120	2637	9780	16406	6438	28915	10236	13110	12331	1549	29458	1856	1823	8807	116951	12681	23306	44503	32067	35901	12472	4065	102793	68077	11398	19799	13260	1443	2736	4608	45053	317207	14878	358913	13024	41920	3433	7076	7484	24794	3535	22798	5564	8733	3280	589	2284	777	22958	9836	482	365	228	22478	20746	24435	5267	63084	8186	53699	62540	2660	4260	67432	56347	224648	44935	156733	228232	128738	14944	282501	31285	250074	291	2395	149556	975	2134	11462	74856	3322	32748	20511	2610	25829	23440	9579	682	8943	39558	32371	1115	4513	60899	14159	28993	387	13759	18513	13301	10320	2755	1064	44252	901	26202	3834	62467	132249	6461	854	805	21846	11860	67499	39450	81903	51359	165102	47228	71748	31817	132733	50125	89472	14914	62052	5447	156404	8835	17632	235919	63614	226503	165352	82998	65136	870719	146386	400152	23686	22059	59903	10820	34496	28331	20206	7210	18506	38385	78668	208216	35216	113913	95406	63001	13667	74262	133287
Basidiomycota	2	0	0	4	3	2	0	0	10	8	114	7	16	1	1	11	1	9	0	0	1	2	1	21	5	21	1	3	1	4	5	0	6	15	35	4	4	2	0	8	0	1	1	0	2	2	95	8	138	1	1	8	1	0	10	12	13	7	1	9	0	0	0	3	4	6	1	2	0	4	75	2	14	1	6	0	3	4	2	1	0	17	0	2	6	4	0	0	1	1	1	0	4	4	0	2	14	1	0	1	1	0	1	2	10	6	2	0	5	4	165	0	1	1	0	0	4	6	8	2	0	0	21	0	0	5	14	8	0	2	2	72	0	4	1	20	0	2	1	0	4	2	2	5	3	0	20	8	0	2	1	2	1	3	3	7	12	313	27	3	2	1	33	1	14	2	2	4	1	2	21	9	17	0	1	5	6	6	1	13	15	29	8	11	1	0	6	2	5	3	3	3	8	77	10	101	1	1	8	2	1	6	16	8	9	3	4	0	2	0	29	10	10	8	2	0	2	143	0	22	1	5	1	12	7	1	0	0	30	5	9	5	4	3	2	1	5	0	1	7	5	1	8	22	7	2	2	3	6	1	2	24	5	1	2	2	4	274	2	1	6	2	0	4	9	7	1	2	3	31	2	3	0	26	6	0	1	5	105	1	3	1	51	0	1	1	0	12	5	8	9	9	0	41	0	2	0	0	1	3	8	7	0	0	3	0	0	5	6	5	6	0
Blastocladiomycota	8	2	0	2	0	0	0	0	0	1	2	0	1	0	1	3	1	1	1	0	0	8	1	4	2	0	0	0	3	2	3	3	0	23	2	0	0	5	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	2	1	2	2	1	0	0	1	4	0	0	0	0	11	1	1	4	5	1	4	1	7	0	1	3	1	1	0	11	0	0	1	0	2	1	0	0	2	1	2	0	1	0	0	0	0	0	1	9	0	0	0	2	1	0	0	1	1	0	1	1	0	3	2	6	9	1	2	14	13	1	2	4	1	0	2	0	8	0	0	0	14	7	1	0	1	2	5	5	0	4	3	1	1	0	0	0	0	0	1	8	0	8	0	2	2	0	1	3	2	0	0	1	8	1	7	0	2	5	0	2	0	0	30	0	2	0	7	12	1	2	1	0	0	0	0	2	0	4	0	0	0	0	0	4	0	0	0	0	2	4	0	0	1	0	7	0	0	10	2	6	0	10	6	4	1	3	1	12	1	2	2	3	2	2	11	1	0	2	1	0	1	0	0	0	0	2	0	0	2	1	0	1	1	0	3	3	0	0	4	0	3	2	0	2	0	2	0	2	4	3	6	13	2	6	6	4	3	2	10	5	1	5	0	19	0	0	1	10	40	1	2	3	1	2	9	1	1	3	0	2	1	3	0	1	1	2	13	1	4	4	2	1	7	4
Caldiserica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
