NormalizedPercentage	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
taxid:1001064|Rhodotorula_glutinis_ATCC_204091	0	0	0	6.76772240921e-05	0	0	0	0	0	0	0	0.000116261866859	0	0	0	0	0	0	0	0	0	0	0	0.000102423612636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000152784819378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.12445648658e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.55696540534e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1001582|Bacillus_amyloliquefaciens_LL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000375481675359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000793566730131	0	0	0.000667187015602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1001585|Pseudomonas_mendocina_NK-01	0.000418999940514	0	0	0	0	0	0	0	0	0	0	0.000435832527069	0	0	0	0	0	0	0.000619484154812	0.00135872415903	0	0.000340122127371	0	0	0	0	0	8.20930019476e-05	0	8.09567610855e-05	0	0	0	0.000610175613334	0.000188831146593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000216451257009	0.00171234684607	0	0	0	0	0	0	0	0	0.00148802062408	0.000682876138427	0	0	0	0	0	0	0	0	0	0	0	0.0015466466468	0	0	0	0	0	0	0	0	0	0.000307643134053	0.000171624177801	0	0.000237388082608	0	0	0	0	0.00019060308183	0.000323530402777	0	0.000248583173624	0	0	0.000229588378337	0	0	0	0	0	0	0.000329883501206	0	0	0	0.000235762539534	0	0.000393947820512	0.000978811969764	0.000569095219129	0	0	0.000396370609805	0	0	0	0	0	0	0	0	0	0	0.00018440149473	0	0.00141536452543	0	0	0	0	0	0	0	0	0	0.000236761088997	0.00032341017043	0.000300435557	0	0	0	0	8.09802159391e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000197140775353	0	0	0.00054526809869	0	0	0	0	0	0.000571578561793	0.000243708688283	0	0.000296581298485	0	0	0	0	0.000361814514201	0.00132659792921	0.000443269073265	0	0.000319629114024	7.49072485262e-05	0	0.000119961546982	0	0	0	0	0	0.000489853381205	0	0	0	0	0	0	0	0.000190204363361	0	0.00116838288463	0.000119032169642	0	0	0	0	0	0.000712797500813	0	0	0.000294688780151	0.000136798409297	0	0	0	0	0	0	0	0	0	0.000208526864246	0	0	0.000223695649277	0	0	0	9.85066093101e-05	0	0	0	0.000221677580553	0.000738156609338	0	0	0.00033832048719	0	0.000502031373263	0	0	0	0.000357153427447	0	0.000101003302714	0.000814357879719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00028202899984	0	0	0.000178418808256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000275957087573	0	0.00106210031373	0	0	0	0.000771026060989	0	0	0	0	0	0	0.000312639330297	0.000831661877597	0	0	0	0.00025192502904
taxid:100226|Streptomyces_coelicolor_A3(2)	0	0	0	0	0.00133327810304	0	0	0.000107526778064	0	0	0	0.000784707174282	0.0031133520499	0	0	0.000272497431831	0.00430720641091	0	0	0.00203862823684	0	0	0.00289188020241	0.000230435383565	0	0.000116247392144	0	0	0	0	0	0	0.000278397140769	0.000732405456403	0	0	0	0	0.000191476542034	0.000203444972365	0	0.00113905094335	0.00129436994176	0	0	0	0.00230458357028	0.000984037186708	0	0.000222420152406	0.000662694107621	0	0	0	0	0	0	0	0.00049259455356	0.000389715874122	0.00119896155323	0	0	0.000468267345158	0	0	0	0	0.000704798766385	0	0.000819669286845	0	0.000372876003338	0.00026959327038	0.000977956864159	0	0	0.00072748518075	0	0	0.000591484657885	0	0	0	0.000990228420132	0.000976470301381	0	0.000628497001677	0	9.63389797054e-05	0.000148015334332	0.000502547022135	0	0	0.000724781079323	0	0.000438130587516	0.000924285708949	0	0.00583618123417	0.000571961309535	0	0	0.000149189568342	0.00181125137814	0	0	0	0.000639112128376	0.000300340935818	0	0.000661195216174	0	0.00217781010974	0.00190709234279	0.000410611596387	0	0.000565980568862	0.000578362070733	0	0	0.000341547936852	0.00328821562248	0.00111986041069	0.000237885611155	0.00195623381891	0	0	0.000890733500219	0	0.00150240889663	0.000165952227858	0	0	0.000230979591821	0.000332010960348	0	0	0	0.00110609657778	0	0.000338033717625	0	0	0	0	0	0.000710472156114	0	0	0	0.000369003581202	0	0	0	0	0	0.000825740559843	0	9.5372997612e-05	0	0	0.000161125679361	0.000566535854863	0	0.0019715961571	0	0.000236631842363	0	0.000929286949216	0.00032724786271	0.00063345265027	0	7.14060517139e-05	0.00066382003845	3.43060555132e-05	0	0	0.000411210976214	8.89980509426e-05	0	0.000925056615602	0	0.000125211632931	0	0	0.000133016086197	0	0	0	0	0.000719960693679	0.00134963365736	8.11644955737e-05	0	7.89142667124e-05	0.000835385047579	0.00124945830833	0	0	0.000276212792615	0	0	0	9.12565984479e-05	0	0.000155155001723	0.000818085518907	7.14382946711e-05	0.000370563947474	9.9968714276e-05	0.000268144857601	7.52873831577e-05	7.7348520907e-05	0.000342233788108	0	0.00136735577967	0.00247604404478	8.21008732622e-05	0.000286216957372	0	0	0	0	0	0.000665473058409	0.000363487511208	0	0	0.000396795096479	0.000300405883388	0.00040275924797	0.00150839632133	0	0	0	0	0	0.000386828932127	0	0	0	0	0	0.000312490630521	0	0	0	0	0.00150044330946	0	0	0	0	0	0.00068878772773	0.000214180600688	0	0.000130580435393	9.55176907612e-05	0	0.000212326409522	0.00122728855032	0.00195873602683	0.00100938908784	0.00023804446199	0.000817545257774	0	0.000213312067667	0	0	0	0	0.000301212715511	0.00096287103926	0.000107079753628	0	0	0.00137388458647	0	0	0	0.000362295688869	0.000390803148476	0	0	0.000459292440688	0	0	0	0	0.000664434281802	0.000637429657973	0.000397773927726	0	0	0	0	0	0.0013322153204	0.00100069064521	0.00169345560715	0	0	0	0.000297644658543	0.00035248786944	0	0
taxid:1002672|Candidatus_Pelagibacter_sp._IMCC9063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00286846168056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00149348022999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026586926349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00158629633367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1002804|Helicobacter_bizzozeronii_CIII-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000398818840846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1002809|Solibacillus_silvestris_StLB046	0	0	0	0	0.000378763031426	0.000147332215556	0	0	0	0	0	0	0	0	0.00137736020822	0	0	0	0.000422477670731	0.000926626796524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000257559268802	0	0	0	0	0.000924727518263	0	0.000369812794295	0	0.000118582233441	0	0	0	0.00162646842528	0	0.000101097625149	0.00112956492065	0	0	0	0.00498215195463	0.000208863341792	0.000154967199412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00177535762709	0	0	0	0	0	0.00016316067302	0	0.00210680593147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000290498489835	0	0	0	0	0.00044994988853	0	0	0	0	0	0	0	0	0	0.000636268941882	0	0	0	0.000154756395383	0	0	0	0	0	0	0	0	0	0	0	0	0.000685933454671	0	0	0	0	0	0	0	0	0	0	0	0.000275590669647	0.000702728676553	0	0.00208286527833	0	0	0	0.00021675157259	0	0	0	0	0	0.00134423760896	0	0	0	0	0	0	0	0	0	0	0	0.000166205185658	0	0	0	0	0	0	0	0	0	0	0.000435963252786	0.00010217094217	0	0	0	0	0	0	0	0	0	0.00270840141299	0.00219709409725	0.000246582656934	0	0	0	0	0.000352616479095	0	0	0	0	0	0	0	0	0.000265552558168	0.00169502816952	0.00321556387744	0	0.00455334151342	0	0	0.00494673453851	0	0	0	0.000275362669532	0	0	0.00247990939895	0	0.000152556633007	0	8.41268574224e-05	0	0	0	0.000162838423907	0	0	0	0	0	0	0.00017754720225	0.000684753737646	0	0.000475215694933	0	0	0	0	0	0	0	0	0.000811270540924	0	0	0	0	0	0	0.000445156516764	0	0	0	0	0	0	0	0.00011569626289	0.00076935594885	0	0	0	0	0	0	0.000565767223373	0	0	0	0	0	0	0	0	0	0	0.00112918827712	0	0	0	0	0	0	0.000406618812188	0	0	0	0.00128288989949	0	0	0.000378119515679	0	0.00540735363308	0	0
taxid:1003195|Streptomyces_cattleya_DSM_46488_=_NRRL_8057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000341472821477	0	0	0	0	0	0	0	0	0	0	0.000462541941845	0	0	0	0	0	0.000273056462254	0	0	0	0	0	0	0	0.000248822830464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00127506322695	0.000980278915552	0.00129250533152	0	0	0	0.00108609527395	0	0	0	0	0	0	0	0	0	0	0	0.00132890723792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000671041646143	0	0	0	0	0	0	0	0	0	0	0	0.000306268000611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.35324893597e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000584803619866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000197165203849	0	0
taxid:1004786|Alteromonas_macleodii_AltDE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000258982056249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000422767656224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000132482832167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000371640616091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1004951|Streptococcus_suis_ST1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00102567743319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000198000261488	0	0.000650973078664	0	0	0.000813131027505	0.00184077007774	0	0	0	0	0	0	0	0	0	0.000533734336017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00133682994064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000492598177029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00065698008726	0	0	0	0	0	0	0	0	0	0	0	0.000360239220977	0.000656256418883	0.00175513122544	0	0	0	0	0	0	0	0.000476746939011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000175625334251	0	0.000981421881692	0	0	0	0.000845133635322	0	0	0	0	0	0	0	0	0	0.000298380965862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000298783014759	0	0.000329525836897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000840417254174	0	0	0	0	0	0	0	0	0	0	0	0.000952395302765	0	0	0	0	0.00166208738342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00156893810128	0.000776416102677	0
