genus	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
Acanthamoeba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0249045329411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaryochloris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012985398704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000707163935271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000392333096991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacterium	0.000562946630613	0	0.000559562612231	0	0	0	0	0.00144429004185	0	0	0	0	0	0	0	0	0	0	0.000832306842913	0.00091275572297	0	0	0	0.000515864568447	0.000455549239115	0	0	0	0.000360289203958	0	0	0.000378114311532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00119004673342	0	0	0	0	0	0	0	0	0.000134771258306	0	0	0	0	0	0.00052414374952	0	0	0	0	0	0	0	0	0	0.000603525439231	0.000875721927568	0	0	0	0	0	0	0	0	0	0.0024938736287	0	0	0.000351746473919	0	0	0	0	0.00124000016946	0.000230585361196	0	0.000956827018316	0	0	0.00366698993415	0	0	0	0	0	0.000405476101836	0.000585807224828	0.00030846306053	0	0	0.00470651127408	0.000422169491638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00106848989133	0	0	0	0	0	0	0	0	0	0	0	0.000397540783098	0.00105631172972	0.0135115254572	0	0.000215687555678	0.000392585567818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000199235640082	0	0	0.000669444568992	0	0	0	0	0	0	0	0.000208310694864	0	0	0	0.000354983471455	0	0	0	0	0.000666964547938	0	0	0	9.79556334034e-05	0	0	0.000347338011932	0	0	0.000414781809739	0	0	0	0	0	0.000261577388142	0.00333930913314	0.00316742872397	0	0	0	0	0	0	0	0	0	0	0	0.000222071506598	0.000134500829686	0	0	0	0	0	0	0	0	0.000893503566384	0	0	0	0	0	0	0.000437934971371	0	0	0	0	0	0	0.00450593515902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000337155182277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129520606357	0	0	0	0	0.00294032214325	0	0	0	0.000780997114261	0
Acetohalobium	0	0	0.000458234056099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00149687941124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00487273389681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000547007978363	0	0.0172701415979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000540887782666	0	0	0	0.000541438570577	0	0	0	0	0	0.00035863139147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000749388485477	0	0.00430163263461	0	0	0	0	0	0	0	0	0	0.000457944417782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acholeplasma	0	0	0	0.0147357835213	0.00100807396027	0	0	0.000650396611183	0	0	0	0	0	0	0	0	0.00453095216195	0	0.00112442002868	0	0	0	0	0	0	0.00210943481998	0	0	0.00194695694502	0	0	0	0	0	0	0.00166726796301	0	0.0009159814741	0	0	0	0	0	0	0	0	0.00428914508923	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00621613022648	0	0	0	0	0	0.00218219565826	0	0	0	0	0	0.00075180432053	0	0	0	0	0	0	0.000555826022094	0.000715541977512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000691923824277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00171172172464	0	0	0	0	0	0	0	0	0	0	0.00134694366474	0	0	0	0	0	0	0	0	0.00385352282521	0	0	0	0	0	0	0	0	0	0	0.00176105653528	0.000545317834193	0	0	0.00110022265129	0	0	0	0.00214825973156	0.00142704349428	0	0.00115376421692	0	0	0.000487299990375	0	0	0.00596279123346	0	0	0	0	0	0.000547365920645	0	0	0.00803048898551	0	0.000414986809818	0	0	0.000538322004783	0	0.00399670335132	0	0	0	0	0	0.00612615817881	0.00232062353664	0	0	0	0.000907057936732	0	0	0	0	0	0	0	0.000835363374209	0	0	0	0	0	0	0	0.000432108406851	0	0.000604680193719	0.00162192627577	0	0	0	0	0.00451130025332	0	0	0	0	0	0.0148113941852	0	0	0	0	0	0	0.000600023061072	0.000363412671809	0.000406027928919	0	0.000223902776382	0	0.000357596892852	0.00178461114625	0	0.000334258566091	0	0	0	0	0	0.000472540075081	0.000911232558153	0	0	0	0	0.000728749212933	0	0	0	0	0	0	0	0	0	0.00100705421398	0	0.000571037944401	0	0	0.00287971636792	0	0.000709319194791	0	0	0	0	0.00102381652097	0	0	0.000647692697023	0	0	0	0	0	0.00376848130183	0	0	0	0	0	0	0	0	0.00801419500825	0	0	0	0	0	0	0	0	0	0	0	0.00150788705809	0	0.00100636124965	0	0.000533022842997	0	0
Achromobacter	0	0	0	0	0.000820246617711	0.000159530816715	0	0	0	0.00205064502864	0	0	0	0.000182460166678	0	0.00100585960101	0	0.000376525417532	0.000228728685037	0.00100334831104	0.00252543177247	0	0.00457486691636	0	0.000250381645471	0.000286066440321	0.000215235464764	0.0367972407814	0.000990121330327	0	0.000126867179906	0.000207821406268	0	0	0	0	0	0.000186328269459	0.000471193476039	0.00175226061336	0.000404486682796	0.00140151207996	0	0.000192600652314	0	0.000125570428253	0	0.000330212704076	0	0	0	0	0	0.000817418068758	0.000224777375664	0	8.38989754987e-05	0	0.00075762328868	0	0	0	0	0	0.00101202221484	0.000885255138175	0.00014796687201	0	0	0	0.000252134554165	0	0	0	0.00216593740627	0	0	0	0	0	0	0	0	0.000575890311623	0	0	0	0.00144996720496	0.000446184547146	0	9.10605799934e-05	8.83349080322e-05	0.000908714890815	0	0	0	0	0.000189543408044	0	0	0.000281501258312	0	0.000148013775728	0	0	0.00321974803791	0	0	0	0	0.000154690181884	0	0	0	0	0	0	0.000522295738122	0	0	0	0	0	0	0	0.00280815612493	0.000318527152695	0	0	0	0	0	0	0	0	0.000544684296842	0	0.00104517432524	0	0	0	0	0	0.000684519023695	0	0.000841035630937	0.000430329732642	0	0.000358232809196	0.00011092814781	0	9.08059432504e-05	0	0	0.000239198993703	0	0.000873994790176	0.000145144062544	0	0	0	0.0008631007322	0	0	0	0	0.000239515985729	0	0.00142367243697	0.000228682815757	0	0	0.000324446062239	0.0270607253788	0.000136129674188	4.22108874923e-05	0	0	0	0.000219010122801	0	0.000162601283989	0	0	8.90605056028e-05	0.000391849893257	0.000327331543375	0	0.000236029755991	0	0	0.000354341872129	0	0.000199732982401	0	0	0.00102787521703	9.04329181577e-05	0	0	0	0	0	0	0	0.000140456195956	0.000381811911841	0	0	0.000227974811758	0.000123003594786	8.24827588491e-05	0.000185270338576	9.51712362398e-05	0.000105272900876	0	0.000917685338599	0	0.000101018629873	0	0.000205392128391	0	0	0	0	0	0.000149080876159	0	0.000923918555464	0	7.39251351171e-05	0.00181706577775	0	0	0.000235513082079	7.27420936918e-05	0	0.000176320885833	0	0	0.000181696969749	0.000716576097105	0	0.000249832379263	0	0	0.000120350194146	0.000514561921454	0	0.00105495817037	0	0	0.000240544660303	0	0	0.000338999524677	0	0	0	0	0.000102427109198	0	0	0	0	0.000292894879721	0	0.000288578364949	0	0	0	0	0	0	0.000263274809973	0	0	0	0	0	0	0	0	0	0	0	0	0.000149782340663	0	0	0	0	0.000784306769591	0	0.00150028187259	0	0	0.000660428178812	0	0	0.000246254135649	0.00555643509868	0	0	0	0	0	0	0.000558101254143
Acidaminococcus	0.06945305735459	0.17136857194234	0.11828376869235	0.03023374919577	0.079202493372071	0.008080805803931	0.013677742976727	0.02341461970106	0.009470249834472	0.20726549506168	0.1507359229542	0.23764222152632	0.2443334536481	0.07535003954771	0.019427305041326	0.185946036268526	0.02172719985824	0.02108932019479	0.125347336393257	0.08826218561961	0.18868649725745	0.1343776717443	0.12954413136154	0.184028638386261	0.15161663853114	0.107747940245925	0.00778188986885	0.005942136360837	0.0564312028759	0.085639998646025	0.0407784370823	0.03328436348467	0.05336731032493	0.101231212084658	0.04024320457928	0.2385602869429	0.11904930982492	0.040396591989524	0.055847903679504	0.27252779727675	0.1622476067066	0.06026441126514	0.20651603342105	0.017853789257834	0.0177020767891	0.09526653678011	0.07829954582358	0.01961620843965	0.09771493987329	0.00395784762876	0.03524974522123	0.067537277820266	0.003096952163066	0.273974353848	0.10084228834183	0.003687731754607	0.05986800785394	0.001694791915693	0.0477921717179	0.04778862962147	0.10138649369624	0.07910816233822	0.03467938471036	0.0558660735892	0.132208719521533	0.47211920059807	0.010545419289353	0.037488243493979	0.43144098600219	0.0865976925106	0.084360571169887	0.15549288964685	2.8672753390737	0.079792982210515	0.281900196142379	0.01307886967311	0.1691106585798	4.70082993872825	0.03961551048558	0.005545467415218	0.007484388089071	0.15711316248126	0.0912771914832	0.03627978374593	0.08725964603015	0.018134793763948	0.024114999796279	0.060117647428922	0.1221603532293	0.0029221033082	0.008046148781099	0.04502189613762	0.0689775027666	0.037325902611056	0.036451237476012	0.2943675847844	0.15517283454087	0.0500987135311	0.20244775617496	0.40517787765434	0.04501269979185	0.044426101723694	0.006237896307895	0.09203068091413	0.1256386834806	0.22094453075459	0.12941600097476	0.03073524176615	0.01536714718068	0.18677019806569	0.006844150281201	0.37944269262709	0.059364457950889	0.1479699848333	0.10218761876697	0.067259744213271	0.01929862809092	0.05715651383448	0.22901783456818	0.23307406280992	0.07993563240415	0.417039835568	0.35732137307766	0.09162269620811	0.30942342501715	0.27912962238704	0.009893653300923	0.046156337557269	0.141674382230147	0.08212211553428	2.8637733149469	0.08006294894796	0.1529500143466	0.028755320147028	0.0524807294991	0.026292248009737	0.05267578554853	0.06662058043779	0.81058125995456	0.4088685579588	0.02234334780365	0.084527379724	0.24861428642107	0.02306138097725	0.1540057098024	0.0228926028708	0.36286965933528	0.083708198029474	0.10159114784979	0.034460061297048	0.06571933567686	0.006226276609861	0.018544191728617	0.018733107506153	0.008986768420375	0.257295382401	0.0836329904955	0.19847243891574	0.18001734464319	0.056987360427576	0.012024890061752	0.14499492445183	0.02209172556376	0.012917734921734	0.09698314378993	0.12021543192162	0.243719343511	0.1081139758958	0.0877886251171	0.2092730086992	0.14626211637434	0.0967733013213	0.007177435507097	0.009209642117904	0.05485531730056	0.073791334662993	0.02876595152387	0.027684688578951	0.01067102374372	0.068789182155664	0.021621331482621	0.2046483732717	0.10144082387007	0.04296340029515	0.062804242898426	0.27739734741289	0.16358125625492	0.03894412537844	0.213335333314544	0.015036795721621	0.00790271988821	0.092222389612536	0.06999848370522	0.01651024074603	0.0991413737631	0.003335062263367	0.0451824806526	0.055415952238693	0.005717980036526	0.17261678312503	0.1219043684399	0.00153576939261	0.06150059784304	0.002456750681164	0.046052395824057	0.04449759324383	0.11090520058615	0.06487471048256	0.02758605907134	0.05181469059996	0.09552285971827	0.42654568121414	0.00791640145889	0.04360767988883	0.41683755962235	0.0911586578289	0.05326475522594	0.15985319684319	3.0757161749103	0.06528051321481	0.017719813899724	0.105328097014519	4.70794133002611	0.02489575577418	0.004269873838767	0.01298526588892	0.1462185382547	0.034418422829084	0.11881441892514	0.01640144874692	0.027700613652447	0.058767085231217	0.12585847976161	0.002383577313711	0.009452481194515	0.041969179945351	0.040044211453004	0.028891483636188	0.022974508589341	0.16189449671418	0.06081120191284	0.044349340221017	0.13967732475956	0.26084652950369	0.067793533922837	0.034801041788205	0.00731137740404	0.082930974095214	0.122733437778271	0.19770864903531	0.10218884034485	0.04361875100811	0.02123396710906	0.1758416734045	0.014224112276276	0.2721227023734	0.067692408127568	0.1300030418186	0.04309781322602	0.0665621302792	0.014113542978069	0.05004929282268	0.26786554877383	0.1769683116526	0.06840159304767	0.44635570649771	0.28522902554352	0.075108450366656	0.16277679016779	0.27032547156534	0.020518179740687	0.04228296189531	0.09304278274625	0.05307785883943	2.6707434013851	0.0826227176963	0.0901495108215	0.023128002387447	0.088601836730352	0.041312449079804	0.040351712979454	0.0611973663407	0.64175574046178	0.26578285728549	0.02298044998995	0.064384754580617	0.21974808591649	0.0069169499522	0.094858452965373	0.02635718555419	0.27205064227941	0.1210934025343	0.2391410547341	0.07715375293487	0.1324694089233	2.1090552045304	0.09232081013111	0.037597644481294	0.18907892204693	0.82942012542178	0.13241679344292	0.20916461301892	0.07584279106261	0.125534467151281	2.0336157781254	0.0598104668501	0.03839993405741	0.15689833200813	0.78400270661162
Acidimicrobium	0	0	0	0.00127767291983	0	0	0.000364208312323	0	0	0	0.00243781908972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000384113583355	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000375333135379	0	0	0.000695106258756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000859759042435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000759935635246	0.00109790881267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00123235004782	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000969106911159	0	0	0	0	0	0	0	0	0	0	0	0	0.000596176892726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016096858891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000521539164266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000248044830763	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000899331142223	0	0	0	0	0.000179912620496	0.000577980887403	0	0	0	0	0	0	0	0	0	0	0	0.000492014788567	0	0	0	0	0	0	0.000448873220233	0	0	0	0	0.00130559673057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium	0	0.00195913885768	0	0	0	0	0	0	0	0	0.00873798606332	0.00112389639844	0	0	0	0	0	0	0.00159748519728	0	0.00330714412192	0	0.000887548661663	0.0019802456724	0	0	0	0	0	0	0	0	0	0.000393370234924	0	0.00177653978686	0	0	0	0.00305953141727	0	0.00034958679806	0	0	0	0	0.00202519753746	0.000408787020928	0	0	0	0	0.0001279194792	0	0.000392472122863	0	0	0	0.000562740130847	0.000575892837392	0	0	0	0	0	0	0	0	0.0018927143011	0	0	0	0.000567964842193	0	0	0	0	0	0.000373177085265	0	0.000270284883474	0	0	0	0.000565618587017	0	0	0.00107699267807	0.00803795680216	0	0	0.000616948014024	0.00158665996176	0	0	0.00183648255584	0	0.000330951918583	0	0	0	0	0	0	0	0.00281091756631	0.00355228491006	0	0.000823831180013	0	0	0	0	0.00085068198421	0.00182095460643	0	0	0	0	0.00609532114949	0.00063102406271	0.00610316267447	0.00313969662104	0	0	0.00223480196292	0	0	0	0	0	0	0	0	0.00105548455447	0.003343755891984	0	0	0	0	0	0	0.00056573004207	0	0	0	0.000751376437253	0	0	0	0	0	0	0.000176619698079	0	0	0.002004452833824	0	0.001672294275769	0	0	0	0	0	0.000336868348435	0.00315329266223	0	0	0	0	0	0.00041351797303	0	0	0.000237688966941	0	0	0	0	0	0	0	0	0	0	0	0.000303915214695	0	0	0	0	0.000154674493333	0.000322168671413	0.000174371703062	0	0	0.0013958930455	0.000157900230222	0	0	0	0	0	0	0	0	0.001354491197413	0	0.000652888993599	0	0.000644310600517	0	0	0	0.00110286932832	0	0	0.00189981035204	0.00052915017801	0.000326974317678	0.000119541515853	0	0.005260708267	0	0	0	0	0	0	0	0	0.00046011225716	0	0	0	0.000254022397481	0	0	0	0.000857471456091	0	0	0	0.0021810968288	0	0	0	0.000449224947709	0	0.000460501942682	0.00181185908145	0	0.00063000384176	0	0	0	0	0	0.000280535630084	0	0.000178842665402	0	0	0	0	0.00255704282694	0	0	0	0	0	0.000328105625726	0	0	0	0	0	0	0.00160997351542	0	0	0	0	0.000419795688252	0	0	0	0	0.000264633606885	0	0	0	0	0	0	0.00339638472601	0	0	0	0	0.00091455137789	0	0	0	0	0.00127890417234	0	0	0
Acidithiobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000564394273324	0.00250624175741	0	0.00123950212077	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000778128243121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000246571457211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00072665851376	0	0	0	0	0	0.00102329085015	0	0	0	0	0	0.00100769416852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00070259011928	0	0.000496778149911	0	0	0	0.000312324834417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000230676007709	0	0	0	0	0	0	0	0	0.000476859803523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00076055007488	0	0	0	0	0	0.000508848639571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00065627147823	0	0	0	0	0	0	0	0	0	0	0.000409833722703	0	0	0	0	0	0	0	0	0.001448179792101	0.00100423710328	0.00252908342593	0	0	0	0	0	0	0	0	0.00037920427843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000391207128445	0	0.000505135546956	0	0	0.000529600714598	0.000459043359197
