species	ERR688358	ERR688359	ERR688360	ERR688361	ERR688362	ERR688363	ERR688364	ERR688365	ERR688366	ERR688367	ERR688368	ERR688369	ERR688370	ERR688371	ERR688372	ERR688373	ERR688374	ERR688375	ERR688376	ERR688377	ERR688378	ERR688379	ERR688380	ERR688381	ERR688382	ERR688383	ERR688384	ERR688385	ERR688386	ERR688387	ERR688388	ERR688389	ERR688390	ERR688391	ERR688392	ERR688393	ERR688394	ERR688395	ERR688396	ERR688397	ERR688398	ERR688399	ERR688400	ERR688401	ERR688402	ERR688403	ERR688404	ERR688405	ERR688406	ERR688407	ERR688408	ERR688409	ERR688410	ERR688411	ERR688412	ERR688413	ERR688414	ERR688415	ERR688416	ERR688417	ERR688418	ERR688419	ERR688420	ERR688421	ERR688422	ERR688423	ERR688424	ERR688425	ERR688426	ERR688427	ERR688428	ERR688429	ERR688430	ERR688431	ERR688432	ERR688433	ERR688434	ERR688435	ERR688436	ERR688437	ERR688438	ERR688439	ERR688440	ERR688441	ERR688442	ERR688443	ERR688444	ERR688445	ERR688446	ERR688447	ERR688448	ERR688449	ERR688450	ERR688451	ERR688452	ERR688453	ERR688454	ERR688455	ERR688456	ERR688457	ERR688458	ERR688459	ERR688460	ERR688461	ERR688462	ERR688463	ERR688464	ERR688465	ERR688466	ERR688467	ERR688468	ERR688469	ERR688470	ERR688471	ERR688472	ERR688473	ERR688474	ERR688475	ERR688476	ERR688477	ERR688478	ERR688479	ERR688480	ERR688481	ERR688482	ERR688483	ERR688484	ERR688485	ERR688486	ERR688487	ERR688488	ERR688489	ERR688490	ERR688491	ERR688492	ERR688493	ERR688494	ERR688495	ERR688496	ERR688497	ERR688498	ERR688499	ERR688500	ERR688501	ERR688502	ERR688503	ERR688504	ERR688506	ERR688507	ERR688508	ERR688509	ERR688510	ERR688511	ERR688512	ERR688513	ERR688514	ERR688515	ERR688516	ERR688517	ERR688518	ERR688519	ERR688520	ERR688521	ERR688522	ERR688523	ERR688524	ERR688525	ERR688526	ERR688527	ERR688528	ERR688529	ERR688530	ERR688531	ERR688532	ERR688533	ERR688534	ERR688535	ERR688536	ERR688537	ERR688538	ERR688539	ERR688540	ERR688541	ERR688542	ERR688543	ERR688544	ERR688545	ERR688546	ERR688547	ERR688548	ERR688549	ERR688550	ERR688551	ERR688552	ERR688553	ERR688554	ERR688555	ERR688556	ERR688557	ERR688558	ERR688559	ERR688560	ERR688561	ERR688562	ERR688563	ERR688564	ERR688565	ERR688566	ERR688567	ERR688568	ERR688569	ERR688570	ERR688571	ERR688572	ERR688573	ERR688574	ERR688575	ERR688576	ERR688577	ERR688578	ERR688580	ERR688581	ERR688582	ERR688583	ERR688584	ERR688585	ERR688586	ERR688588	ERR688589	ERR688590	ERR688591	ERR688592	ERR688593	ERR688594	ERR688595	ERR688596	ERR688597	ERR688598	ERR688599	ERR688600	ERR688601	ERR688602	ERR688603	ERR688604	ERR688605	ERR688606	ERR688607	ERR688608	ERR688609	ERR688610	ERR688611	ERR688612	ERR688613	ERR688614	ERR688615	ERR688616	ERR688617	ERR688618	ERR688619	ERR688620	ERR688621	ERR688622	ERR688623	ERR688624	ERR688625	ERR688626	ERR688627	ERR688628	ERR688629	ERR688630	ERR688631	ERR688632	ERR688633	ERR688634	ERR688635	ERR688636	ERR688637	ERR688638	ERR688639	ERR688640	ERR688641	ERR688642	ERR688643	ERR688644	ERR688645	ERR688646	ERR688647	ERR688648	ERR688649	ERR688650	ERR688651	ERR710415	ERR710416	ERR710417	ERR710418	ERR710419	ERR710420	ERR710421	ERR710422	ERR710423	ERR710424	ERR710425	ERR710426	ERR710427	ERR710428	ERR710429	ERR710430	ERR710431	ERR710432
16SrX (Apple proliferation group)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00524602337769	0	0	0.0048419517646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00660006780224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138230215895	0	0	0.00698157786118	0	0	0	0	0	0	0	0	0	0	0	0.00121140701985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109919190815	0	0	0	0	0	0.00334975884854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0170233438021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016642741045	0	0	0	0	0	0	0.00198790680955	0	0	0.00871058241149	0	0	0	0	0.00135252816546	0	0	0	0	0	0	0	0.0022112028811	0	0	0	0	0	0	0	0	0.0070018496862	0	0	0	0	0	0	0	0	0.00175767839027	0	0	0	0	0	0	0	0	0	0.00100105105077	0	0	0	0.00149221724024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103612260464	0	0	0	0	0	0	0	0	0	0.00358083104633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16SrXII (Stolbur group)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0245342089475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00520151721887	0	0	0	0	0	0.00673486965087	0.00594535061342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204194373735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222633064263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00215350209482	0	0	0.00287599158675	0	0	0	0	0	0	0	0	0	0.00346017346421	0.0022631007084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00123237753081	0	0	0	0	0	0	0	0.000979162202702	0	0	0	0.0209776121418	0.00200370623029	0	0	0	0	0	0.005518022328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00114366846276	0	0.00776704070236	0	0	0.00152401582406	0	0	0	0	0	0	0.00302783567569	0.0112284514546	0	0	0	0	0	0	0	0	0	0.00101596838129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000676311174794	0.0012313579672	0	0	0	0	0	0	0	0.00194525895922	0	0	0	0	0	0	0	0	0	0.0134971481831	0	0	0	0.00733989295503	0	0	0	0	0	0	0.000700005554604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0020251011617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthamoeba castellanii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0249045329411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaryochloris marina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012985398704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000707163935271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000392333096991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacterium woodii	0.000562946630613	0	0.000559562612231	0	0	0	0	0.00144429004185	0	0	0	0	0	0	0	0	0	0	0.000832306842913	0.00091275572297	0	0	0	0.000515864568447	0.000455549239115	0	0	0	0.000360289203958	0	0	0.000378114311532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00119004673342	0	0	0	0	0	0	0	0	0.000134771258306	0	0	0	0	0	0.00052414374952	0	0	0	0	0	0	0	0	0	0.000603525439231	0.000875721927568	0	0	0	0	0	0	0	0	0	0.0024938736287	0	0	0.000351746473919	0	0	0	0	0.00124000016946	0.000230585361196	0	0.000956827018316	0	0	0.00366698993415	0	0	0	0	0	0.000405476101836	0.000585807224828	0.00030846306053	0	0	0.00470651127408	0.000422169491638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00106848989133	0	0	0	0	0	0	0	0	0	0	0	0.000397540783098	0.00105631172972	0.0135115254572	0	0.000215687555678	0.000392585567818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000199235640082	0	0	0.000669444568992	0	0	0	0	0	0	0	0.000208310694864	0	0	0	0.000354983471455	0	0	0	0	0.000666964547938	0	0	0	9.79556334034e-05	0	0	0.000347338011932	0	0	0.000414781809739	0	0	0	0	0	0.000261577388142	0.00333930913314	0.00316742872397	0	0	0	0	0	0	0	0	0	0	0	0.000222071506598	0.000134500829686	0	0	0	0	0	0	0	0	0.000893503566384	0	0	0	0	0	0	0.000437934971371	0	0	0	0	0	0	0.00450593515902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000337155182277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129520606357	0	0	0	0	0.00294032214325	0	0	0	0.000780997114261	0
Acetohalobium arabaticum	0	0	0.000458234056099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00149687941124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00487273389681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000547007978363	0	0.0172701415979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000540887782666	0	0	0	0.000541438570577	0	0	0	0	0	0.00035863139147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000749388485477	0	0.00430163263461	0	0	0	0	0	0	0	0	0	0.000457944417782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acholeplasma laidlawii	0	0	0	0.0147357835213	0.00100807396027	0	0	0.000650396611183	0	0	0	0	0	0	0	0	0.00453095216195	0	0.00112442002868	0	0	0	0	0	0	0.00210943481998	0	0	0.00194695694502	0	0	0	0	0	0	0.00166726796301	0	0.0009159814741	0	0	0	0	0	0	0	0	0.00428914508923	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00621613022648	0	0	0	0	0	0.00218219565826	0	0	0	0	0	0.00075180432053	0	0	0	0	0	0	0.000555826022094	0.000715541977512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000691923824277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00171172172464	0	0	0	0	0	0	0	0	0	0	0.00134694366474	0	0	0	0	0	0	0	0	0.00385352282521	0	0	0	0	0	0	0	0	0	0	0.00176105653528	0.000545317834193	0	0	0.00110022265129	0	0	0	0.00214825973156	0.00142704349428	0	0.00115376421692	0	0	0.000487299990375	0	0	0.00596279123346	0	0	0	0	0	0.000547365920645	0	0	0.00803048898551	0	0.000414986809818	0	0	0.000538322004783	0	0.00399670335132	0	0	0	0	0	0.00612615817881	0.00232062353664	0	0	0	0.000907057936732	0	0	0	0	0	0	0	0.000835363374209	0	0	0	0	0	0	0	0.000432108406851	0	0.000604680193719	0.00162192627577	0	0	0	0	0.00451130025332	0	0	0	0	0	0.0148113941852	0	0	0	0	0	0	0.000600023061072	0.000363412671809	0.000406027928919	0	0.000223902776382	0	0.000357596892852	0.00178461114625	0	0.000334258566091	0	0	0	0	0	0.000472540075081	0.000911232558153	0	0	0	0	0.000728749212933	0	0	0	0	0	0	0	0	0	0.00100705421398	0	0.000571037944401	0	0	0.00287971636792	0	0.000709319194791	0	0	0	0	0.00102381652097	0	0	0.000647692697023	0	0	0	0	0	0.00376848130183	0	0	0	0	0	0	0	0	0.00801419500825	0	0	0	0	0	0	0	0	0	0	0	0.00150788705809	0	0.00100636124965	0	0.000533022842997	0	0
Achromobacter xylosoxidans	0	0	0	0	0.000820246617711	0.000159530816715	0	0	0	0.00205064502864	0	0	0	0.000182460166678	0	0.00100585960101	0	0.000376525417532	0.000228728685037	0.00100334831104	0.00252543177247	0	0.00457486691636	0	0.000250381645471	0.000286066440321	0.000215235464764	0.0367972407814	0.000990121330327	0	0.000126867179906	0.000207821406268	0	0	0	0	0	0.000186328269459	0.000471193476039	0.00175226061336	0.000404486682796	0.00140151207996	0	0.000192600652314	0	0.000125570428253	0	0.000330212704076	0	0	0	0	0	0.000817418068758	0.000224777375664	0	8.38989754987e-05	0	0.00075762328868	0	0	0	0	0	0.00101202221484	0.000885255138175	0.00014796687201	0	0	0	0.000252134554165	0	0	0	0.00216593740627	0	0	0	0	0	0	0	0	0.000575890311623	0	0	0	0.00144996720496	0.000446184547146	0	9.10605799934e-05	8.83349080322e-05	0.000908714890815	0	0	0	0	0.000189543408044	0	0	0.000281501258312	0	0.000148013775728	0	0	0.00321974803791	0	0	0	0	0.000154690181884	0	0	0	0	0	0	0.000522295738122	0	0	0	0	0	0	0	0.00280815612493	0.000318527152695	0	0	0	0	0	0	0	0	0.000544684296842	0	0.00104517432524	0	0	0	0	0	0.000684519023695	0	0.000841035630937	0.000430329732642	0	0.000358232809196	0.00011092814781	0	9.08059432504e-05	0	0	0.000239198993703	0	0.000873994790176	0.000145144062544	0	0	0	0.0008631007322	0	0	0	0	0.000239515985729	0	0.00142367243697	0.000228682815757	0	0	0.000324446062239	0.0270607253788	0.000136129674188	4.22108874923e-05	0	0	0	0.000219010122801	0	0.000162601283989	0	0	8.90605056028e-05	0.000391849893257	0.000327331543375	0	0.000236029755991	0	0	0.000354341872129	0	0.000199732982401	0	0	0.00102787521703	9.04329181577e-05	0	0	0	0	0	0	0	0.000140456195956	0.000381811911841	0	0	0.000227974811758	0.000123003594786	8.24827588491e-05	0.000185270338576	9.51712362398e-05	0.000105272900876	0	0.000917685338599	0	0.000101018629873	0	0.000205392128391	0	0	0	0	0	0.000149080876159	0	0.000923918555464	0	7.39251351171e-05	0.00181706577775	0	0	0.000235513082079	7.27420936918e-05	0	0.000176320885833	0	0	0.000181696969749	0.000716576097105	0	0.000249832379263	0	0	0.000120350194146	0.000514561921454	0	0.00105495817037	0	0	0.000240544660303	0	0	0.000338999524677	0	0	0	0	0.000102427109198	0	0	0	0	0.000292894879721	0	0.000288578364949	0	0	0	0	0	0	0.000263274809973	0	0	0	0	0	0	0	0	0	0	0	0	0.000149782340663	0	0	0	0	0.000784306769591	0	0.00150028187259	0	0	0.000660428178812	0	0	0.000246254135649	0.00555643509868	0	0	0	0	0	0	0.000558101254143
Acidaminococcus fermentans	0.0127055156921	0.0053321846237	0.0208866538512	0.0106520297938	0.0064773745978	0.000503917157324	0.000337380538027	0.00167164817416	0.000350570644142	0.0372454212926	0.060972697721	0.00914949516832	0.0169404336037	0.0126795927523	0.00294434688859	0.113322056043	0.00582272245774	0.0124881513847	0.0216748671767	0.0110926248414	0.0498574674321	0.0595019410695	0.0561977019507	0.00985167566281	0.00949070101667	0.0302709656841	0	0.000382975609524	0.0369049805563	0.00321023650717	0.0124229728723	0.00459518368327	0	0.0117420460215	0.00220231084708	0.087846785584	0.0119154846681	0.000588563475124	0.0148838000009	0.0703728634442	0.0971029394266	0.0101189009527	0.0234765056073	0.00567817910447	0.000397843443068	0.00793289905391	0.0227369026949	0.00695371801625	0.0237598435926	0	0.00643904369093	0.0250104971746	0.000231416873278	0.134264789073	0.00923018712373	0.000714370723797	0	0.000233980143893	0.0004786277433	0.0212052982897	0.00399417161959	0.00938132148182	0.00245309927814	0	0.0181147468529	0.0293610993173	0.0014021688171	0.00439435611439	0.0253381627996	0.0242964025179	0.0430071521126	0.0222431149271	0.0236705045078	0.0461030839893	0.0296471230688	0.00163002374941	0.0120237529678	4.02767907492	0.00877640506581	0.000714291509988	0.00183908467492	0.00292837848856	0.0171364041944	0	0.00721613937853	0.000759027112048	0.00649786836013	0.00458007654687	0.0253688971126	0	0.000862911434159	0.00669665861402	0.0114815941905	0.0020016284136	0.000625983070212	0.0299011337604	0.057896291359	0.0089807891671	0.00181896102696	0.0136096912972	0.00800271603405	0.025658366176	0.000935075525164	0.00695805660733	0.0267504184358	0.0762777207553	0.0214212532244	0.00211570558735	0.00347754972858	0.00700380481069	0.000488626826631	0.00985086897389	0.000936626831039	0.0038473844283	0.00329425685625	0.00531959059991	0.00169204203512	0.00164979901098	0.00505767101264	0.0505401323536	0.0148404685049	0.104868972245	0.068159637262	0.00217621675801	0.00647193978783	0.0392825308517	0	0.00132327479338	0.0129821704892	0.0199776295239	0.0715307023821	0.00838483833518	0.0539819558313	0.000754474589428	0.0188521618003	0.00172051875717	0.0227925587568	0.00907895750649	0.512681855286	0.0107473479978	0.00586520801455	0.0394139109149	0.0327196113067	0	0.0268980093688	0.0035421560388	0.0122337167229	0.00331357315067	0.0150875475629	0.0115629928817	0.00415972301016	0.0002868328122	0.00164954430396	0.000600881884053	0.000377784303447	0.098845203022	0.022085812848	0.0302592226618	0.0865004034959	0.0100082340075	0.000374461186663	0.0552078798776	0.00156557192406	0.00188733444112	0.00515730354763	0.0360150544011	0.105163216634	0.0478238772393	0.0206862831771	0.014447013664	0.0190781532069	0.023212841566	0.000512421175907	0.000416288614758	0.033109916623	0.000800000559313	0.00906608585217	0.00142116991137	0	0.00691797113434	0.000968206313421	0.0590658377272	0.00435840526802	0.00194658299395	0.0241934701108	0.0594121853192	0.0837505049069	0.00481110681543	0.0365323318747	0.000873632602095	0	0.0148304015611	0.0116565932058	0.00567814989663	0.0221866817294	0	0.0151517129076	0.0099979082379	0.000409747831591	0.0486333023828	0.0101984846899	0	0	0.000510190529204	0.00106402978581	0.0115352976921	0.0162816269128	0.00863023298666	0.00083295317457	0.00648102851246	0.00427390678566	0.0518478571506	0	0.00150310829634	0.0129686794047	0.0127156905649	0.00676371244269	0.033681751267	0.0408437867799	0.0400466429423	0.000865041790311	0.012101194287	4.06589718326	0.00305327087988	0.000228465090907	0.00232777629622	0.0193072468867	0	0.0243201920511	0.00115663362622	0.00537074483999	0.00887036400884	0.0286611680681	0.000287737252081	0.000743925752265	0.00804208016925	0.0114670107167	0.00139238175726	0	0.046537094554	0.014348359517	0.00905392443406	0.00226131201356	0.0434036217748	0.0103234338729	0.0117102412273	0.00114046669414	0.0069078218916	0.00935665551064	0.0583160158769	0.00327780230245	0.00588993588112	0.0125370172032	0.014223417854	0.000333320326016	0.00348014233905	0.00249729381273	0.010297229082	0.00507512059642	0.00371237695941	0.000647082222269	0.00453873638868	0.00953992438567	0.0312124616856	0.00728571488667	0.117497887207	0.0556055456282	0.00501349994808	0.00663244514279	0.0180081738948	0.000774459820887	0.00316570719791	0.00131570566985	0.00234137809664	0.0598764937896	0.0129014139869	0.0296035737148	0	0.0422323329509	0.00411204770048	0.0114998597983	0.0193714874255	0.466078869801	0.0227833492284	0.00234670017511	0.0120420257923	0.00892539727906	0	0.00450158000546	0.00161224273439	0.00708058631305	0.0619771395012	0.0148645501581	0.00154598247987	0.0165865271173	0.0220622457207	0.0215816818969	0.000695374718894	0.0629620153297	0.0293406914668	0.0598947580535	0.0343714155985	0.00678224495221	0.00875104346835	0.0174591978757	0.0196659653121	0.00308244224473	0.0589821238372	0.0199795276998
Acidaminococcus intestini	0.00183055359629	0.00374515632664	0.00136466224745	0.00110839197257	0.000606600162771	0.000235956887347	0	0	0	0.00151652147208	0.0169186280319	0	0.0838555313184	0.00269870949581	0.000551470746336	0.000991823003026	0	0.00055690660499	0.000676610446557	0.00296804027301	0.00186764235435	0.0022289207822	0.00150367514474	0.000838727589451	0.00222198851347	0.000846223296825	0	0.000179326564773	0	0.000884222620455	0	0	0.00101329647893	0.000999665264258	0	0.0280914115559	0.00289300708182	0	0.000696927078004	0.00222146757955	0	0.00473812875284	0.00157039508475	0.000569738829864	0.000745153437332	0.0014858173739	0.00322619695058	0	0.00193485866079	0	0	0.000532320458066	0.000216719769528	0	0	0	0.00471550624314	0	0	0.00189129204387	0.00249366994605	0	0.00287163108862	0	0.000997899618633	0.00436450777377	0.000875412118333	0.000514409251389	0.00705455448459	0	0.000745848179287	0.00595156347975	0.0493107310459	0.000981252576315	0.000711904040579	0	0	0.00529573091225	0.00063223249827	0	0.000861142926281	0.0109695978887	0	0.00283926930613	0.00045052320252	0	0.000338066324849	0.000571893264652	0	0	0	0	0	0.000749802626456	0	0	0.00159468657047	0	0	0.00212422508314	0	0.000706730103094	0.000437844806721	0	0	0.00285733530629	0.00100304031336	0	0	0	0	0.0028076841822	0.00043857119855	0	0.00462756178842	0.000498174758161	0	0	0.00526273589054	0.00086055215032	0.00213814800205	0	0.00398942951666	0	0.00086584456832	0.00118670090934	0.000471123241473	0.000495693860489	0.000810512202947	0.00196935431298	0.0246077793148	0.00120804982188	0	0	0	0.000402812490767	0.00142300141753	0	0.00475368152056	0	0.0164781397891	0	0.00360489582437	0.0202490003483	0.0026058349586	0	0.00127297366538	0.000517188454004	0.00211940239119	0.000656280987348	0	0.000268616285721	0.000220683291657	0	0.000353791519238	0	0.0019390462717	0.00171742322494	0.00961097993149	0.000694268068976	0.000350679450989	0.00255316892913	0	0.000883735657014	0	0.00287044822132	0	0	0.0025268495987	0.0121765456622	0.00476440391744	0	0	0.000129950150666	0.00161076009556	0.00112378972878	0	0.000532365010881	0.00124725489021	0.000323930811224	0	0.0173158787875	0.00244896382485	0	0.000263453044626	0.00289786271469	0.00290487319112	0.0327676887467	0.000698208003844	0.000163629776426	0	0.000524095638236	0.00436651685292	0	0	0.000143614169987	0	0.000535025653893	0.000191862534415	0.00108439618023	0	0	0.00269522748294	0	0.000332151363447	0.00249293076953	0.00112945137655	0	0.00104007063077	0	0.00109158390671	0.00463590838854	0	0.00112611765579	0.00560540712365	0	0.00226219799325	0.00386236527119	0.0528923430204	0.00208351734011	0.000202525916513	0.000419728035119	0.00495146326211	0	0	0.0106574895927	0	0.000289769578184	0.00136653814604	0	0.000218680567657	0.000488647891877	0.00366012542851	0	0	0.000215180970801	0.000536937493904	0.000260790537228	0.000402274651641	0.00290543735018	0.00107496851844	0.000302818457457	0	0.00147807606789	0.000284347079437	0.000548326650505	0.00142404873426	0.000761071947314	0.000438121083631	0.00156035461541	0	0.00022063482729	0	0.0106560798115	0.00608695257435	0.00401122613435	0.000519709476738	0.0027001128436	0	0.00104298204489	0	0	0.00824681657116	0	0.0010496930554	0.00346569098371	0.00148783088932	0.000853653910276	0	0.00219971594654	0	0	0	0.00383718827419	0.0338779116055	0	0	0.000389795140047	0.000909199785652	0.000453046445024	0.000598306263354	0	0.00131866636578	0.00355606610409	0.00109883154564	0.000512602099917	0.00501513138743	0.0019938440766	0.000421568819713	0	0.00241123776036	0	0	0	0	0.0375656178797	0.00336850770681	0	0.00210583382923	0.00808155506198	0.00291381241772	0.00205458600042	0	0.000682939297931	0.0399675905197	0.001625028998	0.00288667876028	0.00126979805763	0.00825469570482
