SampleName	Total_Sequences_Passing_QC	Total_Human_Hits	Total_Seqs_Passing_Contaminant_Screen	Total_Metaphlan_Alignments	Total_Kraken_Hits	Total_HUMAnN_Hits	Unique_KEGG_Modules	Unique_KEGG_Pathways
ERR688358	336870	19	336851	7182	69751	118755	203	222
ERR688359	812118	90	812028	12435	155534	277261	213	233
ERR688360	772809	122	772687	17304	220247	286078	209	237
ERR688361	556435	32	556403	12785	143844	207102	207	221
ERR688362	644480	27	644453	11788	141841	248650	208	237
ERR688363	970571	60	970511	28562	193435	371666	208	232
ERR688364	646119	64	646055	16631	167386	251907	207	229
ERR688365	693684	24	693660	11475	129055	269009	208	232
ERR688366	488246	287	487959	16663	236506	236230	206	226
ERR688367	563353	80	563273	7311	85379	193669	209	231
ERR688368	377853	54	377799	4699	38968	122104	205	235
ERR688369	451345	17	451328	7014	108292	178155	209	231
ERR688370	578935	226	578709	3320	41116	183821	210	237
ERR688371	634517	11	634506	12612	155330	230561	208	228
ERR688372	600829	22	600807	12522	154220	235254	207	230
ERR688373	580817	89	580728	10410	153842	207633	208	232
ERR688374	379554	15	379539	9453	89505	140482	208	222
ERR688375	473338	44	473294	11307	120470	176355	207	221
ERR688376	748615	22	748593	15273	183391	278243	210	238
ERR688377	528466	340	528126	6286	69286	181180	210	233
ERR688378	321004	85	320919	4970	58048	107479	207	225
ERR688379	566450	3	566447	12228	118679	209966	210	229
ERR688380	543163	155	543008	10667	76266	171594	207	234
ERR688381	838225	89	838136	10717	117662	284577	212	239
ERR688382	868793	9	868784	12602	140437	293185	210	239
ERR688383	705523	16	705507	18546	210538	274571	209	235
ERR688384	375734	11	375723	9767	88777	147390	198	215
ERR688385	675040	5	675035	27773	420760	322136	212	236
ERR688386	636311	19	636292	14727	146259	234411	209	233
ERR688387	711330	15	711315	9496	490663	404314	204	229
ERR688388	687071	34	687037	17672	212532	281534	209	232
ERR688389	449684	13	449671	10654	92165	164190	203	219
ERR688390	507612	58	507554	9760	76365	194067	204	220
ERR688391	931972	46	931926	20399	213394	340589	207	232
ERR688392	937392	45	937347	19420	329412	330375	208	221
ERR688393	469895	40	469855	10276	121595	172608	208	228
