kegg_modules	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
M00001: Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.0442668	0.0432428	0.0431074	0.0440215	0.0408264	0.0406989	0.0393055	0.0385873	0.0395269	0.0421373	0.044011	0.045518	0.0455296	0.0415192	0.0423001	0.0402423	0.0416103	0.0453819	0.0437371	0.0432598	0.0463466	0.0484252	0.0342057	0.0421564	0.0413994	0.045098	0.0406233	0.0507854	0.0376985	0.0350881	0.0285721	0.0448181	0.0438352	0.0451831	0.0376842	0.0402533	0.040426	0.0438431	0.0330619	0.0418839	0.0398244	0.0464949	0.0470102	0.0269732	0.0451922	0.0461502	0.0408867	0.0405802	0.039346	0.0465266	0.040596	0.0400212	0.0426556	0.0387302	0.0402792	0.0463365	0.0362354	0.0459193	0.04292	0.0367779	0.0401322	0.0391827	0.045588	0.0384708	0.044185	0.0414955	0.0396348	0.0428414	0.0418814	0.0399108	0.038712	0.0440619	0.0457481	0.043296	0.0426484	0.0435179	0.0458984	0.0384026	0.0370926	0.0432138	0.0452335	0.0438176	0.0465058	0.0418144	0.0398009	0.0414886	0.0434552	0.0419982	0.0495469
M00002: Glycolysis, core module involving three-carbon compounds	0.0432456	0.042316	0.0420053	0.0418659	0.0391495	0.0385389	0.0374324	0.0361554	0.0379301	0.0407996	0.0420118	0.0447584	0.0444682	0.0382163	0.0421913	0.0383482	0.0406745	0.0430058	0.0424017	0.0417765	0.0468333	0.0480731	0.032714	0.0394464	0.0384939	0.0450852	0.037904	0.0509911	0.0361086	0.0325835	0.0278885	0.0440251	0.0413525	0.043535	0.0341145	0.0380885	0.0387849	0.0415506	0.031851	0.0393654	0.0379215	0.0433344	0.0459012	0.0265543	0.0434636	0.0436761	0.0392598	0.0383376	0.0381579	0.0460432	0.0378832	0.0382039	0.0390377	0.0351237	0.0374597	0.044385	0.0362047	0.0432973	0.041667	0.0345815	0.0390005	0.0343702	0.0435914	0.0382667	0.044372	0.038411	0.0373272	0.0409608	0.0395209	0.0378138	0.036206	0.0422415	0.0433427	0.0415413	0.0421245	0.0400865	0.043749	0.0374128	0.0346677	0.0417043	0.0430517	0.042083	0.0456648	0.0408077	0.0389966	0.038563	0.0408293	0.0380538	0.0506677
M00003: Gluconeogenesis, oxaloacetate => fructose-6P	0.0416211	0.0399885	0.0410004	0.041246	0.0384128	0.0385377	0.0380192	0.036	0.0378964	0.0394894	0.0408391	0.0413098	0.0382628	0.0382157	0.0397561	0.0381425	0.0400609	0.0405877	0.0408397	0.0409749	0.0450055	0.041002	0.0313627	0.0388323	0.0366358	0.0411348	0.0375757	0.0449596	0.0354776	0.0331561	0.0260479	0.0414631	0.0404231	0.0412137	0.035534	0.0376039	0.0395832	0.0398577	0.031087	0.0389897	0.0382964	0.0421214	0.0408078	0.0256807	0.0399585	0.0441371	0.0392462	0.038723	0.038747	0.0416574	0.0387974	0.0389547	0.0399897	0.0374556	0.0377111	0.0427612	0.0344659	0.0432831	0.0405312	0.031961	0.0389305	0.0378172	0.0393024	0.0356463	0.0411839	0.040158	0.0375519	0.0394717	0.0362554	0.0375296	0.0350093	0.0393555	0.040732	0.0410147	0.038014	0.0393478	0.0390553	0.034901	0.0353262	0.0410569	0.0433213	0.0429061	0.0408788	0.0408472	0.0359877	0.0389977	0.0393843	0.0323742	0.0382971
M00004: Pentose phosphate pathway (Pentose phosphate cycle)	0.0154837	0.0174094	0.0150138	0.0194072	0.0189564	0.0175169	0.0128457	0.0177791	0.0264819	0.0158236	0.00971883	0.013922	0.0145004	0.0236463	0.0169808	0.0160929	0.0175948	0.0231577	0.0153664	0.0176127	0.0080477	0.00764468	0.0130349	0.0154586	0.0179082	0.0176837	0.0213965	0.00920355	0.0200319	0.022622	0.0170424	0.0188808	0.0260003	0.0131063	0.0154468	0.0228135	0.0307776	0.0115485	0.0168785	0.025273	0.0173048	0.00797395	0.0107579	0.0120117	0.0113857	0.00757184	0.0128764	0.0226301	0.0217424	0.00799899	0.0218528	0.025998	0.0230204	0.0214126	0.0231669	0.0104618	0.0210107	0.0131399	0.012424	0.0114818	0.0153382	0.0142719	0.0139814	0.019981	0.0153003	0.0235011	0.0261771	0.0175336	0.0233006	0.0182173	0.018261	0.0161696	0.0107766	0.0135242	0.0105183	0.00932695	0.0136309	0.0129962	0.0243432	0.0262262	0.00946849	0.0187197	0.00755131	0.0193331	0.0145715	0.0270995	0.0240945	0.00784469	0.0101859
M00006: Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	0.00990691	0.011419	0.00957058	0.0132145	0.0125774	0.011396	0.00778881	0.011882	0.01999	0.0103232	0.00604973	0.00881857	0.00907772	0.0168761	0.011258	0.0104027	0.0115091	0.0173478	0.00997059	0.0113507	0.00475711	0.00427824	0.00888438	0.009697	0.0119685	0.0116948	0.0146547	0.0052468	0.013706	0.0176742	0.0126954	0.013392	0.0196823	0.00816683	0.00968663	0.0167226	0.0259974	0.00718183	0.0117697	0.0175905	0.011227	0.00454699	0.0063627	0.0077432	0.00678856	0.00430409	0.0081447	0.0161912	0.0151516	0.00448794	0.0159112	0.0197468	0.0167537	0.0146594	0.0170291	0.00638617	0.0154884	0.00856188	0.00792155	0.00709695	0.00990831	0.00880324	0.00904264	0.0146306	0.00975563	0.0171959	0.0207179	0.0118273	0.0185912	0.0120277	0.0127087	0.0102298	0.00652	0.00857226	0.00628877	0.00532301	0.00840493	0.00763703	0.0198311	0.0212067	0.0055009	0.0119456	0.00420452	0.0137919	0.00931703	0.0212396	0.017566	0.00458674	0.00591462
M00007: Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	0.0354251	0.0366206	0.0348142	0.0365227	0.0384652	0.0378421	0.0366229	0.035297	0.0392185	0.0338708	0.0246976	0.0330459	0.0360134	0.0394879	0.0345367	0.0355236	0.0373385	0.0348187	0.0334909	0.0392868	0.0261009	0.0358416	0.0244638	0.0380903	0.0355518	0.0362444	0.0396262	0.0374197	0.037202	0.0314172	0.0259164	0.0319939	0.0382923	0.0331661	0.0381077	0.0358833	0.0377117	0.0294613	0.029824	0.0448691	0.0377306	0.0323551	0.0347889	0.0267679	0.0352707	0.0314215	0.0307281	0.0375713	0.0384815	0.0367155	0.0348762	0.0380402	0.0367769	0.0397027	0.0362226	0.0289152	0.0326531	0.02824	0.0287848	0.0300448	0.0339349	0.0376779	0.0308072	0.0315011	0.0354471	0.0371071	0.0355429	0.0338789	0.0312054	0.0375311	0.0324287	0.0385568	0.0310435	0.032023	0.0321216	0.0376195	0.0360384	0.0435723	0.0315132	0.0343586	0.0339662	0.0432406	0.0369963	0.0323175	0.0334177	0.0374251	0.0383462	0.0270663	0.0366602
M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.000221242	0.000287	0.000196137	0.000136112	0.000208246	0.00226553	0.000579937	0.000828944	0.000898208	0.000114497	0.000272473	0.000497637	0.000379871	0.000312286	0.000675273	0.000515262	0.000147987	0.000131054	0.000569949	0.000247938	0.000608816	0.000102867	0.00631932	0.000251742	0.000259608	0.000557613	0.000973805	0.000142399	0.000541033	0.00586926	0.00967892	0.000336622	7.93873e-05	0.000228398	0.00273466	0.000253338	9.91049e-05	0.00100351	0.00604513	0.00152826	0.00023534	0.000404584	0.000341776	0.00761586	0.000229603	0.000910236	0.00143187	0.000136371	0.000110654	0.000129953	0.00042058	0.000408231	0.000273948	0.00125891	0.000186912	0.000679784	0.00203302	0.00153816	0.000198907	0.00564183	0.000503767	0.00310366	0.000450863	4.80393e-05	0.000244546	5.18334e-05	0.000230431	0.000354594	0.000189896	0.000179704	0.00092951	0.00058446	0.000265984	0.000661525	0.000686994	0.000487387	0.000612425	0.000561534	0.000496866	0.000138443	0.000185663	0.00012023	3.09858e-05	9.81153e-05	0.00286934	0.000313272	0.000197636	0.00435681	0.000238136
M00009: Citrate cycle (TCA cycle, Krebs cycle)	0	0	0	0	0.00235686	0.00604627	0.00446707	0	0	0.00327589	0	0	0	0.000804788	0.00686842	0	0	0	0	0.000314214	0	0	0.0092097	0	0	0	0	0	0	0.00945492	0.0117013	0	0	0	0.00486463	0	0	0	0.0100091	0	0	0	0	0.00980411	0	0.00175712	0.00345094	0	0.000951848	0	0	0	0	0.000962269	2.53065e-05	0	0.00951116	0	0	0.00927057	0.00186484	0.00471432	0	0	0	0	0	0	0	0.00256128	0.00423057	0	0	0	0.00446667	0	0	0.00685713	0	0	0	0	0	0	0.00562203	0.00110991	0	0.00643143	0.00511799
M00011: Citrate cycle, second carbon oxidation	0	0	0	0	0.00222308	0.00571903	0.0034543	0	0	0.00478984	0	0	0	0.00295674	0.00553352	0	0	0	0	0.000168439	0	0	0.00900439	0	0	0	0	0	0	0.0122815	0.010361	0	0	0	0.00400235	0	0	0	0.0089534	0	0	0	0	0.00806479	0	0.00166801	0.00380829	0	0.00388923	0	0	0	0	0.00255022	1.94431e-05	0	0.0107297	0	0	0.00864072	0.00272538	0.00338928	0	0	0	0	0	0	0	0.00178953	0.00312648	0	0	0	0.00327785	0	0	0.0080032	0	0	0	0	0	0	0.00651935	0.00257311	0	0.00513295	0.00427115
M00012: Glyoxylate cycle	0	0	0	2.41812e-06	0	0.00091927	0.000380766	0.000247322	0	0.000372988	0	1.54481e-06	0	0	0.000120147	0	0	0	0	0.000257656	0	0	0.00742383	0	5.14865e-08	0	0	0	0	0.0037535	0.0122458	0	0	0	0.00160531	0	0.000301187	0.000169322	0.00536619	2.84351e-05	0	1.00652e-05	0	0.0113353	0	4.32854e-09	0.00285949	0.000123229	0.000305665	0	0	0	0	0.000129664	0	0.000246625	0.0030975	0.000828811	0	0.00549904	0	0.00193845	4.68927e-05	0	0	0	0	0	0	0	0.000190308	0.000352465	0	0	0.0011951	0	0	0.000241026	0	0	1.23157e-05	0	0	1.53085e-07	0.00253517	0	0	0.00486711	0
