phylum	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
d__Archaea|p__Crenarchaeota	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
d__Archaea|p__Euryarchaeota	12	123	6	33	4	13	7334	11	3	318	8	1284	761	15	9	8741	1	3	603	5	453	1426	45	5	5	5307	10	86	2	9	5	5	9	168	7	5	7	35	843	3	5	524	473	3	931	64	2333	11	1	602	4	6	5	9	6	501	7	15	34	138	577	3	11	6	632	1	4	7	1161	36	2374	7	49	27	3493	0	5	34583	4	12	138	7	4208	399	8	9	75	59	2246
d__Archaea|p__Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Acidobacteria	4	3	5	2	4	8	6	3	5	6	3	4	3	3	0	4	0	2	5	1	6	9	3	3	10	2	5	8	20	0	5	6	0	5	5	2	0	5	3	3	6	13	12	0	1	3	4	3	1	8	1	0	1	0	5	7	2	2	7	8	3	10	24	9	4	4	5	3	6	3	4	5	16	0	4	4	8	9	1	2	2	3	11	3	7	0	3	22	6
d__Bacteria|p__Actinobacteria	679	519	3115	894	2679	1048	2682	9801	706	520	1288	501	1137	840	669	5281	802	288	701	2623	879	1303	307	21631	5998	991	1987	1223	3636	768	3665	1221	364	3366	1922	11171	455	963	425	2024	3647	3750	3239	2130	482	561	4585	16177	1636	301	1837	808	1439	1343	1426	1264	578	752	3476	350	797	2553	3146	77603	947	1995	436	1012	378	1028	7240	5592	783	5493	418	1475	533	3820	3940	292	328	7173	761	324	1022	862	1179	1146	5075
d__Bacteria|p__Aquificae	0	3	2	2	0	0	2	1	4	4	1	2	3	0	0	1	1	2	1	2	0	0	4	1	1	2	0	0	1	0	1	0	3	1	0	2	0	0	0	0	0	1	3	0	1	3	6	0	0	2	0	0	1	1	1	5	2	0	0	1	1	2	0	0	3	2	1	1	3	1	0	3	0	1	2	2	1	1	0	2	1	0	3	0	2	3	0	1	5
d__Bacteria|p__Armatimonadetes	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
d__Bacteria|p__Bacteroidetes	106006	100312	100254	162933	231178	121713	102115	115855	200467	115002	80994	72535	80020	146170	138702	80727	96578	183059	69513	69825	73520	39267	64372	71522	157106	82585	141003	57969	283328	239547	186921	115253	151963	108632	115129	81392	341440	64261	121669	301155	183650	25356	42958	2412	68950	44690	56772	191679	291780	35342	285526	292540	230148	264156	186157	66816	338361	110979	43720	41201	55223	7978	37223	112303	73298	207841	289552	120683	80753	160704	158157	132527	31418	136318	55317	62966	75522	93445	273156	133660	24980	85817	39758	126146	115122	197544	194969	18840	41271
d__Bacteria|p__Caldiserica	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	6	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	1	0	0	2	0	0	2
d__Bacteria|p__Candidatus_Saccharibacteria	3	0	4	2	0	0	0	1	0	1	4	2	1	0	0	0	1	0	6	1	1	7	0	0	1	5	0	5	1	0	3	1	1	2	0	2	0	6	0	1	0	2	1	14	0	2	3	0	0	1	0	0	1	0	1	3	0	1	3	2	0	0	2	0	1	0	0	3	3	2	0	1	5	5	0	3	0	2	0	1	0	0	5	3	3	0	1	0	1
d__Bacteria|p__Chlamydiae	1	0	3	2	0	2	2	1	0	0	0	3	1	2	3	1	1	3	0	1	0	2	0	1	0	0	0	4	2	0	0	2	0	0	0	2	0	0	1	3	0	3	0	1	4	0	3	0	0	0	0	0	0	1	1	1	1	0	3	0	2	0	0	1	3	4	0	1	1	0	0	0	1	1	3	0	0	3	0	1	4	0	7	0	1	2	0	0	6
d__Bacteria|p__Chlorobi	5	10	2	7	7	7	3	8	3	4	8	10	10	11	6	8	6	6	6	2	5	13	3	4	4	12	7	16	7	10	2	7	5	10	3	3	12	11	4	3	1	8	3	4	3	2	11	14	2	6	6	6	4	1	4	4	4	3	8	7	4	13	8	13	12	8	3	6	13	4	3	5	13	4	8	3	9	13	2	5	2	5	6	6	5	2	7	9	11
d__Bacteria|p__Chloroflexi	2	6	5	5	3	6	12	2	5	1	10	9	4	6	9	5	5	8	5	6	2	15	9	3	7	5	4	4	4	4	2	4	12	3	26	7	1	6	2	3	4	8	1	3	9	8	6	2	9	3	3	2	3	2	2	5	2	2	8	5	3	21	9	13	6	0	0	2	2	5	2	3	10	8	5	9	3	2	0	6	4	5	12	1	4	1	6	13	4
d__Bacteria|p__Chrysiogenetes	5	0	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	0	3	0	1	2	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	4	1	0	3	2	2	0	1	1	1	0	1	4	0	0	0	0	2	1	0	0	0	0	1	0	3	1	1	1	2	1	0	1	2	0	4	1	1	0	1	0	0	0	1	0	4	2	0	0	2	2	0
d__Bacteria|p__Cloacimonetes	1	1	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	8	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0
d__Bacteria|p__Cyanobacteria	19	11	20	25	11	20	31	14	5	11	21	23	21	10	9	17	6	8	21	25	15	16	7	6	13	25	11	29	4	11	6	10	11	12	17	16	3	31	25	9	4	58	20	6	16	19	29	13	7	14	13	5	15	5	12	30	16	6	27	21	9	9	39	26	11	10	11	12	19	18	14	24	44	15	21	11	29	9	6	9	21	8	37	11	13	11	16	37	28
d__Bacteria|p__Deferribacteres	1	0	1	0	0	2	2	2	2	1	0	3	0	2	2	0	0	3	1	1	4	2	2	1	1	1	1	6	0	2	2	2	2	1	0	1	0	1	0	4	2	0	4	0	0	0	1	0	0	8	0	1	0	5	1	4	0	0	9	0	2	2	0	3	0	1	2	1	0	0	2	2	0	1	9	1	6	2	2	7	0	0	2	4	0	0	0	1	0
d__Bacteria|p__Deinococcus-Thermus	8	11	10	8	10	13	24	6	7	4	14	15	15	5	11	8	1	2	15	8	6	21	4	5	12	15	3	20	5	2	16	7	6	7	9	9	4	12	11	7	10	49	20	4	4	16	18	9	5	13	10	3	3	1	3	12	10	7	13	11	5	10	37	16	13	7	7	12	17	4	6	7	39	11	17	13	12	30	2	4	7	9	11	9	11	1	3	56	16
d__Bacteria|p__Dictyoglomi	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	7	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	3	4	0	1	0	0	1	0	0	0	2	0	1	0	1	1	1	0	1
d__Bacteria|p__Elusimicrobia	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0
d__Bacteria|p__Fibrobacteres	3	0	0	1	0	2	0	2	1	0	3	0	2	4	1	2	1	0	0	1	1	0	1	2	2	0	0	2	2	2	0	5	1	7	4	2	0	2	1	0	0	3	1	0	3	0	5	0	2	0	1	1	0	0	0	5	1	0	2	1	2	0	4	3	2	0	3	9	1	0	2	0	0	1	2	1	0	1	1	3	3	0	0	0	0	1	1	13	0
d__Bacteria|p__Firmicutes	85343	83835	99960	112839	164453	133568	58943	173876	58881	130725	73459	72328	82081	72224	69508	119089	149193	17739	83247	117402	51283	48014	67514	105779	66049	79730	96780	60224	135632	57500	88591	85040	46402	122806	187789	31088	14401	96426	64620	46978	214902	59510	145420	233949	109986	96314	74203	56172	80029	129855	87466	85206	60897	38557	107802	105636	13684	78480	71794	110892	150929	42067	138860	78582	122216	120382	29198	78260	61849	68947	72185	112848	82227	175257	67603	125791	146817	56495	78659	63736	114945	57193	130283	68212	102434	46956	63295	55488	70501
d__Bacteria|p__Fusobacteria	16	7	9	9	13	42	614	7	85	12	23	6	13	9	23	3	4	516	13	3	4	12	11	6	3	18	7	14	1	2	2	4	564	3	312	310	5	2	4	0	15	2	5	163	5	4	86	21	74	11	2	5	8	69	4	15	6	4	644	7	104	181	1	10	10	4	27	2	28	145	48	5	4	33	26	6	4	4	7	21	20	3	11	2	29	2	3	1	16
d__Bacteria|p__Gemmatimonadetes	1	1	0	1	1	0	1	0	4	0	1	4	1	0	1	0	1	0	0	1	0	0	0	0	0	2	3	2	0	1	0	0	1	0	1	2	0	1	0	3	0	6	1	0	2	1	2	1	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	3	2	0	1	1	0	0	0	6	0	3	0	0	1	0	0	0	2	0	0	1	0	0	0	0
