class	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0	0	0	0	9.34506	0	0	0.03076	0	0.63019	0.48151	0	0	5.02306	0	0	0.33008	0	0.22315	1.87435	0	0	0	2.96443	0	0	0	0	0	0	0	0	0	0	0	0	0.58074	0	0	0	0.32688	0	0.45467	0	1.34221	0	0	0.64709	0	0	0	0	0	0	0	0	0	0.0736	0.14398	0	0	0	0.20157	0	0	0	0.56688	0	0.86896	0	0	0	2.08302	0	0	16.44858	0	0	0.22117	0	2.4653	0.08746	0	0	0	0	2.21607
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.29445	0.13365	1.78169	0.18543	1.36428	0.04872	0.436	5.31832	0.49751	0.1114	0.89853	0.24219	0	0.30097	0	2.98559	0.04429	0.60978	0.3315	0.92459	0.60001	0.99938	0	14.66329	3.45865	0.16156	0.759	0.92152	2.73271	0.11338	1.05261	1.00135	0.22115	1.52574	1.73412	3.90878	0.10938	1.282	0.18614	0.59194	1.57219	1.34646	2.14284	0.9731	0	1.56023	4.17811	10.16851	1.48109	0.57542	2.00279	0.01887	0.83507	0.57294	1.24807	0.40566	0.0279	0.44295	3.50414	0	0.0306	0.68215	2.44865	35.90883	0.49871	1.12928	0	1.33338	0.34573	0.14394	3.52318	2.46241	4.1233	1.18172	0.21878	1.31437	0	2.91093	1.35917	0.11188	0.7405	4.49012	0.29551	0.03569	0.56833	0.07364	0.96512	2.14027	4.57049
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	58.84582	46.86178	40.89027	49.9278	30.37837	40.78847	40.8726	40.39526	76.83346	47.82736	59.67486	36.81426	34.68385	54.96253	57.40086	42.37871	51.8799	77.29246	46.24999	59.04331	71.80333	36.64876	58.97587	45.03051	44.15975	36.24693	67.19524	39.21578	55.65686	63.35576	30.76275	52.49716	76.89603	43.88324	31.02947	64.47361	92.0724	48.6322	39.30411	59.46546	22.04755	19.341	27.21644	0.03154	32.48681	59.84986	52.06579	57.12406	65.14652	24.68463	48.28973	68.65776	67.61461	76.01951	56.1107	42.04899	49.63683	67.09027	27.06316	22.55839	34.50047	11.41969	32.47395	26.35919	36.18879	45.02968	71.86408	52.69313	52.96688	46.1248	35.26241	26.9616	26.53981	46.1248	18.93855	33.8702	34.17211	44.4671	60.25187	72.22309	35.21618	63.94777	15.44785	68.05124	31.51458	69.2166	67.67148	15.16601	22.25781
k__Bacteria|p__Firmicutes|c__Bacilli	0	0.04929	0	0	0.05123	0	0.27184	8.55085	3.7069	0.02347	1.12863	0	0.55166	0.44462	0.19896	0	0.92623	0	0.62647	0	0.25566	0	3.77884	0.01034	0	0	0	0	0.25105	0	0.13931	0.1324	0	0.23875	0	0.18529	0	11.1566	0	0	0.23651	0	0	28.50371	0	0	0.35311	0	0	1.08001	0.74568	0	0	0.05056	1.69281	0.49064	0.35398	0	14.19435	0	5.72306	0.16216	0	0	0.68333	0.01899	0	0.07205	0	0	0.16626	0.06538	0	0.79503	0	0.04033	0	0.1883	1.78374	0	0	0.13192	0	0	0	0.04978	0.00878	0	0.23327
k__Bacteria|p__Firmicutes|c__Clostridia	39.42142	50.00835	49.70801	45.94073	65.69666	55.49886	36.11832	38.56997	10.93496	51.4522	31.76633	48.3986	58.41938	38.78439	29.90311	44.64218	46.29044	21.10465	49.49176	38.37854	17.21405	56.76881	17.20278	35.17447	51.24194	60.51121	27.74454	55.96627	36.14757	24.67512	25.22803	43.00509	16.35838	50.1726	63.04051	26.69145	6.65416	28.07867	40.72292	38.09024	73.60427	63.82568	67.81572	0.90185	64.07364	32.06463	33.07187	26.56498	30.04865	66.71449	20.25475	30.0539	30.92585	17.78298	37.07116	49.51391	5.21103	27.2108	39.32227	53.17866	52.50803	70.31775	62.61393	25.14701	59.1607	35.36734	23.04441	40.19893	40.86038	33.46538	33.1621	65.40007	67.6742	46.21185	68.76457	57.50495	60.50579	24.17027	30.91604	20.76275	53.6792	21.79894	81.55644	30.4886	59.78141	22.69128	25.19053	59.62852	63.27264
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0	0.40932	2.39887	0	1.26296	0	3.76844	0	0.92858	0.22104	0	6.92611	0	0.86213	0.20106	0.9367	0	0	0	0	2.56457	1.93952	0	0	0.41917	0	0.63357	0.34857	0.18615	0	0.06568	0.05645	2.17719	0	1.5486	4.10148	0	0.13989	1.03711	0.47239	2.09847	0	0.71274	0.09501	0.26605	0.94829	0.54307	1.12907	0	2.13568	0	0.79068	0.52636	5.2015	1.27238	0	0.42956	3.76302	1.12613	0	0.11372	1.13585	0.02728	6.05054	1.26773	0	3.11127	0.25306	0.36018	6.72093	4.43697	0.24055	0	0.91705	2.43882	2.97822	0	7.27159	0	2.62005	3.81647	3.42698	0	1.24572	1.31091	7.02786	1.52269	0	1.95337
k__Bacteria|p__Firmicutes|c__Negativicutes	0.20109	1.74312	0	2.67651	0.72313	1.97264	0	3.472	6.33335	0.11352	4.86218	2.23539	3.95752	4.14572	2.34338	2.86439	0	0.32887	0.71565	0.10836	6.17922	1.76918	1.63413	5.1214	0.19353	0	3.36237	2.30362	3.02663	0	0.65429	0	0	3.81365	0.02701	0.49236	0	7.65835	0	0	0.20509	0	1.58385	5.14224	2.53656	3.97114	5.74325	4.50066	0	4.05336	21.76221	0	0	0	1.76118	6.08916	1.09669	0	12.98005	1.49137	5.7051	6.37066	2.43619	1.87068	1.31073	17.66573	1.22596	0	0.60348	5.41579	12.21465	3.17769	0	4.28031	0	4.13821	0	0.18576	5.46529	3.35744	5.33094	5.93856	0.07161	0	2.14562	0	1.60485	11.29713	0.57711
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0	0	0	0	0	0	0.18088	0	0.16218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92437	0	0	0	0	0	0	0	0	0	0	0.06833	0	0	0.08637	0	0.98842	0	0	0	0	0	0	0	0	0	0.09222	0	0	0	0	0	0	0	0.24347	0	0	0	0	0	0	0	0	0	0	0	0	0.13536	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.14685	0.79448	0.26821	1.0255	0	0	0	2.18196	0.60306	0	1.66947	0	0	0	0.0787	0.02256	0.38743	0.2982	0.32871	0.3702	0.10344	0	0.59507	0	0.52696	0	0	0.86331	0	0.09173	0	0.20995	0.14856	0	0.04944	0	0	0.4187	0	0	0	0.05493	0.20153	7.65955	0.10354	0.52353	0	0.40635	0.9323	0.10932	3.21115	0.14367	0.09811	0.24762	0.64085	0	0.25967	0	0.33764	0	0.20185	0	0	0.09035	0.68843	0.45949	0.07818	0.49902	0	0	0	0	0.3639	0.14525	0	0.08324	0.52242	0	0.00865	0.65469	0.29859	0	0	0	0.65538	0	0	3.63542	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.18921	0	0.56765	0.24402	0.25663	0.135	0.92656	0	0	0.09272	0	0.49303	0.44906	0.49965	0.08057	0.5357	0.38984	0.24444	0.42469	0	0.18595	0	0	0	0	0	0.30528	0	0.0452	0	0.24027	0.2185	0.25057	0.15552	0.18211	0.14703	0.23087	0.84797	0	0.54227	0.23592	1.42095	0	0	0	0	0	0.10636	0.22692	0	0	0.33512	0	0	0.20286	0.13351	0.06549	0.21372	0.23865	0	0.34423	0	0	0.1033	0	0.30006	0.43263	0.35447	0.06138	0.4395	0.52008	0.56559	1.2988	0	0.04605	0.07049	0.0252	0.75978	0	0	0	0	0.16328	0.084	0	0.94084	0.27094	3.45738	0
