family	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	9.34506	0	0	0.03076	0	0.63019	0.48151	0	0	5.02306	0	0	0.33008	0	0.22315	1.87435	0	0	0	2.96443	0	0	0	0	0	0	0	0	0	0	0	0	0.58074	0	0	0	0.32688	0	0.45467	0	1.34221	0	0	0.64709	0	0	0	0	0	0	0	0	0	0.0736	0.14398	0	0	0	0.20157	0	0	0	0.56688	0	0.86896	0	0	0	2.08302	0	0	16.44858	0	0	0.22117	0	2.4653	0.08746	0	0	0	0	2.21607
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0	0	1.19786	0.02608	1.21724	0	0	3.87213	0	0	0.29568	0	0	0	0	1.84777	0.04429	0	0	0.92459	0.21441	0.22591	0	14.06036	2.67836	0.16156	0	0.67515	1.53667	0	0.47342	0	0	0.87493	0	3.53244	0	0	0	0.55197	1.2542	0.17823	1.20186	0.03858	0	0	3.04875	10.16851	0.34507	0	0.33092	0	0	0	0.20716	0.18694	0	0	2.01386	0	0	0	0	33.73156	0	0.36071	0	0	0	0	2.06217	2.20567	0	0.67139	0	0.12614	0	0	1.28301	0	0	1.83689	0.02791	0	0.06641	0	0	0	3.60774
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.29445	0.13365	0.58383	0.15935	0.14705	0.04872	0.436	1.44619	0.49751	0.1114	0.60286	0.24219	0	0.30097	0	1.13781	0	0.60978	0.3315	0	0.3856	0.77346	0	0.60293	0.78029	0	0.759	0.24637	1.19604	0.11338	0.57919	1.00135	0.22115	0.65081	1.73412	0.37635	0.10938	1.282	0.18614	0.03997	0.31799	1.16823	0.94098	0.14125	0	1.56023	1.12936	0	1.13602	0.57542	1.67187	0.01887	0.83507	0.57294	1.0409	0.21872	0.0279	0.44295	1.49028	0	0.0306	0.68215	2.44865	2.17727	0.49871	0.76857	0	1.33338	0.34573	0.14394	1.461	0.25675	4.1233	0.51033	0.21878	1.18823	0	2.91093	0.07616	0.11188	0.7405	2.65323	0.2676	0.03569	0.50192	0.07364	0.96512	2.14027	0.96274
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	46.05864	35.17016	35.23677	44.55962	19.64581	30.29084	9.74868	29.28383	58.00765	40.41817	10.4717	25.99437	16.39993	50.99764	47.712	28.54051	41.9685	60.01543	39.61947	45.73789	10.05169	18.16577	22.73747	42.24475	37.22523	27.43944	44.97734	7.77278	43.83417	46.75962	15.74796	42.41763	69.86587	15.98753	25.68795	48.96777	89.21909	15.08502	23.76646	32.10094	13.70383	12.12962	22.77115	0.03154	14.21345	7.56764	13.47778	45.45157	61.9008	20.8788	21.52735	54.44119	58.69968	75.86138	47.92824	13.07608	42.28395	15.37309	25.62433	5.91767	23.57253	0	16.81593	19.56533	28.44079	38.90691	49.20009	42.3758	38.34205	25.48271	24.47603	26.33254	7.82791	29.27763	10.66135	10.69994	18.81709	14.683	59.03269	61.17006	11.3354	21.05974	11.94825	51.75288	21.96626	50.18601	58.18062	2.72349	9.48774
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.2714	0.11796	0	0	0.93491	0.39939	0	0.1111	0	0	0	0	0.86521	0	0.84841	0.11522	0.11884	0	0.35354	0.68558	0.32221	0.83349	0.06785	0.93948	0.28404	0.20489	0	0.47113	0	0	0	0.36328	0	0	0	1.02903	0	0	0	0	0.63422	1.19111	0	0	0.06702	0.14317	0	0	0	0	0.07615	0	0.5061	0	0	0	0	0.07655	0	0	0	0	0.96924	0.26782	0.11399	0.09187	0	0.41879	0	0	0.14129	0	0	0.13326	0.22317	0	0	0	0	0	0	0	0	0.12245	0.21702	0	0.08031	0.20732	0.30648
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	3.64828	4.62917	2.35833	2.86882	1.11134	4.92131	23.52393	3.1296	3.92626	3.71478	4.04038	0.87383	11.79889	1.67268	3.61328	8.60148	5.25295	12.77587	5.66799	5.49644	2.64441	6.0426	1.90386	1.11463	1.48811	3.92033	11.18431	2.9801	4.34828	9.12023	6.01848	3.36286	2.57555	6.19151	3.53459	8.20418	2.08152	2.26847	9.49424	14.27528	1.15996	2.05812	3.27455	0	4.58096	1.79955	13.77828	2.72195	1.09996	0.1155	6.05535	8.71767	3.29187	0	4.97798	5.08222	1.3558	8.75736	0.05665	1.66675	3.44186	0	4.76602	2.50196	2.55969	2.9009	13.35973	4.03186	6.10186	5.39664	6.17201	0	8.36773	8.619	4.4297	2.21846	4.76719	4.69779	0	6.23572	1.92107	12.85661	1.59744	4.03159	3.60268	19.03059	4.27575	0	8.79128
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	3.987	0	0	0	0	0	0	0	0.74166	0	35.12471	7.1458	0	0	0	0	0	0.87759	0	0	57.04379	3.55497	29.74921	0	0	0	0	17.69392	0	0	0	0	0	18.26675	0	3.8675	0	18.89695	2.33145	0	0	0	0.41693	0	11.93397	46.23293	21.26276	0	0.59634	2.44775	14.48331	0	0	0	0	14.05453	0	42.41168	0.8126	13.18345	3.86979	0	0	0	0	0	0	0	0	13.41344	0.31103	0	4.39114	0.99373	0.40362	18.36047	2.36393	0.07676	0	2.32904	19.7717	11.27857	0	0.51025	0.03491	0	0	5.07721	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	4.8805	6.94449	3.29517	2.49937	8.68631	5.17693	7.59999	7.87073	14.15788	3.69441	10.03808	2.80026	5.61982	2.29221	5.22717	5.12149	4.53961	3.62358	0.609	7.1234	1.74123	8.05193	4.51748	0.73164	5.16237	4.68227	11.0336	10.29785	7.47441	7.47591	8.99631	6.35339	4.45461	3.43745	1.80692	2.40513	0.77179	12.38175	3.71197	13.08924	6.54953	3.96214	0.75382	0	1.6914	4.10657	3.54697	8.95053	1.54942	1.24257	6.14756	5.4989	5.11696	0.15813	3.20448	9.83616	5.99708	0.4716	0.56958	1.79052	3.61631	11.41969	9.92275	4.02408	5.07431	3.13	9.30426	5.86668	8.52297	1.83201	4.16205	0.62906	5.95302	7.10118	3.22071	2.59134	8.2239	25.00955	1.21919	2.48826	2.188	18.75285	1.90216	11.63406	5.69372	0	5.13479	7.15799	3.6723
