genus	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	0	0	0	9.34506	0	0	0.03076	0	0.63019	0.48151	0	0	5.02306	0	0	0.33008	0	0.22315	1.87435	0	0	0	2.96443	0	0	0	0	0	0	0	0	0	0	0	0	0.58074	0	0	0	0.32688	0	0.45467	0	1.34221	0	0	0.64709	0	0	0	0	0	0	0	0	0	0.0736	0.14398	0	0	0	0.20157	0	0	0	0.56688	0	0.86896	0	0	0	2.08302	0	0	16.44858	0	0	0.22117	0	2.4653	0.08746	0	0	0	0	2.21607
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0	0	1.19786	0.02608	1.21724	0	0	3.87213	0	0	0.29568	0	0	0	0	1.84777	0.04429	0	0	0.92459	0.21441	0.22591	0	14.06036	2.67836	0.16156	0	0.67515	1.53667	0	0.47342	0	0	0.87493	0	3.53244	0	0	0	0.55197	1.2542	0.17823	1.20186	0.03858	0	0	3.04875	10.16851	0.34507	0	0.33092	0	0	0	0.20716	0.18694	0	0	2.01386	0	0	0	0	33.73156	0	0.36071	0	0	0	0	2.06217	2.20567	0	0.67139	0	0.12614	0	0	1.28301	0	0	1.83689	0.02791	0	0.06641	0	0	0	3.60774
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00787	0	0	0	0	0	0	0	0	0	0	0.01078	0	0.05969	0	0	0	0	0.04248	0	0	0	0	0	0	0	0	0	1.16823	0	0	0	0	0	0	0	0	0	0	0	0.08723	0	0	0	0	0	0	0.0306	0	0.06969	0.21114	0.04583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.29445	0.13365	0.58383	0.15935	0.14705	0.04872	0	1.44619	0.48962	0.1114	0.60286	0.24219	0	0	0	1.13781	0	0.60978	0.3315	0	0.3856	0.77346	0	0	0.76951	0	0.52299	0.24637	1.02911	0	0	0.95887	0.22115	0.65081	1.49524	0.37635	0.10938	1.282	0.18614	0	0.31799	0	0.94098	0	0	1.56023	1.12936	0	1.03037	0.57542	1.57416	0	0.73027	0.48571	1.0409	0.21872	0	0.44295	1.40673	0	0	0	2.26952	1.96614	0.45288	0.76857	0	1.33338	0.34573	0.14394	1.1673	0	4.1233	0	0.21878	1.18823	0	2.23502	0	0.11188	0.7405	2.22279	0.2676	0.03569	0.50192	0	0.96512	2.14027	0.96274
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	0	0	0	0	0	0	0.436	0	0.00788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60293	0	0	0.06898	0	0.16693	0.11338	0.57919	0	0	0	0.23888	0	0	0	0	0.03997	0	0	0	0	0	0	0	0	0.04445	0	0	0.01887	0.1048	0	0	0	0.0279	0	0	0	0	0.68215	0	0	0	0	0	0	0	0	0.29371	0.07198	0	0.51033	0	0	0	0.54575	0.07616	0	0	0.43044	0	0	0	0.07364	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10944	0	0	0	0	0	0	0	0	0.18477	0	0	0	0	0	0.13017	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0612	0	0.09771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	46.05864	35.17016	35.23677	44.55962	19.64581	30.29084	9.74868	29.28383	58.00765	40.41817	10.4717	25.99437	16.39993	50.99764	47.712	28.54051	41.9685	60.01543	39.61947	45.73789	10.05169	18.16577	22.73747	42.24475	37.22523	27.43944	44.97734	7.77278	43.83417	46.75962	15.74796	42.41763	69.86587	15.98753	25.68795	48.96777	89.21909	15.08502	23.76646	32.10094	13.70383	12.12962	22.77115	0.03154	14.21345	7.56764	13.47778	45.45157	61.9008	20.8788	21.52735	54.44119	58.69968	75.86138	47.92824	13.07608	42.28395	15.37309	25.62433	5.91767	23.57253	0	16.81593	19.56533	28.44079	38.90691	49.20009	42.3758	38.34205	25.48271	24.47603	26.33254	7.82791	29.27763	10.66135	10.69994	18.81709	14.683	59.03269	61.17006	11.3354	21.05974	11.94825	51.75288	21.96626	50.18601	58.18062	2.72349	9.48774
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname	0.2714	0.11796	0	0	0.93491	0.39939	0	0.1111	0	0	0	0	0.86521	0	0.84841	0.11522	0.11884	0	0.35354	0.68558	0.32221	0.83349	0.06785	0.93948	0.28404	0.20489	0	0.47113	0	0	0	0.36328	0	0	0	1.02903	0	0	0	0	0.63422	1.19111	0	0	0.06702	0.14317	0	0	0	0	0.07615	0	0.5061	0	0	0	0	0.07655	0	0	0	0	0.96924	0.26782	0.11399	0.09187	0	0.41879	0	0	0.14129	0	0	0.13326	0.22317	0	0	0	0	0	0	0	0	0.12245	0.21702	0	0.08031	0.20732	0.30648
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	1.57613	1.03972	2.09483	0.67394	0	0	0	0	3.16837	0	2.05439	0	0	0	1.52121	4.62929	0	5.65139	3.15362	3.06938	0	3.39035	0.64669	0	0	1.6368	0	1.17082	2.81168	0.83608	4.52661	0	0.27522	3.34549	0	1.68539	0	0.95307	3.92796	0	0	0	2.29767	0	0	0.71686	0.57425	0	0.16257	0.1155	0	0	0	0	1.95537	0.1008	0	0	0.05665	0	1.49015	0	2.29911	1.37237	0.69477	0.5237	4.5262	0	1.69964	1.24302	0	0	5.30883	0	1.69101	0	1.46834	0	0	1.11041	0.71197	0	0.73295	0	1.94824	0	0	0	0.67719
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter	0	0	0	0	0	0	0	0.22217	0	0.78875	0.1373	0	0	1.67268	0.39527	0	0	0.06681	0.06473	0	0	0	0	0	0	0.18403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28199	0	0	0	0	0.11514	0	0	0	1.05456	0.18318	0	0	0	0.23833	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5692
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	0	0.50328	0	0	0	0.18991	0	0.28657	0.15093	0.17008	0.60248	0	0.60445	0	0	0.48748	0.27321	0.35499	0	0	0.18275	0	0	0	0.27468	0.8901	0.46416	0	0	0	0	0	0	0.193	0	0.40686	0	0	0	0	0	0	0	0	0.53134	0.18242	0.87179	0.19241	0	0	2.11907	0	0.27891	0	0	3.46092	0.45923	0	0	0	0	0	0	0	0	0	0.2607	0	0.64332	0	0	0	0	0	0	0	0.57309	0.29739	0	0.19455	0	0	0	0	0.23599	0	0	0	7.09675
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	2.07215	3.08616	0.2635	2.19488	1.11134	4.73139	7.59409	2.62085	0.60697	2.75596	1.11883	0.87383	11.19445	0	1.69681	3.48471	4.97973	6.70267	2.44963	2.42706	2.46166	2.65225	1.25717	1.11463	1.21343	1.20941	10.72014	1.80928	1.5366	8.28415	1.49186	3.36286	2.30033	2.65303	3.53459	5.08763	2.08152	1.3154	5.56628	14.27528	1.15996	2.05812	0.97687	0	4.04962	0.90026	4.57056	2.52955	0.9374	0	3.93628	8.71767	3.01295	0	3.02261	1.5205	0.89657	8.75736	0	1.66675	1.66972	0	2.46692	1.12959	1.86493	2.26206	8.57283	4.03186	3.7589	3.07031	5.98883	0	3.0589	8.619	2.50036	2.21846	2.72576	3.98294	0	4.93076	1.2091	12.85661	0.86449	4.03159	1.41845	19.03059	4.27575	0	0.44814
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	0	0	0	0	0	0	15.92984	0	0	0	0.1274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02429	0	0	0	0	0	0	0	0	0	0	7.76168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02875	0	0	0	0	0	0	0	0.41745	0	0	0	0	0	0	0	0	0	0	0
