class	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
Acidimicrobiia	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Acidobacteriia	2	0	4	0	0	3	0	0	0	2	1	2	1	0	0	1	3	1	1	1	2	5	2	1	0	2	0	1	0	1	1	1	1	3	1	8	1	7	1	3	1	8	1	0	1	2	1	3	1	3	0	0	0	3	4	0	1	0	2	0	1	1	1	1	0	1	0	3	1	0	0	3	2	4	2	0	1	2	0	2	6	0	4	0	3	0	1	10	0
Aconoidasida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	289	145	3598	850	4312	212	672	12903	303	175	2471	326	649	151	473	6690	1223	319	433	3567	1540	1228	371	26018	7440	1574	230	2097	9217	139	3153	431	266	4151	214	13347	954	952	287	1666	5352	1168	4112	3736	236	535	5780	23902	1706	248	1623	212	115	334	2294	971	128	215	4718	272	386	147	858	107678	193	2997	172	579	282	181	6376	6869	423	7204	633	1439	321	568	5961	520	263	7030	829	139	830	335	820	467	6745
Agaricomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alphaproteobacteria	48	38	70	81	37	38	41	30	30	31	30	90	162	7	5	80	30	37	74	28	27	69	29	28	25	37	45	57	23	61	22	138	22	57	46	24	2	97	59	27	27	242	73	44	55	59	61	22	13	82	11	19	35	5	46	97	12	39	17	41	30	27	188	46	46	23	19	52	23	20	20	37	112	41	116	42	50	82	10	38	47	60	101	88	49	5	25	161	44
Anaerolineae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Aquificae	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	2	1	1	0	0	1	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
Bacillariophyceae	0	0	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0
Bacilli	1428	1943	1618	1899	2118	1926	6757	52131	17209	2925	5130	1227	3909	4838	2525	1083	4426	817	3281	1446	2440	809	12536	1311	1714	1727	2075	1275	2189	1040	2635	1984	690	2594	2140	1578	603	37890	880	698	3516	1582	1799	287176	733	1697	3375	1037	1832	6658	5033	882	1192	3946	10250	4545	901	1058	27964	1602	18787	4034	1061	1759	5141	1277	1223	1781	549	1500	5123	2085	591	6974	1150	1619	925	4187	10219	579	1509	3302	1544	589	1539	2011	2440	197	2061
Bacteroidia	225714	178502	203977	261717	321135	195726	188680	192232	377924	213482	127532	141530	134865	301260	300072	144073	256457	309081	164907	204504	112686	92329	123121	179065	228974	172923	251754	78040	374643	425888	321417	262161	273068	180454	228707	324536	607085	105242	200319	510562	253033	51406	97193	4134	132683	76116	117534	322414	420631	68778	419024	541255	411561	359856	296171	114180	462761	189244	105592	72346	110730	13823	65410	177668	134131	294762	450040	266929	202224	256506	264534	197102	58559	173934	110756	118195	190112	218378	425741	261797	57105	285571	73088	272285	188621	382773	300577	28549	78497
Bangiophyceae	0	2	0	0	0	0	0	0	0	1	3	0	1	5	5	3	0	1	0	11	0	22	0	0	0	1	0	25	1	3	0	4	1	1	0	11	0	0	6	0	0	2	0	6	14	0	7	0	0	0	0	0	0	0	1	0	15	2	0	1	1	0	0	0	0	0	4	0	0	0	0	0	15	0	8	0	1	0	0	0	4	0	0	0	0	2	0	16	15
Betaproteobacteria	70	238	104	276	145	52	74	124	496	130	532	344	93	50	20	88	49	148	100	110	345	453	267	88	102	51	24	216	149	88	197	224	189	209	45	61	15	248	87	34	82	325	294	4869	181	263	111	184	89	342	132	49	69	192	361	69	199	97	252	167	226	31	135	90	148	124	62	191	186	96	109	50	274	122	268	273	246	94	193	212	94	291	172	193	314	26	77	373	360
Blastocatellia	0	2	3	0	0	1	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0
Blastocladiomycetes	1	9	1	6	0	2	3	5	7	4	22	7	3	2	4	0	1	8	4	1	15	11	7	3	2	2	3	4	2	5	0	13	8	6	2	4	1	14	3	0	4	8	10	0	13	12	17	3	3	6	8	1	4	0	8	6	1	15	32	13	8	2	11	3	7	7	1	8	0	4	3	4	16	2	1	5	20	5	1	11	7	6	6	3	6	3	3	13	11
Caldilineae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Chlamydiia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chlorobia	2	0	1	1	2	1	3	0	0	3	0	3	3	1	2	3	2	1	1	1	5	4	3	0	0	4	3	2	1	4	0	1	2	0	0	1	0	4	1	0	0	3	1	0	2	1	2	3	0	3	1	1	0	2	0	1	2	0	5	0	1	4	6	3	0	0	0	1	1	2	0	0	11	0	3	3	1	5	0	1	3	0	7	0	1	2	2	6	4
Chloroflexia	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	10	0	4	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
Chlorophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
