genus	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
Acaryochloris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Acetobacterium	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	1	0	0	0	1	7	1	1	0	0	0	0	0	0	0	0	1	0	0	0
Acetohalobium	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Acholeplasma	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	1
Achromobacter	8	0	0	11	5	1	0	1	28	0	1	0	2	0	0	0	0	0	0	0	4	9	0	4	0	0	0	0	0	5	6	11	1	5	0	1	0	14	0	0	0	0	0	130	1	1	0	9	0	6	1	0	0	1	0	0	9	0	18	0	0	0	0	0	0	2	0	0	0	0	0	0	13	0	0	0	1	0	19	16	0	7	0	0	16	0	0	15	0
Acidaminococcus	113	182	341	194	124	98	122	10073	11917	60	178	234	144	12686	78	7397	105	407	100	242	264	73	278	132	42	136	122	298	9045	95	717	138	153	6459	147	136	44	142	282	219	115	312	105	58	101	429	1979	11384	44	207	1808	294	83	337	114	167	160	181	1269	239	128	79	580	2093	219	107	210	146	79	131	38361	126	650	670	143	4395	236	191	48	139	194	35	134	44	140	220	353	350	1696
Acidimicrobium	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Acidiphilium	0	1	4	4	0	0	0	0	1	0	0	0	0	0	0	5	0	0	3	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	4	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	2	0	0	2	2	3	0	0	0	2	0	0	3	0	4	0	0	0	0	4	0	0	0	2	0	0	0	4	0
Acidithiobacillus	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	6	1	0	0	0	0	0	0	0	0	0	0	2
Acidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	3	2	0	0	1	0	0	0	1	1	1	1	0	0	0	0	4	0	0	0	1	1	0	0	0	0	3	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
