phylum	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
Acidobacteria	2	2	7	0	0	4	0	0	0	3	1	2	2	3	0	3	3	1	2	1	2	6	2	1	1	2	0	1	1	1	1	4	1	3	1	8	1	8	2	4	1	9	2	0	1	3	1	3	1	3	1	0	1	3	4	0	1	0	2	0	3	4	1	1	2	1	0	3	2	0	1	6	2	4	4	2	1	2	0	2	7	5	4	0	4	1	1	10	0
Actinobacteria	2307	1190	6125	2482	4749	1428	2543	20067	3398	1451	5242	2286	1553	467	596	11017	1620	1273	2666	4228	3354	3739	494	28305	9895	1786	3084	3358	10672	933	5081	4313	2006	8034	9798	16303	1696	4687	1262	2370	6033	2564	7671	4698	1080	6424	9372	24270	6416	2799	8130	820	3720	3011	5195	2421	703	3550	7877	544	1141	2899	8513	118262	2644	6897	929	4653	514	1994	15085	7873	9982	9887	2909	7237	582	11810	6713	1478	3045	16886	2316	1158	3300	1202	6002	4869	9242
Apicomplexa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Aquificae	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	2	1	1	0	0	1	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
Ascomycota	5	3	5	14	5	0	24	131	26	3	5	5	3	29	27	8	4	2	9	8	23	2	0	4	0	12	5	4	4	0	0	14	2	4	9	5	2	2	23	0	0	1	17	0	0	3	3	16	13	12	1	17	8	3	0	14	4	387	6	54	4	2	0	19	0	0	2	14	20	20	13	12	0	5	2	3	0	2	2	4	9	4	57	22	11	2	21	2	51
Bacillariophyta	0	0	4	0	0	0	0	3	0	0	0	18	0	0	0	0	0	0	2	0	0	0	2	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	9	0	0	0	0	1	0
Bacteroidetes	225722	178513	204028	261735	321139	195782	188684	192400	377938	213657	127547	141552	134903	301334	300089	144081	256515	309111	164911	204513	112703	92418	123137	179066	228984	172976	251767	78059	374650	425896	321426	262203	273071	180470	228712	324543	607085	105292	200329	510798	253040	51417	97199	4144	132688	76150	117547	322428	420643	68794	419036	541263	411573	359859	296198	114187	462769	189261	105603	72365	110751	13844	65420	177679	134148	294772	450056	266944	202279	256520	264539	197104	58588	173940	110773	118211	190198	218403	425746	261818	57119	285601	73136	272304	188642	382806	300586	28594	78531
Basidiomycota	8	0	1	1	3	2	1	15	2	10	0	8	1	0	8	0	4	1	10	1	4	4	3	7	13	0	2	10	4	6	2	0	0	1	3	1	5	0	2	12	2	0	1	326	0	1	1	1	2	3	2	0	15	42	2	0	2	1	3	13	7	0	4	1	3	1	0	0	0	3	2	10	0	5	3	4	9	10	10	2	3	3	8	1	4	1	3	5	3
Blastocladiomycota	1	9	1	6	0	2	3	5	7	4	22	7	3	2	4	0	1	8	4	1	15	11	7	3	2	2	3	4	2	5	0	13	8	6	2	4	1	14	3	0	4	8	10	0	13	12	17	3	3	6	8	1	4	0	8	6	1	15	32	13	8	2	11	3	7	7	1	8	0	4	3	4	16	2	1	5	20	5	1	11	7	6	6	3	6	3	3	13	11
Candidatus Saccharibacteria	1	2	4	1	3	1	0	0	0	8	4	3	0	3	1	0	3	3	6	1	1	3	3	0	1	1	0	4	1	3	0	0	13	0	3	5	0	0	3	17	3	2	1	866	0	2	2	0	6	2	2	0	1	32	8	0	1	0	5	3	103	4	2	7	4	1	1	0	6	0	43	4	2	0	1	4	1	1	4	3	0	0	12	0	3	1	0	0	1
