species	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
16SrX (Apple proliferation group)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16SrXII (Stolbur group)	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Acaryochloris marina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Acetobacterium woodii	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	1	0	0	0	1	7	1	1	0	0	0	0	0	0	0	0	1	0	0	0
Acetohalobium arabaticum	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Acholeplasma laidlawii	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	1
Achromobacter xylosoxidans	8	0	0	11	5	1	0	1	28	0	1	0	2	0	0	0	0	0	0	0	4	9	0	4	0	0	0	0	0	5	6	11	1	5	0	1	0	14	0	0	0	0	0	130	1	1	0	9	0	6	1	0	0	1	0	0	9	0	18	0	0	0	0	0	0	2	0	0	0	0	0	0	13	0	0	0	1	0	19	16	0	7	0	0	16	0	0	15	0
Acidaminococcus fermentans	14	48	82	66	26	25	28	15	23	5	121	89	28	31	8	43	15	8	16	21	93	6	9	10	3	5	4	150	12	6	9	33	86	60	50	4	1	23	2	1	28	58	37	2	28	154	58	9	4	113	1	40	8	4	66	11	74	99	1133	27	8	2	56	6	49	47	2	31	4	14	26	4	434	12	88	44	7	18	12	8	40	2	84	3	95	45	20	131	60
Acidaminococcus intestini	2	8	5	0	3	1	2	307	384	0	1	0	0	586	3	180	0	3	5	0	5	2	4	4	0	0	10	26	208	5	5	1	0	258	8	1	5	2	6	0	0	1	1	1	8	5	59	237	1	1	120	7	6	0	3	2	3	0	7	0	0	10	9	22	8	13	1	1	0	5	976	2	3	14	2	63	3	0	0	28	1	0	0	0	2	0	3	3	25
Acidaminococcus sp. D21	97	126	254	128	95	72	92	9751	11510	55	56	145	116	12069	67	7174	90	396	79	221	166	65	265	118	39	131	108	122	8825	84	703	104	67	6141	89	131	38	117	274	218	87	253	67	55	65	270	1862	11138	39	93	1687	247	69	333	45	154	83	82	129	212	120	67	515	2065	162	47	207	114	75	112	37359	120	213	644	53	4288	226	173	36	103	153	33	50	41	43	175	330	216	1611
