NormalizedPercentage	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
taxid:1001064|Rhodotorula_glutinis_ATCC_204091	0	0	0	0	0	0	0	0	0	0	0	0	8.20127611544e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.47812421424e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000127921206169	0	0	0	0	0	0	5.77475324356e-05	0	0	0	0	0	0	0	0	0	0	8.61089739147e-05	0	0	0	0	0	0	0	0.000104824417095
taxid:1001585|Pseudomonas_mendocina_NK-01	0	0	0	0	0.000549378904155	0	0	0	0	0	0	0	0.000307442413505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025718644245	0	0	0	0	0	0	0	0.00322598077752	0	0	0.000645988266026	0	0.000289418122013	0	0	0.00144007832456	0	0	0	0	0	0	0	0	0	0	0.000233406182694	0	0	0	0	0	0	0	0	0	0	0.000232270262027	0.00245281715264	0	0.000846383510987	0	0	0	0	0	0.000322797945004	0	0	0	0	0	0.000208061134535	0.000743931166627	0
taxid:100226|Streptomyces_coelicolor_A3(2)	0	0.000340151084036	0	0	0	0	0	0	0	0	0.000205616941997	0	0	0	0	0.000156791587387	0	0	0.000189071354547	0	0.000535702731916	0.000565365580076	0.00015024576686	0.000546256297909	0	0	0	0.000830000853297	0	9.76093678293e-05	0.000156503537958	0	0	0	0	0	0	0.000167836052597	0.00012862270896	0.00028143871639	0.000165460565588	0.000322683867845	0	0.000490345042306	0.000387696034118	0.000780790675102	0.000694788212154	0	0	0.000864276775001	0	0	0	0	0.000104238906196	0	0	0	0	0.000152028293015	0.000140080952129	0	0.00374140717032	0	0	0	0	0	0.000191292485994	0	0	0.00027879843696	0.00235533066467	0	0	0	0	0.000713172617565	0.000185179651571	0	0	0	0	0	0	0	0	0.00401829662107	0.000235836777659
taxid:1002672|Candidatus_Pelagibacter_sp._IMCC9063	0	0	0	0	0	0	0	0	0	0	0.00144920278813	0.00132689497458	0	0	0	0	0	0	0.00133258831449	0	0	0	0	0	0	0	0	0	0	0	0	0.0010083298962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000974337320508	0	0	0	0.00098249557708	0	0	0.00119339148112	0	0	0	0	0.00105944426731	0	0	0	0	0	0	0	0	0
taxid:1002809|Solibacillus_silvestris_StLB046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000206126446368	0.00457723623021	0	0	0	0	0	0.00506542549648	0	0	0	0	0	0	0	0	0	0.000259838466787	0	0	0	0	0	0	0	0	0	0	0	0	0.0196502503506	0	0	0	0	0	0	0	0	0.000697599708414	0	0	0.000210426334993	0	0	0	0	0	0	0	0	0	0
taxid:1003195|Streptomyces_cattleya_DSM_46488_=_NRRL_8057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000475019731189	0	0	0	0	0	0	0	0	0	0.00021685900204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000374404664443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1004785|Alteromonas_macleodii_str._'Black_Sea_11'	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000210660835271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1004786|Alteromonas_macleodii_AltDE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00106166935323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1004788|Alteromonas_macleodii_str._'English_Channel_673'	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000603982365247	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1004951|Streptococcus_suis_ST1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000674962563585	0	0	0	0	0	0	0.000645450258433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00932542418368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000804740708966	0	0.000623506117836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1004952|Streptococcus_suis_D12	0	0.000705435818003	0	0	0	0	0.000544211699028	0	0	0.000676599523029	0.000852853702254	0	0	0	0	0	0	0	0.000784226256601	0.00109474614169	0	0	0	0	0	0	0.000525197522946	0	0	0	0	0.000593400655943	0	0	0	0	0	0	0	0	0	0	0	0.00480726534803	0.000804038798641	0	0	0	0	0	0	0	0	0.000474222618211	0	0	0	0	0	0	0	0.000752792985621	0	0	0	0.00155544659372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010358654078	0	0
taxid:1005041|Streptococcus_suis_SS12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000546786098513	0	0.000392126912137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000435011507634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1005042|Streptococcus_suis_D9	0	0.000707186080544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00668246905156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000185353565121	0	0	0	0	0	0.000898430923352	0	0	0	0	0	0	0	0	0	0.00252857739317	0	0	0	0	0	0	0	0	0	0	0.00284411714527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:1005048|Collimonas_fungivorans_Ter331	0	0	0	0	0	0	0	0	0	0.00170860118492	0	0.00690174624607	0	0	0	0	0	0	0	0	0	0	0	0	0.000253148030901	0	0	0	0	0	0	0	0	0.000269456217394	0.000164723837935	0	0	0	0	0	0.000577694069146	0	0	0.000155636877073	0	0	0	0.000197441338501	0	0	0	0.00143163796074	0	0.000199590575078	0	0	0	0	0	0	0	0	0	0	0.000292124896591	0	0	0	0	0.000226806719147	0	0	0	0	0	0	0	0	0.000161635471961	0.000262410530381	0	0	0	0	0	0.000193320855411	0	0.000779422415315	0
taxid:1005057|Buchnera_aphidicola_str._Ua_(Uroleucon_ambrosiae)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00541795188324	0	0	0	0	0	0	0	0.00445142204938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00680135595714
