class	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
Acidimicrobiia	0	0	0	0	0	0	0.000550491112309	0	0	0	0	0	0	0	0.000458857025827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00135386491933	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000852308100521	0	0	0	0	0	0	0	0	0	0	0.00044240038112	0.00058001223394	0	0	0	0	0	0	0	0	0.000739903029679	0	0	0	0.000812822227867	0	0	0	0	0	0	0	0
Acidobacteriia	0.000403187945072	0	0.000936746327233	0	0	0.000653726405453	0	0	0	0.000558251685018	0.000356136289545	0.000546589741501	0.000404799247304	0	0	0.00034397901094	0.000565476277324	0.000332680417516	0.000274467503569	0.00019157241805	0.001063633788657	0.00276047739318	0.000659236775947	0.000218847126433	0	0.000684874406253	0	0.000455157012113	0	0.000214141424064	0.000171673535208	0.000313864043364	0.000317602781561	0.000702068936287	0.000163433235091	0.00171035484797	0.000131662497359	0.002344931244728	0.00021160289535	0.000408553596499	0.000136103239575	0.004425815715671	0.000461022902011	0	0.000281401598044	0.000755628892658	0.000300849839383	0.000744380724938	0.000131630803293	0.00142207758974	0	0	0	0.000652036230477	0.000652455412881	0	0.000120790902713	0	0.000559897089224	0	0.000242625486221	0.000263466327133	0.00046120712154	0.000156490977837	0	0.00027423784827	0	0.000718319508352	0.000314703711516	0	0	0.000628111317003	0.001073301323769	0.000832057616489	0.000491595456813	0	0.000290122010315	0.000463229513018	0	0.000481772746559	0.001964219885305	0	0.00186799045717	0	0.000601598228484	0	0.000200106904656	0.007813315620147	0
Aconoidasida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000241983146972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71993278722e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000154628038883	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	0.117516423570014	0.088745338960018	1.99185860611545	0.381516489905489	1.34096033468092	0.100865708587031	0.319647312637976	5.13347878476205	0.123408020558213	0.104880504243651	2.13777750271499	0.236171923149866	0.44195706251103	0.0427779285533949	0.200815095410706	4.1464866632443	0.515768235583215	0.188559653286587	0.282325312547254	1.81621884536167	1.63763854609815	1.2896750128625	0.206774242974856	13.5095267332718	4.06179112518794	1.11063409426707	0.073322442974295	2.44660545584379	3.51990424612226	0.0451328462905508	0.935494706608931	0.223048180267275	0.145546303815675	2.50965140142322	0.0525532758539166	6.20186687157931	0.342294245085578	0.593790705421854	0.142578813097609	0.594047900398513	1.67103085253505	1.1943376970869	3.45563725139482	0.632249147827352	0.152363772721551	0.506239223235544	4.26159148779585	11.256135353351	0.585741783861043	0.171960790527	0.638264835658664	0.069065860466406	0.0416000087717507	0.128827564833117	0.909262999832451	0.781952793081051	0.0254747284481877	0.10158759910438	3.34601814322377	0.147800954213143	0.197200088340692	0.089787097184993	0.754777025387878	40.6041521306981	0.108640796545682	1.44320453079051	0.069322060598074	0.269825644182465	0.208731847332687	0.084184003049749	2.65789603621806	3.76568393629852	0.364931905789287	2.46269720200389	0.379973053282763	0.820613692182238	0.205013231645033	0.297760364414744	2.2609286200222	0.298403645105011	0.178320608126156	3.94495703893845	0.888854906601528	0.063828296028201	0.393775501536314	0.142393826670397	0.31438119209181	0.497898054236057	6.5031478461444
Agaricomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24430396243e-05	0	0	0	0	0	5.56614584348e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.18655321954e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alphaproteobacteria	0.011796479247966	0.012545672745074	0.017040665218427	0.02545468327254	0.005393829791036	0.009984807244444	0.009032162267278	0.00624301458198	0.004882357181681	0.008518584570144	0.011849409310053	0.029766731756341	0.063884456911249	0.0012557079005794	0.001742257278772	0.020568552117419	0.007125763967037	0.013182296083339	0.029276725752501	0.007659746714547	0.013205897122592	0.033801376946358	0.008501689930066	0.007907137379037	0.006579607935731	0.016817648902354	0.01592660019114	0.032468308041264	0.004720519094764	0.013016600302921	0.0033810284977941	0.039318653556204	0.005898421440275	0.014126849698961	0.0079021118492378	0.005934828842871	0.000284499670389	0.026502667580818	0.013395395613348	0.004294152828771	0.004498258709452	0.13556770980793	0.025304586238292	0.0033802654971805	0.019361990498572	0.026843651011584	0.018014848135271	0.004218696947787	0.002168860816776	0.037382690261528	0.00238832920264	0.002906357237935	0.007748694699446	0.001118141073338	0.011850227585995	0.038195203599493	0.000994477118519	0.013032152295729	0.005655777498928	0.014003090981636	0.007971738240431	0.009254203004746	0.093121057287026	0.007521400507065	0.014326289682386	0.005192222404337	0.003333541241745	0.013538632152456	0.006787281242909	0.004467719878167	0.003068472362376	0.00945051387022	0.0523848725681	0.009709114568393	0.036203511999431	0.011334385296013	0.015680771834365	0.018435157482208	0.001413920828071	0.012274559058175	0.014202370418971	0.013840153847715	0.053061939664074	0.025254586740405	0.011501196411982	0.000913596224	0.004676703093553	0.11982608847312	0.020286885227696
Anaerolineae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000338284212127	0	0	0	0	0	0	0	0.000709204086357	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000827163189417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000250479129523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00028386983451	0	0	0
Aquificae	0.000393433492294	0	0.000802072719742	0	0	0	0	0.00028690515033	0	0	0	0	0.00101820587537	0	0.000603509892751	0	0	0	0.00104335193162	0	0	0.002451519614095	0.000447776486161	0.000407001026939	0	0	0.000377368864621	0.0014237794225	0	0	0	0	0.00066072692077	0.00230008477784	0	0	0	0	0	0	0	0	0	0	0	0.000775661797847	0	0	0	0	0	0	0	0	0	0	0.000328181484714	0.000825156409544	0	0	0	0	0	0	0.000498717034164	0.000372543718891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00171962088294	0	0	0	0	0.00229765548628	0.00138489640425
Bacillariophyceae	0	0	0.000194382082491	0	0	0	0	0	0	0	0	0.000389554315424	0	0	0	0	0	0	6.5204297569e-05	0	0	0	0.000103629338397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.68651701666e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000288444375228	0	0	0	0	0	0	0	0	0	0	0.000904488967158	0	0	0	0	0.000153974913174	0
Bacilli	0.777247335846465	1.37757375237093	0.951852664445138	0.952665366251825	0.694242667811502	1.04996790098144	3.48504669429925	21.2690103526848	7.80111687680815	2.0381361071445	4.44938907122743	0.946073337352909	2.98050536152381	1.69754084837189	1.16804733281936	0.696708111360278	2.01553755093935	0.52840851445323	2.60379370196888	0.754009963125174	2.722426417977	0.912815991411924	8.80367031501324	0.648255579129656	1.00596800545046	1.25210583208385	1.00548255526237	1.4450262461487	0.902474961195193	0.421757332078554	0.840884594402489	1.20786647016761	0.384415339786592	1.71475302531194	0.824710429000804	0.780767725491179	0.22100933082874	26.4818928626146	0.47203972874229	0.263839408042377	1.18160945143969	1.82526773573365	1.48460060117537	54.825726869966	0.546116581641877	1.80835976919433	2.49642973153626	0.438850185570887	0.718344031212533	6.17245878111664	2.2309448136696	0.302376978738722	0.459287798955953	1.84295651994879	4.53322558839118	3.81355029620309	0.195590263999421	0.587248026956573	22.3889222615924	1.01906709606769	11.1011086209376	3.09517335989443	1.09391393704171	0.653487324107056	3.57347611599182	0.652213340514329	0.463834076866283	1.06503053856362	0.41963474865608	0.80281749717709	2.16328885835928	1.03207525689796	0.649516258789292	3.72264062550475	0.723020330714004	1.00841031302263	0.649729431063633	2.48268542174004	4.00811585837774	0.359721221691548	1.16038918770238	1.60852199248476	1.7487015933616	0.329222830077	0.82352560214068	0.917209447061642	1.28122541700392	0.279524646462312	1.95682375869205
