genus	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
Acaryochloris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181751095377	0	0	0	0	0	0	0	0.000281841631091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000209792167841	0	0	0	0	0	0	0	0
Acetobacterium	0	0	0	0	0	0	0	0	0	0.000730352589596	0	0	0	0	0	0	0	0	0.00253958948171	0	0	0	0	0	0	0	0	0.000619360946761	0	0	0	0	0	0	0	0	0	0	0.00057588289805	0	0	0	0	0	0.000433958197379	0	0	0	0	0	0	0	0.000676547191576	0	0	0	0	0	0	0	0.000313592464836	0	0.00708713720686	0	0	0	0	0	0	0.000290849982071	0	0	0	0.000283908117913	0.00265336650241	0.000343578519737	0.00039478737711	0	0	0	0	0	0	0	0	0.000247908737191	0	0	0
Acetohalobium	0	0	0	0.000448594412623	0	0	0	0	0	0	0	0	0	0.000315304952732	0.000400990891744	0	0	0	0	0	0	0.0051823241804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000163442240434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000506867302492	0	0	0	0.000511111370141	0.00647691731857	0	0	0	0	0	0	0	0	0	0	0	0	0.00121809667446	0	0	0
Acholeplasma	0	0	0	0	0	0	0	0.00232916863668	0	0	0	0	0.00669643098489	0	0	0	0	0	0	0.00399116264036	0	0	0	0	0	0.00568175905238	0	0.00334694762852	0	0	0	0	0	0	0	0	0	0	0.00233399834541	0	0	0.0175663446928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000919572671682	0	0	0	0.00273252165146	0	0	0	0	0	0.000785858119436	0	0.000843183260335	0	0	0	0	0	0	0	0	0.00117181520063	0	0.00528802099651	0	0.000785027292123	0	0	0	0.00142650457629
Achromobacter	0.00129943922692	0	0	0.00165594168636	0.000507110284253	0.000157356851742	0	0.000118449437467	0.00360180064791	0	0.000252995381582	0	0.000454061001686	0	0	0	0	0	0	0	0.00131827966859	0.00313036930099	0	0.000672125162397	0	0	0	0	0	0.00060050302811	0.000577695669239	0.00193632726789	0.000178126612258	0.000949595180669	0	0.00015187720618	0	0.00289112580222	0	0	0	0	0	0.00713027291714	0.000238514650439	0.000320233720148	0	0.00125245140592	0	0.00159513630317	0.000126940850071	0	0	0.000140676099467	0	0	0.000609707092851	0	0.0040042440561	0	0	0	0	0	0	0.000307611026737	0	0	0	0	0	0	0.0047093281007	0	0	0	0.000216985354391	0	0.00216456466805	0.0029592491416	0	0.00120068491656	0	0	0.00255503467623	0	0	0.00824032686772	0
Acidaminococcus	0.059930491126612	0.12334607964728	0.19222055885108	0.0947187631121	0.040898604051886	0.0501306259365	0.064050615885239	3.90948356575108	5.02195250189404	0.0394536158567	0.144012386690542	0.1755208800876	0.106640380233	4.3911685581573	0.03422837923472	4.6779310916231	0.04595499202244	0.24922488565669	0.07560503313285	0.1287194545626	0.28150853649468	0.08295942642183	0.16846312295094	0.07246636916713	0.02456247097277	0.10318097732831	0.06188203046146	0.3239807053135	3.31386348110252	0.03721169619973	0.22663654834965	0.07904230091252	0.0876151978511	4.0143581806046	0.05504719258672	0.067762924640071	0.015941487178193	0.09564002823984	0.146336827944305	0.083073339617594	0.0381113184625	0.40407876503099	0.087924470414497	0.010424010619527	0.0776972305984	0.44470350550269	1.384445656656	5.19604941514928	0.01604146890936	0.176946457887002	0.749336163503755	0.09675861238327	0.03344284566914	0.15574992298679	0.04684733712669	0.13668132820338	0.034917874416379	0.0991746010291	0.89507474812874	0.1462979658289	0.07233728234436	0.0571942323316	0.67148698495499	0.76388524215766	0.14637418845442	0.0525089335269	0.089474812339796	0.08089383558065	0.06099573024944	0.06828190364663	15.120350135872	0.07083284665717	0.75344417897534	0.342677800396	0.09543674240583	2.722938695416	0.16790575376181	0.10977217910799	0.01779855209142	0.08260786020524	0.150696049528235	0.01968835263784	0.154065590293	0.02500717741548	0.071434163841894	0.0977427064408	0.17771928848921	0.62221468280987	1.6129796198814
Acidimicrobium	0	0	0	0	0	0	0.000550491112309	0	0	0	0	0	0	0	0.000458857025827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00135386491933	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000852308100521	0	0	0	0	0	0	0	0	0	0	0.00044240038112	0.00058001223394	0	0	0	0	0	0	0	0	0.000739903029679	0	0	0	0.000812822227867	0	0	0	0	0	0	0	0
Acidiphilium	0	0.000388588676336	0.00121092058157	0.00105140142987	0	0	0	0	0.000238867035874	0	0	0	0	0	0	0.00168423495552	0	0	0.00121858802398	0	0	0.000607308394846	0	0	0.000311538023469	0	0	0	0	0	0.000336228153161	0	0	0	0	0	0	0	0	0	0	0.00936437437205	0.00180585643233	0	0	0	0	0	0	0.00049367499289	0	0	0	0	0	0.00174569529565	0	0	0	0	0.000601892589036	0	0	0.000388214615365	0.000719010237338	0.00080565550018	0	0	0	0.000558241885121	0	0	0.001937715443241	0	0.00145506560528	0	0	0	0	0.0012917478786	0	0	0	0.00060544568477	0	0	0	0.00383680201422	0
Acidithiobacillus	0	0	0.000442257628465	0	0	0	0	0.00054352147927	0	0	0	0	0.000560203957473	0	0	0	0	0	0	0	0	0.00086880898598	0	0.0012858410878	0	0	0.000357449288194	0.00260500233843	0	0	0	0	0	0	0.00028648290135	0	0	0	0	0	0	0	0.00059322674761	0	0	0	0.000545157547185	0.000343384225435	0	0	0	0	0	0	0.000583066245731	0	0	0	0	0	0	0	0.000903277516941	0	0	0	0	0	0	0	0	0	0	0.000385040967198	0	0.000465966970302	0.00332091342192	0.000433052268805	0	0	0	0	0	0	0	0	0	0	0.001456209782492
Acidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.000404799247304	0	0	0.00034397901094	0	0.000332680417516	0	0	0.000587628771904	0.00186050058196	0.000659236775947	0	0	0.000412154795823	0	0	0	0.000214141424064	0.000171673535208	0.000313864043364	0.000317602781561	0	0	0	0	0.00147283614726	0	0	0	0.000707923681095	0.000461022902011	0	0	0	0	0.000744380724938	0	0.00142207758974	0	0	0	0.000250827879807	0	0	0.000120790902713	0	0	0	0	0	0	0	0	0.00027423784827	0	0	0	0	0	0	0.000645908627794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00293852861286	0
