phylum	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
Acidobacteria	0.000403187945072	0.00083347928783	0.001972579848653	0	0	0.000967094598444	0	0	0	0.000957956147287	0.000356136289545	0.000546589741501	0.000856918980353	0.000234408181526	0	0.001112358397198	0.000565476277324	0.000332680417516	0.000446258997894	0.00019157241805	0.001063633788657	0.003453140922948	0.000659236775947	0.000218847126433	0.000131758022082	0.000684874406253	0	0.000455157012113	0.000222504686875	0.000214141424064	0.000171673535208	0.000703832567983	0.000317602781561	0.000702068936287	0.000163433235091	0.00171035484797	0.000131662497359	0.002497428202008	0.000526769798807	0.0004937926283722	0.000136103239575	0.004719008431112	0.00065195952432	0	0.000281401598044	0.001393358111987	0.000300849839383	0.000744380724938	0.000131630803293	0.00142207758974	9.37397145628e-05	0	0.000246838705269	0.000652036230477	0.000652455412881	0	0.000120790902713	0	0.000559897089224	0	0.000497182461818	0.000758183626493	0.00046120712154	0.000156490977837	0.000820064687332	0.00027423784827	0	0.000718319508352	0.000783431675284	0	0.000239431095594	0.001008088497171	0.001073301323769	0.000832057616489	0.000799289143794	0.00075212914658	0.000290122010315	0.000463229513018	0	0.000481772746559	0.002438921209238	0.000633320059221	0.00186799045717	0	0.000919612105325	0.000271349016632	0.000200106904656	0.007813315620147	0
Actinobacteria	1.05689659256177	0.732417565825653	3.26320603989828	1.08664991622227	1.4512931799469	0.601807214979101	0.970203968655664	7.66774690049989	1.26474462651456	0.858487623865923	4.21525956297907	1.57913142711895	0.96437230053844	0.125193874319761	0.240119760586185	6.60633183338202	0.6292048109137	0.699173031054738	1.87511373997647	2.10840166814373	3.42306572748907	3.84007454041676	0.276743678392813	14.301712082201	5.32498751097673	1.24577873219537	1.24515733601439	3.72557300980214	3.8886643359623	0.243787751420091	1.31724308400314	2.24293511129726	1.05450340586957	4.70378111846728	3.21763648467969	7.49253933324457	0.56610143811982	2.88768345184184	0.600643624273727	0.76145672127029	1.83343348731719	2.55869382615575	6.21437010683657	0.876915445853657	0.708470951778803	6.16649770433145	6.56299716065296	11.3719085644068	2.1076043013455	2.21682188240746	3.07426527170287	0.195567736491826	1.27826474248981	1.24896134905677	2.01813379907164	1.83816358108661	0.105666770277448	1.75877696245592	5.60726331133218	0.282801077620705	0.570545667433357	1.37788620272937	8.60680857874932	44.1169845001935	1.60411366283194	3.23776222377195	0.317750302940423	2.32704088890258	0.344046542256857	0.856460057219841	5.5753947297927	4.12963414293196	10.7652754132925	3.33594708809476	1.77823032419108	4.0423715942284	0.333996246435857	5.74456472772416	2.44897615086436	0.829463585568018	2.14314325091062	8.66165285062294	2.45924905380316	0.586006342692918	1.55565314140463	0.386226879946734	2.62747564238384	7.51464134633974	8.66751347020193
Apicomplexa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000397956921876	0	0	0	0	0	0	0	0	0	0.146858380098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71993278722e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000369920515078	0	0	0.000151235325498	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000852068781245	0	0	0	0.000154628038883	0	0	0	0	0	0	0	0	0	0	0
Aquificae	0.000393433492294	0	0.000802072719742	0	0	0	0	0.00028690515033	0	0	0	0	0.00101820587537	0	0.000603509892751	0	0	0	0.00104335193162	0	0	0.002451519614095	0.000447776486161	0.000407001026939	0	0	0.000377368864621	0.0014237794225	0	0	0	0	0.00066072692077	0.00230008477784	0	0	0	0	0	0	0	0	0	0	0	0.000775661797847	0	0	0	0	0	0	0	0	0	0	0.000328181484714	0.000825156409544	0	0	0	0	0	0	0.000498717034164	0.000372543718891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00171962088294	0	0	0	0	0.00229765548628	0.00138489640425
Ascomycota	0.0003299156825269	0.0002925919515887	0.000537341541427	0.000971607188152	0.0002833130337232	0	0.0017513458427594	0.0082539021594	0.0015467379806304	0.000270690821211	0.000546673100015	0.000541512966123	0.0003174322313128	0.00137946224279	0.00163335016071	0.000792581438061	0.000261480824123	0.0001452267816086	0.001270606617046	0.000583974659602	0.00374440248518	0.000270724793199	0	0.000406032532757	0	0.0012470063015	0.0003648783976233	0.000529926870406	0.0001739301486249	0	0	0.133166479833099	0.0001386448596538	0.000295646987012	0.000469744586641	0.000341385552222	0.000100337463582	0.0001607362819104	0.00163637079165	0	0	0.00023985105278	0.001989874729921	0	0	0.000315874094561	0.000210810916828	0.0010044307842942	0.0007956127602122	0.001620511780758	4.17375639063e-05	0.000771160806598	0.0004051796633356	0.000189724801143	0	0.001612048270311	0.0001054590118626	0.023275070143279	0.000605575140159	0.00454103040595	0.000268310545479	0.0001738155320472	0	0.000815311130799	0	0	0.000116649703087	0.001098685225072	0.00219858710899	0.0013960280883785	0.000810765937092	0.000950597018013	0	0.000350749864659	0.000162159101711	0.000186268800274	0	0.0001366008234032	8.86731075305e-05	0.000332586083119	0.000886140310552	0.0003434464123099	0.0090951424128731	0.00171472385124	0.0008471296333461	0.0001060556868599	0.001283501033605	0.000427590595099	0.0066530063685
Bacillariophyta	0	0	0.000194382082491	0	0	0	0	9.04671760047e-05	0	0	0	0.001097236078661	0	0	0	0	0	0	0.0001244308167568	0	0	0	0.000103629338397	0.061981227031	0	0	0	0.020928096907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001746108603076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000285736778104	0	0	0	0	5.24186264513e-05	0	0	0	0	0	0	0.000288444375228	0	0	0	0	0	0	0	0	0.0293089283704	0	0.000904488967158	0	0	0	0	0.000153974913174	0
Bacteroidetes	50.3241902483307	53.3787539434765	49.4092701608376	55.5909493911028	45.3910031005246	44.3225543528079	57.5902693854819	32.4791338074887	69.4309221813602	58.2382723709196	47.8145080069781	45.7429524094063	43.6152297758983	43.3644635909184	57.6216651684192	38.9297372197277	49.7606052923459	81.4745669148364	52.5567717536367	44.232152568223	54.103486751964	47.294721920215	32.8858434243805	41.1070224906256	57.012170970419	55.236486531467	54.0960119145541	39.9875563079856	59.2827941104245	69.8942302076565	44.3016230283279	66.1819496929876	69.3605166457032	49.7962154631922	36.9609069221462	75.0145441428753	92.0093274819165	30.9834192292796	45.0493755889617	86.5308604329942	35.8966963418725	28.6318306502647	34.8080415012801	0.327557411033639	44.2347652704239	36.641062329698	46.4897001013495	65.0740439867377	66.0512745248714	26.2577719170677	76.9855060752795	77.2387693314354	68.3604997134646	71.0368740825208	52.5588583465407	42.0360671962643	43.7077281779805	45.7604559036287	36.2105815849253	19.3956738815194	26.2265434753132	5.88547934519728	33.2810657817562	27.7672724792405	39.4813195000092	64.2724035880488	82.786837166116	65.1811869539542	63.4390219462941	57.1633015305506	45.9703843544735	45.7206792299996	30.6968670657861	39.0150621020724	33.0283244295037	32.2132675713652	57.8194727319457	59.5865012951723	66.1028224260413	67.5530528131355	19.7803297312268	69.5695617153762	37.7389886253871	66.4713199356076	42.9855797023203	67.3625600496941	65.0864577450239	22.882915752414	33.9045457780086
Basidiomycota	0.00012834657081	0	9.42197889867e-06	9.44361953218e-06	0.000100903095155	7.171065170243e-05	1.01272622316e-05	0.00136873350194515	1.505995806927e-05	0.000110755479495	0	0.000100705373466	8.20127611544e-05	0	5.85013199085e-05	0	2.9106646155e-05	1.0139450622e-05	0.0002071549444297	8.82397273525e-06	7.1639117941e-05	0.0003946035029661	3.01383777913e-05	6.67382558467e-05	0.0001275461731471	0	1.69329799727e-05	0.000184992302254	2.61614629451e-05	4.419710839239e-05	4.001351684718e-05	0	0	1.03207479817e-05	1.89278232398e-05	8.25344526303e-06	3.125852649631e-05	0	1.72006168125e-05	0.00011629940002268	1.191736739894e-05	0	8.57467820831e-05	0.004851139161774	0	0.000128534461328	8.57824940479e-05	0.000114321789888	9.771812372959e-05	0.0001768173562007	1.37966635555e-05	0	0.000209393053045	0.0003281598058268	1.501570284124e-05	0	7.93123576582e-06	6.83680921932e-05	0.0002365592942391	0.0001352874338454	0.0001253795127973	0	0.0001856522286986	6.04127135966e-06	6.59707456985e-05	5.1006171086e-05	0	0	0	7.51218948571e-05	1.407581076886e-05	0.000335618019631	0	0.0002053782176184	0.0002250385061577	4.58007098168e-05	0.000106124487759	0.0003646469824144	6.47768624168e-05	2.16532789027e-05	0.0001120163756241	2.7963720033e-05	0.0001618979622424	1.08761478383e-05	0.0002339079296265	7.40460119121e-06	2.762584711344e-05	0.000339912696708	0.00023706453901
Blastocladiomycota	2.09276307111e-05	0.00024265662209	2.23384753728e-05	0.000116374460748	0	4.05480273632e-05	6.23995215523e-05	7.63057181559e-05	0.000116014896723	0.000103438880115	0.000717115899037	0.000208916190867	8.77525083136e-05	2.72654932925e-05	6.93500966253e-05	0	1.72521639379e-05	0.000192316175146	0.000119892910028	2.09206685513e-05	0.000636931751173	0.000492946546991	0.00016672781522	6.49479570828e-05	4.59768184362e-05	5.95646976253e-05	6.02193488505e-05	0.000175438558396	2.87908164697e-05	7.73694089133e-05	0	0.000294838033383	0.000183600082691	0.000146816147922	2.99171909886e-05	7.82720427339e-05	1.43782048372e-05	0.000372495531149	6.11711551037e-05	0	5.24604817865e-05	0.000409237116089	0.000333135632958	0	0.000399496050064	0.000495110781771	0.000468111322881	5.37890293264e-05	4.31242310589e-05	0.000205518951838	0.000130841485584	1.30007249816e-05	6.38789947378e-05	0	0.000132198828658	0.000193222439013	8.72836331022e-06	0.000329189728812	0.000917174750022	0.00031331093028	0.000177654759288	5.75436877654e-05	0.000501870977346	4.29695692187e-05	0.000185695328113	0.000138715189931	1.67157237717e-05	0.000175322168796	0	8.23854035855e-05	4.64714934359e-05	8.83950823706e-05	0.000746774803992	4.02095346696e-05	2.68423443155e-05	0.0001216514387	0.000559132188389	0.000113058295738	1.46781405345e-05	0.000262124919458	0.00021498259702	0.00013259780732	0.000277184731691	6.70138094503e-05	0.000123447455758	5.26664843343e-05	5.93863619203e-05	0.000920133006178	0.000411255758389
Candidatus Saccharibacteria	0.00252087370725	0.00107528792529	0.0107632776982	0.000386768918698	0.007140748346886	0.000404282432704	0	0	0	0.01972119507417	0.025015319583873	0.01630914882357	0	0.00492646774771	0.000345726137561	0	0.011161707807114	0.00143811036305	0.01454664991232	0.00252003506832	0.0215103202353	0.00268085628781	0.01780391459433	0	0.000458409969957	0.0150870448633	0	0.050594335267187	0.00173402362767	0.000925690196631	0	0	0.00825621405141	0	0.00540558994939	0.00195102042608	0	0	0.003269364824879	0.0155056745385	0.00473941308852	0.0123238399537	0.000664303014823	0.164767837703018	0	0.02587091836519	0.003865983692056	0	0.00316476232827	0.004809062472748	0.0102552484725	0	0.000318451439819	0.02038583628364	0.00761919257877	0	0.00105138999631	0	0.00285770405543	0.00870932453521	0.05007523822772	0.00229494785215	0.00181959413044	0.00199932280705	0.01502539109176	0.000395158306864	0.000333326867436	0	0.00972464240609	0	0.013282473723	0.0106477814939	0.00186142183771	0	0.000535260971497	0.006831829727165	0.000557480439924	0.000450897227911	0.00117078235342	0.00861128385196	0	0	0.1738040979028	0	0.00123082776081	0.00035007267173	0	0	0.0045035017128
