species	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
16SrX (Apple proliferation group)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228109724229	0	0	0	0	0	0	0	0	0	0.00416181750125	0	0	0	0	0	0	0	0	0	0.00252470711903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00254705554739	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16SrXII (Stolbur group)	0	0	0	0	0	0.00259942949193	0	0	0	0	0	0	0	0	0	0.00478035442564	0	0	0	0.00134117012243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00682277946316	0	0	0	0	0	0	0.00197005090577	0	0	0	0	0.00219588168771	0	0	0	0	0	0	0	0	0	0.0169954704202	0	0	0	0	0.00170063553132	0	0	0	0	0.00792227372245	0	0.00141669520688	0	0	0	0	0	0	0	0	0.0137819800194	0	0	0	0	0	0	0	0
Acaryochloris marina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181751095377	0	0	0	0	0	0	0	0.000281841631091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000209792167841	0	0	0	0	0	0	0	0
Acetobacterium woodii	0	0	0	0	0	0	0	0	0	0.000730352589596	0	0	0	0	0	0	0	0	0.00253958948171	0	0	0	0	0	0	0	0	0.000619360946761	0	0	0	0	0	0	0	0	0	0	0.00057588289805	0	0	0	0	0	0.000433958197379	0	0	0	0	0	0	0	0.000676547191576	0	0	0	0	0	0	0	0.000313592464836	0	0.00708713720686	0	0	0	0	0	0	0.000290849982071	0	0	0	0.000283908117913	0.00265336650241	0.000343578519737	0.00039478737711	0	0	0	0	0	0	0	0	0.000247908737191	0	0	0
Acetohalobium arabaticum	0	0	0	0.000448594412623	0	0	0	0	0	0	0	0	0	0.000315304952732	0.000400990891744	0	0	0	0	0	0	0.0051823241804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000163442240434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000506867302492	0	0	0	0.000511111370141	0.00647691731857	0	0	0	0	0	0	0	0	0	0	0	0	0.00121809667446	0	0	0
Acholeplasma laidlawii	0	0	0	0	0	0	0	0.00232916863668	0	0	0	0	0.00669643098489	0	0	0	0	0	0	0.00399116264036	0	0	0	0	0	0.00568175905238	0	0.00334694762852	0	0	0	0	0	0	0	0	0	0	0.00233399834541	0	0	0.0175663446928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000919572671682	0	0	0	0.00273252165146	0	0	0	0	0	0.000785858119436	0	0.000843183260335	0	0	0	0	0	0	0	0	0.00117181520063	0	0.00528802099651	0	0.000785027292123	0	0	0	0.00142650457629
Achromobacter xylosoxidans	0.00129943922692	0	0	0.00165594168636	0.000507110284253	0.000157356851742	0	0.000118449437467	0.00360180064791	0	0.000252995381582	0	0.000454061001686	0	0	0	0	0	0	0	0.00131827966859	0.00313036930099	0	0.000672125162397	0	0	0	0	0	0.00060050302811	0.000577695669239	0.00193632726789	0.000178126612258	0.000949595180669	0	0.00015187720618	0	0.00289112580222	0	0	0	0	0	0.00713027291714	0.000238514650439	0.000320233720148	0	0.00125245140592	0	0.00159513630317	0.000126940850071	0	0	0.000140676099467	0	0	0.000609707092851	0	0.0040042440561	0	0	0	0	0	0	0.000307611026737	0	0	0	0	0	0	0.0047093281007	0	0	0	0.000216985354391	0	0.00216456466805	0.0029592491416	0	0.00120068491656	0	0	0.00255503467623	0	0	0.00824032686772	0
Acidaminococcus fermentans	0.00718304485586	0.0317286325588	0.044908428793	0.0313841843652	0.0083295265855	0.0124262539126	0.0142783661939	0.00561227338808	0.00934553209704	0.0031699637993	0.0966968931241	0.0651215224346	0.0200796803719	0.0103610921733	0.00340045902332	0.0262035098291	0.00634446951654	0.00471494132617	0.011757472522	0.0107709828236	0.0968155391314	0.00659202542396	0.00525548751049	0.00530767986048	0.00169079382787	0.00365081166731	0.00196849933061	0.161293474513	0.00423511990972	0.00227620306939	0.00273718989318	0.0183490917789	0.0483884617591	0.0359943474676	0.0183367051741	0.00191896541562	0.000352504890093	0.0150031118446	0.000999806375965	0.000364611901694	0.0090030734734	0.0727400343369	0.0302192228963	0.000346503282693	0.0210953943503	0.155776642193	0.0391551325036	0.00395617451948	0.00140968013758	0.0948941738271	0.000400973765655	0.0127493499575	0.00313219324308	0.00177743965979	0.0267388075409	0.00868479305299	0.01583525329	0.053266074397	0.796145603565	0.0159535169319	0.00435549306096	0.00141077634941	0.062639445289	0.00210693663727	0.0318683440513	0.0228341220691	0.000819625876486	0.0166559351359	0.00297389860184	0.0070693388276	0.00987413822196	0.00216714806533	0.496615057143	0.00591480971091	0.0579113374106	0.0262458354242	0.0047978097055	0.00997850352199	0.00431829957172	0.00467375660064	0.0301179727402	0.00108361639544	0.0951388328942	0.00164295166208	0.0479197979407	0.0193680575726	0.00970634986255	0.227320725058	0.0549959915857
Acidaminococcus intestini	0.000960979331752	0.00495226200678	0.00256441035208	0	0.000900060565186	0.0004654828917	0.000955111312739	0.107569572733	0.146120426267	0	0.000748394623442	0	0	0.183419273174	0.0011941869537	0.102722841684	0	0.00165581216552	0.00344086396325	0	0.00487456238328	0.00205779035667	0.00218742916845	0.00198823731355	0	0	0.00460870371295	0.0261819744695	0.0687466133928	0.00177636933444	0.00142408506347	0.00052071986002	0	0.144946011417	0.00274754487032	0.000449273357551	0.0016505879078	0.00122176313064	0.00280892837634	0	0	0.00117448917109	0.000764865508097	0.000162248565764	0.0056444692669	0.00473647370369	0.0373006349624	0.0975629192698	0.00033003811498	0.000786438225002	0.0450609884311	0.00208943853327	0.00219995258386	0	0.00113821122219	0.00147876884939	0.000601198735079	0	0.00460642643764	0	0	0.00660589526099	0.00942770303799	0.00723479807339	0.00487255682712	0.0059147081699	0.00038378604061	0.00050316547695	0	0.00236441809803	0.34711963525	0.00101475709744	0.00321480708634	0.00646235892709	0.00123257804283	0.0351926348118	0.00192561624931	0	0	0.0153192549722	0.000705130099035	0	0	0	0.000944767352294	0	0.00136348608166	0.00487520071287	0.0214596830757
Acidaminococcus sp. D21	0.051786466939	0.0866651850817	0.144747719706	0.0633345787469	0.0316690169012	0.0372388891322	0.0488171383786	3.79630171963	4.86648654353	0.0362836520574	0.046567098943	0.110399357653	0.0865606998611	4.19738819281	0.0296337332577	4.54900474011	0.0396105225059	0.242854132165	0.0604066966476	0.117948471739	0.17981843498	0.0743096106412	0.161020206272	0.0651704519931	0.0228716771449	0.099530165661	0.0553048274179	0.136505256331	3.2408817478	0.0331591237959	0.222475273393	0.0601724892736	0.039226736092	3.83341782172	0.0339629425423	0.0653946858669	0.0139383943803	0.0794151532646	0.142528093192	0.0827087277159	0.0291082449891	0.330164241523	0.0569403820101	0.00991525877107	0.0509573669812	0.284190389606	1.30798988919	5.09453032136	0.0143017506568	0.0812658458349	0.703874201307	0.0819198238925	0.0281106998422	0.153972483327	0.0189703183636	0.126517766301	0.0184814223913	0.0459085266321	0.0943227181261	0.130344448897	0.0679817892834	0.0491775607212	0.599419836628	0.754543507447	0.109633287576	0.0237601032879	0.0882714004227	0.0637347349678	0.0580218316476	0.058848146721	14.7633563624	0.0676509414944	0.253614314746	0.330300631758	0.0362928269524	2.66150022518	0.161182327807	0.099793675586	0.0134802525197	0.0626148486324	0.119872946689	0.0186047362424	0.0589267573988	0.0233642257534	0.0225695985489	0.0783746488682	0.166649452545	0.390018757039	1.53652394522
