SampleName	Total_Sequences_Passing_QC	Total_Human_Hits	Total_Seqs_Passing_Contaminant_Screen	Total_Metaphlan_Alignments	Total_Kraken_Hits	Total_HUMAnN_Hits	Unique_KEGG_Modules	Unique_KEGG_Pathways
MMRS11288076ST	60408259	59408259	1000000	23431	197011	306735	205	228
MMRS11664448ST	76228898	75228898	1000000	25831	187353	306947	209	233
MMRS11932626ST	33659586	32659586	1000000	20667	214656	285750	205	230
MMRS12272136ST	59629568	58629568	1000000	29042	278898	302422	202	219
MMRS14379078ST	60523007	59523007	1000000	34494	401398	325392	205	231
MMRS14602194ST	71842887	70842887	1000000	28846	270446	321214	206	229
MMRS15137911ST	58087053	57087053	1000000	19966	201186	313274	207	237
MMRS16644320ST	86212974	85212974	1000000	32692	309522	340305	209	236
MMRS17603756ST	64839621	63839621	1000000	33038	262074	339438	206	223
MMRS17963147ST	53434092	52434092	1000000	28255	251775	283392	209	227
MMRS18295921ST	67595293	66595293	1000000	20298	170540	308141	206	230
MMRS20257302ST	47376464	46376464	1000000	17425	156945	295705	209	231
MMRS21365932ST	62483048	61483048	1000000	17011	167845	303506	210	228
MMRS24340226ST	47919593	46919593	1000000	34216	223544	304067	203	214
MMRS25211151ST	51428826	50428826	1000000	27866	231996	284291	205	230
MMRS25641480ST	70244209	69244209	1000000	22477	216911	303553	207	230
MMRS29805707ST	65073697	64073697	1000000	28218	248635	303320	206	226
MMRS31306426ST	38858800	37858800	1000000	29833	204177	322605	206	222
MMRS32573774ST	64515652	63515652	1000000	21534	158862	286572	208	227
MMRS33294861ST	54931136	53931136	1000000	23028	194556	316856	202	226
MMRS34525504ST	40020914	39020914	1000000	18205	129025	288303	202	220
MMRS34569532ST	55376307	54376307	1000000	13524	93187	293767	208	232
MMRS35808664ST	71975230	70975230	1000000	22777	230845	341980	204	237
MMRS36405092ST	49069678	48069678	1000000	19958	201978	318077	207	231
MMRS38861560ST	66493322	65493322	1000000	22741	232617	320565	210	231
MMRS38954404ST	67663033	66663033	1000000	20062	172314	292323	213	230
MMRS39415781ST	67660273	66660273	1000000	30828	242005	319693	206	225
MMRS39582183ST	54928764	53928764	1000000	14634	122799	297721	208	236
MMRS40913371ST	66805732	65805732	1000000	30007	429112	323641	207	227
MMRS41266697ST	56171213	55171213	1000000	25544	352362	346075	207	229
MMRS41711735ST	34247849	33247849	1000000	21466	479279	424597	204	228
MMRS42570301ST	62803616	61803616	1000000	24906	209703	302664	207	228
MMRS42780924ST	125190882	124190882	1000000	37411	208715	346685	205	229
MMRS43563715ST	56526891	55526891	1000000	27289	237981	330674	209	235
MMRS43939546ST	75047463	74047463	1000000	27430	322947	338734	206	232
MMRS44197125ST	38112143	37112143	1000000	27860	127690	306327	208	234
MMRS44203591ST	39945004	38945004	1000000	30859	361649	292519	203	219
MMRS44587603ST	46153211	45153211	1000000	16488	172099	339467	207	230
MMRS47662059ST	38559583	37559583	1000000	21301	274208	320367	210	232
MMRS47685461ST	61216561	60216561	1000000	30166	354836	301069	207	230
MMRS48639115ST	55724718	54724718	1000000	32903	405535	349137	206	226
MMRS51307502ST	45238798	44238798	1000000	8524	102781	336023	210	237
MMRS51410669ST	62682382	61682382	1000000	22577	194887	314429	206	236
MMRS51728985ST	3645740	2645740	1000000	17360	620735	489863	210	247
MMRS51737257ST	80600318	79600318	1000000	20690	184922	291564	209	230
MMRS54246132ST	63193957	62193957	1000000	19716	150738	322114	208	226
MMRS54316675ST	57224948	56224948	1000000	17933	153356	318377	209	232
MMRS55294627ST	68047133	67047133	1000000	26867	268260	297224	205	228
MMRS56137463ST	67064339	66064339	1000000	30755	380803	317182	200	218
MMRS57276462ST	60717303	59717303	1000000	19437	169852	296808	209	228
MMRS57569834ST	59567420	58567420	1000000	35515	385387	335946	205	226
MMRS59699117ST	41933963	40933963	1000000	31191	380195	330726	211	230
MMRS61683006ST	95469138	94469138	1000000	26799	294595	317778	207	229
MMRS62192467ST	57943340	56943340	1000000	24807	309118	282631	202	214
MMRS62376181ST	66203270	65203270	1000000	28782	298085	331158	205	221
MMRS62666492ST	47103304	46103304	1000000	18131	180829	307053	208	237
MMRS64281211ST	74133628	73133628	1000000	27423	396876	306523	208	229
MMRS64281551ST	56848156	55848156	1000000	25719	199237	306723	208	223
MMRS65205033ST	43645144	42645144	1000000	15472	124160	315384	208	233
MMRS65742083ST	64302312	63302312	1000000	19758	270817	381055	211	238
MMRS65862658ST	62109696	61109696	1000000	25767	210889	303252	210	227
MMRS65945127ST	63809934	62809934	1000000	18919	74683	324989	210	233
MMRS66868025ST	52698602	51698602	1000000	17521	183532	368699	207	241
MMRS67096717ST	34918407	33918407	1000000	29460	285119	305843	205	226
MMRS67690541ST	70087306	69087306	1000000	24888	199846	309636	211	233
MMRS68630931ST	59279657	58279657	1000000	37252	332261	317994	206	229
MMRS68910755ST	63234163	62234163	1000000	30311	320903	312208	209	231
MMRS71238091ST	68525352	67525352	1000000	25543	210911	295702	206	232
MMRS71762412ST	61058308	60058308	1000000	20982	154562	291364	206	230
MMRS72802364ST	63083788	62083788	1000000	27625	247566	283819	206	229
MMRS72980899ST	65372146	64372146	1000000	33152	269668	319041	205	233
MMRS73787048ST	66183739	65183739	1000000	19628	256344	280571	209	231
MMRS77018926ST	66216571	65216571	1000000	11666	117973	346633	210	233
MMRS77321055ST	58767917	57767917	1000000	26629	321136	302788	208	228
MMRS77487595ST	56854131	55854131	1000000	18559	156611	302225	210	234
MMRS78791111ST	58354488	57354488	1000000	21298	192266	305865	207	224
MMRS79893829ST	38129117	37129117	1000000	27294	239222	326545	203	226
MMRS80093644ST	47543095	46543095	1000000	26807	206387	285637	206	230
MMRS81130264ST	63579442	62579442	1000000	31982	357483	296522	206	227
MMRS81135225ST	68080470	67080470	1000000	32151	199174	290298	203	221
MMRS81671217ST	69074005	68074005	1000000	19598	144758	296304	207	227
MMRS84085284ST	57270474	56270474	1000000	28894	152397	285636	207	223
MMRS84159866ST	62474915	61474915	1000000	18964	178010	302101	210	237
MMRS84954772ST	69650463	68650463	1000000	25599	197427	290579	210	229
MMRS85382779ST	56494634	55494634	1000000	23471	240344	337636	206	229
MMRS85438660ST	61402142	60402142	1000000	42044	246797	282167	206	225
MMRS85548821ST	58479657	57479657	1000000	25342	267519	299423	207	227
MMRS86168210ST	45109987	44109987	1000000	9247	92238	395467	210	244
MMRS95277876ST	35124571	34124571	1000000	11265	129675	297142	214	234
