class	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
Acidimicrobiia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteriia	1	0	0	0	0	1	1	4	0	1	1	0	0	2	0	2	5	6	0	0	0	0	0	0	0	0	1	1	0	0	3	2	2	4	0	0	2	1	1	0	0	2	1	0	0	2	1	0	3	1	0	1	0	3	6	2	0	3	4	2	0	1	0	7	0	0	0	1	2	6	2	0	2	0	1	1	1	0	6	0	0	4	0	0	2	0	0	1	3	0	3	1	3	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	2	0	1	0	0	0	1	1	2	7	0	0	1	1	1	0	1	0	2	0	2	1	1	0	1	10	1	4	1	0	0	1	4	2	0	2	0	1	1	1	0	1	0	0	0	2	0	1	0	1	1	1	1	5	1	0	0	1	0	0	1	2	3	1	3	1	2	2	5	0	0	4	0	1	2	2	1	1	0	1	2	0	0	0	0	1	1	0	0
Aconoidasida	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	33841	212	14214	413	3220	12004	1714	54085	554	57647	12410	17403	3162	29452	1244	615	19208	20396	8842	25390	224	212	8293	613	406	2094	18732	33855	3062	1922	3909	92	172453	3530	1905	10000	28466	490	1139	24840	558	1036	920	731	338800	198	3826	15557	5339	1486	1623	4390	1558	1334	8364	1083	39182	23609	604	1865	216	584	66456	14509	58846	3601	457	14040	1310	22287	1208	4237	313	30870	19235	1301	3114	916	406	1527	43362	458	429	391	895	3844	39010	2536	12857	6830	15982	55724	1742	2626	1902	619	2462	17541	2750	341	976	1618	24440	8396	7795	1522	47212	28600	4382	2259	5164	2664	3584	201	5128	267	20278	1441	39959	4940	146	2440	8778	117337	20003	3946	10936	485	11877	3174	631	10414	7266	225	746	3872	8341	595	170	47726	51044	26324	603	3526	90	560	24434	2768	33012	33003	28593	16937	58116	363	176	7274	10450	13197	729	5009	8663	4530	13199	3759	8159	486	5551	29124	393	17082	166	3945	8719	29647	13602	6665	16927	25636	206	6699	247	1756	706	6991	578	10386	25552	7119	3744	660	3110	4181	8746	260	5949	2475	8950	45142	139
Agaricomycetes	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alphaproteobacteria	41	3	25	18	69	51	58	71	29	46	41	91	9	72	7	32	76	108	43	30	31	12	52	14	51	9	70	31	56	31	32	1	46	22	34	26	19	10	18	29	51	133	67	7	29	58	16	12	15	25	21	37	65	26	19	35	7	66	67	24	3	21	47	113	14	15	3	9	10	108	12	22	50	4	56	32	15	18	14	29	27	20	6	44	37	49	47	58	26	37	18	29	24	42	19	24	14	13	9	15	13	69	0	29	42	42	8	31	45	16	70	4	25	15	19	53	18	17	41	110	1	11	46	31	8	33	24	8	7	74	32	166	13	6	31	347	89	56	20	35	11	52	114	53	4	35	15	21	7	46	15	23	100	3	22	13	29	43	34	25	65	29	50	50	54	55	9	74	60	37	2	65	56	58	60	45	72	155	93	80	17	76	78	19	15	59	76	46	46	16	81	67	48	75	22	106	47	51	19
Anaerolineae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0
Aquificae	0	0	1	0	1	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	3	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	4	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	4	1	1	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	1	0	0	0	3	0	0	1	0	0	0	1	0	0	0	3	0	0
Bacillariophyceae	0	0	9	0	0	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	15	0
Bacilli	1934	1596	6264	3863	14637	28878	874	2096	16893	5316	27118	25180	1321	12202	4553	57746	1193	10619	6791	45417	2431	3251	11026	8152	28366	8506	1767	2141	92173	10767	38208	2445	9222	11375	26559	12867	1319	11523	2243	67432	2815	603	1429	2813	4417	1217	4086	91337	9243	5528	12543	4071	18968	12439	14560	18391	14610	1985	3506	2907	11077	9333	8421	1073	6321	327964	2497	14951	28367	482	1972	36877	14475	1766	3772	1543	29429	4159	1872	5112	11594	11547	19925	26270	1207	13293	6017	22738	4352	1997	7056	3859	135405	17174	3375	7329	15585	23176	46728	35973	5553	14830	143895	16952	17803	3950	37997	5446	14704	1053	6100	45566	13499	4805	3694	8311	6466	3488	7268	1250	8823	11935	6569	5022	19379	2485	14718	4949	35012	4486	1640	2298	3189	1238	12356	368	2383	30393	7126	24798	112624	15769	1910	1616	1391	12378	70127	2924	11378	10463	23495	5594	1925	1649	20011	1371	4482	4528	1326	3701	1778	16081	11294	5097	1363	4002	1995	700	658	4535	1759	3723	1945	794	1624	890	2061	1767	3846	5210	1128	1703	2430	4161	2325	2085	1607	6470	5354	2372	1686	867	1226	5213	1688	998	730	2699	1030
