phylum	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
Acidobacteria	1	0	7	0	0	2	2	4	0	5	2	0	0	6	0	2	5	6	0	0	0	0	0	1	1	0	2	1	0	1	3	2	3	4	2	1	3	1	2	1	0	10	1	0	0	2	1	0	3	1	0	1	3	4	7	2	0	3	6	3	0	4	5	7	0	0	0	1	2	9	2	1	2	0	1	1	1	0	6	0	0	4	0	1	2	0	0	1	3	0	3	1	4	2	0	1	0	0	0	0	1	2	0	1	0	0	0	2	1	1	3	0	2	0	0	0	1	1	2	7	0	0	1	1	1	0	2	0	2	1	2	1	2	0	1	12	1	4	1	3	0	3	5	3	1	2	0	1	1	1	0	1	0	0	0	2	0	1	1	1	1	2	1	5	2	0	6	3	0	1	1	3	3	1	3	1	2	2	5	0	0	4	0	1	2	3	2	1	0	1	2	0	0	0	0	1	1	1	0
Actinobacteria	34235	253	19810	757	3777	12388	6342	57006	786	62247	16863	28662	3402	31016	1452	1409	22542	25783	9941	39220	651	1176	12619	1321	2394	2546	26805	37908	8498	4858	5026	99	181181	3757	4777	11090	29159	5983	3246	26053	8162	3652	1849	753	339528	1523	9200	31296	7618	4127	4196	7133	4073	4670	9311	2063	41410	32342	1971	4064	446	1815	68451	14791	63411	5398	4106	14897	5640	24543	1386	8263	2534	34229	20064	1432	7023	2875	1476	3320	44707	3139	136631	6612	1954	4590	45599	2886	13970	10824	18002	56987	13092	9129	3126	685	7647	23896	2925	5877	2399	3350	24561	11046	11701	2366	53373	39204	5068	2489	5595	3497	9281	1172	17411	956	25484	8573	44514	6623	221	3059	9385	130905	23824	4224	20541	535	16488	5614	741	11533	13991	309	2240	8502	8553	3276	5851	61743	59587	28595	8641	4950	132	1278	26067	3075	49008	33867	44031	23271	65717	494	1132	14441	13548	14680	3766	7323	11195	6080	15573	6959	12469	5332	7280	29665	2018	22749	525	10352	13482	41653	16938	14137	18038	26702	758	7597	5337	2567	1694	9071	618	11455	28770	11007	4556	2588	10051	5187	10857	1298	9098	2801	9281	51573	728
Apicomplexa	0	0	0	1	0	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	3	0	0	0	0	0	0	0	0	0	0
Aquificae	0	0	1	0	1	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	3	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	4	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	4	1	1	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	1	0	0	0	3	0	0	1	0	0	0	1	0	0	0	3	0	0
Ascomycota	5	440	0	9	27	8	30	10	16	9	6	24	8	1	12	14	217	242	0	1	3	38	1	2	34310	208	6	11	18	14	221	42	0	3	12	0	12	0	5	108	2	18143	5090	15	16	22	692	2	0	77	107	6	1066	1	68	26	25	22	332	3	83	9	664	1189	0	0	2	5	22	29	2727	0	31	592	17	55	4	15	13	12	46	80	5	15	0	7	4	31	1	40	72	12	9	12	8	125	0	2	55	49	6	7	0	1	124	13	1	0	40	31	36	4727	51	3	3	233	109	6	1	3825	3	21	65	1	85	1	1	30	7	1399	56	25342	4	14	50	4	1320	26	7	5	1	11	42	43	47	0	2	8	137	19	295	66	0	259	5	35	0	25	0	165	6	8	4	11	165	3	0	2	0	0	5	48	0	9	3	629	17	20	102	2	230	9	0	14	36	72	0	21	31	69	3	18	52	109	77	2	20	78	15
Bacillariophyta	0	0	9	0	0	11	0	0	0	4	7	0	10	0	6	0	0	0	0	0	5	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	6	15	0	0	0	0	1	2	14	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	13	0	0	0	19	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	17	0	0	0	0	0	0	0	24	0	0	0	0	0	6	0	0	29	0	0	0	0	0	0	0	0	15	0
Bacteroidetes	59030	82523	51975	301419	159182	68918	30289	182479	54945	96985	172648	150898	127529	77752	124583	112555	108291	52790	104486	39787	208002	139625	136782	283348	227708	133	57141	175608	113727	165316	80846	71384	69283	50797	56752	27365	87936	140937	214846	10995	397558	391538	50021	83669	2660	72322	320356	38747	61751	61505	139530	140198	47457	74023	91125	90270	16957	166496	121509	82617	235133	129669	198283	190266	128487	41450	563469	27686	362885	137385	86266	142527	220385	564739	126508	232196	100974	287256	41290	97436	155100	292018	1619	152311	102708	100322	36910	66885	281880	176526	90106	108250	42029	107249	179935	132561	230456	3259	176455	77756	80937	249004	256636	73101	105717	192258	38710	338293	80101	304642	67881	364193	70119	41627	75355	227687	114356	68174	122420	29382	148308	153272	147498	99465	84524	131093	30396	203103	77908	70085	323234	150184	94921	512182	124670	50943	318817	138919	397912	328021	69068	18487	197147	102844	208978	266552	191598	34141	154542	140248	119782	24295	59172	139860	152796	73784	231698	165480	120662	238457	101190	162569	89631	61810	192169	59594	368938	192508	46140	142132	335069	59104	165347	81063	105333	57363	247484	154622	156015	171062	283065	168779	237142	317546	315279	95931	64334	199602	54513	355885	201854	259622	151355	332046	153628	124818	385346	209890	467753
Basidiomycota	0	5	0	40	1	19	2	2	20	0	2	0	12	1	3	3	2	11	15	0	2	652	1	2	3	14	1	0	3	3	18	3	0	3	2	0	2	0	0	4	5	5	4	162	0	0	27	0	0	1	35	1	36	0	3	0	3	8	15	3	6	1	49	1	2	0	1	1	3	1	28	1	2	57	0	11	2	0	2	5	4	3	1	0	4	2	182	4	0	1	7	3	1	0	6	2	45	0	40	1	8	2	22	1	3	3	1	30	0	1	3	0	6	0	1	2	1	0	1	20	1	0	10	0	2	0	5	0	1	1	36	8	36	0	26	2	2	1	1	0	2	1	2	0	1	2	0	8	5	2	0	1	3	16	0	3	1	1	0	7	1	1	0	0	5	0	0	0	0	0	1	2	16	4	3	0	1	1	2	4	0	1	1	0	0	72	0	4	3	2	1	0	0	4	10	5	7	47	27
Blastocladiomycota	2	1	2	4	6	2	25	3	4	3	4	4	3	3	7	5	4	6	1	1	29	1	0	1	2	0	3	5	1	2	3	1	0	2	7	0	5	11	2	0	5	6	11	1	0	8	8	0	0	18	5	4	2	10	3	13	0	6	5	9	3	2	1	3	1	5	1	10	1	6	0	1	0	3	1	4	0	9	6	0	0	11	0	3	12	3	1	6	3	2	4	3	10	1	3	0	3	0	6	10	4	6	0	5	0	1	3	2	12	1	7	0	13	6	0	0	13	16	5	2	0	5	1	3	10	1	4	2	1	9	4	10	16	0	6	12	21	9	2	2	0	6	8	7	3	8	2	2	0	4	8	0	15	4	5	6	0	2	4	4	6	7	16	6	2	3	2	3	13	2	10	10	4	10	0	38	11	0	5	14	3	4	3	17	7	0	5	8	10	3	5	0	4	4	12	5	3	18	0
Candidatus Saccharibacteria	3	4	0	4	4	5	9	4	18	4	3	5	5	5	1	1	3	4	0	0	0	2	10	17	3	10	0	0	1	5	40	5	1	4	15	4	6	3	1	0	1	1	3	6	6	0	0	9	3	4	3	150	0	1	4	23	2	0	3	15	6	2	10	0	0	2	1	0	5	0	4	14	0	1	1	1	2	17	3	3	0	0	0	6	6	0	16	1	0	0	2	2	8	29	2	3	12	31	0	15	2	5	2	10	0	0	9	5	4	2	1	1	6	3	0	5	8	6	2	9	7	1	4	3	9	3	14	4	1	21	1	5	2	0	3	1	0	3	0	0	5	11	0	0	3	2	0	2	2	13	0	6	2	8	24	9	125	0	4	2	0	2	9	9	2	0	2	0	5	4	1	20	0	2	17	1	63	5	0	0	10	0	0	5	4	2	72	3	1	0	6	4	0	1	5	0	1	0	3
