kegg_modules	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
M00001: Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.0437276	0.0445153	0.0437306	0.0396995	0.0361474	0.041791	0.0474128	0.0432543	0.0304693	0.0411651	0.0406181	0.0419258	0.0447476	0.0365869	0.0434678	0.0423747	0.0424628	0.0490894	0.0423885	0.0369632	0.0451374	0.0394256	0.0397727	0.0408928	0.0400793	0.0323802	0.0458526	0.0414832	0.0383709	0.0415901	0.0400495	0.0482642	0.0395591	0.046705	0.0416226	0.0476368	0.0393311	0.0415994	0.0409105	0.0416684	0.0430671	0.039922	0.043728	0.044658	0.043637	0.0444851	0.0383063	0.0400565	0.0449163	0.045855	0.0395781	0.0387179	0.027115	0.0442169	0.0467792	0.0416201	0.0352332	0.0358531	0.0434746	0.0415274	0.042165	0.0434106	0.0380551	0.0439139	0.0411299	0.0433715	0.0385058	0.0435598	0.0397635	0.031456	0.0487435	0.0391147	0.0393455	0.0407127	0.0433076	0.0418018	0.0427753	0.040935	0.0459114	0.0424413	0.0414806	0.0417493	0.0401877	0.040428	0.0438671	0.043943	0.0438788	0.0374817	0.0400043	0.0428792	0.0481551	0.0414069	0.0432675	0.0402308	0.0450025	0.0458724	0.0375346	0.0420511	0.0391573	0.0324086	0.0412318	0.0355501	0.0363039	0.0353478	0.044127	0.0405486	0.0429744	0.0397298	0.0461312	0.0418664	0.0449654	0.0331881	0.0446826	0.0427334	0.0438532	0.040454	0.045234	0.0429398	0.0403418	0.0414728	0.0434941	0.0436039	0.0423256	0.0315769	0.0381803	0.043409	0.0426247	0.0452918	0.0431028	0.0401497	0.0392927	0.0445115	0.0441771	0.0396156	0.0441291	0.042669	0.0430853	0.0420658	0.0444118	0.033478	0.0433304	0.0443195	0.0435016	0.0431757	0.0438157	0.0411988	0.0382351	0.0506923	0.0376716	0.0408574	0.0397923	0.0470576	0.0445143	0.043638	0.0391603	0.0457175	0.0419895	0.0442678	0.0437915	0.0434579	0.0408878	0.0410748	0.0441036	0.0472235	0.0430035	0.0436337	0.0380084	0.0417629	0.0449072	0.0409611	0.0413508	0.0475267	0.0414311	0.0428824	0.0446688	0.0428812	0.0411683	0.0439953	0.0417175	0.0405619	0.0409211	0.0408721	0.0437994	0.03603	0.04155	0.0477423	0.0435859	0.0390021	0.0477183	0.0419001	0.0405062	0.0410705	0.0412235	0.0424207	0.0446926	0.044841	0.0438938	0.0422881	0.0405213
M00002: Glycolysis, core module involving three-carbon compounds	0.0407701	0.048846	0.0416044	0.0378949	0.033351	0.0416565	0.0467681	0.0425407	0.0341647	0.0392263	0.0412135	0.0402828	0.043665	0.0368487	0.04403	0.0400663	0.0405516	0.047202	0.0395362	0.0376173	0.0459538	0.0387569	0.04047	0.0377022	0.0391691	0.0282805	0.0449089	0.041019	0.0387739	0.0401554	0.0391208	0.0495173	0.0415164	0.0464272	0.0425541	0.0449036	0.0372545	0.0385255	0.0385096	0.040583	0.041893	0.0389726	0.044099	0.0491121	0.0438888	0.0430413	0.0360339	0.038811	0.0444329	0.0464777	0.0373716	0.0397268	0.0256519	0.0420027	0.0450724	0.0409192	0.0319583	0.0365855	0.0409131	0.0405477	0.0415432	0.0417328	0.0358465	0.0428637	0.0398532	0.0453062	0.0352899	0.0416176	0.037507	0.0297136	0.0526718	0.036639	0.0378066	0.0401669	0.0433008	0.041491	0.0393037	0.0399897	0.0464169	0.039806	0.0379729	0.0400391	0.0369964	0.0372396	0.0422237	0.0424121	0.0453139	0.0374225	0.0371208	0.0429627	0.0503438	0.0398912	0.0415218	0.0389399	0.0425496	0.0484918	0.0395468	0.0406266	0.0378427	0.0317043	0.040353	0.0358367	0.0331356	0.0344257	0.0429182	0.0394561	0.0420577	0.038914	0.0452529	0.0402371	0.0443118	0.0311883	0.0446949	0.0425692	0.0417386	0.0372052	0.0451302	0.0422768	0.0382895	0.0409169	0.0496685	0.0416297	0.0387699	0.0318345	0.035718	0.0434055	0.0398946	0.0484026	0.0413344	0.040583	0.0379835	0.0436395	0.0439435	0.0360034	0.0435957	0.0413806	0.0413408	0.0403199	0.0425949	0.0323033	0.0435672	0.0450326	0.0415996	0.0432314	0.0428055	0.0397781	0.0348139	0.0684005	0.0371177	0.0386746	0.0372725	0.0468066	0.0444738	0.0438567	0.0373687	0.0460438	0.0392438	0.0427055	0.0407338	0.0414592	0.0392662	0.0389297	0.0413347	0.0474948	0.043209	0.0422061	0.0363096	0.0395667	0.0428256	0.0392394	0.0387834	0.0480597	0.0388124	0.0439494	0.0434816	0.0430468	0.0398438	0.0435798	0.0405792	0.0400916	0.0381093	0.0399612	0.0428252	0.034605	0.0389595	0.049296	0.0420742	0.0369285	0.048178	0.0394107	0.0390937	0.0411965	0.039792	0.0387666	0.0433914	0.0434827	0.0423912	0.0406851	0.0390443
M00003: Gluconeogenesis, oxaloacetate => fructose-6P	0.0382979	0.0501255	0.0394894	0.0382944	0.0337584	0.039672	0.0450324	0.0401062	0.0328632	0.039293	0.0357612	0.0387971	0.0409957	0.0322308	0.0417499	0.0391898	0.0376909	0.0369556	0.0390691	0.0317961	0.0444886	0.0378468	0.0368041	0.0398883	0.0371895	0.0280518	0.0410874	0.0399634	0.0352677	0.0381815	0.0362233	0.0471489	0.0344156	0.041519	0.0380555	0.0426516	0.0359667	0.0390776	0.0386051	0.039038	0.0375276	0.0285481	0.0411023	0.0459074	0.0356731	0.04224	0.0370678	0.0378926	0.0414712	0.046266	0.0357761	0.0373055	0.0236731	0.0420257	0.0423838	0.0399389	0.030679	0.0334249	0.0395312	0.0386623	0.0408563	0.0406037	0.0348212	0.0409274	0.0375757	0.0316719	0.0364332	0.0406732	0.0364276	0.0250291	0.0524785	0.0365374	0.036312	0.0394812	0.0395132	0.037643	0.040304	0.0396439	0.0445366	0.0402807	0.0373786	0.040428	0.0393606	0.0388422	0.0404518	0.037764	0.0426283	0.0366717	0.0366252	0.0403485	0.043245	0.0383074	0.0396772	0.0390281	0.0414776	0.0429196	0.033272	0.0398482	0.0359825	0.0317017	0.0393475	0.03496	0.0316397	0.0321994	0.0410312	0.0362573	0.0406134	0.0365736	0.041299	0.0401255	0.0448999	0.0307767	0.0404086	0.0426046	0.042828	0.0378825	0.0419182	0.0415722	0.0393093	0.0368573	0.0443545	0.0423128	0.0385273	0.0264407	0.0356674	0.0393861	0.040948	0.0399183	0.043454	0.0371675	0.0375757	0.0408818	0.0447606	0.0412239	0.041233	0.0311755	0.0390391	0.0410684	0.0430292	0.0314137	0.0379376	0.0414809	0.0393686	0.0416922	0.0424286	0.0393724	0.036061	0.046831	0.0370321	0.0375024	0.0381316	0.0394202	0.0433453	0.0437785	0.0390168	0.0439497	0.0390819	0.0404874	0.0414996	0.039418	0.0387415	0.0388594	0.0405829	0.0424273	0.0392721	0.0406205	0.0355285	0.0381502	0.0425757	0.037881	0.0398691	0.0434867	0.0396097	0.0388987	0.0409131	0.0436787	0.0385216	0.0414313	0.0397944	0.0368475	0.0369047	0.0381979	0.0386415	0.0342936	0.0379425	0.0377869	0.042714	0.0355246	0.038432	0.0411039	0.0381858	0.0400939	0.0392514	0.0401589	0.0445778	0.0416223	0.0417416	0.0384189	0.0380518
M00004: Pentose phosphate pathway (Pentose phosphate cycle)	0.0124284	0.0101581	0.00733248	0.0196724	0.0145496	0.0111933	0.00292385	0.0161593	0.00512097	0.0142322	0.0154197	0.0151567	0.0156259	0.0140385	0.00833106	0.00782736	0.0154047	0.00935873	0.0137816	0.0128636	0.0192459	0.0161449	0.00921122	0.0187065	0.0218751	0.017572	0.0104153	0.0168185	0.00927439	0.0143458	0.0103677	0.00560713	0.0212768	0.00700742	0.00946154	0.0070171	0.0144785	0.0135386	0.0144818	0.011539	0.0267582	0.0224806	0.00831114	0.00931183	0.0276438	0.0132968	0.0220483	0.00892743	0.0080496	0.00573779	0.0128512	0.0119659	0.0151551	0.00800404	0.0122347	0.00918746	0.0132233	0.0129762	0.0133473	0.00980066	0.0186627	0.0116579	0.018584	0.0168707	0.0158802	0.022137	0.0262506	0.00540947	0.0172882	0.0172174	0.0100966	0.0119568	0.0186443	0.0286338	0.0161164	0.0207486	0.0124627	0.0193755	0.00498553	0.0124759	0.015107	0.0180628	0.0024674	0.0150167	0.00925793	0.0136011	0.0102775	0.0104269	0.0229136	0.0128237	0.0117244	0.0129667	0.00823569	0.0133712	0.0141608	0.0136676	0.0182012	0.00719343	0.0159425	0.0124152	0.0123792	0.0167736	0.0152658	0.0135519	0.0118784	0.0168186	0.0102028	0.0185296	0.0117204	0.0248991	0.00748281	0.0195755	0.0103213	0.00676071	0.0139481	0.0144346	0.0137011	0.00598715	0.014802	0.00875852	0.0135059	0.0147193	0.0125886	0.0147948	0.0130814	0.0116818	0.0072273	0.0155094	0.0139484	0.00903999	0.0254505	0.0141744	0.0104802	0.0268324	0.0143179	0.00762558	0.0251669	0.0156075	0.0256956	0.0191096	0.0140082	0.00848335	0.016702	0.0128328	0.016225	0.0214388	0.0158402	0.00385607	0.0144598	0.0154769	0.0109888	0.00561786	0.00963177	0.010837	0.0153596	0.00978648	0.0206949	0.0166163	0.0120833	0.0173382	0.0121806	0.0148741	0.0115429	0.00609946	0.016484	0.0102198	0.0202527	0.0162559	0.00497611	0.0178037	0.0222662	0.0104448	0.0172252	0.0132956	0.0139502	0.00545251	0.0194042	0.0111736	0.0163966	0.0153816	0.0197761	0.0127668	0.0190987	0.0178866	0.0241605	0.0113673	0.0110582	0.0178041	0.0107793	0.0207072	0.0207925	0.0190356	0.0131261	0.0298174	0.0163878	0.0125006	0.0224495	0.0160481	0.0221695
M00006: Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	0.00736483	0.00589631	0.00409592	0.0131873	0.00948101	0.00675719	0.00150208	0.0105414	0.00282708	0.00908986	0.0100616	0.00993305	0.00975381	0.00895825	0.00481884	0.00432696	0.00971704	0.00552963	0.0084024	0.00806669	0.0138275	0.0105711	0.00540676	0.0122161	0.0164459	0.0119088	0.00615165	0.0113137	0.00544907	0.00892755	0.00631878	0.00302423	0.0159356	0.00389632	0.00580665	0.00382904	0.00892597	0.00828317	0.00927989	0.00688637	0.0214084	0.019381	0.00483383	0.00530936	0.0233077	0.00848837	0.0164787	0.00506173	0.00453185	0.00314947	0.00800427	0.00745302	0.0114329	0.00452947	0.00739293	0.0055389	0.00796516	0.00830957	0.00823327	0.00585491	0.0127689	0.00691727	0.0128464	0.0114996	0.00994711	0.0231528	0.0201673	0.00287265	0.0117703	0.0123505	0.0059142	0.00749963	0.0126035	0.0241048	0.0103242	0.0146975	0.00744465	0.0134386	0.00267949	0.00743783	0.00948004	0.0123029	0.00123221	0.00928023	0.0054792	0.00863651	0.00595967	0.00631094	0.0169481	0.00797521	0.0068881	0.00789848	0.00487069	0.00827151	0.00896278	0.00839975	0.0122069	0.00392652	0.0104221	0.00804848	0.00741653	0.011448	0.0104164	0.00883514	0.00720971	0.0109105	0.00600672	0.0134184	0.00719035	0.0186523	0.00423528	0.0153159	0.0059865	0.00376587	0.00879581	0.00903054	0.00822114	0.00332019	0.00937548	0.00512677	0.00862123	0.00919219	0.0075372	0.00989911	0.00797109	0.00718458	0.00394625	0.00983005	0.00853175	0.00521534	0.0201669	0.00908174	0.00622111	0.0220029	0.00913344	0.00431432	0.0195718	0.0102581	0.0204515	0.0138977	0.00902546	0.00492004	0.0109618	0.00781974	0.0112483	0.0155717	0.010355	0.0020346	0.00898095	0.0100186	0.0063884	0.00303529	0.00589589	0.00623273	0.0101562	0.00573795	0.0143669	0.0104994	0.00724901	0.0113489	0.00748257	0.0094021	0.00700526	0.0033437	0.0103894	0.00588729	0.0139143	0.0108221	0.00270213	0.0113895	0.0158978	0.00620116	0.0110975	0.00833614	0.00851096	0.00300833	0.0136056	0.00667708	0.0108836	0.0102135	0.0131493	0.00787247	0.0128686	0.0128437	0.0181859	0.00675699	0.00652767	0.0120847	0.00657483	0.014157	0.0142303	0.0130019	0.00821112	0.0236067	0.0111268	0.00750713	0.0158405	0.0106561	0.0162699
M00007: Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	0.0397755	0.0365007	0.0348237	0.0387074	0.0312633	0.0325863	0.0330348	0.034598	0.0247901	0.0327722	0.0329856	0.0319683	0.0392644	0.0324288	0.0306611	0.040944	0.0371489	0.0304311	0.038303	0.0317346	0.0316465	0.0341519	0.0310815	0.039911	0.0326557	0.0335052	0.033935	0.032756	0.0311207	0.0364954	0.028848	0.0347441	0.0320039	0.0342615	0.0255313	0.0412264	0.0383095	0.0370383	0.0329547	0.0355727	0.0356725	0.0267603	0.0296098	0.0377873	0.033962	0.0306713	0.0333049	0.0377797	0.0359216	0.0314986	0.03258	0.0303327	0.0224708	0.0343238	0.0354547	0.0269018	0.0389085	0.0295983	0.0352308	0.0300552	0.0346615	0.0370475	0.0335838	0.0316566	0.0393521	0.0212067	0.037589	0.0429056	0.0325452	0.028415	0.0344396	0.0294728	0.0358053	0.0352586	0.036714	0.0352692	0.0382338	0.0347092	0.0325988	0.0386677	0.0371687	0.0339635	0.0470162	0.0393245	0.0298306	0.0319907	0.0373042	0.0299787	0.0353599	0.0327089	0.039357	0.0361871	0.0266397	0.0348696	0.0337126	0.0366565	0.0357624	0.041999	0.0338976	0.0271402	0.0374143	0.0313636	0.0285638	0.0290729	0.0337027	0.0366818	0.0338477	0.0299303	0.0316785	0.0374374	0.0320537	0.027117	0.0374092	0.0327813	0.0336723	0.0359446	0.0410917	0.0299985	0.0351418	0.0299654	0.0311587	0.0369161	0.0381702	0.0292707	0.0364488	0.0312299	0.0423462	0.03673	0.0382023	0.0338973	0.0344855	0.0322703	0.0332298	0.0343783	0.0331153	0.0327908	0.0352415	0.0326157	0.0345564	0.0305766	0.0312738	0.0307602	0.0350627	0.0357543	0.0290995	0.0344	0.0336825	0.0235843	0.0370812	0.0340011	0.0392612	0.0345963	0.0262902	0.0414442	0.0314961	0.0332351	0.0369859	0.0398091	0.0362735	0.0367142	0.0327314	0.0355843	0.0327692	0.0345417	0.0398766	0.0386978	0.0371971	0.0326489	0.0291798	0.0407563	0.0371465	0.033087	0.0384632	0.0328233	0.0386524	0.0288145	0.0338163	0.0342137	0.0332278	0.0311371	0.0398687	0.0337485	0.0370226	0.0294496	0.0359816	0.0357809	0.0361431	0.0338013	0.0298987	0.0385381	0.0385864	0.0355181	0.0326989	0.0404627	0.0310853	0.0373337	0.0385215	0.0324868	0.0347815
M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.000149997	0.000125804	0.000264739	0.00103361	0.00417471	0.0014536	0.0008172	0.00106417	0.00138894	0.000153459	0.000525195	0.00062939	7.80618e-06	0.00674096	3.11494e-05	0.000388996	0.00241549	0.000330517	0.00181273	0.00407691	0.000259476	0.000254262	0.000441584	0.000208607	0.000474031	0.00300476	0.000194834	0.000319457	0.00247467	0.000119899	0.00117165	8.81965e-05	9.88669e-05	0.000172064	0.0010086	0.000398739	0.000188409	0.000282569	0.00168269	0.000420254	0.000394575	0.000515708	0.000941554	5.53068e-05	7.46243e-05	0.000706872	0.000703975	0.000396079	0.00265194	0.000550163	0.0022321	0.000803441	0.0111564	0.000444218	0.000249198	0.00169313	0.00536898	0.00121566	0.00121824	4.99558e-05	5.7867e-05	0.000102259	0.0053051	0.000135952	0.00109996	0.000215787	0.000734131	0.000313101	0.00170046	0.00980056	0.000123765	0.000101507	0.00317334	6.36304e-05	0.00126984	0.000555643	0.000207361	0.000945482	0.000286068	0.000233806	0.000311034	0.000591152	0.000466836	0.000201276	0.00148338	0.000612427	4.04163e-05	0.0032553	0.00172197	6.75167e-05	3.89437e-05	0.000947025	0.000415247	0.000971413	0.000135611	0.00113571	0.00105378	0.000231364	0.000796011	0.00606509	0.000375659	0.0029188	0.00180424	0.00568117	0.000607931	0.00101909	0.000437504	0.000462688	0.00020801	0.000195536	0.000439023	0.00589692	0.000412686	0.000214221	0.000277254	0.000958658	0.000216942	0.000738573	0.000787612	0.00350603	0.000882238	0.000159539	0.000356205	0.0052657	0.00153704	0.000838035	0.00027427	6.6034e-06	0.000154245	0.00286591	0.000255396	0.000299054	0.000407792	0.00382662	0.000216059	0.00350365	0.000398061	0.000571032	0.000229648	0.00680282	0.00144536	0.000301288	0.000624141	0.000218751	0.00045116	3.87642e-05	0.000318835	2.21883e-05	0.00156548	0.00106112	0.000495361	0.00152495	0.000816472	9.06642e-05	0.00298003	0.000169267	0.000261498	0.000179123	0.000396802	0.00213438	0.000668948	0.000221032	0.000145137	0.000267102	0.000501385	0.000354697	0.000359578	0.000776178	0.000825002	0.000378073	0.000183156	0.000303788	0.000119997	0.00072475	0.000230089	0.000246308	0.0027387	0.000209302	0.00108191	0.00133834	0.000495599	0.00189648	0.000117292	0.00446809	0.000583395	0.000653771	0.000133988	0.0023138	0.000441923	0.000834735	0.00023201	0.000292727	0.000111892	0.000137748	0.000283215	0.00122681	0.000360328	0.000270451	0.000352658
M00009: Citrate cycle (TCA cycle, Krebs cycle)	0.00420649	0	0	0	0.0102282	0	0	0	0.0137593	0	0.00477774	0	0	0.0115001	0	0	0	0.00461031	0.00469242	0.0062982	0	0	0.00028299	0	0.00262963	0.00342385	0	0	0.00602923	0	0	0	0	0	0.00507987	0	0	0	0.00594867	0	0.00609092	0.00397464	0	0	0	0.00354302	0	0	0	0	0.00462965	0.00331673	0.0108879	0	0	0	0.00875958	0.00204236	0.00391693	0.00508284	0	0	0.0092042	0	0.00144568	0.000623367	0.000885073	0	0	0.0139537	0	0.00237503	0.00510468	0.00105568	0	0.00887748	0.00359061	0	0	0.00073643	0	0.00154022	0	0	0.00369032	0	0	0.00810576	0.00521086	1.98786e-08	0	0	0	0.00534559	0	0	0	0	0.00286527	0.009012	0.00373987	0.00532031	0.00578831	0.0110432	0	0	0	0.00273164	0	0	0	0.0126121	0	0	0	0.0038235	0	0	0	0.00551162	0.00440498	0	0	0.00836978	0.00435786	0	0	0	0	0.00664672	0	0.00236787	0.00258839	0.00414558	0	0.00866266	0	0	0	0.0113556	0.00436164	0	0.00439373	0	0.00349567	0.00333826	0	0	0.00464359	0.00252453	0.00319654	0	0.00100591	0	0.00679763	0	0	0	0	0.00529432	0.00726898	0	0	0.00235809	0	0.00507702	0	0	0	0	0	0	0	0.000828908	0.00291581	0	0.00477388	0	0.00250537	0.00483783	0.000101526	0.00670889	0	0.00350354	0.00500101	0	0.0011302	0	0	0	0	0	0	0	0	0.0039187	0	0	0
M00011: Citrate cycle, second carbon oxidation	0.00332601	0	0	0	0.0094248	0	0	0	0.0134007	0	0.00456996	0	0	0.00902661	0	0	0	0.00512635	0.00396908	0.00620662	0	0	0.00013567	0	0.00189957	0.00303369	0	0	0.0079057	0	0	0	0	0	0.00485106	0	0	0	0.00581446	0	0.00445896	0.00343002	0	0	0	0.00437892	0	0	0	0	0.00443951	0.0026807	0.00857341	0	0	0	0.00613124	0.0013056	0.00346738	0.00755717	0	0	0.00996548	0	0.0011268	0.000412285	0.00221413	0	0	0.0119548	0	0.00171695	0.00391897	0.00366473	0	0.00822587	0.00319204	0	0	0.000451036	0	0.00370866	0	0	0.00306019	0	0	0.0082891	0.00435431	0.00444274	0	0	0	0.00540005	0	0	0	0	0.0022042	0.00867508	0.00343548	0.00471582	0.0047236	0.00920567	0	0	0	0.00507347	0	0	0	0.010954	0	0	0	0.00357619	0	0	0	0.0049557	0.00673019	0	0	0.00949898	0.00389386	0	0	0	0	0.00669572	0	0.00170819	0.00225353	0.00355664	0	0.00715667	0	0	0	0.0104043	0.00406511	0	0.00383597	0	0.00320337	0.00305125	0	0	0.00464809	0.00184088	0.00303966	0	0.0052431	0	0.00581103	0	0	0	0	0.00496323	0.00607444	0	0	0.00243249	0	0.00378953	0	0	0	0	0	0	0	0.00121448	0.00372256	0	0.00525891	0	0.00464637	0.00648922	5.50226e-05	0.00529909	0	0.00265054	0.0034801	0	0.00111942	0	0	0	0	0	0	0	0	0.00276591	0	0	0
M00012: Glyoxylate cycle	0	0	0	0.00036934	0.00400491	0.000683109	0	0.00104274	0.0117969	0	1.35696e-05	0	0	0.00802229	0	0	0.00271444	3.20055e-06	0.000246517	0.00340259	0	0	0	0	0.00264402	0.00232244	1.61634e-08	0	0.00143415	0	0.000899946	0	0	0	0.00179246	0	0	0	0.000393572	0.00134923	8.61129e-06	0.00203151	0.00126502	2.37132e-06	0	8.75026e-09	6.15258e-09	1.77262e-08	0.000152073	0.000358628	0.00121409	0.000304857	0.0138801	0	0	0	0.0057642	0.000958381	0.000976551	0.000755282	0	0	0.00334661	0.000143461	7.93644e-05	0.000166888	0	2.9977e-08	0.000905793	0.0109536	0	0.00110191	0.00234739	0.000193963	0.000233816	0.000671184	0.00113111	0.000254844	0	0	0	0	0	1.69873e-06	0.00128318	0.000136132	0	0.00337791	0.000394234	0.000179011	0	0.000188553	5.27102e-09	0.00312887	0	4.18932e-06	0.000476387	0	0.0011951	0.00905511	0.000201484	0.00438295	0.000456672	0.00767245	3.27915e-08	0.000336657	0	1.56067e-06	0	0	0	0.00378864	0	8.84273e-08	1.86195e-08	0.00083441	0.000145438	0.000172973	0.000879686	0.00357626	2.7828e-09	0	0	0.00345524	0.00121087	0.000562536	0	0	0	0.00344784	2.20536e-08	0.00249334	0.000112375	3.14796e-07	0	0.00533006	0.000125259	0	1.00152e-08	0.00296987	0.000660202	0	1.22114e-08	0	0.00017227	4.88341e-08	6.74037e-06	0.000236544	0.000312137	0.000797907	0.000515669	0.00028207	0.000156845	0	0.0010276	0	0	0	0	0.0013302	0	0	0	0.00042335	0	4.70362e-06	0	0	0	0	2.49888e-08	1.156e-05	0	0	0	0	0.0010338	0	0	7.53672e-06	1.53867e-06	0.00303457	0	0.00375083	0	0.000545363	0.000431596	0.00138872	1.87958e-08	1.48224e-08	0	0	0	0	0	0	1.69312e-08	0	0
