class	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
d__Archaea|p__Crenarchaeota|c__Thermoprotei	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	1	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	3	2	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	0	0	0	1	0
d__Archaea|p__Euryarchaeota|c__Archaeoglobi	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
d__Archaea|p__Euryarchaeota|c__Halobacteria	4	0	1	2	1	0	1	1	0	0	0	0	1	0	0	0	10	6	5	1	0	4	6	0	0	2	3	2	3	2	0	0	1	0	1	3	0	2	0	1	1	5	3	0	0	3	0	3	1	2	1	2	0	0	1	0	0	5	1	0	0	2	3	2	0	1	1	0	0	3	0	1	3	0	1	1	1	0	0	3	0	0	1	3	1	4	0	0	0	3	1	1	0	4	0	0	0	0	0	0	1	1	0	0	2	0	0	0	2	0	0	1	0	0	0	0	1	1	1	4	0	0	1	5	2	0	0	0	2	1	1	3	2	0	2	7	5	1	1	0	2	0	1	2	0	0	0	0	0	1	0	1	1	0	3	0	0	1	8	1	6	1	4	1	2	8	2	3	2	0	1	2	3	7	1	1	2	0	1	2	1	4	0	0	0	0	1	2	2	3	2	1	1	1	2	1	1	3	2
d__Archaea|p__Euryarchaeota|c__Methanobacteria	0	251	0	186	0	10325	2	812	58065	24	4632	202	5762	1353	2	43	3670	318	4744	7107	0	169	25919	12	1	1	2	2	2	1	22	417	22722	4782	16849	2	775	5	136	2	3	2	695	11332	29	4659	0	85	7281	5478	1571	30643	3	3	3	4149	1	57468	1	13849	8	5584	2	431	0	18885	9	4	161	268	914	1461	14650	0	10220	0	33	113	3865	0	3	1	12	1906	0	2229	1996	4978	188	5308	16998	49	212	10909	0	2691	921	4174	0	99	5497	5064	44	18	1	3692	3424	0	0	1	2679	1	48	3273	2590	2	1	14	2	3171	4633	115	2	18899	5	8956	2	952	243	33	0	46	277	4	15155	73	6	128	0	0	1362	2610	967	48	15	7	5	24104	11	0	42	16466	6	4	127	39	351	15	0	0	988	429	18	911	0	2278	0	0	3	3	0	1740	2957	3	4	3	153	0	240	4	51	553	1	46	1	62	3328	0	1701	12	1	1	1	5	0	11	0	0	0
d__Archaea|p__Euryarchaeota|c__Methanococci	2	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	10	1	0	1	3	2	1	0	0	0	1	1	0	1	1	0	3	1	0	0	0	0	4	1	2	2	0	0	0	1	1	1	0	1	1	0	0	0	2	6	0	0	0	1	1	0	0	1	0	2	0	1	0	2	1	0	2	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	2	1	1	3	1	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	2	0	0	1	0	0	3	0	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1
d__Archaea|p__Euryarchaeota|c__Methanomicrobia	6	0	2	2	4	2	5	5	1	7	3	1	1	1	0	3	5	4	6	2	5	14	3	1	3	4	6	5	2	3	4	2	1	1	6	3	3	0	1	0	11	5	3	3	1	9	3	3	4	1	2	5	1	0	2	3	2	2	7	3	6	1	10	1	0	0	1	0	0	6	1	3	5	2	1	8	0	6	3	2	3	2	5	4	0	0	3	3	9	4	0	4	5	0	0	1	0	0	0	2	1	1	4	1	2	4	0	0	6	4	0	1	3	1	5	1	7	1	2	2	2	4	0	3	3	1	2	1	2	1	1	5	2	0	2	6	8	1	3	3	2	3	3	5	2	4	0	0	2	3	2	1	6	0	3	1	8	8	5	4	0	0	6	3	6	4	3	3	3	7	1	11	3	1	1	1	1	1	2	6	2	3	3	0	8	1	4	5	1	3	3	1	1	2	13	4	5	2	1
d__Archaea|p__Euryarchaeota|c__Methanopyri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea|p__Euryarchaeota|c__Thermococci	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	2	0	1	1	0	1	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	0	1	1	1	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	1	1	0	0	3	1	0	0	0
d__Archaea|p__Euryarchaeota|c__Thermoplasmata	1	0	0	0	0	0	0	3	0	0	2	0	2	0	0	0	2	2	1	0	0	0	0	0	1	0	0	1	2	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	0	2	0	14	0	3	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	5	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	3	0	0	4	14	0	0	0	0	1	0	1	3	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	7	0	0	0	2	0	0	0	6	1	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1
d__Bacteria|p__Acidobacteria|c__Acidobacteriia	4	0	2	0	4	5	8	6	2	3	5	3	3	4	0	10	8	14	4	3	1	4	6	3	7	1	5	5	3	1	0	0	1	5	5	2	1	1	3	1	3	11	4	0	7	5	5	0	2	2	5	5	2	0	1	3	4	0	1	4	0	2	5	12	3	1	0	2	1	5	0	3	4	1	7	8	1	1	1	3	3	0	11	5	3	1	1	4	1	2	2	0	5	3	1	3	4	2	0	2	4	2	6	2	1	2	3	1	4	2	1	0	1	0	4	1	0	4	4	12	0	2	3	7	2	0	2	0	1	6	3	10	1	0	4	22	2	0	4	3	2	7	8	1	1	4	0	0	3	2	2	6	3	0	1	4	3	6	4	8	2	2	3	5	4	6	2	7	5	3	0	3	5	2	3	5	3	4	3	1	1	2	4	5	2	5	2	3	2	5	1	1	2	2	1	4	4	6	1
