phylum	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
d__Archaea|p__Crenarchaeota	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	1	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	3	2	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	0	0	0	1	0
d__Archaea|p__Euryarchaeota	16	251	3	194	8	10328	8	1170	58069	31	4638	203	5766	1355	2	47	3689	331	4763	7110	5	199	25936	13	6	15	13	12	9	7	26	420	22726	4790	16859	9	778	10	138	6	15	23	4459	11339	31	4676	5	91	7289	5481	1578	30655	6	3	7	4160	4	57520	12	13866	20	5588	18	436	1	18888	11	5	163	7188	917	1467	14660	3	10225	12	34	121	3868	5	7	3	18	1913	1	2237	2000	4981	198	5331	17003	54	217	10915	2	2695	923	4176	0	102	5499	5069	49	22	6	3705	3427	2	9	8	2682	3	53	3717	2597	5	17	17	5	3180	4635	122	6	18913	11	8957	4	955	249	55	3	81	281	4	15175	156	20	130	4	6	1367	2613	973	68	18	12	5	24278	14	5	44	16468	13	5	134	50	359	26	13	6	995	430	30	917	20	2293	5	7	10	15	2	1755	2975	13	7	6	156	1	244	14	56	563	4	48	13	1845	3333	8	1705	18	7	4	4	9	18	24	8	6	5
d__Archaea|p__Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Acidobacteria	4	0	4	0	4	6	9	6	3	4	6	3	4	5	1	10	12	15	6	4	1	4	8	3	7	1	5	6	5	1	0	0	2	6	6	3	1	1	4	3	4	15	5	0	8	6	6	0	3	2	6	7	2	0	2	8	4	1	3	6	1	2	7	13	4	1	0	3	1	5	0	4	4	1	8	10	1	1	2	3	3	0	11	5	3	2	1	5	2	2	6	3	7	3	1	4	4	2	0	2	4	3	6	2	5	3	4	2	5	3	2	0	3	0	4	2	0	4	5	15	0	2	3	9	3	0	2	0	2	8	3	12	3	0	4	30	4	0	4	3	2	9	11	2	1	5	0	0	4	3	3	6	4	0	1	5	3	9	7	9	3	2	4	7	4	7	3	8	5	4	0	5	10	5	3	7	5	5	4	1	3	4	6	5	2	6	4	4	7	6	1	1	4	2	1	4	6	8	1
d__Bacteria|p__Actinobacteria	25016	161	12275	412	3273	7277	1564	23480	466	23672	7771	3675	995	23566	617	1869	13121	16236	7291	18223	167	320	8251	1053	649	1687	14982	27387	2366	3194	2614	42	104359	1750	1242	4024	20301	801	413	6639	8140	3187	734	413	203227	343	1677	15010	4494	1100	5474	3347	948	1499	6794	727	25535	17053	1068	1266	165	1184	56589	9972	34681	1506	3360	7973	2106	17157	842	2693	876	10994	15063	970	4651	825	303	1628	12708	2851	5973	1822	883	3102	24567	2388	5902	4954	14578	43274	1383	2254	1270	456	1945	9860	2095	405	643	3381	22296	4833	4172	2482	32923	25799	3821	935	2713	2425	2709	217	3923	554	11953	1474	16745	3189	60	1234	6151	96915	4335	3884	9063	203	9493	1492	550	4827	5728	236	839	2197	6032	1186	839	35277	28033	18926	1280	1734	104	493	14507	703	7909	21542	8104	8465	27494	179	525	5665	9274	11521	1702	3886	3275	3304	9012	2968	7255	3137	2437	14775	547	13305	347	3558	7851	20896	10377	5215	9499	19497	831	4912	684	2091	707	5343	474	8060	18913	5623	3167	1759	3668	3724	6272	1217	3587	1991	6983	32260	375
d__Bacteria|p__Aquificae	3	2	1	2	1	3	2	3	1	3	3	4	3	6	3	0	2	0	2	4	2	3	1	0	1	0	3	4	0	2	3	4	4	3	2	5	1	5	1	0	1	3	1	3	2	9	1	4	4	5	2	2	0	1	3	3	0	0	0	2	2	1	0	4	1	3	1	1	0	2	4	2	0	1	4	1	3	6	0	4	2	2	0	2	3	1	1	1	2	0	4	4	4	3	2	0	0	0	4	1	1	2	1	1	2	3	5	0	3	1	6	1	9	0	1	0	4	1	1	1	6	3	2	1	7	1	0	3	2	4	0	4	0	0	1	2	1	9	0	0	1	2	3	2	3	5	1	9	0	1	3	2	1	4	0	5	1	1	3	1	1	3	0	1	0	1	0	1	0	0	0	4	1	4	1	1	2	3	1	4	1	1	4	0	0	2	1	9	1	0	1	1	1	2	0	2	1	2	1
d__Bacteria|p__Armatimonadetes	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0
d__Bacteria|p__Bacteroidetes	39309	43489	28507	167053	94985	36423	14752	110630	21019	54116	110706	91026	68189	44013	70959	62066	35718	31258	51892	24125	102411	77936	91562	176562	86370	81	36276	80689	67868	68354	32789	36428	36836	26749	35276	16679	51360	66682	83768	7103	200517	220010	23023	40931	1780	27906	177339	24150	31114	25284	81772	68669	20495	39362	47469	55518	8373	93680	83395	44984	187561	64601	114525	102413	87192	24676	364221	14178	212660	56926	48767	58254	120329	328110	63209	119576	53558	183837	15557	65652	91091	191110	1073	80983	60762	38514	19108	29810	173240	93837	49588	62437	14600	61576	109420	74451	170102	1582	135909	45610	46794	157179	122037	46375	62301	90977	15748	231892	45799	138655	38712	194867	38775	25066	42948	166174	54974	36889	78614	12623	76708	84135	87843	42205	39657	68811	17761	122463	36901	39387	162529	76244	58587	278071	56676	38162	181772	76235	234746	205347	39210	6972	112399	55858	99432	138674	112600	18499	70232	77557	63474	13104	31471	82275	93867	45432	109236	64464	67986	134333	58250	94473	37848	35223	74988	33251	166078	105450	21944	70211	193930	28737	115214	45194	63733	25541	120992	89267	90838	98521	135120	77976	134758	185016	203881	59394	31277	131102	23839	246094	112932	120568	74612	207156	84553	62333	193612	117891	296526
d__Bacteria|p__Caldiserica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	5	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	1	1	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
d__Bacteria|p__Candidatus_Saccharibacteria	5	0	2	0	1	2	3	3	1	0	6	0	2	1	2	1	8	5	2	2	0	3	4	0	3	1	0	5	3	5	3	0	0	1	1	2	1	0	0	2	1	0	3	1	0	2	1	0	2	2	1	1	0	0	0	7	0	6	0	1	0	1	2	1	2	1	0	0	1	0	0	0	2	0	2	0	1	1	1	2	5	2	0	0	0	1	2	3	0	7	3	1	2	4	2	3	1	0	2	3	2	1	1	3	2	0	1	1	3	1	2	0	1	5	0	0	0	0	0	3	2	1	1	2	1	2	0	1	1	2	2	2	2	0	1	0	6	0	1	0	1	2	1	2	1	2	0	1	1	0	0	8	2	0	4	0	1	5	6	18	1	4	0	0	2	11	0	0	0	4	0	3	0	1	3	2	5	0	3	0	3	1	6	0	1	1	7	0	5	1	1	1	0	8	0	6	2	2	0
