family	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	5.5523	0	1.33838	49.22189	0	2.97357	0.19873	3.29041	0.72149	0	0	4.9346	1.37269	1.89987	9.02031	0	0	12.65631	0	0	0	0	0	0	0	0	0.51437	8.59211	3.08437	12.24448	0	0.20685	0	0	0	0	0	0.72149	6.12562	0	5.34766	0	0.04707	4.28689	3.80968	0.96206	15.10534	0	0	0	2.91326	0	34.19994	0	11.15523	0	2.32495	0	0.54675	0	6.37245	0	0	0	0.20296	0.5932	0.89302	0.38307	0	6.67758	0	0	0	2.69937	0	0	0	0	2.16738	0	0.90569	0.75825	3.12925	0.14327	3.94069	9.43325	0	0	5.6917	0	1.48519	0.64771	5.45488	0	0.00993	3.67056	2.72311	0	0	0	1.8694	1.03692	0	0	0	2.31298	0	0	2.85955	0.95693	0	0	0	0	4.33239	9.38849	0	0	16.57812	0	5.57798	0	0.86409	0.0914	0	0	0	0.13539	0	9.56472	0	0	0.07	0	0	1.58061	2.37858	0.91307	0	0	0	0	30.0554	0	0	0	6.56456	0	0	0	0	0.0664	0	0	0	0.36803	0.08206	0	1.07567	0	1.27792	0	0	0	0	0	1.61741	1.33055	0	0	0	0	0	0.07961	0	0	0.26332	0	0	0	0	6.48639	0	1.22373	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48343	0	0	0	0	0	0	0	0	0	0.66289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1392	0	0	0.01066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	11.4192	0	5.66691	0	0.55939	2.67312	0.7652	18.39587	0	14.38427	3.65498	2.73749	0.83398	13.18358	0.17653	0	7.33588	14.96888	2.31315	9.1339	0	0	2.60574	0	0	0.11757	10.98243	13.37684	0.53647	0.54769	1.42177	0	55.49172	0.86893	0.17395	3.58415	11.03633	0	0	4.74721	0	0	0	0	50.25841	0	0.30245	3.69061	1.51755	0.22872	0.08386	1.22386	0	0	3.02008	0	15.42176	9.37902	0	0.01259	0	0	25.0708	6.16692	15.03578	0.33905	0	3.18041	0.09142	7.07934	0	0.66806	0	4.08115	9.68755	0.08702	0.14682	0.0756	0	0.27121	11.23478	0	0	0	0.13405	1.00424	12.40727	0.80836	2.89422	3.11707	5.30912	21.86633	0.93292	0.52617	0.26618	0	0.04324	3.59185	0.56448	0	0	0.35927	8.65172	1.46079	2.21109	0.21132	17.80937	8.04313	1.97458	0.08801	0.76083	0.56616	1.22259	0	1.13158	0	5.62531	0.5534	6.82471	1.01084	0	0.02637	2.47299	29.94361	6.6478	1.52764	2.65275	0	2.52578	0.25462	0	1.99883	2.57475	0	0.01029	0.15053	2.1424	0	0	14.91514	13.56165	17.27108	0	0.34543	0	0	6.12834	0.38634	5.8729	8.12063	4.81537	4.09195	17.78526	0	0	3.60849	3.28265	4.8454	0	1.05627	1.47392	1.17476	4.08853	0.79931	2.67399	0	0.72473	8.21377	0	7.67631	0	1.8846	3.67595	13.77065	4.68965	2.00415	4.49579	8.48766	0	2.37555	0	0.19742	0	2.51499	0	6.66625	16.60395	3.2332	0.8319	0	0.65562	0.99488	2.24218	0	2.3292	0.50204	2.07433	13.71375	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0	0	1.24393	0	0.46035	0.26554	1.9576	0.63688	0.49629	1.13792	1.17133	3.21786	0	0.15289	0	0.28243	0.6093	2.1166	1.99004	3.4332	0	0.289	1.6604	0	0.19168	0	3.69794	2.47773	1.55179	0.72454	0.17856	0	1.69853	0	0.80657	0.28359	1.9615	1.80983	0.34211	1.08389	2.47997	2.06745	0.19142	0	0.22831	0.20865	0.88815	3.63439	0.39941	0.62113	1.04949	0.4121	0.25424	0.41485	0	0.16002	0.91316	2.34825	0.01964	1.35035	0	0.11449	0.94592	0	0.98293	0.1901	1.1806	0.58085	0.90388	0.17515	0	1.13352	0.46642	0.33788	0	0	2.45615	0.25045	0.12272	0.29433	0.18703	0.3429	33.1167	1.22734	0.25316	0.06696	1.53824	0.05326	0.01815	1.26381	0.49126	1.34563	2.549	1.74856	0.08909	0	0.60769	1.35355	0	1.19573	0.15852	0.51986	0	0.32477	1.13964	0.23872	0.64984	1.75844	0	0	0.82855	0.17553	1.78767	0.1899	3.26304	0.09426	1.27413	3.4072	0.58224	0.45927	0	0.30804	0	3.87222	1.05465	0.17732	2.28527	0	0.56688	0.50294	0	0.14053	1.99663	0	0.17058	1.86076	0.04575	0.50795	1.1097	3.14797	1.65432	0.44423	2.09911	0.14763	0	0	0.43106	0	3.96687	0.38741	3.98616	1.53486	1.95677	0	1.72048	2.80826	0.35009	0.0103	0.5867	0.33948	0.59519	0.14344	1.10999	0.50597	1.13515	1.17472	0.30218	0	0.14424	1.44763	0	1.61157	0.85162	3.59455	0.58401	1.69932	0.02817	0.10753	0	0.297	0.69137	0	0.07553	0.44651	0	0	0.87389	1.1785	0	0.12509	1.99671	0	0.30165	0.16742	1.19208	0	0.03932	1.01374	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	8.68506	15.10571	4.31198	41.04422	18.53556	17.20432	2.91052	27.66473	11.57706	11.0648	26.61657	31.52295	35.93552	13.87796	29.68359	12.38144	19.64457	8.56995	14.9965	4.97314	63.39804	19.46649	12.11019	23.85918	37.26327	0	10.72956	30.5586	9.52393	27.95965	16.74037	16.91441	7.29155	10.46533	4.0545	3.26463	16.85292	23.64563	26.52412	0.54594	42.23386	24.05754	6.69063	15.45909	0	32.81682	40.87126	3.42427	10.84127	7.14019	16.65508	21.0911	4.31844	5.25753	14.35499	27.29268	3.28123	10.9058	11.06187	12.96276	25.83807	20.36045	22.15209	29.95702	11.82094	2.2339	58.68245	4.09915	35.17733	12.5807	22.6016	25.67055	37.6553	86.46153	23.92132	56.119	22.99018	49.10882	5.16062	16.29759	14.365	25.9226	0	15.50883	7.42914	17.6818	2.95706	14.939	40.81828	24.45099	13.0182	12.27554	3.93246	11.83276	28.96646	23.05586	12.92	0.15833	16.8368	9.34712	30.00508	37.18582	36.10462	10.16826	15.49151	44.16412	6.55226	21.22398	36.3444	49.16191	10.86884	40.4482	19.28177	11.17101	7.97053	14.41965	36.65754	7.73956	21.75491	2.62016	10.62064	39.86366	18.29125	6.98264	15.36288	22.80466	2.46978	30.36581	10.3975	5.63365	61.82918	23.31291	6.03054	51.78127	15.4599	0.27562	52.05851	17.07511	59.71912	33.38025	10.35989	1.2552	27.89441	29.49742	33.74868	39.74598	20.59441	17.48494	19.02035	16.17002	17.66307	1.69583	3.12918	39.46406	20.14425	12.54018	34.99918	38.89259	17.31459	25.87521	9.53191	22.13025	14.96942	6.58331	33.18669	12.09065	29.91929	23.66043	3.37779	29.83183	38.4203	15.54104	14.73736	17.32677	7.15318	4.35729	33.43213	8.54479	38.26069	37.00303	42.27181	18.04837	31.36365	35.12569	44.36462	16.21061	16.4534	30.61447	6.60362	29.92139	32.39216	39.62174	25.53104	78.93192	43.0672	22.29784	42.44861	18.71714	46.01334
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.21962	0	0.19824	0	0	0	0	0.14792	0	0	0	0.31151	0.18163	0.46017	0	0	0.86352	0.08942	0.04479	0	0	0	0.32446	0	0	0	0	0.03992	0	0	0	0	0.5662	0	0	0	0.02592	0	0	0	0	0	0.11642	0	0	0.08098	0	0	0	0	0	0	0	0.30037	0.26641	0	0	0	0.29573	0	0	0.17802	0	1.9936	0.09306	0	0	0	0	0	0	0.15891	0	0	1.82414	0	0	0	0	0	0	0	0	0.08678	0	0.03686	0	0	0.04859	2.4402	0.50295	0.07437	0	0	0	0.06672	0	0	0	0	0.48208	0	0	0	0.21013	0.09415	0	0	0.32037	0	0.20469	0	0	0	0.09288	0	0.07299	0	0.02525	0.53737	0	0	0.10567	0.0484	0	0	0	0	0	0.35581	0	0.29264	0.14848	0.06266	0.12773	1.29874	0.27299	0	0	0.33078	0.15839	0	1.11996	0	0	0.30282	0	0	0	0.45396	0	0	0	0	0	0.08688	0	0	0.10619	0.44988	0.11284	0.11345	0	0.33029	0.20574	0.48499	0	0	0	0.5299	0	0	0.34991	0.44482	0	0	0.06574	0	0.10541	0.15331	0.3819	0	0.27037	0	0	0.26552	0	0	0	0.02956	0	0.08934	0	0	0	1.44448	0	1.29238	0
