phylum	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
k__Archaea|p__Euryarchaeota	0	0	0	0	0	5.5523	0	1.33838	49.22189	0	2.97357	0.19873	3.29041	0.72149	0	0	4.9346	1.37269	1.89987	9.02031	0	0	12.65631	0	0	0	0	0	0	0	0	0.51437	8.59211	3.08437	12.24448	0	0.20685	0	0	0	0	0	0.72149	6.12562	0	5.34766	0	0.04707	4.28689	3.80968	0.96206	15.10534	0	0	0	2.91326	0	34.19994	0	11.15523	0	2.32495	0	0.54675	0	6.37245	0	0	0	0.20296	0.5932	0.89302	0.38307	0	6.67758	0	0	0	2.69937	0	0	0	0	2.16738	0	0.90569	0.75825	3.12925	0.14327	3.94069	9.43325	0	0	5.6917	0	1.48519	0.64771	5.45488	0	0.00993	3.67056	2.72311	0	0	0	1.8694	1.03692	0	0	0	2.31298	0	0	2.85955	0.95693	0	0	0	0	4.33239	9.38849	0	0	16.57812	0	5.57798	0	0.86409	0.0914	0	0	0	0.13539	0	9.56472	0	0	0.07	0	0	1.58061	2.37858	0.91307	0	0	0	0	30.0554	0	0	0	6.56456	0	0	0	0	0.0664	0	0	0	0.36803	0.08206	0	1.07567	0	1.27792	0	0	0	0	0	1.61741	1.33055	0	0	0	0	0	0.07961	0	0	0.26332	0	0	0	0	6.48639	0	1.22373	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria	11.4192	0	6.91084	0	1.01974	2.93866	2.7228	19.03275	0.49629	15.52218	4.82631	5.95535	0.83398	13.33647	0.17653	0.28243	7.94519	17.08548	4.30319	12.56709	0	0.289	4.26614	0	0.19168	0.11757	14.68036	15.85457	2.08826	1.27223	1.60033	0	57.19025	0.86893	0.98052	3.86773	12.99783	1.80983	0.34211	5.8584	2.47997	2.55088	0.19142	0	50.48672	0.20865	1.19061	8.06785	1.91697	0.84986	1.13335	2.29886	0.39344	0.41485	3.02008	0.17068	16.33492	11.72728	0.01964	1.36293	0	0.11449	26.01672	6.16692	16.01871	0.52915	1.1806	3.76126	0.9953	7.2545	0	1.80157	0.46642	4.41903	9.68755	0.08702	2.71144	0.32605	0.12272	0.56554	11.42181	0.3429	33.1167	1.22734	0.38721	1.0712	13.94551	0.86162	2.91237	4.38088	5.80037	23.21196	3.5379	2.27473	0.35527	0	0.70713	4.9454	0.56448	1.19573	0.15852	0.87913	8.65172	1.78556	3.35073	0.45004	18.45922	9.80157	1.97458	0.08801	1.58938	0.74168	3.39285	0.1899	4.39462	0.09426	6.89944	3.9606	7.40694	1.47011	0	0.33441	2.47299	33.81582	7.70246	1.70495	4.93803	0	3.09266	0.75756	0	2.13937	4.57139	0	0.18086	2.01129	2.18815	0.50795	1.1097	18.06312	15.21597	17.71531	2.09911	0.49307	0	0	6.5594	0.38634	9.83978	8.50804	8.80153	5.67317	19.74203	0	2.07561	6.41675	3.63274	4.8557	0.5867	1.39575	2.06911	1.3182	5.29878	1.30528	3.80914	1.17472	1.02691	8.21377	0.14424	9.12394	0	3.49618	4.52757	17.36521	5.27366	3.70347	4.52397	8.59519	0	2.67255	0.69137	0.19742	0.07553	2.9615	0	6.66625	17.47784	4.41171	0.8319	0.12509	2.65234	0.99488	2.54383	0.16742	3.52128	0.50204	2.11365	14.72749	0
k__Bacteria|p__Bacteroidetes	19.31055	77.77983	13.26308	53.43959	24.88859	23.64871	12.46465	34.35009	14.18991	15.99414	36.76948	39.49079	43.80094	23.22592	32.86319	17.71372	33.6109	16.29162	23.33735	10.20653	74.13952	24.63023	19.44321	29.31449	48.69148	0	26.38517	47.41282	24.30865	44.55188	26.48464	29.09793	8.86488	11.97631	13.74925	3.55407	24.37315	26.85069	46.23255	0.62703	62.45352	31.26714	27.52333	17.94528	0.02358	36.78963	46.51501	3.77312	12.74475	39.05474	23.10238	34.66491	6.77926	14.64068	22.20082	45.21831	3.78162	30.37374	19.94029	21.77999	52.16344	24.65355	28.66133	44.59135	22.17022	3.05376	71.483	4.67939	37.69461	16.50786	29.0632	31.64486	49.6503	86.46153	33.6326	66.90412	27.87187	56.90196	40.90668	18.79298	15.24043	42.62844	0	21.1216	68.48241	19.95757	17.82616	14.939	53.53568	46.35684	32.87213	15.87994	20.74606	22.60886	34.10118	31.18387	15.11851	0.15833	17.48006	24.53522	36.92074	51.21461	36.64919	30.89682	20.66311	52.65695	7.73853	23.69541	45.53261	61.36194	16.17816	47.06646	21.5303	30.74576	23.50007	25.77219	40.33731	34.42719	23.56265	10.05656	25.46681	44.88648	22.59915	12.19171	21.71661	29.03799	2.46978	35.59598	12.54816	20.45914	74.11908	35.4667	55.16861	67.71829	21.58449	24.00312	70.45415	22.45739	65.20141	40.23839	12.46796	11.45907	43.25576	40.31004	50.41213	64.06617	32.43122	17.76813	20.49802	21.36332	22.07367	2.47253	45.14854	54.61886	39.44308	37.25385	57.55425	42.89164	34.91239	34.64611	15.79007	29.76577	33.0764	10.31287	55.06026	23.96667	35.78047	38.59828	14.7681	38.93281	47.45718	22.86378	27.31081	25.70844	12.57252	56.25475	61.27085	18.55459	53.97144	44.08405	52.34458	35.30333	39.48244	39.01277	45.28974	38.48983	20.81916	38.27264	20.21035	56.05994	50.75473	50.35665	35.79721	80.13171	54.19969	36.60538	49.76406	27.98722	55.15783
k__Bacteria|p__Firmicutes	66.91804	22.22017	74.73077	44.95624	65.07166	64.33067	84.20778	40.12196	24.84919	67.39788	54.12823	51.35517	51.77876	36.6162	64.68568	81.83092	42.89864	61.94031	67.74722	60.45851	23.85942	36.32367	27.41323	70.18742	46.54188	95.65122	58.76846	24.56438	66.13156	52.90896	66.54496	69.30813	25.20129	83.05864	70.71585	92.04487	62.39101	61.87593	50.12147	89.25903	7.40396	34.89034	44.63991	72.13366	49.00701	56.14792	49.21903	88.1017	79.29011	53.76564	73.33152	45.88762	43.5812	84.64127	74.7791	49.8747	61.16027	9.28711	76.0009	62.93226	32.49577	71.49506	36.33857	44.77229	60.95769	88.42249	26.88622	89.35121	59.47947	15.88709	68.96474	62.15413	43.99355	8.70263	48.8809	27.70113	65.29606	41.06949	55.97998	77.93854	73.29262	57.02866	66.81419	74.06322	26.36009	78.06554	67.47008	74.83418	37.6408	44.394	43.32353	58.26898	75.23607	64.7547	65.10676	65.82984	71.28408	87.95612	78.13407	49.4301	54.58602	33.5309	51.86721	48.08192	74.49183	41.50459	62.67804	56.89892	52.49281	37.42062	79.78995	28.71972	75.07684	65.54752	71.14837	72.44687	52.56937	61.14556	67.79695	77.70313	56.78961	54.16876	74.9104	32.61834	68.07054	59.52751	92.07482	63.28877	84.20506	75.79437	25.4873	56.00902	35.91228	29.90309	66.52214	31.43755	24.67365	71.69186	33.09425	31.69513	68.31929	67.47214	46.54272	55.38163	46.96344	33.93558	60.94255	50.45281	68.17758	67.8473	67.30382	83.76091	34.87542	45.38114	53.89069	43.70271	35.99249	47.90353	62.93029	61.35341	63.72662	67.57118	58.87867	85.52407	36.48289	57.55798	61.65889	47.37949	83.12526	49.32401	52.1223	64.40117	66.5719	56.30237	81.70607	38.4374	32.03783	72.85022	45.03073	47.81797	43.86434	43.48102	57.86781	49.04449	22.00301	44.24129	55.21661	55.29955	77.47378	41.36255	46.02977	46.22232	60.95481	19.56586	38.55978	49.25212	47.75466	54.58348	41.7931
k__Bacteria|p__Fusobacteria	0	0	0	0.39964	0	0	0	0	0	0	0	0	0	0	0	0	1.09486	0	0	0	0	38.43944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55007	0	0	0	0	0	0	0	0	1.0556	0	0	0	0	0.81403	0	0	0	0.52917	0	0	0	0	14.29633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07372	0.01136	0	0	0	0	0	6.85361	0	0	0.52234	0	0	0	0	0	0	0	8.62971	0	0	0	0	0	0	0	0.01741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17623	0	0	0	0	0	0	0	0	0	0	1.79656	0	0	0	0	0.05098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27657	0	0	0	0	0	0	0.06238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria	0.59397	0	1.46587	0.9437	8.46927	1.79257	0.60477	4.40993	10.72794	0	0.50152	1.03349	0.29591	24.48396	2.27461	0.17293	8.27293	3.3099	1.14457	7.74757	1.80163	0	0.36302	0.49809	2.92723	3.98815	0.166	0.20563	3.99457	0.52786	4.53896	0	0.15148	0.14278	0.01135	0	0.03116	0.30598	1.95805	2.80911	0	30.53255	2.38746	0.40949	0	1.50614	0.92768	0	1.40574	0.88419	1.47069	0.62654	46.94911	0.3032	0	1.29387	18.72319	2.68657	4.03916	2.76959	1.04446	0.24877	8.03542	2.89739	0.85339	0.28628	0.45018	0.14674	1.83062	42.55536	0	3.50641	4.49483	0.4168	0.17892	1.54715	3.08265	1.59488	0	2.47594	0.04514	0	0.06911	0.74719	0.95212	0	0	6.23594	3.66453	0.85387	0.60674	0.71775	0.47996	3.95573	0	0.52979	0.69082	0.02813	3.82139	24.16713	2.13692	8.99836	2.83189	15.73382	0.39393	3.51902	0.06497	0.97439	0	1.12944	0	9.15356	0	0.3121	0	1.66925	0.19388	0.46665	1.23345	6.43781	6.4107	0.51954	0.01745	4.71157	0.49321	0.77039	0.01725	0.25117	0	2.98892	0.39362	1.54344	1.12852	2.37862	1.04674	40.21235	2.68405	1.90542	0.59464	9.05647	2.41617	0	3.74269	0	0.84545	1.82202	0.06683	0	1.47403	2.28134	1.76405	1.52884	0.23401	0	4.59063	0.37425	0.95756	0.13635	1.57062	2.60473	0.34109	1.21182	0	1.00508	1.89831	0.35771	0.38594	2.13019	1.96239	0.64497	0.42052	0.52998	0.25916	0.62398	0.44775	1.60438	1.33028	0	0.91823	5.2124	3.0997	4.02236	0.94056	8.91885	0.13805	0.96982	0	2.01611	0.26024	2.45241	0.56316	2.42615	0.02737	0.135	3.71925	2.22226	0.36763	1.58793	1.6976
k__Bacteria|p__Spirochaetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Synergistetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0201	0	0	0	0	0	0	0	0	0	0	0	0.49611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia	1.75824	0	0.65886	0.26083	0.55075	1.73708	0	0.74689	0.51477	1.08579	0.80089	0	0	1.61596	0	0	1.24288	0	1.5678	0	0	0.31767	35.85809	0	0	0	0	11.96259	0	0.73906	0.83111	0	0	0.63108	0.54576	0.53333	0	6.60749	1.34582	0.51384	27.66255	0	23.64593	0.64997	0.48269	0	1.09207	0.01026	0.35553	0.76455	0	0.55166	0	0	0	0	0	11.67106	0	0	0	1.16317	0	1.02531	0	1.33588	0	2.06141	0	17.54567	0	0	0.56636	0	0.94245	3.76058	1.03797	0.10762	0.29125	0.02684	0	0	0	0.45802	3.81817	0	0	0	2.10334	0	7.95262	1.92137	0	0	0.43679	0.90823	4.62104	1.45715	0	0	0	2.65389	0	3.50188	1.10042	0	8.04459	0	0	0	0	14.11782	0	0	0	0	0	0	0	0	0.16141	0.09081	0	0.06434	1.93659	3.38118	0	0	0.06272	0	0	2.04322	3.08381	0	0.75365	1.83958	0	0	0	0.94689	0	0.97491	3.44665	2.46621	1.15419	0	0	1.33733	0.01059	0	0	0	0	0	0	12.25244	0	4.21278	0	0	17.27246	0	0	0.73764	2.7494	15.665	1.1478	3.67828	0	1.97426	0	6.65397	0	0	0	0	0.5605	0	0	0.21304	0	16.73254	1.63365	0	32.56921	9.63282	0	0	0	0	0	0	0.67679	0	0	11.41819	0	0	0
k__Eukaryota|p__Ascomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75908	0.79874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.79825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
