class	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
Acidimicrobiia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000437610499406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00076768183421	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000759917076464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000430306039804	0	0	0	0	0	0	0	0	0.00163544594817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00261652545418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000630895817235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteriia	0.000250702354547	0	0	0	0	0.000178468032934	0.000686912542875	0.000676356885113	0	0.000220956029979	0.000214135019958	0	0	0.000373266788163	0	0.000334290496678	0.00155926390085	0.002373089013762	0	0	0	0	0	0	0	0	0.000330535588143	0.000196926650043	0	0	0.00095323809787	0.000708481319166	0.000286208205945	0.001168053314733	0	0	0.000587635028861	0.000257087402326	0.000216901751405	0	0	0.000361074213893	0.000387320689505	0	0	0.000724787960032	0.000193680774447	0	0.000848138177784	0.000363925886304	0	0.000400801631333	0	0.00074482574781	0.001426105090335	0.000643306000086	0	0.00078272601687	0.000945579148256	0.000814816177216	0	0.000224933877026	0	0.001962599444495	0	0	0	8.14506163208e-05	0.00037839137745	0.00107441375991	0.000652683213068	0	0.000560388724177	0	0.000237353189533	0.000281472953432	0.000249215699877	0	0.002566331727188	0	0	0.000710553340925	0	0	0.000825588450043	0	0	0.000340624866588	0.000691400190869	0	0.001086267506112	0.000156993972638	0.00047542235642	0.000200646122653	0	0.000225522511035	0	0	0	0	0.000280521020418	0.000245924065439	0	0.000167904291905	0	0	0	0.000133351197034	0.000252231205288	0.000286121573194	0.00066746371324	0	0.000441888598276	0	0	0	0.000226498627864	0.000388894113974	0.000432458731655	0.002329003098456	0	0	0.000169825798245	0.000150457641961	0.000169981726544	0	0.000245024163992	0	0.000457915283358	0	0.000402877658699	0.000281956003007	0.000310871507983	0	0.000311065900043	0.003695593850182	0.000256048757358	0.000687939590034	0.000182901680098	0	0	0.000318687408001	0.00151682934642	0.000654968866891	0	0.000433190842084	0	0.000390031441171	0.000167986267662	0.00017458193107	0	0.000310037944656	0	0	0	0.000621847237401	0	0.000212097772303	0	0.000162365774201	0.000218285437476	0.000185165917998	0.000322605894573	0.001610047189811	0.000314775257784	0	0	0.000342997606952	0	0	0.000213148111366	0.000673163204788	0.000893471175773	0.00028461558822	0.000941920695835	0.000328463470686	0.000419910203014	0.000355108409366	0.002251851579708	0	0	0.001001586749535	0	0.00014134773277	4.82153931469e-05	0.000646272893909	0.000320632173064	0.000207504673507	0	0.000198352798603	0.000458202039392	0	0	0	0	0.000288808878289	0.000134704274817	0	0
Aconoidasida	0	0	0	0	0	0	0	0	0.000288405768949	0	0.000128280586518	0	0	0	0	0	0	0	0	0	0	9.39794038013e-05	0	0	0.000523595356038	0	0	0	0	0	0	0	0	6.68863515709e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2783335307e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000116629342505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000204708044606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.21066436478e-05	0	0	0	0	0	0	0	0	0.0002985074741	0	0	0	3.25239343788e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.63732771655e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000937425922979	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	20.0771420570124	0.241545885036428	7.07343430540257	0.193341256983658	0.776100618521706	5.6381071811602	2.19895410852106	22.8254070905668	0.584434187358366	22.9927564725365	6.26360447669865	8.78859567964768	2.38635799327704	15.9404527671536	0.665330712910095	0.234496089226003	13.2404784248819	17.3093234204523	4.80456466845665	11.6615259192923	0.120836645012787	0.190955701850731	4.21366244826825	0.152760518162865	0.186332031284416	0.893006588731187	15.2995942538462	19.2259034277585	0.932299475813079	1.18996308260697	2.45564362085268	0.087469104381211	64.904449985125	1.91367828251159	1.3819857319772	6.23348787742093	18.4284130775746	0.217467486149736	0.705005475795602	11.0973004184049	0.179789373259999	0.423620676551088	0.853012196697063	0.390191279402774	85.7237104064621	0.132557849315232	1.91704807345583	3.96886704063698	3.76399925089042	1.36241574245117	0.747284074069935	3.19473214544879	0.339500180066463	0.489314291683324	4.67594991825954	0.818555115949806	16.5467459441133	15.0045165553218	0.21568383048991	1.71744174348634	0.094283643715625	0.313709686577242	23.8396007099341	9.49749460535299	24.7070382327428	0.825153835681042	0.113687429324672	1.66739994062962	0.433702848246869	7.02772824210348	0.705185135884748	1.87051005036903	0.190965859785699	10.1080999727266	12.5920572503285	0.804637722760044	1.30165248740796	0.504130331026255	0.416250406765614	0.848712099672537	17.2701113126914	0.173800998653302	0.133307465096097	0.157139217626368	0.907180120043923	3.037016013564	20.5816281896792	1.59696357900834	5.47543723454264	5.01208724921596	12.0586611620859	22.4081068481275	0.658737751379866	1.42032102183662	1.07046215042865	0.370531449549677	1.07294847577307	8.8897903893108	0.905979850498632	0.151055313252677	0.733322940670887	0.790987947702947	7.04133443587094	3.62313533864909	4.28668665370229	0.774926169733393	13.8224015191725	9.8353133943164	2.35580840448002	0.932492841414824	3.8433790476377	0.8417896143328	2.89210100507188	0.140095649061347	4.64614214920441	0.11665705309562	11.2224437255726	1.31511669776357	20.5221360077526	3.30299698314495	0.049192649407449	0.840077966231016	3.81665985040099	34.0051959491269	9.21745750179782	3.07989208272602	4.79911249830248	0.244504509563775	4.98747319707824	2.12976580121364	0.315702710787142	7.03900359798131	5.76107519285683	0.073190412930214	0.652420727345418	3.16967448756439	5.14989649505589	0.236087344185114	0.071484975601259	14.0325867962988	15.4810365354479	21.4394876487465	0.376928128159472	1.62835640473502	0.038911428610007	0.247223283200522	9.24158884541563	3.03610125434975	9.74711962555867	16.0525885254629	13.2869654641423	12.8127318153267	42.1955381839804	0.215175395652056	0.094080629187992	5.35598788088101	5.57604347694166	7.32846935214293	0.410750772905736	2.24351093528212	5.00882788206619	2.11423533690648	9.85583437267874	2.93718643137015	5.62311644613101	0.255029373029725	1.72569367815955	18.3974159981069	0.464737343937523	11.1254571279544	0.073769496179468	3.19414458919825	5.89298115943495	21.6966895237629	9.53042540310977	5.13866652319063	8.53221024718657	10.1800729657256	0.156993520850186	3.90213580257418	0.146106866772944	0.79710581835395	0.322926846384773	2.57414674402379	0.0232289579728949	8.23238061090975	24.060984174569	3.55168471084895	4.1288564338897	0.233624357390069	1.6029394516184	2.02211951088275	4.65075808917375	0.123122189664941	4.36952692122941	1.5956650939903	3.17003176112405	19.5076237069099	0.0464034218839895
Agaricomycetes	0	0	0	0	1.55226773617e-05	4.79165315503e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43777824923e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.99025433218e-05	0	0	0	0	0	0	0	0	0	0	0	4.57971402474e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alphaproteobacteria	0.012880901569127	0.003072543088726	0.005049283609852	0.003711163078312	0.0116146108306253	0.015397087691374	0.035865033394758	0.015881770613494	0.015677949164838	0.0094375384665572	0.009697615789669	0.020109181180287	0.005387225987332	0.018486703676813	0.001773891062165	0.005707952398577	0.023247869571962	0.041489188440164	0.011153991357777	0.006091922031908	0.011329120604234	0.005097412989826	0.011446053875705	0.0027187308281444	0.010742734250416	0.001880385804832	0.026212614654049	0.00988429485454	0.0066742349736804	0.007336450929035	0.008078002022455	0.00186664159681	0.007864516742433	0.007423299686668	0.012970413521521	0.009563693528177	0.005978807811781	0.003360941494997	0.004488359960284	0.005658186061952	0.00879597861263	0.026344420334108	0.025728765920191	0.003613287736807	0.0045241284058921	0.024552050636459	0.004557281239762	0.0014420056174883	0.006134885740008	0.016694580481965	0.005718908785013	0.012774167582691	0.0098097333141438	0.007154849294559	0.004669962675963	0.013981780051658	0.001364149750367	0.017393443356506	0.01443771661992	0.012682811700818	0.00074504432605	0.005861883211764	0.0060425046776369	0.0322126728176	0.002869472927714	0.0017925826277579	0.000346524394693	0.0007066884375834	0.0018319442758879	0.0173953898929564	0.009844081073541	0.005188403552998	0.013732180808281	0.001229498606096	0.016102799313186	0.008060041246095	0.006124410800652	0.003815469214158	0.008090515623427	0.008156559413112	0.004583894712292	0.003128564116206	0.0008438556555368	0.008947588054253	0.021407717664287	0.018121722064983	0.013175497154684	0.020687037848294	0.0046625470778	0.010810748812134	0.009640033916302	0.005528989977812	0.0048039297795599	0.014236202824439	0.006427524760427	0.008485657729087	0.004260488647712	0.00370104821089	0.001205322009001	0.003550305252377	0.008223635293947	0.02023517710277	0	0.007698672795096	0.012525440107723	0.009834934825644	0.0009586180163801	0.0047989538789966	0.011544425515056	0.003735028533485	0.030916907385392	0.000764475720126	0.009277346068137	0.005928590507223	0.009159154865116	0.012522980712317	0.004020965381791	0.005781988501018	0.012448559714447	0.032270875759238	0.000256919807251	0.002818553329599	0.012925964301005	0.00386062691472	0.001605184067317	0.010228903646506	0.00481857747585	0.002384863847616	0.001768247061781	0.024715331344682	0.008491073759382	0.052186438045095	0.004404233994621	0.000861572906191	0.011353079645729	0.123799120326158	0.022058923551903	0.010221952264733	0.004331889961058	0.0054107737861447	0.0017399179012	0.029727099220847	0.037470283684574	0.020132735528475	0.000845755745842	0.013784311505155	0.003434776446447	0.028492824274568	0.0007941442956228	0.010318238198962	0.003164603443009	0.0096860563422	0.034489800777455	0.001874783673921	0.006287955598885	0.004990123970032	0.00818762079896	0.010301585834055	0.012515841794362	0.004790175252794	0.022977973014963	0.007133570446178	0.017859344125222	0.016214606381738	0.016171127631545	0.012840019394806	0.001140244043001	0.024575942392308	0.03627900927149	0.01860496955623	0.000274952594837	0.023524343116425	0.017065509022362	0.017081124401899	0.016803582654538	0.015193222545786	0.016929786042327	0.036019627636424	0.039876929076139	0.024575012143449	0.005208020901868	0.015662352789078	0.016222963513089	0.0024847522489296	0.0003260922040683	0.026670854632387	0.028332940845346	0.01329584830578	0.019780667483637	0.00278949357389	0.022481545422001	0.015477095106932	0.015755955225602	0.021683559033899	0.007705210414721	0.034035670006728	0.0077286756238364	0.009159846578693	0.0030927911419608
Anaerolineae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000624373207353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000606101229745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000603463221792	0	0	0.000359802711052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000323722678685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000302903452512	0	0	0	0	0	0.000723561128296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000404796178604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101406134407	0	0	0.000427432116504	0	0	0
Aquificae	0	0	0.000619888612325	0	0.00034986197165	0	0.00142902277827	0	0.00248515605213	0	0	0	0	0.000674418055327	0	0	0	0	0	0	0	0	0	0	0	0.000348878952279	0	0.000796608712371	0	0	0.000927862025663	0.00357405998369	0.000510003665695	0	0	0	0.000706454735384	0	0	0	0	0	0.00133374069459	0	0	0.0013569631525	0	0	0.00163592532941	0	0	0	0	0	0	0.00110761368375	0.000303218218479	0	0	0.00114507773044	0	0	0.000534392750984	0	0	0	0	0	0.00150215636609	0	0.00132011876969	0	0	0	0	0	0	0	0.00144092689674	0.000409520310065	0	0	0	0	0	0.00167704774206	0.000696890058359	0	0	0	0	0.00227525682793	0.000290709656208	0	0	0.0004630029319	0	0	0	0.000353845810435	0	0.00061858150674	0	0.000682525736484	0.000412093117634	0	0	0.000247999939598	0	0	0.000581263029346	0	0	0	0	0	0.000812426447802	0	0	0.000836634911977	0.000497419876588	0.000345289375114	0.000348656292176	0	0.000697952833162	0	0	0	0	0.000997122862688	0	0	0	0	0	0	0	0.00127939591522	0.00033133917032	0.000331227395485	0	0	0.000515141554313	0.000968563619902	0	0	0	0.00132332221888	0	0	0	0.001869420151277	0	0	0	0.00110437692038	0	0	0	0.000510477003508	0	0.00191285924127	0	0.000586380863302	0	0	0	0	0	0	0	0	0	0	0	0	0.0014623104523	0	0.000646675537719	0.00085194241193	0	0.000359051993676	0	0	0	0.00173283638237	0	0	0.00149118717084	0	0	0	0.000392995943097	0	0	0	0.000829652976462	0	0
Bacillariophyceae	0	0	0.00037387052257	0	0	0.000127194103943	0	0	0	0	0.000298455021074	0	0	0	0	0	0	0	0	0	0.000324748211761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00041676074244	0.000409172554065	0	0	0	0	6.31006260167e-05	0	0.000281069882537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000168893470703	0	0	0	0	0	0	0	0	9.00507521026e-05	0.000189551350301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000193903667304	0	0	0	0	0	0	0	0	0	0	4.63166682497e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9070412159e-05	0	0	0	0	0	0	0.000568311842709	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133610758986	0	0.00073946263594	0	0	0	0.00120455950402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002156713119	0	0	0	0.000134033550094	0	0	0	0	0	0	0	0.000690080451527	0	0	0	0	0	0	0	0	0.00121149299477	0	0	0	0	0	0	0	0	0.000539337115871	0
Bacilli	1.16445113135864	2.08089791712152	3.10017936090212	1.88507801726308	4.01206221648521	14.2534687197208	1.11191040650203	0.907029788249358	13.2986047977616	2.2765392646459	14.7823973715501	13.9140207611077	0.958523370291396	5.11551338648825	2.76778106810287	25.6188198872142	0.815521990283304	8.87995475306329	3.87360088141271	21.4348482699309	1.8548984468305	3.07222219790855	6.12954619005181	2.65140912019608	15.2028921558256	4.52268284659058	1.38471816850061	1.24195634622937	30.1907754275861	6.68239317974973	25.3617040367482	2.26735620428656	3.35540194986328	8.03937479263631	14.9966369195107	9.76334594727519	0.741456975716356	5.89185616436833	1.44857799645292	21.4483453322288	0.913107201797902	0.264923711713049	1.42289563543706	1.60013216243081	1.2586168124854	0.934439357452296	1.92285502601549	27.4772432330129	7.60899502618741	4.17054616077753	6.25066675754053	2.9755109279283	4.38221090155795	8.30960161339336	9.08517997732402	15.5301331316495	5.37852510613586	1.21772251824722	1.55699921117722	3.03757262759879	5.53900317509134	6.09464694847483	3.2952330068382	0.601950489354997	2.78581325610064	75.9733271010496	0.850729534060605	2.64150965053598	10.7578780501585	0.134834712447027	1.86623720185293	18.6110801214316	8.93578038175939	0.610307909309812	2.28116675556194	1.06750743052975	17.3809240947816	2.71076640103774	1.96617377683914	2.8806403920491	5.02555724937382	4.87164077777723	7.9269243819765	11.63534642232	1.2346709545748	8.71849731030719	3.06351995167133	11.5718392037511	1.94560289029133	1.50057090769199	5.72552514412204	1.64405844162829	55.9996921459474	8.33431594391814	2.04288864171098	4.9126273075158	6.6126027355998	10.0510821727005	17.0007308917617	13.4057067278032	3.82900596753101	7.05992264903603	42.5071970449941	6.0416329293538	11.2651694677702	1.93159860464778	12.5043391116666	1.94918840490057	6.65313581145893	0.58059828233257	5.06514055926511	12.9721364700165	10.0734877386867	3.56577879748367	3.41233772330534	4.12094678541779	2.97035480375629	3.08543208333717	3.93738264937459	0.774565027886552	3.23473304623024	5.97356359277294	2.78146223142527	1.46887951662869	7.17103506813974	1.74506625880456	6.83419251255716	2.42799258423879	15.7327131480014	3.31705716753736	0.858212780357867	1.6641602384611	2.77358921096841	0.510353049547024	13.0764859620066	0.250966043997244	1.45477802070239	12.2529957695957	3.18348664209993	6.80025879068965	36.2750891390349	9.41719179262434	1.41900511862001	1.02512009537155	0.588530306524782	7.44870719385511	31.8025983015083	2.77959779216317	3.53682642082621	5.60316562779762	11.8001566879352	4.37328343917492	1.38202741192907	1.18218745453356	11.8888706559116	1.0130966781997	2.74922352098398	2.78662513525489	0.804265290957519	1.8381212430266	1.08475426382795	8.18885285207326	9.01232428535938	4.52245510659791	0.932881086850909	2.43439667018774	0.666673805651845	0.430963231312715	0.831097121327168	3.20188972267718	0.883586780266417	2.90244708406155	1.18987678035563	0.545241784777007	1.09983212986067	0.709272524269544	1.10441986342394	0.701737980635828	3.70812262062007	3.11858900236494	0.684906461758797	0.86445129507559	1.35251908599315	1.67709115903987	0.11627463468823	1.66104091269536	1.42858363047112	3.31601770495871	7.78285461937702	1.07190315061897	0.916355804929005	0.437571150822559	0.67571825490407	2.89246456661184	1.41128847859166	0.617901860785472	0.251507613829216	1.00794501064832	0.348087076452552
