family	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
Acetobacteraceae	0.000523033561574	0	0	0.000255575687741	0.004662566324507	0.005342405184949	0.0126295398944	0.005601318206116	0	0.00477939599098	0	0	0	0.009698881314088	0.000405830787733	0.000348710624185	0.003134905378924	0.0042630835177	0.001334247608504	0	0	0.000556517199109	0.000337295970272	0	0.000317965560841	0.000267463182164	0.000622526878251	0	0.000326741574383	0.00035190533433	0.002034201768226	0	0	0.000792160910353	0.003448347447251	0.00101301335134	0.00066508531742	0.000302030613341	0.000321002029026	0.00024290966986	0	0.00054023099451	0	0	0.000236355365875	0	0	0	0.00183518548079	0.002166534856617	0.000660405435566	0.001395778405585	0.001500032008787	0	0	0.003483490560515	0	0.000503624336433	0	0	0.000389426119022	0	0	0.004886321705944	0	0.000236029898682	0	0.000115034742175	0.000267205802192	0.004089636728678	0.00266700360337	0	0.00135491370177	0	0.00112072589696	0	0.000301278159153	0	0.000560979220458	0.001311375801841	0	0	0	0	0.00898374574612	0.000486688038519	0.0030633951744	0.007886986360578	0.000451376521118	0.000212584182808	0.000603881817238	0	0.00264056335511	0.00524725180145	0	0.000519397947395	0	0	0	0	0	0	0	0	0	0.000416131566265	0	0.00089358517165	0.000336765426	0	0.017624967094048	0	0	0.00433931633233	0	0.00666624283184	0	0	0.006311067287578	0	0	0	0.00999280278376	0.00044201421341	0	0	0.00159000074429	0	0	0	0.004266769712426	0.017341300652682	0	0	0	0.007214892635581	0	0.000230566307554	0.002876759821268	0.0011162122723074	0.000189063406633	0.005660102967664	0.003416258345296	0	0	0.00131840580459	0.00236637101394	0.00122775777765	0	0.000309965566307	0	0.000769125882508	0.0173948966542	0	0	0	0	0.000346670796291	0.00119570621372	0	0.002117979359215	0	0	0	0.00046840617251	0	0	0.00185480498963	0.00852642982743	0.000475210778901	0	0.00486512960368	0.00169629889239	0.003774319560487	0.000519662142702	0.003783759210705	0	0.002339908332638	0	0.001580665824244	0.002325601028368	0	0	0.000779789239562	0	0.00323983427233	0.00189806817986	0.00198982524439	0.00505808884853	0.000264829899391	0.000954536633218	0.00303879487995	0.000440863917084	0.0124721190936	0.00049156149402	0.00791278834638	0.001061898550021	0.000323044535591	0
Acholeplasmataceae	0.00283881389144	0	0	0	0.000364473987073	0	0.00189388627682	0.00911606482047	0.00336252098601	0.00121839555064	0.000747811262297	0	0.00330571187171	0.00129720718911	0.01306178918312	0	0	0.00596993591677	0	0	0.0011391683645	0.00366400503277	0.00862594111765	0	0	0	0	0	0.0011439057271	0	0	0.00295205771397	0.00845331015786	0.0104856841606	0	0	0.00580790160728	0	0	0	0	0	0	0.00357787148009	0.000427613665901	0	0.00292417768472	0.00113417025729	0	0	0	0	0	0	0	0.00364221950127	0	0.000911156164964	0	0	0	0	0	0	0	0	0	0.000224567459262	0	0	0	0	0	0	0	0	0.00712596727639	0	0.00979757643362	0	0.00217234945876	0	0	0	0.02220562045364	0.00992573125105	0	0	0.000635419723059	0.00697199715334	0.00411067722094	0	0	0.003645427867995	0	0	0.00144972408285	0	0	0.00723972974585	0	0	0	0	0.005620984647	0	0	0.00353295230284	0	0	0.00396423820736	0.00100001031795	0.02192995556	0.00970577490209	0.00221679283379	0	0	0	0	0	0.00126802101768	0	0	0	0	0.00424934824895	0	0	0	0.00109296240164	0	0	0	0	0	0	0	0	0	0	0.00177480135796	0.00877256394366	0	0.002673912196902	0	0	0	0.01065241404358	0	0.00122222223977	0	0	0	0.00267425229843	0	0.00586787660037	0.000853675708103	0	0	0	0	0.00489233679552	0	0.04049777353974	0	0	0	0	0	0	0	0.00470169733099	0.000955177526522	0.00574177320944	0.01294586826567	0.00629391755321	0.0022850759617	0	0.00220517712719	0	0	0	0	0	0	0.0538655121324	0.00234437536416	0	0	0	0.00295623062177	0	0	0	0	0	0	0	0
Acidaminococcaceae	0.19683556201532	0.08807312333173	0.70499421864219	0.075241974382493	0.01366238209526	0.183740160639585	0.245078905556	0.084325965437298	0.21272217236245	0.03245809859116	1.3706131637807	0.10326405818666	0.08457713770311	0.09707317401708	0.03597859819498	0.035291633040544	0.241339659677	5.2158437157061	0.0545079800648	0.237566664645763	0.0689740163186	0.479882670772626	0.07908989950238	0.02607766691963	0.0711608921168	45.2699441797328	0.132995942390826	0.1892842025273	2.7513561313397	0.19676721308074	3.5961120691313	0.059216540877473	0.084068347964931	0.05438005700393	0.15948789707885	0.49835133406104	0.15329517827513	1.8637992894136	0.05465564672588	0.051148569805906	0.074398138115791	0.0831299771949	2.5312421667165	0.07000198291729	0.224619564638248	0.38677856703419	3.57577554097132	0.460428296455146	0.080976888106338	0.100814664562142	0.065252838698038	0.063485652607736	0.061085744981882	0.08983927121868	0.0633257487575	0.1927048111929	0.0608962049014	0.0794568848016	0.067368063178	0.27588438019942	0.038470156292732	0.06989931881437	0.0791083679889	0.18154833002694	0.261153392213933	0.08500970098896	0.04863799461314	0.032531833218707	0.103221184002504	0.087650091260562	0.212049781219275	0.13203757610281	0.06719949252956	0.009521378469355	0.154553248586145	0.080802650564251	0.04924022486331	0.1677520147984	0.2388768521	0.0590250249754	0.04491649434508	0.037810608661334	0.030256873639091	0.08726346555519	0.2733602109501	0.09622582989162	0.0499321228727	0.05090060152191	1.55452218363253	0.21230374169951	0.061309178958689	0.85400999613049	0.1793728141587	0.85269845497971	0.7338152292244	0.10861991591439	0.85921423939954	0.05389508961857	0.30099913754818	1.34612923003054	0.10532060641957	0.066194929364445	0.00424505558572	0.07602262780761	0.1134233746909	0.09288126521081	0.03204012953188	0.103382973731636	0.060227557295815	0.049821011759473	0.134481535247704	0.0133722688562	0.1400976327305	0.126255886817848	0.426398639785974	3.00533032122536	0.6080328048768	6.362229510086	0.071000089588795	4.7433063068417	0.38076797102206	0.0609053493334	0.26868063308722	1.70839755517	0.07492106245222	0.16614969955176	0.076085349866562	0.0317846049688	0.62582272241963	0.49129913475363	0.023883535864517	0.38324833044901	0.3561774155604	0.253010686260388	0.4430981664927	16.3460305432994	0.1765300083499	0.56891931803154	0.09152806421035	0.064047556629015	0.09907118075667	2.00104608278045	0.13538834080452	0.111935881536488	0.081363514655053	0.30488322038293	0.922941501400651	0.8112221253717	0.60187904083335	0.02512062178375	0.02598563656147	0.13729063299884	0.263554029874806	0.0950341834711	0.11016396741066	0.16078256267443	0.036998686391778	0.06827330359081	0.10912354121815	0.04524293489759	13.948086571181	0.0999628796039	0.137787773955217	0.1713792726873	0.26590866593487	0.17769317344749	0.01905493255768	0.128874005832175	0.14988386835687	0.22117190376242	0.022854816410597	0.144434459145475	0.27717815491343	4.2951195898129	0.15584494435138	9.7672380282702	0.052743368457487	0.03907652920774	0.21566922342443	0.0978377811483	0.1263548847222	0.092492313501021	0.368320620166621	0.05234635192124	0.0022281683562044	0.1278418896519	3.28318220262923	0.052385496186089	0.154421604767421	0.03458119300162	0.04938517516751	0.04093473085006	0.048351117470154	0.017880311236995	0.034679034048463	0.264521258221761	0.0737581314052	0.08049210559996	0.06478494358708
Acidimicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000437610499406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00076768183421	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000759917076464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000430306039804	0	0	0	0	0	0	0	0	0.00163544594817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00261652545418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000630895817235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidithiobacillaceae	0.000474973842066	0	0	0	0	0.000385855610035	0	0.000331162475176	0	0.000305782293931	0	0	0	0	0	0	0	0.00112034384339	0	0	0	0	0	0	0	0	0.000610000140347	0	0	0.00042852491143	0.000495914976505	0	0	0	0	0.000461475606589	0.000865815794693	0	0.000922593252804	0	0	0.000667480573884	0.000733807212695	0	0.000399141923152	0	0	0	0	0	0	0	0.000357955277652	0	0	0.00182818499873	0	0	0	0	0	0	0	0	0	0	0	0	0.00026182897885	0	0	0	0	0	0	0	0	0	0.000792779701545	0	0	0	0	0	0	0	0	0	0	0.000583183165364	0	0	0	0	0	0	0	0	0.000260810683447	0	0	0	0	0	0	0	0	0.00182818505523	0	0	0	0	0	0	0	0	0	0.000672571779312	0	0	0	0.000351754642674	0	0	0	0	0	0	0	0	0	0.000537906720554	0	0	0	0	0.000417323411917	0	0	0	0	0	0.000975899175431	0	0	0.000861250872783	0	0	0	0	0	0	0	0	0	0	0.000442956281901	0	0	0.000351041829862	0	0	0	0	0	0	0.00049647524941	0	0	0	0	0	0.00048534146181	0.00217192237151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00131121497893	0	0	0	0	0	0	0	0
Acidobacteriaceae	0.000250702354547	0	0	0	0	0.000178468032934	0.000686912542875	0.000676356885113	0	0.000220956029979	0.000214135019958	0	0	0.000373266788163	0	0.000334290496678	0.00155926390085	0.002373089013762	0	0	0	0	0	0	0	0	0.000330535588143	0.000196926650043	0	0	0.00095323809787	0.000708481319166	0.000286208205945	0.001168053314733	0	0	0.000587635028861	0.000257087402326	0.000216901751405	0	0	0.000361074213893	0.000387320689505	0	0	0.000724787960032	0.000193680774447	0	0.000848138177784	0.000363925886304	0	0.000400801631333	0	0.00074482574781	0.001426105090335	0.000643306000086	0	0.00078272601687	0.000945579148256	0.000814816177216	0	0.000224933877026	0	0.001962599444495	0	0	0	8.14506163208e-05	0.00037839137745	0.00107441375991	0.000652683213068	0	0.000560388724177	0	0.000237353189533	0.000281472953432	0.000249215699877	0	0.002566331727188	0	0	0.000710553340925	0	0	0.000825588450043	0	0	0.000340624866588	0.000691400190869	0	0.001086267506112	0.000156993972638	0.00047542235642	0.000200646122653	0	0.000225522511035	0	0	0	0	0.000280521020418	0.000245924065439	0	0.000167904291905	0	0	0	0.000133351197034	0.000252231205288	0.000286121573194	0.00066746371324	0	0.000441888598276	0	0	0	0.000226498627864	0.000388894113974	0.000432458731655	0.002329003098456	0	0	0.000169825798245	0.000150457641961	0.000169981726544	0	0.000245024163992	0	0.000457915283358	0	0.000402877658699	0.000281956003007	0.000310871507983	0	0.000311065900043	0.003695593850182	0.000256048757358	0.000687939590034	0.000182901680098	0	0	0.000318687408001	0.00151682934642	0.000654968866891	0	0.000433190842084	0	0.000390031441171	0.000167986267662	0.00017458193107	0	0.000310037944656	0	0	0	0.000621847237401	0	0.000212097772303	0	0.000162365774201	0.000218285437476	0.000185165917998	0.000322605894573	0.001610047189811	0.000314775257784	0	0	0.000342997606952	0	0	0.000213148111366	0.000673163204788	0.000893471175773	0.00028461558822	0.000941920695835	0.000328463470686	0.000419910203014	0.000355108409366	0.002251851579708	0	0	0.001001586749535	0	0.00014134773277	4.82153931469e-05	0.000646272893909	0.000320632173064	0.000207504673507	0	0.000198352798603	0.000458202039392	0	0	0	0	0.000288808878289	0.000134704274817	0	0
Acidothermaceae	0	0	0	0.000440830146612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000342475787159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000573040794461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000474587944634	0	0	0	0	0	0	0
Actinomycetaceae	0.0204583212568	0.00125227647363	0.00152441690184	0.006062570160552	0.002095079475283	0.0015558608943	0.005283315205	0.00178043368688	0.00469015971813	0.000849729972859	0.00625843694143	0.00852860141638	0.0107588143018	0	0.00221011777567	0.001355490285046	0.0227859852173	0.005927147424177	0.00496793192038	0.00513077678385	0.00476685343904	0.00719254559563	0	0.000629832993566	0.017215909714935	0.014360685877245	0	0.0028613011605	0.001629837008353	0.00403179837406	0.007385841243729	0.00205881572684	0.00311897910981	0.00731289613833	0.0102037879538	0.00344798694809	0.00261187092457	0.00551754967448	0.00189092100904	0.002278642614846	0.00198312364306	0.00199487407264	0.0152936745023	0.0133468571504	0.00268402600187	0.0172864492359	0.00407874343167	0.00105465307654	0.00463114845963	0.00574796461838	0.013798642022242	0.02343147918647	0.00673568078742	0.00406702434228	0.00410337972593	0.00938221858033	0.000858381834551	0	0.00446893096516	0.00740867233415	0.00442228093868	0.00355267930993	0.019101276951	0.0224508355345	0.00264582016438	0.000926918116442	0.00539053138736	0.00172278921291	0.00254656261751	0.00137728997505	0.00569000661286	0.00252427699693	0.0152976187859	0.000338141716006	0.0131050217669	0.0053451914227	0.00354946791106	0.0156719532066	0	0.00695587745622	0.00431686748648	0.00995087949328	0.000358961794378	0.0135835457053	0.00536187046167	0.00477943806623	0.000532737723291	0.00392982022715	0.00221576311464	0.00235153217319	0.00657737155002	0.00165307614175	0.007473173352695	0.00699682628189	0.005977525643072	0.014417888176	0.014668614430618	0.00438581741707	0.00398617783472	0.00300511114503	0.00896699997892	0.00331012316409	0.00156281553821	0.00292753517216	0.00291649070506	0.00113310744209	0.000943906441493	0.00456341702428	0.0119747213596	0.00220067383223	0.020635165834542	0.00174356090657	0.003467327561362	0.00308595241429	0.00552095927741	0.002370385861	0.00536771728407	0.00184628172708	0.00157991188361	0.0150479855288	0.00497832230268	0.00293244378996	0.00296103805246	0.00433960892691	0.00148187838868	0.00214984578365	0.00659602108922	0.000534745500367	0.0026415052443	0.0182940177954	0.00477238624996	0.0209666796561	0.00409167199513	0	0.00180788780105	0.00789227860212	0.00498895510619	0.00679096447229	0.00562793739052	0.000918448656746	0.00340388656999	0.00572022695877	0.00437494971109	0.00695787572142	0.000475424683039	0.00658159223743	0.0021035883836	0.00340024292804	0	0.00710258438469	0.00348933437183	0.0181227052582	0.00143843855659	0.006810065238562	0.00648876118119	0.00736624417183	0.00893052140451	0.0240375271442	0.01842366976613	0.0103802124466	0.00317163967108	0.0064939553132	0.00248166907966	0.00248998238155	0.00613320543255	0.00314090906	0.00300285808521	0.00329766229137	0.00265739010938	0.00582289860236	0.00155739824157	0.00409880553913	0.0159877729021	0.0124067468335	0.0134426569516	0.00799988997303	0.01389740539407	0.004142352877447	0.0045766918064	0.00180882573815	0.00322566207306	0.00254110480709	0.014368834236	0.00369675296409	0	0.00735824160074	0.00279522921457	0.0005053878757	0.0136792594275	0.00800430925162	0.0058745869833	0.00270134039505	0.00166880100558	0.00277177634969	0.00241364850835	0.00492385795993	0.00469733677315	0.00615744966147	0.00299196311259
Adenoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0382473698645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000536803317416	0.000509366281353	0	0.00708328970759	0	0	0	0	0	0	0	0	0.000673522194675	0.00152970373371	0	0.000462605709841	0	0	0	0.00172087457221	0	0	0	0	0.000796155033303	0	0	0.000794940743081	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00119512016884	0.00148272463597	0	0	0	0	0.000520747504618	0.000686050666067	0	0	0	0	0	0	0	0	0	0	0	0	0.00082164795751	0	0	0	0	0	0	0	0	0	0	0.000419347509196	0.000565484562121	0	0	0	0	0	0	0	0	0.000324539742534	0	0	0.000567486951712	0	0	0.00175286337785	0	0	0	0.00479254358309	0	0	0	0	0	0	0.000298414228767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000638370165715	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000658668005383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000524219009591	0.0005489312592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
