genus	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
77likevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0300794472168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaryochloris	0	0.000321467987777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000146903139339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000236976611862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000184628537733	0	0	0.000210107285168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000337295970272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000368580437036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacterium	0.000350219693609	0	0	0	0	0	0	0	0	0	0	0.000532465110328	0	0	0	0.00023349424766	0	0.00310955683698	0.000659094834428	0	0	0	0	0	0	0.000262060921522	0	0	0	0	0	0.000546285590201	0	0	0	0	0	0	0	0	0	0	0.000541069243056	0	0	0	0	0	0.000409609213134	0	0.000304087879655	0	0	0	0	0.000449334492	0	0	0	0	0	0	0	0	0	0	0.00019070961246	0	0	0.000182724868741	0	0.00107166552586	0	0	0.000732059540442	0	0	0	0	0	0	0	0	0	0	0	0.000848138872642	0	0	0	0	0.000219313380982	0	0	0	0	0.000215747682407	0	0.000192307511608	0	0.000432600231107	0.000250944901792	0	0	0	0	0	0	0	0	0	0.000185054385679	0	0	0	0	0	0	0	0	0	0	0.000261893670069	0	0	0.000380292986708	0	0	0.00210268879228	0	0	0.00076735074851	0.000434273241966	0.000225833675233	0	0	0	0	0	0	0	0	0.000386949311662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000751168001654	0.00134649917584	0.000517336593708	0	0	0.000406845754317	0.000666726346506	0	0.000350000316714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00494456892967	0	0	0	0	0	0.000295199461961	0	0	0	0	0.000933609128115	0
Acetohalobium	0	0	0	0	0	0	0	0	0	0	0	0	0.000667939779928	0	0	0	0	0	0	0.000405407117417	0	0.00178614006618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000498044077495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000438801333366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000464780685435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00130365246078	0	0	0	0	0	0	0	0	0	0	0	0	0.000289996817416	0	0.00115485178992	0	0	0	0	0	0	0	0.000461713904361	0	0	0	0	0	0	0.000357008744316	0	0	0	0	0	0	0	0	0.000483486365443	0	0	0	0	0	0
Acholeplasma	0.00283881389144	0	0	0	0.000364473987073	0	0.00189388627682	0.00127644813741	0.00336252098601	0.00121839555064	0.000747811262297	0	0.00330571187171	0	0.0110915139232	0	0	0	0	0	0.0011391683645	0	0	0	0	0	0	0	0	0	0	0.00295205771397	0	0.0104856841606	0	0	0	0	0	0	0	0	0	0.00159479598289	0.000427613665901	0	0.00292417768472	0.00113417025729	0	0	0	0	0	0	0	0.00364221950127	0	0.000911156164964	0	0	0	0	0	0	0	0	0	0.000224567459262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00153763650154	0	0	0	0.000635419723059	0	0.00117888042193	0	0	0.000836040299345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00100001031795	0.02192995556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00109296240164	0	0	0	0	0	0	0	0	0	0	0.00177480135796	0.00585858306069	0	0.000997663386212	0	0	0	0.00325031950301	0	0	0	0	0	0	0	0.00586787660037	0.000853675708103	0	0	0	0	0.00489233679552	0	0.0178514560611	0	0	0	0	0	0	0	0.00470169733099	0.000955177526522	0.00313933469995	0.00101446923647	0.00344122156217	0.0022850759617	0	0	0	0	0	0	0	0	0.0199291062291	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	0.00019248980271	0	0.00163032659434	0.000878242744296	7.41410270779e-05	0	0.00308202349056	0.00025965412972	0.000342000757689	0	0	0	0	0	0	0	0	0	0	0	0.00648840585478	0	0	0	0	0	0.000247211101475	0	0.000748528207039	0.000671985936097	0	0	0.000568580433758	0	0.000915751188731	0	0	0	0	0	0	0.000872782786096	0.0035686278213	0	0	0.000560225293592	0	0	0	0	0	0	0	0	0	0	0	0.000185346708667	0	0.000308703657265	0	0.000345409421382	0.000334282067102	0	0	0	0	0	0	0.000200860628777	0	0	0	0	0.000402358859548	0.000194882437531	0	0.000879061398796	0.00160642539471	0	0	0.000252384717451	0.000104700234565	0	0.0034406335951	0	0.00015538635438	0.000191038482843	0.000258513213914	0	0.000239806977683	0	0.000480080545149	0	0.000172953455696	0	0	0	0	0	0	0	0	0.00213472313783	0	0	0	0.000102387333596	0.000174636431346	0	0	0	0.00173482370128	0.000450047813851	0	0	0	0.0013462862408	0.000153607010919	0	0	0	0.00100760474816	0.000168767476904	0.00057630279813	0	0.000274842204081	0	0	0.000444659195934	0	0	0	0	0	0.000511551451271	0.00218273132976	0	0	8.92962160162e-05	0	0	0.00191409615787	0	0	0.00104710194059	0	0	0	0	0	0	0	0	0	0	0.000868270384651	0	0	0	0.00148014155364	0	0	0	0.00245974245458	0	0	0.00192369227494	0.00232528396174	0	0	0	0	0.00276727155139	0.00020636257675	0	0	0.00143825580211	0	0	0.000188169092625	0	0.0018626808244	0.000599028315873	0	0.00262315314459	0.00135883149224	0	0.00166245834186	0	0.000342694205766	0.000945496631999	0	0	0	0	0	0.00513135726399	0
Acidaminococcus	0.19683556201532	0.08807312333173	0.70499421864219	0.075241974382493	0.01366238209526	0.183740160639585	0.245078905556	0.084325965437298	0.21272217236245	0.03245809859116	1.3706131637807	0.10326405818666	0.08457713770311	0.09707317401708	0.03597859819498	0.035291633040544	0.241339659677	5.2158437157061	0.0545079800648	0.237566664645763	0.0689740163186	0.479882670772626	0.07908989950238	0.02607766691963	0.0711608921168	45.2699441797328	0.132995942390826	0.1892842025273	2.7513561313397	0.19676721308074	3.5961120691313	0.059216540877473	0.084068347964931	0.05438005700393	0.15948789707885	0.49835133406104	0.15329517827513	1.8637992894136	0.05465564672588	0.051148569805906	0.074398138115791	0.0831299771949	2.5312421667165	0.07000198291729	0.224619564638248	0.38677856703419	3.57577554097132	0.460428296455146	0.080976888106338	0.100814664562142	0.065252838698038	0.063485652607736	0.061085744981882	0.08983927121868	0.0633257487575	0.1927048111929	0.0608962049014	0.0794568848016	0.067368063178	0.27588438019942	0.038470156292732	0.06989931881437	0.0791083679889	0.18154833002694	0.261153392213933	0.08500970098896	0.04863799461314	0.032531833218707	0.103221184002504	0.087650091260562	0.212049781219275	0.13203757610281	0.06719949252956	0.009521378469355	0.154553248586145	0.080802650564251	0.04924022486331	0.1677520147984	0.2388768521	0.0590250249754	0.04491649434508	0.037810608661334	0.030256873639091	0.08726346555519	0.2733602109501	0.09622582989162	0.0499321228727	0.05090060152191	1.55452218363253	0.21230374169951	0.061309178958689	0.85400999613049	0.1793728141587	0.85269845497971	0.7338152292244	0.10861991591439	0.85921423939954	0.05389508961857	0.30099913754818	1.34612923003054	0.10532060641957	0.066194929364445	0.00424505558572	0.07602262780761	0.1134233746909	0.09288126521081	0.03204012953188	0.103382973731636	0.060227557295815	0.049821011759473	0.134481535247704	0.0133722688562	0.1400976327305	0.126255886817848	0.426398639785974	3.00533032122536	0.6080328048768	6.362229510086	0.071000089588795	4.7433063068417	0.38076797102206	0.0609053493334	0.26868063308722	1.70839755517	0.07492106245222	0.16614969955176	0.076085349866562	0.0317846049688	0.62582272241963	0.49129913475363	0.023883535864517	0.38324833044901	0.3561774155604	0.253010686260388	0.4430981664927	16.3460305432994	0.1765300083499	0.56891931803154	0.09152806421035	0.064047556629015	0.09907118075667	2.00104608278045	0.13538834080452	0.111935881536488	0.081363514655053	0.30488322038293	0.922941501400651	0.8112221253717	0.60187904083335	0.02512062178375	0.02598563656147	0.13729063299884	0.263554029874806	0.0950341834711	0.11016396741066	0.16078256267443	0.036998686391778	0.06827330359081	0.10912354121815	0.04524293489759	13.948086571181	0.0999628796039	0.137787773955217	0.1713792726873	0.26590866593487	0.17769317344749	0.01905493255768	0.128874005832175	0.14988386835687	0.22117190376242	0.022854816410597	0.144434459145475	0.27717815491343	4.2951195898129	0.15584494435138	9.7672380282702	0.052743368457487	0.03907652920774	0.21566922342443	0.0978377811483	0.1263548847222	0.092492313501021	0.368320620166621	0.05234635192124	0.0022281683562044	0.1278418896519	3.28318220262923	0.052385496186089	0.154421604767421	0.03458119300162	0.04938517516751	0.04093473085006	0.048351117470154	0.017880311236995	0.034679034048463	0.264521258221761	0.0737581314052	0.08049210559996	0.06478494358708
Acidimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000437610499406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00076768183421	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000759917076464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000430306039804	0	0	0	0	0	0	0	0	0.00163544594817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00261652545418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000630895817235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium	0	0	0	0.000255575687741	0	0.000264122351788	0	0	0	0	0	0	0	0	0	0	0.00270769810965	0.0042630835177	0	0	0	0.000556517199109	0	0	0	0.000267463182164	0	0	0.000326741574383	0	0	0	0	0.000792160910353	0.000799472838391	0	0.00066508531742	0	0.000321002029026	0.00024290966986	0	0.00054023099451	0	0	0	0	0	0	0	0	0.00029182499853	0.000784982916112	0	0	0	0.000431214284556	0	0	0	0	0	0	0	0.00242533790187	0	0.000236029898682	0	0	0	0.000350712331003	0	0	0.00135491370177	0	0.00112072589696	0	0.000301278159153	0	0.000560979220458	0.000885620327251	0	0	0	0	0.00218454980109	0	0	0	0.000451376521118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035754643057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00044201421341	0	0	0	0	0	0	0	0.00257742090736	0	0	0	0.00491256408225	0	0.000230566307554	0.000238849126028	0	0	0.000416170091146	0.00297075917489	0	0	0	0	0.00122775777765	0	0	0	0.000769125882508	0	0	0	0	0	0	0	0	0.00161524902134	0	0	0	0	0	0	0	0	0	0	0.00125246099601	0.00169629889239	0.00118583498974	0	0	0	0	0	0.000326564883073	0	0	0	0	0	0	0.00189806817986	0	0.00185223719783	0	0.000954536633218	0	0	0	0	0	0.000199354524593	0	0
