order	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
Acholeplasmatales	0.00283881389144	0	0	0	0.000364473987073	0	0.00189388627682	0.00911606482047	0.00336252098601	0.00121839555064	0.000747811262297	0	0.00330571187171	0.00129720718911	0.01306178918312	0	0	0.00596993591677	0	0	0.0011391683645	0.00366400503277	0.00862594111765	0	0	0	0	0	0.0011439057271	0	0	0.00295205771397	0.00845331015786	0.0104856841606	0	0	0.00580790160728	0	0	0	0	0	0	0.00357787148009	0.000427613665901	0	0.00292417768472	0.00113417025729	0	0	0	0	0	0	0	0.00364221950127	0	0.000911156164964	0	0	0	0	0	0	0	0	0	0.000224567459262	0	0	0	0	0	0	0	0	0.00712596727639	0	0.00979757643362	0	0.00217234945876	0	0	0	0.02220562045364	0.00992573125105	0	0	0.000635419723059	0.00697199715334	0.00411067722094	0	0	0.003645427867995	0	0	0.00144972408285	0	0	0.00723972974585	0	0	0	0	0.005620984647	0	0	0.00353295230284	0	0	0.00396423820736	0.00100001031795	0.02192995556	0.00970577490209	0.00221679283379	0	0	0	0	0	0.00126802101768	0	0	0	0	0.00424934824895	0	0	0	0.00109296240164	0	0	0	0	0	0	0	0	0	0	0.00177480135796	0.00877256394366	0	0.002673912196902	0	0	0	0.01065241404358	0	0.00122222223977	0	0	0	0.00267425229843	0	0.00586787660037	0.000853675708103	0	0	0	0	0.00489233679552	0	0.04049777353974	0	0	0	0	0	0	0	0.00470169733099	0.000955177526522	0.00574177320944	0.01294586826567	0.00629391755321	0.0022850759617	0	0.00220517712719	0	0	0	0	0	0	0.0538655121324	0.00234437536416	0	0	0	0.00295623062177	0	0	0	0	0	0	0	0
Acidimicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000437610499406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00076768183421	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000759917076464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000430306039804	0	0	0	0	0	0	0	0	0.00163544594817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00261652545418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000630895817235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidithiobacillales	0.000474973842066	0	0	0	0	0.000385855610035	0	0.000331162475176	0	0.000305782293931	0	0	0	0	0	0	0	0.00112034384339	0	0	0	0	0	0	0	0	0.000610000140347	0	0	0.00042852491143	0.000495914976505	0	0	0	0	0.000461475606589	0.000865815794693	0	0.000922593252804	0	0	0.000667480573884	0.000733807212695	0	0.000399141923152	0	0	0	0	0	0	0	0.000357955277652	0	0	0.00182818499873	0	0	0	0	0	0	0	0	0	0	0	0	0.00026182897885	0	0	0	0	0	0	0	0	0	0.000792779701545	0	0	0	0	0	0	0	0	0	0	0.000583183165364	0	0	0	0	0	0	0	0	0.000260810683447	0	0	0	0	0	0	0	0	0.00182818505523	0	0	0	0	0	0	0	0	0	0.000672571779312	0	0	0	0.000351754642674	0	0	0	0	0	0	0	0	0	0.000537906720554	0	0	0	0	0.000417323411917	0	0	0	0	0	0.000975899175431	0	0	0.000861250872783	0	0	0	0	0	0	0	0	0	0	0.000442956281901	0	0	0.000351041829862	0	0	0	0	0	0	0.00049647524941	0	0	0	0	0	0.00048534146181	0.00217192237151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00131121497893	0	0	0	0	0	0	0	0
Acidobacteriales	0.000250702354547	0	0	0	0	0.000178468032934	0.000686912542875	0.000676356885113	0	0.000220956029979	0.000214135019958	0	0	0.000373266788163	0	0.000334290496678	0.00155926390085	0.002373089013762	0	0	0	0	0	0	0	0	0.000330535588143	0.000196926650043	0	0	0.00095323809787	0.000708481319166	0.000286208205945	0.001168053314733	0	0	0.000587635028861	0.000257087402326	0.000216901751405	0	0	0.000361074213893	0.000387320689505	0	0	0.000724787960032	0.000193680774447	0	0.000848138177784	0.000363925886304	0	0.000400801631333	0	0.00074482574781	0.001426105090335	0.000643306000086	0	0.00078272601687	0.000945579148256	0.000814816177216	0	0.000224933877026	0	0.001962599444495	0	0	0	8.14506163208e-05	0.00037839137745	0.00107441375991	0.000652683213068	0	0.000560388724177	0	0.000237353189533	0.000281472953432	0.000249215699877	0	0.002566331727188	0	0	0.000710553340925	0	0	0.000825588450043	0	0	0.000340624866588	0.000691400190869	0	0.001086267506112	0.000156993972638	0.00047542235642	0.000200646122653	0	0.000225522511035	0	0	0	0	0.000280521020418	0.000245924065439	0	0.000167904291905	0	0	0	0.000133351197034	0.000252231205288	0.000286121573194	0.00066746371324	0	0.000441888598276	0	0	0	0.000226498627864	0.000388894113974	0.000432458731655	0.002329003098456	0	0	0.000169825798245	0.000150457641961	0.000169981726544	0	0.000245024163992	0	0.000457915283358	0	0.000402877658699	0.000281956003007	0.000310871507983	0	0.000311065900043	0.003695593850182	0.000256048757358	0.000687939590034	0.000182901680098	0	0	0.000318687408001	0.00151682934642	0.000654968866891	0	0.000433190842084	0	0.000390031441171	0.000167986267662	0.00017458193107	0	0.000310037944656	0	0	0	0.000621847237401	0	0.000212097772303	0	0.000162365774201	0.000218285437476	0.000185165917998	0.000322605894573	0.001610047189811	0.000314775257784	0	0	0.000342997606952	0	0	0.000213148111366	0.000673163204788	0.000893471175773	0.00028461558822	0.000941920695835	0.000328463470686	0.000419910203014	0.000355108409366	0.002251851579708	0	0	0.001001586749535	0	0.00014134773277	4.82153931469e-05	0.000646272893909	0.000320632173064	0.000207504673507	0	0.000198352798603	0.000458202039392	0	0	0	0	0.000288808878289	0.000134704274817	0	0
Acidothermales	0	0	0	0.000440830146612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000342475787159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000573040794461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000474587944634	0	0	0	0	0	0	0
Actinomycetales	0.0204583212568	0.00125227647363	0.00152441690184	0.006062570160552	0.002095079475283	0.0015558608943	0.005283315205	0.00178043368688	0.00469015971813	0.000849729972859	0.00625843694143	0.00852860141638	0.0107588143018	0	0.00221011777567	0.001355490285046	0.0227859852173	0.005927147424177	0.00496793192038	0.00513077678385	0.00476685343904	0.00719254559563	0	0.000629832993566	0.017215909714935	0.014360685877245	0	0.0028613011605	0.001629837008353	0.00403179837406	0.007385841243729	0.00205881572684	0.00311897910981	0.00731289613833	0.0102037879538	0.00344798694809	0.00261187092457	0.00551754967448	0.00189092100904	0.002278642614846	0.00198312364306	0.00199487407264	0.0152936745023	0.0133468571504	0.00268402600187	0.0172864492359	0.00407874343167	0.00105465307654	0.00463114845963	0.00574796461838	0.013798642022242	0.02343147918647	0.00673568078742	0.00406702434228	0.00410337972593	0.00938221858033	0.000858381834551	0	0.00446893096516	0.00740867233415	0.00442228093868	0.00355267930993	0.019101276951	0.0224508355345	0.00264582016438	0.000926918116442	0.00539053138736	0.00172278921291	0.00254656261751	0.00137728997505	0.00569000661286	0.00252427699693	0.0152976187859	0.000338141716006	0.0131050217669	0.0053451914227	0.00354946791106	0.0156719532066	0	0.00695587745622	0.00431686748648	0.00995087949328	0.000358961794378	0.0135835457053	0.00536187046167	0.00477943806623	0.000532737723291	0.00392982022715	0.00221576311464	0.00235153217319	0.00657737155002	0.00165307614175	0.007473173352695	0.00699682628189	0.005977525643072	0.014417888176	0.014668614430618	0.00438581741707	0.00398617783472	0.00300511114503	0.00896699997892	0.00331012316409	0.00156281553821	0.00292753517216	0.00291649070506	0.00113310744209	0.000943906441493	0.00456341702428	0.0119747213596	0.00220067383223	0.020635165834542	0.00174356090657	0.003467327561362	0.00308595241429	0.00552095927741	0.002370385861	0.00536771728407	0.00184628172708	0.00157991188361	0.0150479855288	0.00497832230268	0.00293244378996	0.00296103805246	0.00433960892691	0.00148187838868	0.00214984578365	0.00659602108922	0.000534745500367	0.0026415052443	0.0182940177954	0.00477238624996	0.0209666796561	0.00409167199513	0	0.00180788780105	0.00789227860212	0.00498895510619	0.00679096447229	0.00562793739052	0.000918448656746	0.00340388656999	0.00572022695877	0.00437494971109	0.00695787572142	0.000475424683039	0.00658159223743	0.0021035883836	0.00340024292804	0	0.00710258438469	0.00348933437183	0.0181227052582	0.00143843855659	0.006810065238562	0.00648876118119	0.00736624417183	0.00893052140451	0.0240375271442	0.01842366976613	0.0103802124466	0.00317163967108	0.0064939553132	0.00248166907966	0.00248998238155	0.00613320543255	0.00314090906	0.00300285808521	0.00329766229137	0.00265739010938	0.00582289860236	0.00155739824157	0.00409880553913	0.0159877729021	0.0124067468335	0.0134426569516	0.00799988997303	0.01389740539407	0.004142352877447	0.0045766918064	0.00180882573815	0.00322566207306	0.00254110480709	0.014368834236	0.00369675296409	0	0.00735824160074	0.00279522921457	0.0005053878757	0.0136792594275	0.00800430925162	0.0058745869833	0.00270134039505	0.00166880100558	0.00277177634969	0.00241364850835	0.00492385795993	0.00469733677315	0.00615744966147	0.00299196311259
Aeromonadales	0.001465521223925	0.00106654784536	0.00175433670433	0.003646316160129	0.000439736743536	0	0	0.002268097309356	0.003049526672631	0	0.00900672260657	0.001396527812634	0.00392706190473	0.000219547499585	0.000235291127924	0.001057460783955	0.00210539857123	0.00178233085507	0.004621375348092	0.000397256083696	0.000338322338796	0.000949404085523	0.000694176673481	0.001231174381083	0.004964352916465	0.000232870940458	0.00180463207541	0.000348245015938	0.04082043044122	0.001007431136238	0.0019869186261	0	0.000166024661852	0.002632099337864	0.000334247523356	0.000419649733579	0.00389286981733	0	0.00029723327668	0.000190985731365	0	0.000538671932778	0.003257156062034	0.000236819737824	0.000126997255241	0.002264181959793	0.00446762485526	0.000160450463289	0.000798399729705	0.004626040459336	0.001490292933047	0.31623170363343	0.000647644839871	0.000577305430098	0.001319806894386	0.002269632882078	0.000665967480571	0.031364218871695	0.002734355543356	0.001899610372066	0.00030383620179	0.00151288574968	0.0096553576426	0.002338939897385	0	0.000104838919016	0.0001530348864	0	0	0.000832647689899	0	0.000952194593464	0.00496691478163	0.000159457168888	0.000587441016553	0.000413151158308	0.00036580337051	0.000629407038843	0.001934842771451	0.000493685983734	0.000525399984939	0.00039976074286	0.000152861583053	0.000578446601424	0.000505698435473	0.00746274142435	0.000467883795826	0.002051750297924	0.000815644897178	0.000369636600215	0.0028009315844	0.0010559278448	0.000250406749824	0.000274957228804	0.000252510790851	0	0	0.00046691807029	0	0.000685657030991	0.001084747987223	0.000805482724088	0	0.00020777868651	0	0.00193010621275	0.000267971011884	0.000912959687136	0.000847036202206	0.00164000002043	0.001635078878491	0.000698854270918	0.002723439457175	0.004740416298141	0	0.00071393924557	0	0.001534765441268	0.000672795365399	0.009006250089626	0.0015142762108	0.016246900133226	0.00335876814164	0	0.000877111759659	0.000305166023196	0	0.0020494615443	0	0.004928561975817	0	0.003164134148394	0.001543439153754	0	0	0.003304279942841	0.000967658485133	0.000619780409165	0.000442326851185	0.00169483376011	0.000131774846686	0.000717694758722	0.001792929246641	0.000952520458429	0	0.002097509004304	0	0.00096531446129	0	0.002452072160003	0	0.0041802789506	0.03334865530783	0	0.00030112836966	0.000697081764935	0.001890568333823	0.000803781954473	0.001163199579163	0.004441921586319	0.00114792888381	0.00521149583191	0.01627042129628	0	0.00099979416033	0.001382954313067	0.00101520476086	0.000622030193899	0.00221826374692	0.00393632170945	0	0.0017454501096	0.001841617669156	0.000310784337958	0.004070297315545	0.003379930921313	0.000452430777741	0.00167966672202	0.002063786540991	0.0012837947758	0.000392590879825	0.000778864625655	0.001500676304606	0.003128768939477	0.0001116883970719	0.00174081116584	0.00056700581762	0.000238325282078	0.008282696906046	0.001027550595688	0.001269042559815	0.001503938236791	0.000928690838039	0.002040638027422	0.000342612257255	0.001631587739806	0.001345770317838	0	0.002389463911243
Agaricales	0	0	0	0	0	4.79165315503e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43777824923e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alteromonadales	0.000300859438205	0.000541703065238	0	0	0.000250344092408	0.00026014646744	0.000593153509591	0.000377699927273	0.018086674643106	0	0	0	0.000305833610437	0.000481225515695	0.000554311443337	0.000268409515358	0.000945281741167	0.000810275378942	0.000257594926731	0.000204544261262	0	0.000426222370747	0	0	0	0.000798868521945	0	0.000255952749353	0.010186067188001	0.000268611711878	0.001332517985004	0	0.000563974028354	0.001077910627848	0.001456490241726	0.000268266484186	0.000581553681599	0	0.000573219687273	0.000186038339033	0	0	0.004806643460887	0.000402229945974	0.00085791004452	0.00079673692004	0.005759377319893	0	0.000310089869665	0	0.000229096859969	0	0	0	0.000722710602899	0	0.000570992942378	0	0	0.000493590198168	0.000231315167825	0.00042826381995	0.0001715587887	0.000626493131834	0.001794501866842	0.000112712998302	0.000443058505326	9.55418055397e-05	0.000179446625367	0	0.000832118366609	0.000182575979706	0.005336102960319	0.00067045107845	0.000371103200393	0.000666103584427	0	0	0	0.000512729488938	0.000569734645741	0.000217021146432	0	0	0.00274219474023	0.000606549635374	0.000231146501684	0.007803460645779	0	0.002535910872596	0.000364227235126	0.000168929547796	0.000818791882697	0.000226824861309	0.002868990193298	0	0.000824987920002	0	0.000297847173886	0.000483287627769	0.00045445398792	0	0.000101174489372	0.000243214447965	0.000533393924889	0.000428305751996	0.000341354462121	0.000362695464022	0.000298451605914	0.000247067864854	0	0.004032696250504	0	0.000317050714932	0.000399242869152	0.000205694613112	0	0	0	0.001000987068194	0.000159689201146	0	0.000507447247821	0	0.00109822793682	0	0.000420851371814	0	0.000159212389812	0.004414431918968	0.004206053291924	0.000909228697833	0.000757380352399	0.000196367338011	0.000426823058725	0	0.000287761323926	0.000709032668633	0	0	0.0027859312537	0.000394258997487	0.000319755982331	0	0.000381219836688	0.000268694552076	0	0.002346055765671	0	0.000671944741817	0	0.000733723446869	0.005080583604211	0.001320541643194	0	0.000358922318624	0.000309113429765	0.000576577499209	0	0	0.000253401565597	0.00044032057458	0.000625367669996	0	0.002561315353719	0.000305546970129	0.000167363489018	0	0	0.001130753370546	0	0.00270137976179	0.000668305672112	0.001893960372484	0.000290544565992	0.000398770031952	0	0	0.000411057179357	0.002549623642075	0	0	0.000265274967287	0.00110675054565	0.0001058922306568	0.002413116954976	0.004516964350485	0	0	0.000936015009853	0.000358369733962	0.00225990349124	0.000420529153182	0	0	0	0	0.00021923572936	0.000187600793225
Anaerolineales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000624373207353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000606101229745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000603463221792	0	0	0.000359802711052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000323722678685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000302903452512	0	0	0	0	0	0.000723561128296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000404796178604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101406134407	0	0	0.000427432116504	0	0	0
