SampleName	Total_Sequences_Passing_QC	Total_Human_Hits	Total_Seqs_Passing_Contaminant_Screen	Total_Metaphlan_Alignments	Total_Kraken_Hits	Total_HUMAnN_Hits	Unique_KEGG_Modules	Unique_KEGG_Pathways
CCIS00146684ST-4-0	64984020	63984020	1000000	17507	188064	292925	210	234
CCIS00281083ST-3-0	18139765	17139765	1000000	20040	105337	182837	199	213
CCIS02124300ST-4-0	78560969	77560969	1000000	21932	222934	348116	209	233
CCIS02379307ST-4-0	8837194	7837194	1000000	27039	246898	290431	208	230
CCIS02856720ST-4-0	62945939	61945939	1000000	25989	319667	330441	209	239
CCIS03473770ST-4-0	32422500	31422500	1000000	20856	214988	322320	209	233
CCIS03857607ST-4-0	55474043	54474043	1000000	12241	108087	305576	209	232
CCIS05314658ST-4-0	52321237	51321237	1000000	22285	249619	325306	208	234
CCIS06260551ST-3-0	23468557	22468557	1000000	13205	157734	292718	211	229
CCIS07277498ST-4-0	58325221	57325221	1000000	25636	259250	305174	205	223
CCIS07539127ST-4-0	58769703	57769703	1000000	19209	212890	311036	211	235
CCIS07648107ST-4-0	57048446	56048446	1000000	22956	245277	332639	210	230
CCIS08668806ST-3-0	12279213	11279213	1000000	27379	201823	259002	206	222
CCIS09568613ST-4-0	64525617	63525617	1000000	16358	247505	342013	208	237
CCIS10706551ST-3-0	44561455	43561455	1000000	18532	226702	287079	209	228
CCIS10793554ST-4-0	31104281	30104281	1000000	25410	255031	335512	208	232
CCIS11015875ST-4-0	48408222	47408222	1000000	16857	148734	371926	213	241
CCIS11019776ST-4-0	36557373	35557373	1000000	11906	123846	339904	208	228
CCIS11354283ST-4-0	52236182	51236182	1000000	24479	216136	315151	215	233
CCIS11362406ST-4-0	77483018	76483018	1000000	21580	226698	299577	208	227
CCIS11558985ST-4-0	30941928	29941928	1000000	24883	153069	301516	203	226
CCIS12370844ST-4-0	4616964	3616964	1000000	20967	146725	215071	213	256
CCIS12656533ST-4-0	36502812	35502812	1000000	22894	275012	320561	213	235
CCIS13047523ST-4-0	54472925	53472925	1000000	31786	390763	330854	206	224
CCIS14449628ST-4-0	38396347	37396347	1000000	27917	156806	353179	212	245
CCIS15704761ST-4-0	33763912	32763912	1000000	35242	161080	330263	210	229
CCIS15794887ST-4-0	31897068	30897068	1000000	15097	135925	256701	208	230
CCIS16326685ST-4-0	40083619	39083619	1000000	22478	180103	316532	210	234
CCIS16383318ST-4-0	66551645	65551645	1000000	19767	206000	323716	207	227
CCIS16561622ST-4-0	75111773	74111773	1000000	23901	187410	284486	207	239
CCIS17669415ST-4-0	49184562	48184562	1000000	13888	133188	255840	203	225
CCIS19142497ST-3-0	12010355	11010355	1000000	14041	113671	208219	202	212
CCIS20795251ST-4-0	46081718	45081718	1000000	24034	267927	316062	208	227
CCIS21126322ST-4-0	60082008	59082008	1000000	18100	207127	299627	206	225
CCIS21278152ST-4-0	37883477	36883477	1000000	17813	148962	314377	208	239
CCIS22275061ST-4-0	72981529	71981529	1000000	17881	214105	284561	205	224
CCIS22416007ST-4-0	76184608	75184608	1000000	26545	245712	286468	207	226
CCIS22906510ST-20-0	74096077	73096077	1000000	28486	206623	320027	209	231
CCIS22958137ST-20-0	84543167	83543167	1000000	19005	165129	300538	208	233
CCIS23164343ST-4-0	59845717	58845717	1000000	25211	287034	336917	208	234
CCIS24254057ST-4-0	108855658	107855658	1000000	28183	290211	342829	207	233
CCIS24898163ST-4-0	9581771	8581771	1000000	25002	270402	347712	213	246
CCIS25399172ST-4-0	23352493	22352493	1000000	12011	108211	325075	212	241
CCIS27304052ST-3-0	19489107	18489107	1000000	22129	192304	227721	208	218
CCIS27927933ST-4-0	77666888	76666888	1000000	29653	376739	347548	202	222
CCIS28384594ST-4-0	44525051	43525051	1000000	16247	137720	330855	209	237
CCIS29210128ST-4-0	36610618	35610618	1000000	32398	289451	327199	202	230
CCIS29688262ST-20-0	71688038	70688038	1000000	26012	236254	355197	206	234
