kegglevel1,Adenoma10.2757.S10.L001,Adenoma11.2775.S11.L001,Adenoma1.2065.S1.L001,Adenoma12.2799.S12.L001,Adenoma13.2803.S13.L001,Adenoma14.2817.S14.L001,Adenoma15.2847.S15.L001,Adenoma16.2873.S16.L001,Adenoma17.2937.S17.L001,Adenoma18.2967.S18.L001,Adenoma19.2971.S19.L001,Adenoma20.2995.S20.L001,Adenoma21.3129.S21.L001,Adenoma2.2113.S2.L001,Adenoma22.3133.S22.L001,Adenoma23.3141.S23.L001,Adenoma24.3217.S24.L001,Adenoma25.3273.S25.L001,Adenoma26.3373.S26.L001,Adenoma27.3379.S27.L001,Adenoma28.3391.S28.L001,Adenoma29.3399.S29.L001,Adenoma30.3509.S30.L001,Adenoma3.2123.S3.L001,Adenoma4.2143.S4.L001,Adenoma5.2243.S5.L001,Adenoma6.2453.S6.L001,Adenoma7.2475.S7.L001,Adenoma8.2555.S8.L001,Adenoma9.2717.S9.L001,Cancer10.2567.S70.L001,Cancer11.2573.S71.L001,Cancer12.2575.S72.L001,Cancer1.2355.S61.L001,Cancer13.2579.S73.L001,Cancer14.2611.S74.L001,Cancer15.2613.S75.L001,Cancer16.2619.S76.L001,Cancer17.2625.S77.L001,Cancer18.2629.S78.L001,Cancer19.2633.S79.L001,Cancer20.2667.S80.L001,Cancer21.2671.S81.L001,Cancer22.2703.S82.L001,Cancer2.2455.S62.L001,Cancer23.2705.S83.L001,Cancer24.2727.S84.L001,Cancer25.2735.S85.L001,Cancer26.2763.S86.L001,Cancer27.2771.S87.L001,Cancer28.2777.S88.L001,Cancer29.2801.S89.L001,Cancer30.2863.S90.L001,Cancer3.2513.S63.L001,Cancer4.2521.S64.L001,Cancer5.2523.S65.L001,Cancer6.2535.S66.L001,Cancer7.2537.S67.L001,Cancer8.2543.S68.L001,Cancer9.2547.S69.L001,Healthy10.3087.S40.L001,Healthy11.3123.S41.L001,Healthy1.2027.S31.L001,Healthy12.3211.S42.L001,Healthy13.3241.S43.L001,Healthy14.3245.S44.L001,Healthy15.3247.S45.L001,Healthy16.3251.S46.L001,Healthy17.3257.S47.L001,Healthy18.3293.S48.L001,Healthy19.3339.S49.L001,Healthy20.3341.S50.L001,Healthy21.3347.S51.L001,Healthy22.3363.S52.L001,Healthy2.2779.S32.L001,Healthy23.3367.S53.L001,Healthy24.3403.S54.L001,Healthy25.3405.S55.L001,Healthy26.3407.S56.L001,Healthy27.3439.S57.L001,Healthy28.3499.S58.L001,Healthy29.3529.S59.L001,Healthy30.3291.66.S60.L001,Healthy3.3021.S33.L001,Healthy4.3023.S34.L001,Healthy5.3043.S35.L001,Healthy6.3061.S36.L001,Healthy7.3063.S37.L001,Healthy8.3073.S38.L001,Healthy9.3075.S39.L001
Cellular_Processes,0.022187088,0.020653088,0.027352181,0.017773314,0.020189453,0.024281822,0.024595067,0.022887697,0.02000688,0.020649141,0.021045637,0.023343406,0.022016554,0.020417993,0.025793741,0.019472074,0.023361277,0.021882116,0.023841219,0.022796251,0.021939015,0.022254842,0.017363883,0.019836317,0.019526643,0.024971943,0.019389908,0.023098144,0.020628978,0.022206973,0.027751536,0.021455318,0.019353246,0.025194134,0.023005936,0.028399268,0.021273627,0.02159989,0.022470453,0.031924431,0.014913817,0.023028407,0.020638416,0.022638038,0.027665728,0.020850015,0.024198842,0.025538271,0.030403654,0.0213242,0.026106508,0.01964902,0.024155754,0.024496886,0.023637173,0.021876203,0.022592096,0.020353321,0.02203953,0.020307142,0.020891186,0.021627835,0.026748414,0.019403229,0.02250504,0.022925911,0.026155963,0.018755997,0.019780136,0.023629213,0.028717326,0.025275766,0.018828941,0.01941721,0.02925151,0.024134334,0.022749065,0.020131956,0.021242914,0.02357673,0.027831846,0.024401444,0.022844863,0.022413005,0.02587938,0.025182021,0.022450122,0.020806157,0.020907697,0.021209083
Environmental_Information_Processing,0.150627827,0.14777554,0.135346699,0.158057459,0.140790607,0.141267089,0.155775321,0.152288581,0.153797658,0.168755112,0.136339387,0.136653973,0.11668535,0.144384089,0.140471082,0.148252676,0.13674752,0.12853625,0.126806967,0.143688503,0.141677146,0.15880085,0.150240106,0.148066437,0.158902411,0.117332388,0.155073224,0.151165264,0.149915171,0.131941737,0.136679976,0.136209989,0.147281979,0.133331449,0.151064043,0.120675479,0.126517153,0.154053465,0.135824842,0.177294039,0.145408707,0.131412944,0.103472224,0.138571885,0.134627047,0.147892768,0.147128345,0.159811224,0.171645161,0.152461165,0.139494326,0.157167603,0.126778949,0.150903085,0.153851122,0.133061777,0.125351298,0.153516381,0.153682591,0.120336584,0.138022927,0.151176913,0.1379353,0.160536235,0.120306451,0.131479263,0.14788583,0.133411715,0.128584898,0.1237914,0.133019491,0.137771668,0.145861238,0.149761935,0.14955391,0.131740662,0.150471825,0.153624944,0.137775519,0.151125801,0.14361773,0.145755111,0.129219268,0.155494056,0.150093133,0.150831022,0.121252595,0.154800612,0.127236637,0.1362192
Genetic_Information_Processing,0.202008564,0.20012986,0.201258163,0.202438201,0.201519566,0.202139227,0.198410684,0.197842589,0.203816487,0.194211121,0.193825725,0.193981277,0.196583947,0.20155394,0.205308846,0.200297939,0.190623883,0.204681864,0.206786432,0.2014088,0.207104227,0.202310591,0.199034955,0.201759946,0.199746268,0.212484015,0.201502617,0.206139309,0.200453339,0.198803022,0.19981177,0.195822174,0.202194651,0.198546707,0.199671255,0.205805345,0.204789904,0.198171167,0.19910513,0.170936653,0.191231838,0.20460271,0.211038568,0.192406698,0.202767182,0.201297305,0.202904066,0.193077462,0.180242782,0.196075515,0.187220422,0.201757526,0.203960687,0.200741052,0.197368473,0.199408307,0.200972526,0.185284739,0.201224803,0.198408114,0.200808876,0.199429739,0.19274903,0.202016805,0.202697061,0.195360131,0.209088785,0.197873247,0.198672857,0.204370132,0.198107859,0.201649139,0.206265329,0.201717311,0.201927996,0.198691573,0.201362761,0.199999846,0.1984231,0.200996947,0.201032703,0.203559115,0.198377782,0.201639232,0.201559801,0.203306558,0.199706391,0.199320604,0.192758613,0.196627564
Human_Diseases,0.00611307,0.006519347,0.007390055,0.00658394,0.006731572,0.006837644,0.00707136,0.007588124,0.005972381,0.006116256,0.007188241,0.00682542,0.007372295,0.006670234,0.006548492,0.006522182,0.007415102,0.006961591,0.007130709,0.006756669,0.006589883,0.006067236,0.00607805,0.006148233,0.005978431,0.007359065,0.006250334,0.006146526,0.0062298,0.007023015,0.00675846,0.006934798,0.006312789,0.006645329,0.006312674,0.007298741,0.007216919,0.006825259,0.006696649,0.009201284,0.006808709,0.006894584,0.007944346,0.006940527,0.0068927,0.006582143,0.006304344,0.007714907,0.008713303,0.006519688,0.007564203,0.005981791,0.006933913,0.006253513,0.006458414,0.006608808,0.007539219,0.007149001,0.006240434,0.007250991,0.006920989,0.006896016,0.007021412,0.006014967,0.006889151,0.007033903,0.006538013,0.006874266,0.007231759,0.007018886,0.006936913,0.006776156,0.006110034,0.006806169,0.006530617,0.007391235,0.006768934,0.006558916,0.006543002,0.006273835,0.006810365,0.006596465,0.006778984,0.006131945,0.006302353,0.006408253,0.007418267,0.006136411,0.007178445,0.00710734
Metabolism,0.475052793,0.478989077,0.47312354,0.471224876,0.480471286,0.474594301,0.464392468,0.464669945,0.473990216,0.46793992,0.487645182,0.489042215,0.504734152,0.478114584,0.47524317,0.478032215,0.487966588,0.483405438,0.482589185,0.475983112,0.476357729,0.468702635,0.480643133,0.478270862,0.471581075,0.486122629,0.472241186,0.468810216,0.47697557,0.489123904,0.479755177,0.48789517,0.479207991,0.486362823,0.473365591,0.486562896,0.486742548,0.469287754,0.4874629,0.441328132,0.494137867,0.485985508,0.498356693,0.486063478,0.478289354,0.477738914,0.475335906,0.462825562,0.447610945,0.475274313,0.483028554,0.473090014,0.488340028,0.473361594,0.473571713,0.491202774,0.488534934,0.482733343,0.473724006,0.502753426,0.487677904,0.478311246,0.481887759,0.468908762,0.496129553,0.490688774,0.465504125,0.493418111,0.494593497,0.490602423,0.483346678,0.48053763,0.478003295,0.476078279,0.465910525,0.482544046,0.473103875,0.474444275,0.48832733,0.472557383,0.471758715,0.471971496,0.491552723,0.470357121,0.47098118,0.47068721,0.496565501,0.47514257,0.496318273,0.487496465
Organismal_Systems,0.006846158,0.006661304,0.006585207,0.00590965,0.005960502,0.007180581,0.006384523,0.006178615,0.006444979,0.005883886,0.007260887,0.007245587,0.00825228,0.007425923,0.007469131,0.00616041,0.007324641,0.007500285,0.006909243,0.006868598,0.006644579,0.006235121,0.006616621,0.006924427,0.006147195,0.007844967,0.006204378,0.006426867,0.006647995,0.007069726,0.00758597,0.007385881,0.007007648,0.007719267,0.006773883,0.008296557,0.006927631,0.006518166,0.007553995,0.004871619,0.005487722,0.007835688,0.007873969,0.007511565,0.007068921,0.006727153,0.006873849,0.005929285,0.005192211,0.006645641,0.007275551,0.006080116,0.007872056,0.006811259,0.006373418,0.007019256,0.00705995,0.006357755,0.006475573,0.007147887,0.007371899,0.006219363,0.007404633,0.006013076,0.008277473,0.00737748,0.006541413,0.007446667,0.00754481,0.007605496,0.007721758,0.007818674,0.007086237,0.006406163,0.007092889,0.007426362,0.006485606,0.006516693,0.007121866,0.006482296,0.007209565,0.006947129,0.007924243,0.006525064,0.006558425,0.007000316,0.008001527,0.006107668,0.00742207,0.007342711
Unclassified,0.137164499,0.139271784,0.148944156,0.13801256,0.144337014,0.143699337,0.143370576,0.148544449,0.1359714,0.136444563,0.146694941,0.142908122,0.144355423,0.141433237,0.139165538,0.141262505,0.146560988,0.147032457,0.145936245,0.142498067,0.139687421,0.135628724,0.140023252,0.138993778,0.138117977,0.143884993,0.139338352,0.138213674,0.139149148,0.143831623,0.141657111,0.14429667,0.138641696,0.142200291,0.139806618,0.142961713,0.146532217,0.143544298,0.140886031,0.164443843,0.142011341,0.140240158,0.150675785,0.145867808,0.142689068,0.138911702,0.137254647,0.145103289,0.156191944,0.141699478,0.149310437,0.13627393,0.141958614,0.13743261,0.138739688,0.140822875,0.147949977,0.14460546,0.136613063,0.143795856,0.138306219,0.136338889,0.146253454,0.137106926,0.14319527,0.145134539,0.138285872,0.142219996,0.143592043,0.14298245,0.142149975,0.140170968,0.137844927,0.139812933,0.139732555,0.148071787,0.139057934,0.138723369,0.140566268,0.138987008,0.141739077,0.140769239,0.143302136,0.137439577,0.138625728,0.13658462,0.144605596,0.137685979,0.148178265,0.143997636
Cellular_Processes;Cell_Growth_and_Death,0.005430477,0.005216143,0.004541065,0.005235531,0.004564549,0.005202821,0.005085618,0.005101913,0.005569061,0.005268778,0.005116926,0.005079313,0.005226921,0.004994757,0.005213667,0.00509927,0.004840223,0.004692536,0.004755238,0.005380936,0.005141645,0.005621913,0.005356492,0.005474581,0.005508723,0.005566106,0.005581393,0.005381626,0.00542606,0.005011686,0.005317285,0.0050006,0.005264424,0.005087944,0.005206129,0.005223818,0.004941254,0.005015332,0.005304068,0.003722032,0.005020475,0.005329246,0.0055534,0.005273972,0.004937114,0.00530213,0.005408078,0.004978301,0.004198512,0.005268652,0.004905296,0.005579215,0.005166153,0.005473782,0.005017583,0.005376957,0.004977786,0.004873787,0.005519399,0.004994124,0.005398707,0.005217213,0.005122744,0.005415954,0.00538881,0.005162572,0.005219074,0.005362288,0.005013305,0.005283994,0.005137881,0.005397657,0.005320326,0.005332278,0.005239862,0.004907369,0.005264005,0.005377606,0.005403104,0.005359725,0.005183399,0.005035272,0.005236782,0.005517848,0.005337133,0.005281629,0.005339143,0.005424119,0.004964701,0.00521123
Cellular_Processes;Cell_Motility,0.014742525,0.012933421,0.020398983,0.010422073,0.013576281,0.016084901,0.017553099,0.01517325,0.012492725,0.013435537,0.012252364,0.014881256,0.012035389,0.013114223,0.018141946,0.012123903,0.014635378,0.014651907,0.016627096,0.014953567,0.014574505,0.014909454,0.009294179,0.011923398,0.012050218,0.01626492,0.011794549,0.015754737,0.012784567,0.013870414,0.019357008,0.012860043,0.011826123,0.016685054,0.015306048,0.019763442,0.013658625,0.014786942,0.013934825,0.026507482,0.008018631,0.014650312,0.010793465,0.013947564,0.020150808,0.013218044,0.016672239,0.018357113,0.024202273,0.013352072,0.017444156,0.012203341,0.01574513,0.016934319,0.016695691,0.013272665,0.014461099,0.013657042,0.014535407,0.010660374,0.01266133,0.01361964,0.017826548,0.012132562,0.013119804,0.01395028,0.01883024,0.008764322,0.011130375,0.015284179,0.020244829,0.017182005,0.01135528,0.011692411,0.021646528,0.016031949,0.015152283,0.012651578,0.012561314,0.015825017,0.019891519,0.01721108,0.014087874,0.014884681,0.018385952,0.017770668,0.012996616,0.013477933,0.011499645,0.012615836
Cellular_Processes;Transport_and_Catabolism,0.002014085,0.002503524,0.002412134,0.00211571,0.002048623,0.002994101,0.001956351,0.002612534,0.001945094,0.001944826,0.003676348,0.003382838,0.004754243,0.002309013,0.002438129,0.002248901,0.003885676,0.002537672,0.002458886,0.002461748,0.002222865,0.001723474,0.002713211,0.002438338,0.001967703,0.003140917,0.002013966,0.001961782,0.002418351,0.003324873,0.003077243,0.003594674,0.002262699,0.003421136,0.002493759,0.003412009,0.002673747,0.001797616,0.003231561,0.001694916,0.00187471,0.003048849,0.00429155,0.003416503,0.002577806,0.002329842,0.002118525,0.002202857,0.002002869,0.002703476,0.003757056,0.001866465,0.00324447,0.002088785,0.001923899,0.003226581,0.003153211,0.001822492,0.001984724,0.004652644,0.002831149,0.002790982,0.003799121,0.001854713,0.003996427,0.003813059,0.002106649,0.004629387,0.003636456,0.00306104,0.003334617,0.002696103,0.002153334,0.002392522,0.00236512,0.003195016,0.002332777,0.002102772,0.003278497,0.002391988,0.002756928,0.002155092,0.003520208,0.002010477,0.002156295,0.002129724,0.004114363,0.001904104,0.004443351,0.003382017
