kegglevel2	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma1.2065.S1.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma2.2113.S2.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma30.3509.S30.L001	Adenoma3.2123.S3.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer1.2355.S61.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer2.2455.S62.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer30.2863.S90.L001	Cancer3.2513.S63.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy1.2027.S31.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy2.2779.S32.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy30.3291.66.S60.L001	Healthy3.3021.S33.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
Cellular_Processes;Cell_Growth_and_Death	0.00543047740672	0.00521614324802	0.00454106485621	0.00523553124584	0.0045645487148	0.00520282057397	0.00508561784078	0.00510191322602	0.00556906053474	0.00526877765456	0.00511692569531	0.00507931290113	0.00522692126865	0.00499475734094	0.00521366652724	0.00509926952934	0.00484022328901	0.00469253618557	0.00475523764247	0.00538093622865	0.00514164543935	0.00562191335038	0.00535649193506	0.00547458106306	0.00550872274111	0.00556610638368	0.00558139302723	0.00538162554492	0.00542605984914	0.00501168644755	0.00531728492428	0.00500060011612	0.00526442379707	0.00508794394297	0.00520612904344	0.00522381788524	0.00494125449904	0.00501533182332	0.00530406790009	0.00372203197523	0.00502047538529	0.00532924601902	0.00555340018325	0.00527397207128	0.00493711426383	0.0053021295319	0.00540807812619	0.00497830134267	0.00419851225304	0.00526865249083	0.00490529592656	0.00557921471587	0.00516615348507	0.00547378236401	0.00501758263874	0.00537695652827	0.00497778612182	0.00487378736678	0.00551939902153	0.00499412441013	0.00539870679222	0.00521721295388	0.00512274434349	0.00541595403737	0.00538880956482	0.00516257153892	0.00521907397194	0.0053622884186	0.00501330488184	0.00528399359283	0.00513788055213	0.00539765713167	0.00532032599216	0.00533227758109	0.00523986217525	0.0049073689143	0.00526400493256	0.00537760574799	0.00540310373676	0.0053597246201	0.00518339881445	0.0050352715146	0.00523678203834	0.00551784777368	0.00533713298302	0.00528162909877	0.00533914305333	0.00542411946859	0.00496470114199	0.00521122980937
Cellular_Processes;Cell_Motility	0.0147425249169	0.0129334213397	0.0203989825687	0.0104220730614	0.0135762811575	0.0160849007934	0.0175530990118	0.0151732502575	0.0124927249737	0.0134355374181	0.0122523636889	0.0148812556467	0.0120353891052	0.0131142233695	0.0181419456717	0.0121239029395	0.0146353783519	0.014651907175	0.0166270955252	0.0149535666682	0.014574504761	0.014909453995	0.00929417931026	0.0119233981187	0.0120502177536	0.0162649199046	0.0117945493142	0.0157547369199	0.0127845665463	0.0138704135905	0.0193570080005	0.0128600431659	0.0118261226831	0.0166850537572	0.0153060484107	0.0197634415088	0.0136586252175	0.0147869424538	0.01393482488	0.0265074822249	0.00801863124072	0.0146503123164	0.0107934653045	0.0139475636614	0.0201508077714	0.0132180439671	0.0166722393349	0.0183571127559	0.0242022732179	0.0133520715787	0.0174441556607	0.0122033406933	0.0157451304317	0.0169343188921	0.016695690592	0.0132726650143	0.0144610991892	0.0136570416193	0.0145354074807	0.0106603736371	0.0126613300062	0.0136196404087	0.0178265480499	0.012132562201	0.0131198036298	0.013950279668	0.0188302400861	0.00876432238067	0.0111303751405	0.0152841791156	0.0202448285431	0.0171820053227	0.0113552803295	0.0116924105908	0.0216465278224	0.0160319491389	0.015152283073	0.0126515778415	0.0125613139786	0.0158250165266	0.0198915191894	0.0172110804006	0.014087873671	0.014884680911	0.0183859523812	0.0177706684768	0.012996616023	0.0134779330484	0.0114996447847	0.012615836078
Cellular_Processes;Transport_and_Catabolism	0.00201408530881	0.00250352353919	0.00241213404482	0.00211570960847	0.0020486231059	0.00299410097023	0.00195635062403	0.00261253379037	0.00194509425725	0.0019448260576	0.00367634784943	0.00338283751952	0.0047542432143	0.00230901274254	0.00243812877957	0.00224890113922	0.00388567574192	0.00253767236787	0.00245888584457	0.00246174803903	0.00222286451602	0.00172347439624	0.00271321135996	0.00243833817875	0.00196770295916	0.00314091665719	0.00201396591818	0.0019617816008	0.00241835111331	0.00332487303166	0.00307724265799	0.00359467436172	0.00226269906145	0.00342113635955	0.00249375877412	0.00341200883439	0.00267374719943	0.00179761614404	0.00323156066621	0.00169491642756	0.00187471049726	0.00304884854995	0.00429155002056	0.0034165025052	0.00257780581313	0.00232984160981	0.00211852467622	0.00220285694507	0.00200286850924	0.00270347575532	0.00375705647267	0.0018664650123	0.00324446963282	0.00208878487151	0.00192389928479	0.00322658105653	0.0031532105716	0.00182249200642	0.0019847235858	0.00465264437097	0.00283114929305	0.00279098165169	0.00379912132187	0.0018547128427	0.00399642686357	0.00381305945903	0.00210664883152	0.00462938667634	0.00363645601133	0.0030610398702	0.00333461658341	0.00269610325061	0.0021533343825	0.00239252224074	0.00236511972343	0.00319501620443	0.00233277724678	0.00210277240161	0.00327849663508	0.00239198848162	0.00275692815749	0.00215509210592	0.00352020771992	0.00201047662793	0.00215629493526	0.00212972350311	0.00411436338896	0.00190410445059	0.00444335111177	0.00338201709408
Environmental_Information_Processing;Membrane_Transport	0.13556080955	0.132205766669	0.118456337507	0.143049650274	0.125986912251	0.125216609804	0.138689308678	0.134270790904	0.139281386873	0.152817883376	0.118275912346	0.119379532953	0.101445421017	0.128067002629	0.12530717069	0.133275918472	0.118072080167	0.111935382054	0.111025186077	0.127064281858	0.126617046337	0.143649676526	0.135689347866	0.13353379716	0.144116856327	0.102433886503	0.138995146155	0.136267700624	0.134929127147	0.115934239377	0.11946705098	0.119897857267	0.132118001019	0.116619569908	0.135218337484	0.104503465377	0.110668043526	0.137847284071	0.119588317551	0.153487675404	0.127145183209	0.115892744839	0.0882491777933	0.120111107104	0.118947202874	0.131870216429	0.131686903023	0.141278015535	0.1495403819	0.135647845596	0.118722695885	0.142706900674	0.111043916335	0.135044620499	0.138130621161	0.117536272955	0.108456149359	0.133527592417	0.138668115109	0.10520539508	0.122874607001	0.135817549717	0.119415125353	0.145927771579	0.104669833462	0.114853651138	0.132094929647	0.118897398186	0.112594483713	0.109156125203	0.115645007499	0.122013725198	0.131278489781	0.134640862907	0.131850526001	0.11311878394	0.135001342283	0.138417785385	0.122576767993	0.135327655441	0.125534423025	0.129542094207	0.113081772747	0.140178165615	0.133941236311	0.135270155	0.104770451263	0.13951432424	0.109975506049	0.119996150632
Environmental_Information_Processing;Signal_Transduction	0.0137518998055	0.0140030450749	0.0152909947656	0.0133783967575	0.0131906163586	0.0144250512996	0.0158617030959	0.0164251767924	0.013090503214	0.0145464377079	0.0161094331575	0.0154376540198	0.0130375238645	0.0146817565994	0.0136300795839	0.0132964040214	0.0166115350954	0.0147467942787	0.013984027336	0.0150593529022	0.013412393585	0.0138200016394	0.0128596184167	0.0130372768936	0.0134279376892	0.0130327167316	0.0146367524769	0.013438126642	0.0136063505239	0.0141745079738	0.0155344445065	0.0144443497265	0.0135695179728	0.0148582292502	0.0143179005511	0.0144538108982	0.0140192693899	0.0149199557173	0.0145148616681	0.0225950782611	0.0160430725346	0.0138562263933	0.0129988948174	0.0166033938384	0.0140724992771	0.0145700489047	0.0140552483093	0.0170514631325	0.0207736586694	0.0151648776392	0.0187299291564	0.013111541014	0.0139693102498	0.0145241561605	0.0143360480228	0.01381000442	0.014961143346	0.0180238046446	0.0135361323563	0.0132351026582	0.0133010725938	0.0136676450552	0.0166832644116	0.0131669312041	0.0135798982479	0.0147985225679	0.0142606928001	0.0123544589868	0.013905919561	0.0128374066919	0.0156546636098	0.0142287004479	0.0131516871036	0.0134118224553	0.0162505926217	0.0166683263858	0.0139904242802	0.0137105865067	0.0134925305595	0.0143313929234	0.0164373078616	0.0146556689964	0.0143462507743	0.0140079885965	0.0147285647878	0.0140536194523	0.0144571351216	0.0139643192121	0.0151977860013	0.0144221560783
Environmental_Information_Processing;Signaling_Molecules_and_Interaction	0.00131511806228	0.00156672833767	0.00159936658885	0.00162941243174	0.0016130781876	0.0016254276677	0.00122430904015	0.00159261361632	0.00142576798042	0.00139079123618	0.00195404186201	0.00183678601456	0.00220240510657	0.00163532955563	0.00153383188828	0.00168035341859	0.0020639049193	0.00185407341499	0.00179775369701	0.00156486845994	0.00164770580042	0.00133117218786	0.00169113943451	0.00149536293211	0.00135761668256	0.00186578460295	0.00144132557891	0.00145943698226	0.00137969315425	0.00183298973107	0.00167848054164	0.0018677819072	0.00159446030326	0.00185364962525	0.00152780497499	0.00171820286975	0.00182983983621	0.00128622534444	0.00172166276306	0.00121128504381	0.00222045076414	0.00166397288615	0.00222415132535	0.00185738429846	0.00160734480427	0.00145250220212	0.0013861941044	0.00148174501916	0.0013311203	0.00164844200538	0.00204170134024	0.00134916180392	0.00176572258054	0.00133430882443	0.00138445234475	0.00171549952335	0.00193400562727	0.00196498406029	0.00147834339166	0.0018960861173	0.00184724725053	0.0016917177286	0.00183690973835	0.00144153253707	0.00205671939508	0.00182708922167	0.00153020770747	0.00215985794161	0.00208449499664	0.00179786839494	0.00171982027277	0.0015292425046	0.00143106065656	0.00170924945204	0.00145279110452	0.00195355196382	0.00148005801944	0.00149657237478	0.0017062208339	0.00146675309728	0.00164599954812	0.00155734804703	0.00179124487701	0.00130790180427	0.00142333220036	0.00150724791762	0.00202500850412	0.00132196825011	0.00206334496177	0.00180089357897
Genetic_Information_Processing;Folding_Sorting_and_Degradation	0.0234604545542	0.0237798052684	0.0240081452349	0.0238048377576	0.0236785587027	0.0243875648207	0.023915019924	0.0255593246003	0.02338537285	0.0224996980643	0.0251650170638	0.0244719250831	0.02553640872	0.0240652988187	0.0240790326883	0.0237054909091	0.024884026161	0.0244402068402	0.0246665174194	0.0250349947687	0.0240443690936	0.0235938085803	0.0242772365587	0.0240718049027	0.0234578216495	0.0261427475531	0.0238225782258	0.0233858731792	0.0235193990082	0.0244848731338	0.0246398699645	0.0248574459143	0.0239769065176	0.0245489729885	0.0235068390997	0.0257903241874	0.0249948737007	0.0236060231505	0.0245215376594	0.0228788190568	0.02402027557	0.0250274152754	0.0268980535187	0.024930202068	0.0241594797499	0.0234047343285	0.0237457141969	0.0238267398852	0.0235212429198	0.0240952388955	0.0252639847076	0.0234483308212	0.0250501125289	0.0238114969034	0.023230814781	0.0249518027334	0.0256416043578	0.0237011218157	0.023437473995	0.0248955370743	0.0251297017271	0.0236369781576	0.02485263848	0.0234090237479	0.0262777651619	0.0247101164493	0.0238547025035	0.0244599886593	0.0251004799072	0.0250717794234	0.0245470027084	0.0243366391123	0.0236953544261	0.0237545963567	0.0237130471341	0.0253272005574	0.0240940830414	0.0235556415057	0.0247636211434	0.0240273668402	0.0244750131558	0.0239073693279	0.0253197681819	0.0234027665163	0.0236488245538	0.0233536960457	0.0255458513622	0.0235195036648	0.0246876968264	0.0247625410744
Genetic_Information_Processing;Replication_and_Repair	0.0897477202334	0.0886550697205	0.0856918753985	0.0897542888876	0.0840818299756	0.0902708545018	0.0877730578274	0.0872232581195	0.0907916429024	0.0854551749031	0.0850003951689	0.0859179540585	0.0886543872585	0.0892170543027	0.0913747576895	0.0873812925168	0.0835034531663	0.0888038622654	0.087973013163	0.088879546334	0.0904350336438	0.0891965882042	0.0886332320196	0.0895662451275	0.0878848651322	0.0956665749003	0.0898238954535	0.0913254268683	0.088954764504	0.08657577302	0.0887151931812	0.087842580423	0.0898190097535	0.0889094774501	0.0885832387383	0.0928252259933	0.0878180581063	0.0876689989473	0.0888507033934	0.0727011587251	0.0861837187658	0.091884696517	0.0956573139016	0.0849964567046	0.0869451427556	0.0903228153615	0.0898976120405	0.0854618355696	0.0786881348777	0.0865757008365	0.0819263119771	0.0891803595154	0.0910060325107	0.0887395841127	0.0854020959756	0.089435924248	0.0867434267362	0.0822663725445	0.0890886035608	0.088018215429	0.0891551466277	0.0890474297802	0.0845413165609	0.0892570885736	0.0916064629164	0.0869698205893	0.0924598645538	0.0884332037969	0.0875712292779	0.090256635799	0.0885608425139	0.0899457926286	0.0926368454437	0.089751693835	0.0894662208817	0.0864654564131	0.0889605722697	0.0885871668191	0.088084557025	0.0885364345663	0.0892495266827	0.0894589706905	0.0892140923709	0.0895392103131	0.0891397747217	0.0905871076932	0.0901650066118	0.0876500641594	0.0856787793318	0.0876754525233
Genetic_Information_Processing;Transcription	0.0304597289245	0.0307431939879	0.0300889232329	0.0306788598961	0.0312193454089	0.0293633550877	0.0308641725975	0.0291994007744	0.0302184960064	0.0314810837295	0.0294675031528	0.0294421169348	0.0269437442353	0.0312083950341	0.0304549045764	0.0305288351081	0.0294276860501	0.0303508326258	0.0295553388053	0.0304779524426	0.0299363701827	0.0314832800884	0.0299244481202	0.0302341223752	0.0309251016638	0.0279163141452	0.0311136305527	0.0304781509732	0.0304188099513	0.0297273956367	0.0294291661748	0.029277014874	0.0304530105838	0.0291651853429	0.0308085142562	0.0280056987104	0.0293900098817	0.0310006135829	0.0294122772782	0.030429750919	0.0225289443799	0.029030185536	0.0257413008034	0.0281902385131	0.0299066121006	0.0312385560238	0.0302166407501	0.0301874284959	0.0304597762398	0.0302648499108	0.0286688012176	0.0307599616935	0.0292162640623	0.0302621686551	0.031378812711	0.0281496295581	0.028919291642	0.0263490003149	0.0301180566574	0.0279272093902	0.0284823940297	0.0295200537924	0.0297450247809	0.0314149401254	0.0276514496449	0.0288171609839	0.0312935379616	0.0291672402889	0.0287155126243	0.0283363836787	0.0289776429289	0.0289170423414	0.0307864021491	0.0298623770241	0.0309731689853	0.0295753426666	0.0303249931176	0.030375006402	0.0289279466158	0.0310370603324	0.0299704304691	0.0309387675567	0.0279546206651	0.0304784714256	0.0314875225621	0.0300060151911	0.0270012126037	0.0312001838126	0.0286070682544	0.0289118032719
Genetic_Information_Processing;Translation	0.0583406605013	0.0569517907496	0.0614692187783	0.0582002139776	0.0625398318212	0.0581174523954	0.0558584339174	0.0558606057139	0.0594209747798	0.0547751642805	0.0541928096983	0.0541492811651	0.0554494068105	0.0570631915685	0.0594001508637	0.0586823203605	0.0528087173701	0.0610869617999	0.0645915627649	0.0570163060949	0.0626884542144	0.0580369146099	0.0562000384705	0.0578877732352	0.0574784791656	0.0627583787345	0.0567425129685	0.0609498583263	0.0575603653347	0.0580149800943	0.0570275408331	0.053845132719	0.0579457243248	0.0559230709939	0.0567726626539	0.0591840963352	0.0625869624727	0.0558955309524	0.0563206114878	0.0449269239815	0.0584988995001	0.0586604131233	0.0627418996461	0.0542898005531	0.0617559470214	0.0563311992645	0.0590440989883	0.0536014581347	0.0475736275916	0.0551397248801	0.0513613238314	0.058368873598	0.058688277457	0.0579278028147	0.0573567492885	0.0568709509228	0.0596682028769	0.0529682441802	0.0585806691473	0.0575671519566	0.0580416333599	0.0572252770548	0.0536100499395	0.0579357522245	0.0571613837291	0.0548630328458	0.0614806794918	0.0558128146971	0.0572856347498	0.0607053335741	0.0560223710348	0.0584496652589	0.0591467273991	0.0583486438474	0.0577755589812	0.0573235732753	0.0579831126209	0.057482031111	0.0566469753249	0.057396085378	0.0573377327488	0.0592540078936	0.0558893008969	0.0582187840873	0.0572836795395	0.0593597386676	0.0569943205229	0.0569508520895	0.0537850682331	0.0552777670615
