order	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma1.2065.S1.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma2.2113.S2.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma30.3509.S30.L001	Adenoma3.2123.S3.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer1.2355.S61.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer2.2455.S62.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer30.2863.S90.L001	Cancer3.2513.S63.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy1.2027.S31.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy2.2779.S32.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy30.3291.66.S60.L001	Healthy3.3021.S33.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
Archaea_Crenarchaeota_Thermoprotei_Incertae_sedis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales	2	1	3444	0	5493	7	5	3	1	0	0	0	2	4	335	1688	1	2498	3858	2	1900	0	0	1	6	789	1	866	4	1747	1	1	1	1	0	272	3783	0	0	2032	9	2	916	1	3373	14	321	0	0	0	7	0	738	1	1178	1	2354	1	0	887	2	0	1	1	0	0	568	1	861	1856	0	1	2	11	2	1236	338	6	1	0	0	919	1	3	3	1	0	9	3	1
Archaea_Euryarchaeota_Thermoplasmata_Thermoplasmatales	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria_Actinobacteria_Actinomycetales	16	15	17	164	32	20	27	76	42	135	12	19	24	18	5	62	12	8	7	85	5	42	62	6	19	0	72	26	6	64	68	14	37	79	73	3	5	23	11	25	84	10	0	29	53	24	19	145	19	4	8	25	28	28	37	10	5	11	13	49	6	9	3	71	0	15	19	47	11	3	78	4	20	47	8	1	130	528	39	25	9	11	15	43	11	7	12	197	2	72
Actinobacteria_Actinobacteria_Bifidobacteriales	2	8	4	6	3	412	0	64	3099	1066	293	0	1	90	25	1	1181	358	125	6	1946	0	1	168	828	40	1	2075	2	19	439	0	5	186	0	122	1	92	274	39	1	79	23	240	2	184	116	1449	911	1005	13	631	81	333	278	601	134	180	2689	0	219	4798	1	2	8	3	62	4385	1263	84	92	0	8	440	0	3	384	2	532	65	152	0	18	232	275	1942	37	4	254	716
Actinobacteria_Actinobacteria_Coriobacteriales	1096	61	106	42	1562	246	108	38	106	409	1241	366	292	874	1274	1294	1633	632	472	874	1223	1894	957	981	458	165	41	340	13	25	574	346	1145	124	268	126	110	123	240	221	292	9	11	270	286	94	868	152	20	45	163	803	215	633	1710	582	129	658	1409	353	3367	1	50	1135	0	104	290	4	755	214	80	411	267	33	18	444	138	665	42	107	718	711	306	671	102	594	12	50	216	757
Actinobacteria_Actinobacteria_Solirubrobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Bacteroidia_Bacteroidales	2940	4599	3541	2204	1702	6226	1394	1364	530	1186	5940	10110	17014	1924	6139	4663	7324	2432	7619	4467	2277	714	9779	6403	971	13155	552	800	4940	9329	7742	11029	4223	9437	4537	11466	7005	1259	9840	1236	1403	9783	15672	6118	6064	5175	3869	2680	1941	4475	4297	1333	10962	3017	1916	12630	9239	987	1823	12796	8962	5644	6663	668	15878	10688	2450	12625	10670	11577	9008	7403	4983	4832	1184	3950	3791	2783	11682	4292	3576	1977	11644	2129	2908	1662	13961	1993	10006	10020
Bacteroidetes_Flavobacteria_Flavobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_Sphingobacteria_Sphingobacteriales	0	0	0	1	0	0	4	0	0	0	0	0	0	0	2	0	2	6	1	0	0	0	0	0	0	0	1	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	24	0	0	3	0	2	0	0	0	0	1	0	0	0	4	0	0	2	0
Bacteroidetes_unassigned_unassigned	89	37	0	222	7	6	23	12	29	89	6	6	116	26	14	8	12	2	9	28	3	16	61	43	37	0	33	14	21	15	18	42	32	7	10	4	8	11	18	8	41	0	6	0	12	28	44	62	50	27	0	44	5	86	32	3	1	18	48	214	2	9	3	28	1	22	7	6	8	2	9	13	102	3	7	7	47	8	1	4	35	5	9	33	85	11	2	39	4	15
DeinococcusThermus_Deinococci_Deinococcales	0	4	13	9	44	0	1	0	0	260	0	0	1	0	0	8	0	28	0	0	0	0	93	0	0	0	50	0	1	0	1	18	2	40	100	0	0	0	0	14	1	0	0	5	35	3	0	357	2	0	0	0	14	0	0	0	7	0	0	0	0	0	0	95	0	0	1	0	2	0	156	0	1	4	0	0	349	749	0	0	0	0	0	0	0	2	0	332	0	0
DeinococcusThermus_Deinococci_Thermales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_Bacilli_Bacillales	0	30	124	125	119	9	12	33	7	470	67	1	17	13	4	15	2	56	17	21	12	3	268	0	8	1	119	5	4	144	37	74	10	117	265	0	20	5	4	110	8	1	1	7	106	19	408	767	3	4	5	1	38	4	182	3	21	4	8	11	8	5	12	148	0	12	12	0	14	9	431	3	14	13	41	49	992	1245	5	2	4	23	4	2	1	28	0	822	0	1
Firmicutes_Bacilli_Lactobacillales	172	689	73	5441	313	321	98	2530	326	316	187	93	1234	204	85	161	133	22	121	288	20	1134	196	48	127	24	510	145	96	302	80	105	1172	270	158	3	4	842	27	98	2273	24	44	63	640	261	525	2832	579	142	7	764	236	88	67	13	100	702	351	245	13	2005	102	993	125	50	458	74	684	13	219	364	70	3547	704	69	695	1112	113	258	64	147	199	150	121	852	56	742	33	106
Firmicutes_Bacilli_unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	3	0	0
