phylum	Adenoma10.2757.S10.L001	Adenoma11.2775.S11.L001	Adenoma1.2065.S1.L001	Adenoma12.2799.S12.L001	Adenoma13.2803.S13.L001	Adenoma14.2817.S14.L001	Adenoma15.2847.S15.L001	Adenoma16.2873.S16.L001	Adenoma17.2937.S17.L001	Adenoma18.2967.S18.L001	Adenoma19.2971.S19.L001	Adenoma20.2995.S20.L001	Adenoma21.3129.S21.L001	Adenoma2.2113.S2.L001	Adenoma22.3133.S22.L001	Adenoma23.3141.S23.L001	Adenoma24.3217.S24.L001	Adenoma25.3273.S25.L001	Adenoma26.3373.S26.L001	Adenoma27.3379.S27.L001	Adenoma28.3391.S28.L001	Adenoma29.3399.S29.L001	Adenoma30.3509.S30.L001	Adenoma3.2123.S3.L001	Adenoma4.2143.S4.L001	Adenoma5.2243.S5.L001	Adenoma6.2453.S6.L001	Adenoma7.2475.S7.L001	Adenoma8.2555.S8.L001	Adenoma9.2717.S9.L001	Cancer10.2567.S70.L001	Cancer11.2573.S71.L001	Cancer12.2575.S72.L001	Cancer1.2355.S61.L001	Cancer13.2579.S73.L001	Cancer14.2611.S74.L001	Cancer15.2613.S75.L001	Cancer16.2619.S76.L001	Cancer17.2625.S77.L001	Cancer18.2629.S78.L001	Cancer19.2633.S79.L001	Cancer20.2667.S80.L001	Cancer21.2671.S81.L001	Cancer22.2703.S82.L001	Cancer2.2455.S62.L001	Cancer23.2705.S83.L001	Cancer24.2727.S84.L001	Cancer25.2735.S85.L001	Cancer26.2763.S86.L001	Cancer27.2771.S87.L001	Cancer28.2777.S88.L001	Cancer29.2801.S89.L001	Cancer30.2863.S90.L001	Cancer3.2513.S63.L001	Cancer4.2521.S64.L001	Cancer5.2523.S65.L001	Cancer6.2535.S66.L001	Cancer7.2537.S67.L001	Cancer8.2543.S68.L001	Cancer9.2547.S69.L001	Healthy10.3087.S40.L001	Healthy11.3123.S41.L001	Healthy1.2027.S31.L001	Healthy12.3211.S42.L001	Healthy13.3241.S43.L001	Healthy14.3245.S44.L001	Healthy15.3247.S45.L001	Healthy16.3251.S46.L001	Healthy17.3257.S47.L001	Healthy18.3293.S48.L001	Healthy19.3339.S49.L001	Healthy20.3341.S50.L001	Healthy21.3347.S51.L001	Healthy22.3363.S52.L001	Healthy2.2779.S32.L001	Healthy23.3367.S53.L001	Healthy24.3403.S54.L001	Healthy25.3405.S55.L001	Healthy26.3407.S56.L001	Healthy27.3439.S57.L001	Healthy28.3499.S58.L001	Healthy29.3529.S59.L001	Healthy30.3291.66.S60.L001	Healthy3.3021.S33.L001	Healthy4.3023.S34.L001	Healthy5.3043.S35.L001	Healthy6.3061.S36.L001	Healthy7.3063.S37.L001	Healthy8.3073.S38.L001	Healthy9.3075.S39.L001
Archaea_Crenarchaeota	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea_Euryarchaeota	2	1	3448	0	5494	7	5	3	1	0	0	0	2	4	335	1688	1	2499	3859	2	1900	0	0	1	6	789	1	866	4	1747	1	1	1	1	0	272	3783	0	0	2032	9	2	916	1	3373	14	321	0	0	0	7	0	738	1	1178	1	2354	1	0	887	2	0	1	1	0	0	568	1	861	1856	0	1	2	11	2	1248	338	6	1	0	0	919	1	3	3	1	0	9	3	1
Actinobacteria	1114	84	127	212	1597	678	135	178	3247	1610	1546	385	317	982	1304	1357	2826	998	604	965	3174	1936	1020	1155	1305	205	114	2441	21	108	1081	360	1187	389	341	251	116	238	525	285	377	98	34	539	341	302	1003	1746	950	1054	184	1459	324	994	2025	1193	268	850	4111	402	3592	4808	54	1208	8	122	371	4436	2029	301	250	415	295	520	26	448	652	1195	613	197	879	722	339	946	388	2543	61	251	472	1545
Bacteroidetes	3029	4636	3541	2427	1709	6232	1421	1376	559	1275	5946	10116	17130	1950	6155	4671	7338	2440	7629	4495	2280	730	9840	6446	1008	13155	586	814	4962	9360	7760	11071	4255	9444	4547	11470	7013	1270	9858	1244	1444	9783	15678	6118	6355	5205	3913	2742	1991	4502	4297	1377	10967	3104	1948	12633	9240	1005	1871	13010	8964	5653	6666	696	15879	10710	2458	12631	10679	11579	9020	7440	5085	4837	1194	3957	3840	2791	11683	4296	3611	1983	11653	2162	2993	1677	13963	2032	10012	10035
DeinococcusThermus	0	4	13	9	44	0	1	0	0	260	0	0	1	0	0	8	0	28	0	0	0	0	93	0	0	0	50	0	1	0	1	18	2	40	100	0	0	0	0	14	1	0	0	5	35	3	0	360	2	0	0	0	14	0	0	0	7	0	0	0	0	0	0	95	0	0	1	0	2	0	156	0	1	4	0	0	352	749	0	0	0	0	0	0	0	2	0	332	0	0
Firmicutes	20342	17551	12081	19422	13239	15213	15084	11757	20345	20747	9311	11550	7212	17354	15963	16075	9903	14258	10396	16348	15314	22179	13498	16705	21176	9450	20274	19589	18859	12142	13584	11286	17340	13276	18672	10697	10707	19791	12511	14313	13496	13966	5997	11670	12814	16782	19030	14679	12240	14235	12137	21780	11639	19826	19313	10712	8737	5491	17118	10425	11325	12504	13604	22776	8184	11036	19008	7458	9757	10398	14052	14559	18669	17708	21512	12074	18044	18585	12056	19090	16425	19581	11084	20155	20331	20133	8718	21603	9860	10947
Fusobacteria	0	0	0	0	0	2	0	29	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	4	3	3	6	10	4	7	2	402	40	0	0	59	8953	2	503	3	9	1	3	62	0	1	0	0	1	16	6	1	2	14060	13	23	0	0	2	0	2	1	2	0	0	0	0	0	44	2	0	0	0	7	1	1	0	0	0	0	0	0	381	1	0	0
Lentisphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	269	1024	3532	2921	1872	1460	7096	8834	315	1091	148	14	276	212	159	568	770	1259	878	329	654	138	399	340	523	973	205	553	182	374	775	2242	61	406	788	1634	374	3567	388	6913	709	890	339	773	508	2672	558	5401	9738	1183	53	115	354	201	353	341	909	3557	1493	196	526	2026	398	216	836	646	657	465	197	207	860	280	764	1734	488	260	1549	1396	218	525	656	370	1530	1673	612	372	1872	756	2269	2071
